K,N,all_finite,contract_sha256,coordinates_file_sha256,d_coords,d_z1,d_z2,d_zf_aligned,d_zf_raw,dataset,harmonizer_mode,harmonizer_sha256,implementation_commit,ordered_observation_sha256,p1_sha256,p2_sha256,pf_sha256,quality_sha256,registered_input_sha256,seed,spatial_graph_canonical_sha256,spatial_graph_file_sha256,unit_id,views_file_sha256,z1_canonical_sha256,z1_dtype,z2_canonical_sha256,z2_dtype,zf_aligned_canonical_sha256,zf_aligned_dtype,zf_raw_canonical_sha256,zf_raw_dtype,zf_raw_file_sha256
10,3484,True,991e27573c31d0ce072ef6782055bbc0f43fbea008ae3e14a0ce4503fc969a9b,44cb0e69746a269bba7f243bf3fa112329dc0b3290390f93a4a4647e763057fb,16,64,64,64,64,a1,identity,e784b722c8c9088bc4d96e5c3cafa673416dbefdfc4d393cb1321b30fadd9701,6a489f80ec12a07f47a4d20504295f383495b554,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,ba4f5e7e92236426ea7384436971b0ad4223a9c7781cf05425b07f01beaecbfc,f6352548a115969e5f3f58e18c43663a7f6281fd27b861495557690af3b47141,f7b451f10341f35abcaed7c62ddf359482188f08f88316e18e68605daf8120b9,5fa1596670c9f088130234ef712cd2d9bd0a069576e362d8333d61a4f2daacbc,46df38fa164bfc8ba4df0fd34e6867aec03e2f6765c92132b3fdad90313a9d45,0,9fe4421dc5f89b2662c17d21dd24ff66fc19d88395e668eab4a5205bcb46e9a2,af815110126fe484b48a88f58d0f86f5eb0ed58d9b7da021ba9d4cea796e1d78,u000,0391997d6b0f893ef10e8f76b899d8e992e7ac1043d45816e8db8fd5fdcdc290,8a4742e689c3affd1fe3cbadf192d342c8b0dbf8e9791aff11c55ecdc2869437,float32,dd79af01e25198e0ac5e88e401734f07fccb520adab4401f74ff61846f138f54,float32,e784b722c8c9088bc4d96e5c3cafa673416dbefdfc4d393cb1321b30fadd9701,float32,e784b722c8c9088bc4d96e5c3cafa673416dbefdfc4d393cb1321b30fadd9701,float32,0391997d6b0f893ef10e8f76b899d8e992e7ac1043d45816e8db8fd5fdcdc290
10,3484,True,991e27573c31d0ce072ef6782055bbc0f43fbea008ae3e14a0ce4503fc969a9b,44cb0e69746a269bba7f243bf3fa112329dc0b3290390f93a4a4647e763057fb,16,64,64,64,64,a1,identity,a3535082bc8ec402af567059b09c63fac38310849eb559890e7e19609b3b9dfd,6a489f80ec12a07f47a4d20504295f383495b554,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,83306eaec8b8766f211280bb93be652d3efb8e376354676032cf8036bdd01c07,fb4baa1315afec73deb3e6ac5e27ac26e9d6843de668944b9d726e9a36ccbe68,86cea14d1cf0a44bc0cb8fc028ae93b4462a47160f40b22c0131abb57ec5e528,6d66acac532839a47dfa7d5f4e2d4dcf02ab90c59570ce1a13bf0ca83b852712,a2fc05ea7b9a410b039d6510b2dc299b739e4fd099ed78695a327b4975152142,1,9fe4421dc5f89b2662c17d21dd24ff66fc19d88395e668eab4a5205bcb46e9a2,af815110126fe484b48a88f58d0f86f5eb0ed58d9b7da021ba9d4cea796e1d78,u001,ebc790713fdfdc1b7eb0ded4ed79e4f5a8615b24d65ea47105caf9bf2a6b9777,dfce3f34a108171ffb26099d1b6d24e6024ae56e169c67ca91206653b877383a,float32,248b748c75318d410b6fc7c086d490256c03e23367ee9fea6e1c40f4f12734f7,float32,a3535082bc8ec402af567059b09c63fac38310849eb559890e7e19609b3b9dfd,float32,a3535082bc8ec402af567059b09c63fac38310849eb559890e7e19609b3b9dfd,float32,ebc790713fdfdc1b7eb0ded4ed79e4f5a8615b24d65ea47105caf9bf2a6b9777
10,3484,True,991e27573c31d0ce072ef6782055bbc0f43fbea008ae3e14a0ce4503fc969a9b,44cb0e69746a269bba7f243bf3fa112329dc0b3290390f93a4a4647e763057fb,16,64,64,64,64,a1,identity,b8e47ec7b8c517bf6afd57715efb31ca4b19bd631295130e848c4dc9e44cf606,6a489f80ec12a07f47a4d20504295f383495b554,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,5ef02615d136f98fd63ef5eaca04d309a7b479169b5db741eb5356d6260fa001,a481a2e1a4c6ba3de6fbf67cd79d69ad60316171fa7b2fbc945172fd19c79f7d,eca7a7950833ffe69fa95bbb40eceac23ff9a9ab019c57658f83214ba1d1dd18,a3835c4c99f0cd2e2cc001a2f4b0479a14c4bbad458e74bb584c39377caace3e,8f45c7989bea891b33aa1b3f532215f4cb7d5789d0540c59e8705ee252abd7ba,2,9fe4421dc5f89b2662c17d21dd24ff66fc19d88395e668eab4a5205bcb46e9a2,af815110126fe484b48a88f58d0f86f5eb0ed58d9b7da021ba9d4cea796e1d78,u002,510bb370db87441cc060c658a566a1846f7a7ab98f2da222b11b85551e4a4bb9,575218cade3cbab86551af47939dfbb54a229bbf6ef06d78604c252610229fab,float32,e370da013dfb9efe5e17e8eb48adaea25fd4bbc9f972d3356520bb426e8cf0c5,float32,b8e47ec7b8c517bf6afd57715efb31ca4b19bd631295130e848c4dc9e44cf606,float32,b8e47ec7b8c517bf6afd57715efb31ca4b19bd631295130e848c4dc9e44cf606,float32,510bb370db87441cc060c658a566a1846f7a7ab98f2da222b11b85551e4a4bb9
10,3484,True,991e27573c31d0ce072ef6782055bbc0f43fbea008ae3e14a0ce4503fc969a9b,44cb0e69746a269bba7f243bf3fa112329dc0b3290390f93a4a4647e763057fb,16,64,64,64,64,a1,identity,e0319b862bdb1b78e335f17f52b3f81c64aab9ed20858df47e330d7513ba78f9,6a489f80ec12a07f47a4d20504295f383495b554,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,a77fbe6dce30c89d50908c43e2a367e6b28f1405e8946dfaf62a1f1f34513fe5,d22b0093dad94bb1f0d86e67f2380883effc8acf6b9f76bcd654a45c7fad7947,44aed1010f0c71427f93f41fb4734f09abe9beb062c57fce6765bef148d4d89c,b1585479892d46d6bc5eb84460bcb93e86d73b7f106de2dd407d35009b87d30e,511aa5becf6772e01dc2c3c7ef5aa01207d7d46059ac3da43e30b25f4322f72e,3,9fe4421dc5f89b2662c17d21dd24ff66fc19d88395e668eab4a5205bcb46e9a2,af815110126fe484b48a88f58d0f86f5eb0ed58d9b7da021ba9d4cea796e1d78,u003,2779522c681089523c73b9c5c495fdc36c33ef7cc92484c9b0b05ab53a4bc824,ca0f69bb01993ea3d52e39635b198600d3473bbf086990d60eabdde43cde17e5,float32,76f265718fa0336182e30bec976625a29dfca74c62157f11f36f769d05a65c4b,float32,e0319b862bdb1b78e335f17f52b3f81c64aab9ed20858df47e330d7513ba78f9,float32,e0319b862bdb1b78e335f17f52b3f81c64aab9ed20858df47e330d7513ba78f9,float32,2779522c681089523c73b9c5c495fdc36c33ef7cc92484c9b0b05ab53a4bc824
10,3484,True,991e27573c31d0ce072ef6782055bbc0f43fbea008ae3e14a0ce4503fc969a9b,44cb0e69746a269bba7f243bf3fa112329dc0b3290390f93a4a4647e763057fb,16,64,64,64,64,a1,identity,641b079bf516389ac2bd3ad121f928293fb871f4f59bcae6496e23e21026e1b8,6a489f80ec12a07f47a4d20504295f383495b554,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,b61153e891bb8e9c55c857d06ce880bb7cb64e381c0b1fcf8aa172e23db4f116,72abbbf524064ea044ab49fc7af7131306390bf33047d5c0ed054db16d304c58,5cfff04dfd5a2cab8c95c5db3e4357bf2f961b0f36fece110fe76844e6201373,4a1d5feae1cca7740b3da66aa0ba37b5339419ce0812044524a6dd63811ff557,476338bf9c42aaa23fc468b3b32ada72f5b0f24346b2a5a048033d154d5a1885,4,9fe4421dc5f89b2662c17d21dd24ff66fc19d88395e668eab4a5205bcb46e9a2,af815110126fe484b48a88f58d0f86f5eb0ed58d9b7da021ba9d4cea796e1d78,u004,cff0f0eb5ec79e30b450ce8cf769f69cf974d56eb056a677eae278679fc3d615,51559c180afe157d89a991bc51362d077768e07a46cad1e30a50163da3b2cb8d,float32,9fd441c92a4ca62b0849923a97b7f675d1b8ce4113c92274accd59d2197b5202,float32,641b079bf516389ac2bd3ad121f928293fb871f4f59bcae6496e23e21026e1b8,float32,641b079bf516389ac2bd3ad121f928293fb871f4f59bcae6496e23e21026e1b8,float32,cff0f0eb5ec79e30b450ce8cf769f69cf974d56eb056a677eae278679fc3d615
4,4326,True,991e27573c31d0ce072ef6782055bbc0f43fbea008ae3e14a0ce4503fc969a9b,980597c70b65ba1794afde298a08e463794ab072b64861d06e4d93356015ea6e,16,64,64,64,64,tonsil,identity,42668e7ab0ce2e34a6ba33e5aa41d387d2fd1570db5ef548656f00793f5b99cb,6a489f80ec12a07f47a4d20504295f383495b554,9a30299971a5d7e475f17257fe9e0b34c500544ec6da856aec78b09648d5ba83,48d83164a96b73d70addc80d9919eedbec3c591408b124999ef61a76dcfa5be9,5687d855868db449cc4ea2bd3293ce5e383750fa7e0a7459701720d281f8c1fe,38d532e948dc660520ba20e4ab662ae59bf4090ab48415c235f487cce7ad65ed,494df16a3bd78b17d6d3809a0b3f05aebe897106766a801e2b88b274972c842a,7da0ead39ac8d24238b92352b7a53b4b0d395a999d68a293a7fb4826e8c10c58,0,281080dbd6959e386507072745747b7bf178476e55ce0884d8759597630d1997,0f999e93ab3e7335d00584b42f8cfe17c87a18e4eea7b2b42983dbe13f4823a1,u005,2470d1d17f8cd2323e03ccd63fc8c77e1d1fab26097dec3e1d40e953cc0cf56e,d3a650169050a9fb3b0fe4757a822624152fc2f3b0b996648a8bf04e843da43c,float32,93f3d2970413215515597a4cd9013bb68f644a62719d398b6d75fe22b9c787b7,float32,42668e7ab0ce2e34a6ba33e5aa41d387d2fd1570db5ef548656f00793f5b99cb,float32,42668e7ab0ce2e34a6ba33e5aa41d387d2fd1570db5ef548656f00793f5b99cb,float32,2470d1d17f8cd2323e03ccd63fc8c77e1d1fab26097dec3e1d40e953cc0cf56e
4,4326,True,991e27573c31d0ce072ef6782055bbc0f43fbea008ae3e14a0ce4503fc969a9b,980597c70b65ba1794afde298a08e463794ab072b64861d06e4d93356015ea6e,16,64,64,64,64,tonsil,identity,783681b75247c40936fb4e7be7d920d4d9e7d51d5bcdc98f5725a3a3684be3c9,6a489f80ec12a07f47a4d20504295f383495b554,9a30299971a5d7e475f17257fe9e0b34c500544ec6da856aec78b09648d5ba83,7df017063e0b32f07c9b0577a96883679a91a51c857053e6825468631ba944cc,9f715fdb730ea12d58a2d7a2370eb20e3f98d39df8bd6340b606b6cb48d2fb6a,e5449fab63f8fcaefd098642b057b3af6cfc3560fa58af3a3bef034d760981c4,1c097a77ac66b8db8f6b180209ab2a6e55668165f350aeb2d56e92cdcbe0c6e6,b7883a62630c9f9a522e337b1f6dc72967742e402041bf9f5ead2d5f602556c4,1,281080dbd6959e386507072745747b7bf178476e55ce0884d8759597630d1997,0f999e93ab3e7335d00584b42f8cfe17c87a18e4eea7b2b42983dbe13f4823a1,u006,ebc1509e09b208846d47d361fc18aa366ebafd8058f4ea07d3e94ac7978c0ac3,7411a197c316b33ea2218090bb26701db5c2a7541a22c08b602dd1b319a92b99,float32,84caf9777ab4bf98eda41b3da1330c5d0b253931eb206db9efaee8dcaa436ae0,float32,783681b75247c40936fb4e7be7d920d4d9e7d51d5bcdc98f5725a3a3684be3c9,float32,783681b75247c40936fb4e7be7d920d4d9e7d51d5bcdc98f5725a3a3684be3c9,float32,ebc1509e09b208846d47d361fc18aa366ebafd8058f4ea07d3e94ac7978c0ac3
4,4326,True,991e27573c31d0ce072ef6782055bbc0f43fbea008ae3e14a0ce4503fc969a9b,980597c70b65ba1794afde298a08e463794ab072b64861d06e4d93356015ea6e,16,64,64,64,64,tonsil,identity,df193d338c47781e180584d1a50e9c55891424c3852487df052c264f5f6014ab,6a489f80ec12a07f47a4d20504295f383495b554,9a30299971a5d7e475f17257fe9e0b34c500544ec6da856aec78b09648d5ba83,54e1d4840eab7f569d6e58b043c86c1475d6a2a0c93125edf137afcb6ea0e5c3,002fc28dfe16e9643c7fc6273f6a5dc453679679c45161a34a52dd825921d00b,84bb92d1d0199cce63215255cee34de9b2411787d89c5680d2d36bce11592363,d823ee0bd030c9ab308607779e006df25ddeee84dd6dd34aae01c50838a45c30,f914bb3c08b49d0da2f7091e623fe3707be7acfd51f7a26fd5dfc468669d8c96,2,281080dbd6959e386507072745747b7bf178476e55ce0884d8759597630d1997,0f999e93ab3e7335d00584b42f8cfe17c87a18e4eea7b2b42983dbe13f4823a1,u007,987292acc95c5a1edefc0c14c8c3ad5f4fa136bd023a1ad44297e7e32687d684,f455cb84d9b5a8bc167f1d3fc9244c0b4969ca7ca6990ce5f9e8f33edd120160,float32,a17f7de785391a96e8c619734df1fbdb5fd104f37f3fcaba7ed43461dd5824e0,float32,df193d338c47781e180584d1a50e9c55891424c3852487df052c264f5f6014ab,float32,df193d338c47781e180584d1a50e9c55891424c3852487df052c264f5f6014ab,float32,987292acc95c5a1edefc0c14c8c3ad5f4fa136bd023a1ad44297e7e32687d684
4,4326,True,991e27573c31d0ce072ef6782055bbc0f43fbea008ae3e14a0ce4503fc969a9b,980597c70b65ba1794afde298a08e463794ab072b64861d06e4d93356015ea6e,16,64,64,64,64,tonsil,identity,6633b97237dbd30ed4a4aaff31893d38be66a5228161707ac4c4dad04d2e8b92,6a489f80ec12a07f47a4d20504295f383495b554,9a30299971a5d7e475f17257fe9e0b34c500544ec6da856aec78b09648d5ba83,68d53a31c893265282311dd00ed6d1fb9017f0a7387f89f0ba9aa31298b8f3d1,13d9ea14bb3db6dd56b8fad65e21fbe5ed6f8b529e1d4e7e7ec7e0b32899c44f,bfb1c6a0dfb09ad982dec96fb5b0dcb547da0ec7cdbda2cf9c1d514079a9f9bd,08bfb7605c06a35f70e0b76c754fa9a4b1d8318cee76f62b7679d9c074c641cb,c475cdfc748985daaf0eda2bd2ccf35d0f6a71f8667017e3affc398d690634aa,3,281080dbd6959e386507072745747b7bf178476e55ce0884d8759597630d1997,0f999e93ab3e7335d00584b42f8cfe17c87a18e4eea7b2b42983dbe13f4823a1,u008,f309df877d27573b45a548c391336b2d26f14524f563b7804444627d95f00c0a,ce59217b78e11ea4f84ddd7724c1cdb4c5de26172500f65c9f3852d721a9b120,float32,c500b63a9ea602a4583a85a2fe3ddddf42b1d3f6700fc4046965ae4cf5f581b6,float32,6633b97237dbd30ed4a4aaff31893d38be66a5228161707ac4c4dad04d2e8b92,float32,6633b97237dbd30ed4a4aaff31893d38be66a5228161707ac4c4dad04d2e8b92,float32,f309df877d27573b45a548c391336b2d26f14524f563b7804444627d95f00c0a
4,4326,True,991e27573c31d0ce072ef6782055bbc0f43fbea008ae3e14a0ce4503fc969a9b,980597c70b65ba1794afde298a08e463794ab072b64861d06e4d93356015ea6e,16,64,64,64,64,tonsil,identity,6e47f05b6b201666a626035568d0e3faf7fee931bbd9a4e1df354f6df997d18e,6a489f80ec12a07f47a4d20504295f383495b554,9a30299971a5d7e475f17257fe9e0b34c500544ec6da856aec78b09648d5ba83,eb86edbed4f4c04f22b463cbb7c9440059a14b9d029bd189f0c99723fd8429b9,915e052c8de470f10eadf407b3803c61422820dd4e7aaa550b099e94d22ebf33,e2cfbde4196653db3be02403e796fc87bae4405c6aa03a3cc96a34387d54cb22,c53098c1b2418fe145e8dcfe544e915c4870968b8a7daf3cc496016402685ec2,b8e0294eef68f2e729fa97b0d9591e8724471ef221f374ffee6dd61d8c1a50c4,4,281080dbd6959e386507072745747b7bf178476e55ce0884d8759597630d1997,0f999e93ab3e7335d00584b42f8cfe17c87a18e4eea7b2b42983dbe13f4823a1,u009,63695bec1032d2de861740f18f0ecdba3926cea2472a75e926469fab22dc7f4b,8ad4ff3b63ebc86a2feb419a7381203efdbdd9da69137460c064c3445ccc0b54,float32,3b90fc102b62c053ec03332f60aee0ba39ead0833bd1e6f2bb6a2ebd1e54f7b7,float32,6e47f05b6b201666a626035568d0e3faf7fee931bbd9a4e1df354f6df997d18e,float32,6e47f05b6b201666a626035568d0e3faf7fee931bbd9a4e1df354f6df997d18e,float32,63695bec1032d2de861740f18f0ecdba3926cea2472a75e926469fab22dc7f4b
