candidate,dataset,seed,ari_recomputed,nmi_recomputed,q_recomputed,max_abs_error
Q00_REFERENCE_ALIAS,a1,0,0.27446798800375277,0.4147370479615583,0.3446025179826555,5.551115123125783e-17
Q06_COORDINATE_PRIOR_RESIDUAL,a1,0,0.2746539478856942,0.41527604762116005,0.34496499775342715,2.220446049250313e-16
Q00_REFERENCE_ALIAS,a1,1,0.2672471914408437,0.4132690689870536,0.3402581302139487,2.220446049250313e-16
Q06_COORDINATE_PRIOR_RESIDUAL,a1,1,0.2672014170044784,0.41101084518452463,0.3391061310945015,2.220446049250313e-16
Q00_REFERENCE_ALIAS,a1,2,0.27526557454695755,0.4095421377720357,0.34240385615949664,5.551115123125783e-17
Q06_COORDINATE_PRIOR_RESIDUAL,a1,2,0.27560015131855436,0.4108017591924072,0.3432009552554808,1.1102230246251565e-16
Q00_REFERENCE_ALIAS,a1,3,0.2640021001278234,0.40423792852924567,0.33412001432853455,3.3306690738754696e-16
Q06_COORDINATE_PRIOR_RESIDUAL,a1,3,0.26298732142881287,0.3969394053651471,0.32996336339697996,1.6653345369377348e-16
Q00_REFERENCE_ALIAS,a1,4,0.26504440816573294,0.4015832404511104,0.33331382430842166,2.7755575615628914e-16
Q06_COORDINATE_PRIOR_RESIDUAL,a1,4,0.2654794169509028,0.4023787252056181,0.3339290710782605,5.551115123125783e-17
Q00_REFERENCE_ALIAS,tonsil,0,0.1522327250963723,0.27332831473443464,0.21278051991540348,2.220446049250313e-16
Q06_COORDINATE_PRIOR_RESIDUAL,tonsil,0,0.1504445946893869,0.27055404149743467,0.21049931809341077,1.6653345369377348e-16
Q00_REFERENCE_ALIAS,tonsil,1,0.14861514560681205,0.27013006904676085,0.20937260732678645,5.551115123125783e-16
Q06_COORDINATE_PRIOR_RESIDUAL,tonsil,1,0.14720579265016068,0.2692929403325149,0.2082493664913378,6.106226635438361e-16
Q00_REFERENCE_ALIAS,tonsil,2,0.15533156071243256,0.27301426784846117,0.21417291428044688,2.7755575615628914e-16
Q06_COORDINATE_PRIOR_RESIDUAL,tonsil,2,0.15357371388832858,0.2730515620070977,0.21331263794771313,2.7755575615628914e-16
Q00_REFERENCE_ALIAS,tonsil,3,0.1546388370891413,0.2737419397897437,0.2141903884394425,8.326672684688674e-16
Q06_COORDINATE_PRIOR_RESIDUAL,tonsil,3,0.15263842521538853,0.27154123155176774,0.21208982838357815,1.1102230246251565e-16
Q00_REFERENCE_ALIAS,tonsil,4,0.15395375517720056,0.2733987376253849,0.21367624640129274,5.551115123125783e-17
Q06_COORDINATE_PRIOR_RESIDUAL,tonsil,4,0.15098495498416728,0.2692722235234351,0.21012858925380118,2.7755575615628914e-17
Q00_REFERENCE_ALIAS,d1,0,0.2375418648455073,0.3771115048867242,0.30732668486611575,6.661338147750939e-16
Q06_COORDINATE_PRIOR_RESIDUAL,d1,0,0.24170485474410272,0.37850606245932905,0.3101054586017159,4.996003610813204e-16
Q00_REFERENCE_ALIAS,d1,1,0.25204132109740174,0.37951951966063796,0.3157804203790199,3.885780586188048e-16
Q06_COORDINATE_PRIOR_RESIDUAL,d1,1,0.2590387405205412,0.3848630479946416,0.3219508942575914,3.885780586188048e-16
Q00_REFERENCE_ALIAS,d1,2,0.23102745409241648,0.37933798830289595,0.3051827211976562,3.3306690738754696e-16
Q06_COORDINATE_PRIOR_RESIDUAL,d1,2,0.2325951668376401,0.38035423093888804,0.30647469888826406,3.885780586188048e-16
Q00_REFERENCE_ALIAS,d1,3,0.24633014423947824,0.3830384319499558,0.31468428809471705,3.3306690738754696e-16
Q06_COORDINATE_PRIOR_RESIDUAL,d1,3,0.2487116784056989,0.38379295857108375,0.3162523184883913,4.440892098500626e-16
Q00_REFERENCE_ALIAS,d1,4,0.23985935336977837,0.37385720262273336,0.30685827799625587,1.6653345369377348e-16
Q06_COORDINATE_PRIOR_RESIDUAL,d1,4,0.24012152374907964,0.3750391049344948,0.30758031434178723,4.440892098500626e-16
Q00_REFERENCE_ALIAS,d1,5,0.24525913546086694,0.37966877244458747,0.3124639539527272,2.220446049250313e-16
Q06_COORDINATE_PRIOR_RESIDUAL,d1,5,0.2475724899921426,0.379842551689429,0.3137075208407858,2.220446049250313e-16
Q00_REFERENCE_ALIAS,d1,6,0.2334602335580978,0.3730433459868139,0.3032517897724558,1.1102230246251565e-16
Q06_COORDINATE_PRIOR_RESIDUAL,d1,6,0.23366758215240183,0.3737556765058581,0.30371162932913,1.1102230246251565e-16
Q00_REFERENCE_ALIAS,d1,7,0.23851991147994459,0.3760102578525282,0.30726508466623637,2.7755575615628914e-16
Q06_COORDINATE_PRIOR_RESIDUAL,d1,7,0.23843532328427394,0.3755933523852747,0.30701433783477433,1.6653345369377348e-16
Q00_REFERENCE_ALIAS,d1,8,0.23613413319484772,0.3743453572538873,0.3052397452243675,4.440892098500626e-16
Q06_COORDINATE_PRIOR_RESIDUAL,d1,8,0.24151704239046884,0.3782392867434215,0.30987816456694517,2.220446049250313e-16
Q00_REFERENCE_ALIAS,d1,9,0.2518324143016672,0.3806280943870256,0.3162302543443464,4.996003610813204e-16
Q06_COORDINATE_PRIOR_RESIDUAL,d1,9,0.2524182993768885,0.3787890350570587,0.3156036672169736,3.3306690738754696e-16
Q00_REFERENCE_ALIAS,p22,0,0.5049393284724745,0.649842411873798,0.5773908701731363,1.1102230246251565e-16
Q06_COORDINATE_PRIOR_RESIDUAL,p22,0,0.4954497527861342,0.6450509170401747,0.5702503349131545,2.220446049250313e-16
