dataset,tissue,protein_target,control,known_structured,shared_oof_r2,bootstrap_stability,p_boot,morans_i,spatial_excess,p_space,combined_evidence
a1,lymph_node,CD163,REAL_RESIDUAL,,0.23416523650156917,0.894660005876929,1.0,0.2578786027109797,0.25833749918674376,1.0,1.0
a1,lymph_node,CR2,REAL_RESIDUAL,,0.013326964768169192,0.8549449955770456,1.0,0.17244249242866638,0.172278129270614,1.0,1.0
a1,lymph_node,PCNA,REAL_RESIDUAL,,0.2348723342234309,0.8629024831792972,1.0,0.18907271749769422,0.18931501158509545,1.0,1.0
a1,lymph_node,VIM,REAL_RESIDUAL,,0.48913472079664044,0.921375753570755,1.0,0.36989504073884855,0.37054366015343687,1.0,1.0
a1,lymph_node,KRT5,REAL_RESIDUAL,,0.02285519008295933,0.8157940112082191,1.0,0.0545118411760287,0.055206503321307866,1.0,1.0
a1,lymph_node,CD68,REAL_RESIDUAL,,0.2937704600976454,0.8987760976697515,1.0,0.26935814097704036,0.26989003461399996,1.0,1.0
a1,lymph_node,CEACAM8,REAL_RESIDUAL,,0.09440278956763914,0.949700648406945,1.0,0.5022789855448757,0.502277802685984,1.0,1.0
a1,lymph_node,PTPRC,REAL_RESIDUAL,,0.01571233579618525,0.8030567952719327,1.0,0.0932618739621012,0.09380297725244727,1.0,1.0
a1,lymph_node,PAX5,REAL_RESIDUAL,,0.12809112624724106,0.756045373698757,1.0,0.036215059423392565,0.03718053253080833,1.0,1.0
a1,lymph_node,SDC1,REAL_RESIDUAL,,-0.014898280517888773,0.7547679576308082,1.0,0.027037939326775867,0.027357642284342173,1.0,1.0
a1,lymph_node,CD8A,REAL_RESIDUAL,,0.18520546442487495,0.8438491216356766,1.0,0.1477585988879198,0.14779950141458315,1.0,1.0
a1,lymph_node,BCL2,REAL_RESIDUAL,,0.09178964199478201,0.8706450832594408,1.0,0.20683086537740697,0.20708068054367554,1.0,1.0
a1,lymph_node,CD19,REAL_RESIDUAL,,0.21216332331122556,0.8266776776230766,1.0,0.1066442381395907,0.10691462082011194,1.0,1.0
a1,lymph_node,PDCD1,REAL_RESIDUAL,,-0.007184161912618725,0.8117200944500547,1.0,0.07445144887416714,0.07507881276470728,1.0,1.0
a1,lymph_node,ACTA2,REAL_RESIDUAL,,0.5606743107543364,0.9303594186606985,1.0,0.42346052220737557,0.4235679948684978,1.0,1.0
a1,lymph_node,FCGR3A,REAL_RESIDUAL,,0.11881713706533847,0.8452584800216587,1.0,0.13360127393809917,0.13325185333075165,1.0,1.0
a1,lymph_node,ITGAX,REAL_RESIDUAL,,0.003268661486473423,0.8695826124719139,1.0,0.190474499744403,0.19060325803644673,1.0,1.0
a1,lymph_node,CXCR5,REAL_RESIDUAL,,0.12070819158665147,0.7579972433137057,1.0,0.0579508357253195,0.058573421988109976,1.0,1.0
a1,lymph_node,EPCAM,REAL_RESIDUAL,,-0.023275568444820927,0.7677150021778952,1.0,0.030594141992124943,0.0312972577827754,1.0,1.0
a1,lymph_node,MS4A1,REAL_RESIDUAL,,0.06508845313897216,0.7610147582769031,1.0,0.04649101139537989,0.0471712910804193,1.0,1.0
a1,lymph_node,CD3E,REAL_RESIDUAL,,0.47333212157852367,0.8500485241034739,1.0,0.1861518380144369,0.18631940144373607,1.0,1.0
