ordinal	rna_gene_symbol	adt_target	mapping_rule	eligible
1	CD163	CD163	BYTE_EXACT_EQUAL	True
2	CR2	CR2	BYTE_EXACT_EQUAL	True
3	PCNA	PCNA	BYTE_EXACT_EQUAL	True
4	VIM	VIM	BYTE_EXACT_EQUAL	True
5	KRT5	KRT5	BYTE_EXACT_EQUAL	True
6	CD68	CD68	BYTE_EXACT_EQUAL	True
7	CEACAM8	CEACAM8	BYTE_EXACT_EQUAL	True
8	PTPRC	PTPRC	BYTE_EXACT_EQUAL	True
9	PAX5	PAX5	BYTE_EXACT_EQUAL	True
10	SDC1	SDC1	BYTE_EXACT_EQUAL	True
11	CD8A	CD8A	BYTE_EXACT_EQUAL	True
12	BCL2	BCL2	BYTE_EXACT_EQUAL	True
13	CD19	CD19	BYTE_EXACT_EQUAL	True
14	PDCD1	PDCD1	BYTE_EXACT_EQUAL	True
15	ACTA2	ACTA2	BYTE_EXACT_EQUAL	True
16	FCGR3A	FCGR3A	BYTE_EXACT_EQUAL	True
17	ITGAX	ITGAX	BYTE_EXACT_EQUAL	True
18	CXCR5	CXCR5	BYTE_EXACT_EQUAL	True
19	EPCAM	EPCAM	BYTE_EXACT_EQUAL	True
20	MS4A1	MS4A1	BYTE_EXACT_EQUAL	True
21	CD3E	CD3E	BYTE_EXACT_EQUAL	True
22	CD14	CD14	BYTE_EXACT_EQUAL	True
23	CD40	CD40	BYTE_EXACT_EQUAL	True
24	PECAM1	PECAM1	BYTE_EXACT_EQUAL	True
25	CD4	CD4	BYTE_EXACT_EQUAL	True
26	ITGAM	ITGAM	BYTE_EXACT_EQUAL	True
27	CD27	CD27	BYTE_EXACT_EQUAL	True
28	CCR7	CCR7	BYTE_EXACT_EQUAL	True
29	CD274	CD274	BYTE_EXACT_EQUAL	True
