unit_id,study,timepoint,replicate,modality,accession,authority,filename,expected_size,expected_md5,url,authorization
U_ATAC_P5,GSE308623,P5,P5S1,RNA,GSM9247581,GEO,GSM9247581_02_P5S1_RNA_matrix.csv.gz,12799590,,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9247nnn/GSM9247581/suppl/GSM9247581_02_P5S1_RNA_matrix.csv.gz,ALLOW
U_ATAC_P5,GSE308623,P5,P5S1,spatial_coordinates,GSM9247581,GEO,GSM9247581_02_P5S1_tissue_positions_list.csv.gz,62451,,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9247nnn/GSM9247581/suppl/GSM9247581_02_P5S1_tissue_positions_list.csv.gz,ALLOW
U_ATAC_P5,GSE308623,P5,P5S1,ATAC_fragments,GSM9248997,GEO,GSM9248997_02_P5S1_atac_fragments.tsv.gz,887959137,,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9248nnn/GSM9248997/suppl/GSM9248997_02_P5S1_atac_fragments.tsv.gz,ALLOW
U_ATAC_P5,GSE308623,P5,P5S1,ATAC_index,GSM9248997,GEO,GSM9248997_02_P5S1_atac_fragments.tsv.gz.tbi.gz,702166,,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9248nnn/GSM9248997/suppl/GSM9248997_02_P5S1_atac_fragments.tsv.gz.tbi.gz,ALLOW
U_ATAC_P5,GSE308623,P5,P5S2,RNA,GSM9247582,GEO,GSM9247582_02_P5S2_RNA_matrix.csv.gz,49718658,,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9247nnn/GSM9247582/suppl/GSM9247582_02_P5S2_RNA_matrix.csv.gz,ALLOW
U_ATAC_P5,GSE308623,P5,P5S2,spatial_coordinates,GSM9247582,GEO,GSM9247582_02_P5S2_tissue_positions_list.csv.gz,359526,,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9247nnn/GSM9247582/suppl/GSM9247582_02_P5S2_tissue_positions_list.csv.gz,ALLOW
U_ATAC_P5,GSE308623,P5,P5S2,ATAC_fragments,GSM9248998,GEO,GSM9248998_02_P5S2_atac_fragments.tsv.gz,1459765337,,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9248nnn/GSM9248998/suppl/GSM9248998_02_P5S2_atac_fragments.tsv.gz,ALLOW
U_ATAC_P5,GSE308623,P5,P5S2,ATAC_index,GSM9248998,GEO,GSM9248998_02_P5S2_atac_fragments.tsv.gz.tbi.gz,826208,,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9248nnn/GSM9248998/suppl/GSM9248998_02_P5S2_atac_fragments.tsv.gz.tbi.gz,ALLOW
U_ATAC_P5,GSE308623,P5,P5S3,RNA,GSM9247583,GEO,GSM9247583_02_P5S3_RNA_matrix.csv.gz,15394634,,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9247nnn/GSM9247583/suppl/GSM9247583_02_P5S3_RNA_matrix.csv.gz,ALLOW
U_ATAC_P5,GSE308623,P5,P5S3,spatial_coordinates,GSM9247583,GEO,GSM9247583_02_P5S3_tissue_positions_list.csv.gz,62722,,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9247nnn/GSM9247583/suppl/GSM9247583_02_P5S3_tissue_positions_list.csv.gz,ALLOW
