unit_id,raw_target,canonical_identifier,gene_id,status,authority,selected_for_engineering
P10S1,CD4,Cd4,12504,unique,NCBI Gene exact Symbol/Synonym token,true
P10S1,CD8a,Cd8a,12525,unique,NCBI Gene exact Symbol/Synonym token,true
P10S1,CD366,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S1,CD279,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S1,Ms_Ly_6C,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S1,CD11b,Itgam,16409,unique,NCBI Gene exact Symbol/Synonym token,true
P10S1,Ms_Ly_6G,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S1,CD49f,Itga6,16403,unique,NCBI Gene exact Symbol/Synonym token,true
P10S1,CD44,Cd44,12505,unique,NCBI Gene exact Symbol/Synonym token,true
P10S1,CD54,Icam1,15894,unique,NCBI Gene exact Symbol/Synonym token,true
P10S1,CD90.2,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S1,CD73,Nt5e,23959,unique,NCBI Gene exact Symbol/Synonym token,true
P10S1,CD49d,Itga4,16401,unique,NCBI Gene exact Symbol/Synonym token,true
P10S1,CD200,Cd200,17470,unique,NCBI Gene exact Symbol/Synonym token,true
P10S1,Isotype_MOPC_21,,,control,deposited isotype-control name,false
P10S1,Isotype_MOPC_173,,,control,deposited isotype-control name,false
P10S1,Isotype_MPC_11,,,control,deposited isotype-control name,false
P10S1,CD19,Cd19,12478,unique,NCBI Gene exact Symbol/Synonym token,true
P10S1,Isotype_RTK4530,,,control,deposited isotype-control name,false
P10S1,CD45,Ptprc,19264,unique,NCBI Gene exact Symbol/Synonym token,true
P10S1,CD25,Il2ra,16184,unique,NCBI Gene exact Symbol/Synonym token,true
P10S1,CD45R_B220,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S1,CD102,Icam2,15896,unique,NCBI Gene exact Symbol/Synonym token,true
P10S1,CD115,Csf1r,12978,unique,NCBI Gene exact Symbol/Synonym token,true
