family	unit_id	canonical_identifier	raw_modality_identifier	mapping_status	selected_for_engineering	authority
RNA+ATAC	P5S1	0610005C13Rik	ENSMUSG00000085214	unique	true	Ensembl release 79 GRCm38 unique gene symbol
RNA+ATAC	P5S1	0610009B22Rik	ENSMUSG00000007777	unique	true	Ensembl release 79 GRCm38 unique gene symbol
RNA+ATAC	P5S1	0610009E02Rik	ENSMUSG00000086714	unique	true	Ensembl release 79 GRCm38 unique gene symbol
RNA+ATAC	P5S1	0610009L18Rik	ENSMUSG00000043644	unique	true	Ensembl release 79 GRCm38 unique gene symbol
RNA+ATAC	P5S1	0610010F05Rik	ENSMUSG00000042208	unique	true	Ensembl release 79 GRCm38 unique gene symbol
RNA+ATAC	P5S1	0610010K14Rik	ENSMUSG00000020831	unique	true	Ensembl release 79 GRCm38 unique gene symbol
RNA+ATAC	P5S1	0610012D04Rik	ENSMUSG00000089755	unique	true	Ensembl release 79 GRCm38 unique gene symbol
RNA+ATAC	P5S1	0610012G03Rik	ENSMUSG00000096232	unique	true	Ensembl release 79 GRCm38 unique gene symbol
RNA+ATAC	P5S1	0610025J13Rik	ENSMUSG00000046683	unique	true	Ensembl release 79 GRCm38 unique gene symbol
RNA+ATAC	P5S1	0610031O16Rik	ENSMUSG00000099146	unique	true	Ensembl release 79 GRCm38 unique gene symbol
RNA+ATAC	P5S1	0610038B21Rik	ENSMUSG00000097882	unique	true	Ensembl release 79 GRCm38 unique gene symbol
RNA+ATAC	P5S1	0610039K10Rik	ENSMUSG00000058812	unique	true	Ensembl release 79 GRCm38 unique gene symbol
RNA+ATAC	P5S1	0610040B10Rik	ENSMUSG00000089889	unique	true	Ensembl release 79 GRCm38 unique gene symbol
RNA+ATAC	P5S1	0610040F04Rik	ENSMUSG00000087341	unique	true	Ensembl release 79 GRCm38 unique gene symbol
RNA+ATAC	P5S1	0610040J01Rik	ENSMUSG00000060512	unique	true	Ensembl release 79 GRCm38 unique gene symbol
RNA+ATAC	P5S1	0610043K17Rik	ENSMUSG00000087361	unique	true	Ensembl release 79 GRCm38 unique gene symbol
RNA+ATAC	P5S1	1010001B22Rik	ENSMUSG00000097863	unique	true	Ensembl release 79 GRCm38 unique gene symbol
RNA+ATAC	P5S1	1010001N08Rik	ENSMUSG00000097222	unique	true	Ensembl release 79 GRCm38 unique gene symbol
RNA+ATAC	P5S1	1110002E22Rik	ENSMUSG00000090066	unique	true	Ensembl release 79 GRCm38 unique gene symbol
RNA+ATAC	P5S1	1110002J07Rik	ENSMUSG00000097134	unique	true	Ensembl release 79 GRCm38 unique gene symbol
RNA+ATAC	P5S1	1110002L01Rik	ENSMUSG00000071456	unique	true	Ensembl release 79 GRCm38 unique gene symbol
RNA+ATAC	P5S1	1110004F10Rik	ENSMUSG00000030663	unique	true	Ensembl release 79 GRCm38 unique gene symbol
RNA+ATAC	P5S1	1110008E08Rik	ENSMUSG00000046119	unique	true	Ensembl release 79 GRCm38 unique gene symbol
RNA+ATAC	P5S1	1110008P14Rik	ENSMUSG00000039195	unique	true	Ensembl release 79 GRCm38 unique gene symbol
