dataset,method,endpoint,K,absolute_ari,absolute_nmi,ami,fmi,homogeneity,v_measure,morans_i,wall_time_seconds,gpu_time_seconds,peak_gpu_mib,peak_rss_mib,status,exception_summary,artifact_sha256,seed,prior_use
A1 lymph node,simple_standardized_concatenation,COMMON_KMEANS_SEED0,10,0.22115084021548198,0.3555763553356055,0.35168395850365036,0.36651987908419675,0.3963265861656383,0.3555763553356054,0.4771791267197429,4.666937684640288,0.0,0.0,686.01171875,PASS,,f9b172f91e17377f9033c5f55e909a60814e2acccac99b05fa93be648fd97bf5,0,public development/benchmark
A1 lymph node,SpatialGlue,COMMON_ENDPOINT_NOT_REACHED,10,,,,,,,,,,,,BLOCKED_DENSE_NXN,Official preprocessing densifies adjacency with toarray() and uses dataset-keyed configuration.,,0,public development/benchmark
A1 lymph node,SMART,COMMON_ENDPOINT_NOT_REACHED,10,,,,,,,,,,,,BLOCKED_DENSE_NXN,"Official MNN path materializes pairwise_distances(X), and tutorials use dataset-specific/manual settings.",,0,public development/benchmark
A1 lymph node,ARISE,COMMON_ENDPOINT_NOT_REACHED,10,,,,,,,,,,,,BLOCKED_DENSE_NXN_AND_LABEL_DRIVEN_SELECTION,Official path creates dense cosine/adjacency matrices and trains/selects with true labels and ARI/NMI.,,0,public development/benchmark
D1 lymph node,simple_standardized_concatenation,COMMON_KMEANS_SEED0,10,0.24275456210805318,0.36302708442891196,0.3589950610117962,0.389535588070449,0.3884687198691123,0.3630270844289119,0.47575188235995086,2.9195723216980696,0.0,0.0,637.6015625,PASS,,d237957c15baacf8d1080b3b2026be78d8dd8cb66d321617bc305f616c806828,0,public development/benchmark
D1 lymph node,SpatialGlue,COMMON_ENDPOINT_NOT_REACHED,10,,,,,,,,,,,,NOT_RUN_METHOD_LANE_BLOCKED_AT_REQUIRED_P0,The official method failed the mandatory A1/P22 family path boundary before board expansion.,,0,public development/benchmark
D1 lymph node,SMART,COMMON_ENDPOINT_NOT_REACHED,10,,,,,,,,,,,,NOT_RUN_METHOD_LANE_BLOCKED_AT_REQUIRED_P0,The official method failed the mandatory A1/P22 family path boundary before board expansion.,,0,public development/benchmark
D1 lymph node,ARISE,COMMON_ENDPOINT_NOT_REACHED,10,,,,,,,,,,,,NOT_RUN_METHOD_LANE_BLOCKED_AT_REQUIRED_P0,The official method failed the mandatory A1/P22 family path boundary before board expansion.,,0,public development/benchmark
tonsil slice 1,simple_standardized_concatenation,COMMON_KMEANS_SEED0,4,0.14180666160826197,0.28422304971758433,0.2835747377572314,0.4513103679211487,0.3094809839240392,0.2842230497175843,0.6878652668545209,8.990193432196975,0.0,0.0,720.17578125,PASS,,d84af374a2c65e6aa94d00e686ad452d2c1259f3cf37b3b268dc69baacb5414d,0,public development benchmark
tonsil slice 1,SpatialGlue,COMMON_ENDPOINT_NOT_REACHED,4,,,,,,,,,,,,NOT_RUN_METHOD_LANE_BLOCKED_AT_REQUIRED_P0,The official method failed the mandatory A1/P22 family path boundary before board expansion.,,0,public development benchmark
tonsil slice 1,SMART,COMMON_ENDPOINT_NOT_REACHED,4,,,,,,,,,,,,NOT_RUN_METHOD_LANE_BLOCKED_AT_REQUIRED_P0,The official method failed the mandatory A1/P22 family path boundary before board expansion.,,0,public development benchmark
tonsil slice 1,ARISE,COMMON_ENDPOINT_NOT_REACHED,4,,,,,,,,,,,,NOT_RUN_METHOD_LANE_BLOCKED_AT_REQUIRED_P0,The official method failed the mandatory A1/P22 family path boundary before board expansion.,,0,public development benchmark
tonsil slice 2,simple_standardized_concatenation,COMMON_KMEANS_SEED0,4,0.15167136451938423,0.268959456452374,0.2683196570296965,0.4654828266341117,0.281670852461467,0.268959456452374,0.6660588396505449,9.108761316165328,0.0,0.0,862.1484375,PASS,,33d46a007ba978fd23115586a5b67498226f482ecee4d2bf76d3f941ecc83e8c,0,public development benchmark
tonsil slice 2,SpatialGlue,COMMON_ENDPOINT_NOT_REACHED,4,,,,,,,,,,,,NOT_RUN_METHOD_LANE_BLOCKED_AT_REQUIRED_P0,The official method failed the mandatory A1/P22 family path boundary before board expansion.,,0,public development benchmark
tonsil slice 2,SMART,COMMON_ENDPOINT_NOT_REACHED,4,,,,,,,,,,,,NOT_RUN_METHOD_LANE_BLOCKED_AT_REQUIRED_P0,The official method failed the mandatory A1/P22 family path boundary before board expansion.,,0,public development benchmark
tonsil slice 2,ARISE,COMMON_ENDPOINT_NOT_REACHED,4,,,,,,,,,,,,NOT_RUN_METHOD_LANE_BLOCKED_AT_REQUIRED_P0,The official method failed the mandatory A1/P22 family path boundary before board expansion.,,0,public development benchmark
tonsil slice 3,simple_standardized_concatenation,COMMON_KMEANS_SEED0,4,0.18745127501529946,0.2476132879350211,0.2469653593899013,0.47454037452246756,0.2721146754438949,0.2476132879350211,0.735520740874309,14.485940819606185,0.0,0.0,1529.625,PASS,,2a091da6730bc9ad4ffc8ef7a443bcead7fec760826d701a1b6d74ac0fc3abe1,0,public development benchmark
tonsil slice 3,SpatialGlue,COMMON_ENDPOINT_NOT_REACHED,4,,,,,,,,,,,,NOT_RUN_METHOD_LANE_BLOCKED_AT_REQUIRED_P0,The official method failed the mandatory A1/P22 family path boundary before board expansion.,,0,public development benchmark
tonsil slice 3,SMART,COMMON_ENDPOINT_NOT_REACHED,4,,,,,,,,,,,,NOT_RUN_METHOD_LANE_BLOCKED_AT_REQUIRED_P0,The official method failed the mandatory A1/P22 family path boundary before board expansion.,,0,public development benchmark
tonsil slice 3,ARISE,COMMON_ENDPOINT_NOT_REACHED,4,,,,,,,,,,,,NOT_RUN_METHOD_LANE_BLOCKED_AT_REQUIRED_P0,The official method failed the mandatory A1/P22 family path boundary before board expansion.,,0,public development benchmark
P22 mouse brain,simple_standardized_concatenation,COMMON_KMEANS_SEED0,9,0.2753924835354813,0.41752942640747814,0.41647300357946937,0.3936214668884475,0.4080948719941171,0.41752942640747814,0.5868468340031645,9.262849712744355,0.0,0.0,1272.05859375,PASS,,a339c53bc2c1ea41917c5f0f9b0f5a0edfdced73c820d89f9b930deacff93c9d,0,public development/benchmark
P22 mouse brain,SpatialGlue,COMMON_ENDPOINT_NOT_REACHED,9,,,,,,,,,,,,BLOCKED_DENSE_NXN,Official preprocessing densifies adjacency with toarray() and uses dataset-keyed configuration.,,0,public development/benchmark
P22 mouse brain,SMART,COMMON_ENDPOINT_NOT_REACHED,9,,,,,,,,,,,,BLOCKED_DENSE_NXN,"Official MNN path materializes pairwise_distances(X), and tutorials use dataset-specific/manual settings.",,0,public development/benchmark
P22 mouse brain,ARISE,COMMON_ENDPOINT_NOT_REACHED,9,,,,,,,,,,,,BLOCKED_DENSE_NXN_AND_LABEL_DRIVEN_SELECTION,Official path creates dense cosine/adjacency matrices and trains/selects with true labels and ARI/NMI.,,0,public development/benchmark
MISAR E15.5 S1,simple_standardized_concatenation,COMMON_KMEANS_SEED0,,,,,,,,,,,,,UNSUPPORTED_NO_CANONICAL_LABEL,No reliable canonical public spatial-domain annotation is registered.,,0,public schema only
MISAR E15.5 S1,SpatialGlue,COMMON_ENDPOINT_NOT_REACHED,,,,,,,,,,,,,NOT_RUN_METHOD_LANE_BLOCKED_AT_REQUIRED_P0,The official method failed the mandatory A1/P22 family path boundary before board expansion.,,0,public schema only
MISAR E15.5 S1,SMART,COMMON_ENDPOINT_NOT_REACHED,,,,,,,,,,,,,NOT_RUN_METHOD_LANE_BLOCKED_AT_REQUIRED_P0,The official method failed the mandatory A1/P22 family path boundary before board expansion.,,0,public schema only
