study,donor,physical_section,accession,platform,modalities,shape,label_source,prior_use,canonical_version,overlap_status,raw_paths,status,file_count,total_bytes,sha256,missing_paths
GSE263617,UNKNOWN,lymph_node_A1,GSM8195494/GSM8195498,10x Visium+CITE,RNA+protein,3484x18085;3484x31,A1_groundtruth.csv,development/formula/benchmark,Human lymph node/A1 deposited pair,CANONICAL,/root/autodl-fs/Human lymph node/A1/humanlymphnode_rna.h5ad|/root/autodl-fs/Human lymph node/A1/humanlymphnode_adt.h5ad|/root/autodl-fs/Human lymph node/A1/A1_groundtruth.csv,SUPPORTED,3,57864947,humanlymphnode_rna.h5ad:fd866f20ce43d878bb0b0b77a9a8d4cbb32d02123ffa3338d22c1f5477237ceb|humanlymphnode_adt.h5ad:c53377e20795f72c239189ddf55508afc0d0d4bc262d0678abcc3171903f9972|A1_groundtruth.csv:0c9473b95cd15af20cf45cbc380e5d7d315b687bd18681ab93f0e41973560b5f,
GSE263617,UNKNOWN,lymph_node_D1,GSM8195496/GSM8195500,10x Visium+CITE,RNA+protein,3359x18085;3359x31,D1_groundtruth.csv,held-out then development/benchmark,Human lymph node/D1 deposited pair,CANONICAL,/root/autodl-fs/Human lymph node/D1/humanlymphnode_rna.h5ad|/root/autodl-fs/Human lymph node/D1/humanlymphnode_adt.h5ad|/root/autodl-fs/Human lymph node/D1/D1_groundtruth.csv,SUPPORTED,3,32856924,humanlymphnode_rna.h5ad:4cf5a125027c8fe91d6b789dda066be703efd3f83a8745adf64a8667cd5bf9af|humanlymphnode_adt.h5ad:5249ac7d8b04fde673f8e0e6e663a70e339461fc4156a549de636b7494095abc|D1_groundtruth.csv:524e2447b743b093afad440fea7cd28e63239fe0660b461f1c404aba68ba84f3,
Zenodo12654113,UNKNOWN,tonsil_slice1,10.5281/zenodo.12654113,10x Visium+CITE,RNA+protein,4326x18085;4326x31,s1 RNA obs.final_annot,public development benchmark,data_imputation.zip Human_tonsil/slice1,ONE_STUDY_BLOCK;S1_S2_ADJACENT;NOT_THREE_INDEPENDENT_VOTES,/root/autodl-fs/night13a_benchmark_expansion_20260822/data/canonical_tonsil/s1_adata_rna.h5ad|/root/autodl-fs/night13a_benchmark_expansion_20260822/data/canonical_tonsil/s1_adata_adt.h5ad,SUPPORTED,2,141113074,s1_adata_rna.h5ad:e1d99b34685805c93a7314f8ef4e07b2f92d244a8c29ac9fced9ee19ff3b96a9|s1_adata_adt.h5ad:f7e7c2b723faf59fbf1d949c131b2f345c268787cd2b72177e0c3a139afa38be,
Zenodo12654113,UNKNOWN,tonsil_slice2,10.5281/zenodo.12654113,10x Visium+CITE,RNA+protein,4519x18085;4519x31,s2 RNA obs.final_annot,public development benchmark,data_imputation.zip Human_tonsil/slice2,ONE_STUDY_BLOCK;S1_S2_ADJACENT;NOT_THREE_INDEPENDENT_VOTES,/root/autodl-fs/night13a_benchmark_expansion_20260822/data/canonical_tonsil/s2_adata_rna.h5ad|/root/autodl-fs/night13a_benchmark_expansion_20260822/data/canonical_tonsil/s2_adata_adt.h5ad,SUPPORTED,2,141789420,s2_adata_rna.h5ad:74ae08874242a48be5dbee5c73a4cacb6944ebd99def6f4f1a5223bfed3ca7bd|s2_adata_adt.h5ad:cdd71c744a7fa5a0f068064f0fdccfd21dea21d5d949af123bae2904d3e1f28b,
Zenodo12654113,UNKNOWN,tonsil_slice3,10.5281/zenodo.12654113,10x Visium+CITE,RNA+protein,4521x18085;4521x35,s3 RNA obs.final_annot,public development benchmark,data_imputation.zip Human_tonsil/slice3,ONE_STUDY_BLOCK;S1_S2_ADJACENT;NOT_THREE_INDEPENDENT_VOTES,/root/autodl-fs/night13a_benchmark_expansion_20260822/data/canonical_tonsil/s3_adata_rna.h5ad|/root/autodl-fs/night13a_benchmark_expansion_20260822/data/canonical_tonsil/s3_adata_adt.h5ad,SUPPORTED,2,442921977,s3_adata_rna.h5ad:23ef098c7e6b347e98dc5b46bc577073b3aa9575ea61a38669b747b58cc5f47a|s3_adata_adt.h5ad:424d81555eb616f4d2378f341c498a2f9ab8ea8890da5354e5a1848ff5fdb2c2,
GSE263617,UNKNOWN,tonsil_A1,GSE263617,10x Visium+CITE,RNA+protein,4337x17950;4337x31,embedded obs annotation (not opened for audit-only representation),provenance/overlap audit only,NONCANONICAL_AUDIT_ONLY,AMBIGUOUS_OVERLAP_FAIL_CLOSED;never independent,/root/autodl-fs/night4a_external_data/extracted/GSE263617/GSM8195495_A1_TNSL.h5ad|/root/autodl-fs/night4a_external_data/extracted/GSE263617/GSM8195499_A1_TNSL_Protein.h5ad,AUDIT_ONLY,2,316258822,GSM8195495_A1_TNSL.h5ad:730925e7389dd061adc6ad3d96d5bbb95e5314984c207acc593f43676c0492eb|GSM8195499_A1_TNSL_Protein.h5ad:36bb9bc1ef2d8c4b54ae1b7dd3d55738c1e8015bd30d0fa8ddb06f2e271ae8f2,
GSE263617,UNKNOWN,tonsil_D1,GSE263617,10x Visium+CITE,RNA+protein,4519x17955;4519x31,embedded obs annotation (not opened for audit-only representation),provenance/overlap audit only,NONCANONICAL_AUDIT_ONLY,AMBIGUOUS_OVERLAP_FAIL_CLOSED;never independent,/root/autodl-fs/night4a_external_data/extracted/GSE263617/GSM8195497_D1_TNSL.h5ad|/root/autodl-fs/night4a_external_data/extracted/GSE263617/GSM8195501_D1_TNSL_Protein.h5ad,AUDIT_ONLY,2,329511517,GSM8195497_D1_TNSL.h5ad:5de74dd8c6470ff94b222670426c09a7e636ce33034615bc40a501b090bef03e|GSM8195501_D1_TNSL_Protein.h5ad:1e5f4e29c7789d78e0ec4912d37706b5bd42e114dfded695b1a0038719b3fff4,
GSE198353,UNKNOWN,spleen_rep1,GSE198353 processed rep1,10x Visium+SPOTS,RNA+protein,2653x32285;2653x21,NONE_RELIABLE,metadata/schema preflight only,official GEO processed rep1,CANONICAL_PHYSICAL_SECTION,/root/autodl-fs/night4a_external_data/raw/GSE198353/GSE198353_spleen_rep_1_filtered_feature_bc_matrix.h5|/root/autodl-fs/night4a_external_data/raw/GSE198353/GSE198353_spleen_replicate_1_spatial.tar.gz,UNLABELED_ONLY,2,16459342,GSE198353_spleen_rep_1_filtered_feature_bc_matrix.h5:7062d81352ae9dccaea04a1d738eaf329342d90fc1eb64948973147db7feeb98|GSE198353_spleen_replicate_1_spatial.tar.gz:8a336fef0d73df6e6bbcc4382620832bdef7df412423854e4e6b50efaf281544,
GSE198353,UNKNOWN,spleen_rep2,GSE198353 processed rep2,10x Visium+SPOTS,RNA+protein,2768x32285;2768x21,NONE_RELIABLE,metadata/schema preflight only,official GEO processed rep2,CANONICAL_PHYSICAL_SECTION,/root/autodl-fs/night4a_external_data/raw/GSE198353/GSE198353_spleen_rep_2_filtered_feature_bc_matrix.h5|/root/autodl-fs/night4a_external_data/raw/GSE198353/GSE198353_spleen_replicate_2_spatial.tar.gz,UNLABELED_ONLY,2,17070531,GSE198353_spleen_rep_2_filtered_feature_bc_matrix.h5:7ed50e0c66cc9f63916732f2f9a545c527ec872fc7301a1bf22498dcd3bb4229|GSE198353_spleen_replicate_2_spatial.tar.gz:ddefcb8226e56ad09b2036d3e7d6e58525f69664fd7361f88e11dc4df91bcb8b,
AtlasXplore/Fan,UNKNOWN,mouse_brain_P22,P22 deposited files,spatial ATAC-RNA,RNA+ATAC,9215x22914;9215x121068,MouseBrain_groundtruth.csv,development/selection/benchmark,deposited P22 RNA+ATAC,CANONICAL;processed versions not separate,/root/autodl-fs/P22 mouse brain coronal section/mousebrain_rna.h5ad|/root/autodl-fs/P22 mouse brain coronal section/mousebrain_atac.h5ad|/root/autodl-fs/P22 mouse brain coronal section/MouseBrain_groundtruth.csv,SUPPORTED,3,393386815,mousebrain_rna.h5ad:7478de043b784a1e1947064c6b3b9413c7c947b02adf6417f573203fa4e78d36|mousebrain_atac.h5ad:1ee1b8a60ced6cd16c66f02ee77b8038878fec7c221d375c4b99c0e1aae9c34c|MouseBrain_groundtruth.csv:ca2a702323b42a63588687be29bbffeed7b2d57586386e5a000b0f6135619b32,
MISAR-seq/OEP003285,UNKNOWN,mouse_embryo_E15.5_S1,E15_5-S1,MISAR-seq,RNA+ATAC,registered 10x H5;label unavailable,official Figshare Y carrier;1949/1949;K=7;SHA=2f5862cff045b6a296f3cbc0a978d8576bd36f2d4c9419b75c6760c9c7e9d2e3,external family preflight,CANONICAL_INPUT_AND_LABEL_AUTHORITY_CLOSED,CANONICAL_INPUT_BUT_LABEL_UNSUPPORTED,/root/autodl-fs/night8a_external_data_20260820/E15_5-S1_raw_feature_bc_matrix.h5|/root/autodl-fs/night8a_external_data_20260820/position_E15_5-S1.txt,SUPPORTED_PUBLIC_DEVELOPMENT,2,48977753,E15_5-S1_raw_feature_bc_matrix.h5:4db64464b4ffdd36a362bcf4a2687ccefa28c96c22571ac727d3bb49fa71dfd4|position_E15_5-S1.txt:4659dfebc7be524036931ac5d57990a1ef0bcab2a733f4619b2d4dc1951ea030,
GSE308623,UNKNOWN,P5S1,GSM9247581/GSM9248997,spatial tri-omics,RNA+ATAC,7794x32285;ATAC fragments,NONE_RELIABLE,Night12A/12B engineering and identifiability,Night12A exact raw provenance,CANONICAL_PHYSICAL_SECTION,/autodl-fs/data/night12a_linked_replicate_schema_p0_20260822/downloads/GSM9247581_02_P5S1_RNA_matrix.csv.gz|/autodl-fs/data/night12a_linked_replicate_schema_p0_20260822/downloads/GSM9247581_02_P5S1_tissue_positions_list.csv.gz|/autodl-fs/data/night12a_linked_replicate_schema_p0_20260822/downloads/GSM9248997_02_P5S1_atac_fragments.tsv.gz|/autodl-fs/data/night12a_linked_replicate_schema_p0_20260822/downloads/GSM9248997_02_P5S1_atac_fragments.tsv.gz.tbi.gz,UNLABELED_ONLY,4,901523344,GSM9247581_02_P5S1_RNA_matrix.csv.gz:c37271e0f2750d9d2f09494eb4e69206d62876026396dc6244cda65f53fd605b|GSM9247581_02_P5S1_tissue_positions_list.csv.gz:e3bbb8ba71ebba3dacebeef6bc332b0ed26632f8e362a16688e531bcbb17c1fe|GSM9248997_02_P5S1_atac_fragments.tsv.gz:a5f565312205be611c1fa7c72979e38bbf3a1f0cb6d62dd173e6808adeef3299|GSM9248997_02_P5S1_atac_fragments.tsv.gz.tbi.gz:e8db59c51d0e48df4d21b82b7513e9a375c506f674815b936f7a891c7943c91b,
GSE308623,UNKNOWN,P5S2,GSM9247582/GSM9248998,spatial tri-omics,RNA+ATAC,28545x32285;ATAC fragments,NONE_RELIABLE,Night12A/12B engineering and identifiability,Night12A exact raw provenance,CANONICAL_PHYSICAL_SECTION,/autodl-fs/data/night12a_linked_replicate_schema_p0_20260822/downloads/GSM9247582_02_P5S2_RNA_matrix.csv.gz|/autodl-fs/data/night12a_linked_replicate_schema_p0_20260822/downloads/GSM9247582_02_P5S2_tissue_positions_list.csv.gz|/autodl-fs/data/night12a_linked_replicate_schema_p0_20260822/downloads/GSM9248998_02_P5S2_atac_fragments.tsv.gz|/autodl-fs/data/night12a_linked_replicate_schema_p0_20260822/downloads/GSM9248998_02_P5S2_atac_fragments.tsv.gz.tbi.gz,UNLABELED_ONLY,4,1510669729,GSM9247582_02_P5S2_RNA_matrix.csv.gz:2722ee0d8cb0fdad9c37ec1b1ea3b083ff882e4adf42722c5499881d5bc6edc3|GSM9247582_02_P5S2_tissue_positions_list.csv.gz:0374ef0c6ac11b41b5cd5bce29d3a7fe793f3914134299b1f78e9873e25fa706|GSM9248998_02_P5S2_atac_fragments.tsv.gz:9f083566ca739dcc669b7ac4d22e5c721142afe107dc831e82cbc40444a5dbd7|GSM9248998_02_P5S2_atac_fragments.tsv.gz.tbi.gz:2438feb29393835262c4858fb4dec60c4479b90dd70d730464733af269d232f0,
GSE308623,UNKNOWN,P5S3,GSM9247583/GSM9248999,spatial tri-omics,RNA+ATAC,9426x32285;ATAC fragments,NONE_RELIABLE,Night12A/12B engineering and identifiability,Night12A exact raw provenance,CANONICAL_PHYSICAL_SECTION,/autodl-fs/data/night12a_linked_replicate_schema_p0_20260822/downloads/GSM9247583_02_P5S3_RNA_matrix.csv.gz|/autodl-fs/data/night12a_linked_replicate_schema_p0_20260822/downloads/GSM9247583_02_P5S3_tissue_positions_list.csv.gz|/autodl-fs/data/night12a_linked_replicate_schema_p0_20260822/downloads/GSM9248999_02_P5S3_atac_fragments.tsv.gz|/autodl-fs/data/night12a_linked_replicate_schema_p0_20260822/downloads/GSM9248999_02_P5S3_atac_fragments.tsv.gz.tbi.gz,UNLABELED_ONLY,4,4051975633,GSM9247583_02_P5S3_RNA_matrix.csv.gz:dc90a8c206a672f545e27e782ccef1d82dca2874feebf6f8864995309e2d37d2|GSM9247583_02_P5S3_tissue_positions_list.csv.gz:392c79e63863e90c406f4edcec5c45f0f607cf8057e492d51ccd97e0780f73ee|GSM9248999_02_P5S3_atac_fragments.tsv.gz:6ab090bcd1520252e645cefc397474902ba763a09e70a3e1661e22451a3371ae|GSM9248999_02_P5S3_atac_fragments.tsv.gz.tbi.gz:3e019dcd827e44427e524139ee5ab72ba4c598761afc70336f7eb2700af5202b,
legacy placenta,UNKNOWN,human_placenta_architecture,legacy deposited pair,spatial ATAC-RNA,RNA+ATAC,1662x36601;1662x63,RNA obs.cell_type,legacy development benchmark,existing paired H5AD,PROVENANCE_NOT_CLOSED;ATAC_OBJECT_IS_1662x63_GENE_EXPRESSION,/root/autodl-fs/Human placenta architecture/humanplacenta_rna.h5ad|/root/autodl-fs/Human placenta architecture/humanplacenta_atac.h5ad,UNSUPPORTED_MODALITY_PROVENANCE,2,61071282,humanplacenta_rna.h5ad:bfbd23ccf081cd7b1c1fc312519d049ec9700da1282cab01fe6f45f0b36b9fd5|humanplacenta_atac.h5ad:ed3ead8662a1dbeae01bec9b3b0a7e1a9f6b9a23825672b7e1c9b22887d1999e,
GSE308623,UNKNOWN,P10S1,GSM9247585/nemo:col-0cggtum,spatial tri-omics,RNA+protein,7447x32285;7447x143,NONE_RELIABLE,Night12A/12B engineering and identifiability,Night12A exact raw provenance,CANONICAL_PHYSICAL_SECTION,/autodl-fs/data/night12a_linked_replicate_schema_p0_20260822/downloads/GSM9247585_04_P10S1_RNA_matrix.csv.gz|/autodl-fs/data/night12a_linked_replicate_schema_p0_20260822/downloads/GSM9247585_04_P10S1_tissue_positions_list.csv.gz|/autodl-fs/data/night12a_linked_replicate_schema_p0_20260822/downloads/04_P10S1_ADT_matrix.csv.tar,UNLABELED_ONLY,3,13259648,GSM9247585_04_P10S1_RNA_matrix.csv.gz:025a55872dafd9d9d8e3097d2384cb34946d1e4c1aa5e7e44c8a5fd6237f24a4|GSM9247585_04_P10S1_tissue_positions_list.csv.gz:6edcb7673f5718bd799e3377e2de8df0157962aa782f36e1090ad95ac8beedda|04_P10S1_ADT_matrix.csv.tar:b9b33d9e9dab1a0a6004834e2fe7db77a9073545de8d8c03fb3e2703dcab2d5a,
GSE308623,UNKNOWN,P10S2,GSM9247586/nemo:col-0cggtum,spatial tri-omics,RNA+protein,41289x32285;41289x140,NONE_RELIABLE,Night12A/12B engineering and identifiability,Night12A exact raw provenance,CANONICAL_PHYSICAL_SECTION,/autodl-fs/data/night12a_linked_replicate_schema_p0_20260822/downloads/GSM9247586_04_P10S2_RNA_matrix.csv.gz|/autodl-fs/data/night12a_linked_replicate_schema_p0_20260822/downloads/GSM9247586_04_P10S2_tissue_positions_list.csv.gz|/autodl-fs/data/night12a_linked_replicate_schema_p0_20260822/downloads/04_P10S2_ADT_matrix.tsv.tar,UNLABELED_ONLY,3,41505042,GSM9247586_04_P10S2_RNA_matrix.csv.gz:bbb083851af35e3b35ccc8fbcb9fd134697a0084999e349adde96f9693c70a24|GSM9247586_04_P10S2_tissue_positions_list.csv.gz:6d627fe6512296bfc57ccbb0ba730392d043cce4c82996c6c41a4fff2be34d60|04_P10S2_ADT_matrix.tsv.tar:a1319acde90f21d11bca0d99ca21f4867505be567eddeebea0f8d18e0ebabf7f,
GSE308623,UNKNOWN,P10S3,GSM9247587/nemo:col-0cggtum,spatial tri-omics,RNA+protein,5845x32285;5845x145,NONE_RELIABLE,Night12A/12B engineering and identifiability,Night12A exact raw provenance,CANONICAL_PHYSICAL_SECTION,/autodl-fs/data/night12a_linked_replicate_schema_p0_20260822/downloads/GSM9247587_04_P10S3_RNA_matrix.csv.gz|/autodl-fs/data/night12a_linked_replicate_schema_p0_20260822/downloads/GSM9247587_04_P10S3_tissue_positions_list.csv.gz|/autodl-fs/data/night12a_linked_replicate_schema_p0_20260822/downloads/04_P10S3_ADT_matrix.csv.tar,UNLABELED_ONLY,3,6992119,GSM9247587_04_P10S3_RNA_matrix.csv.gz:440e0306e1a012e321f61d99d964923b67fbe7035303336971d55da634fe451c|GSM9247587_04_P10S3_tissue_positions_list.csv.gz:0cd800ea009f2c8ef479d5be670f83e2bd5c30ccd0f160660f7fd92cf0a0a1d6|04_P10S3_ADT_matrix.csv.tar:4d88948f4cf7788086ba26754b315d60a8cb2e947f2decbda8fde78d6546d4d8,
