dataset,phase,method,candidate_id,config_sha256,seed,endpoint,k,total_observations,evaluated_observations,ordered_id_sha256,embedding_sha256,partition_sha256,processed_shapes,raw_shapes,status,discrepancy,gate,beta,parameter_count,label_in_loss,within_run_label_selection,dataset_name_routing,dense_n_by_n_count,absolute_ari,absolute_nmi,ami,fmi,homogeneity,v_measure,morans_i,gearys_c,wall_seconds,gpu_seconds,peak_gpu_mib,peak_rss_mib
A1,discovery,NIGHT13B_UNIFIED_RESIDUAL,B00_IDENTITY,da028f8d223059a7fdcbccbaf4fa25e6e9855a66a04e927f6718d34ac99d6165,0,COMMON_KMEANS,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,e0b5eb1767951a8e89229b51b3ba6cab59cef16210cd3a02440302dc55ab7ef6,ae3c6bbb495b9541f93372b18e206be49179b74b865e17a609168ac0631b790f,"[[3484, 30], [3484, 30]]","[[3484, 18085], [3484, 31]]",PASS,0.6047326922416687,0.0987943261861801,0.0,1,False,False,False,0,0.2211508402154819,0.3555763553356055,0.3516839585036503,0.3665198790841967,0.3963265861656383,0.3555763553356055,0.4771791267197429,0.5252407103927884,1.157160671427846,0.0,8.744140625,1929.08984375
tonsil_s1,discovery,NIGHT13B_UNIFIED_RESIDUAL,B00_IDENTITY,da028f8d223059a7fdcbccbaf4fa25e6e9855a66a04e927f6718d34ac99d6165,0,COMMON_KMEANS,4,4326,4326,9a30299971a5d7e475f17257fe9e0b34c500544ec6da856aec78b09648d5ba83,c8f2a343c719557ffc759bbf59b3fb44f4f093d5e4d21ddc40ca3dde4748526d,3ac179651383fd20f7b964edede3e5231ee6c6de6dbe8b8e2b52d05a49c532d3,"[[4326, 30], [4326, 30]]","[[4326, 18085], [4326, 31]]",PASS,0.4177672564983368,6.193823355715722e-05,0.0,1,False,False,False,0,0.1418066616082619,0.2842230497175844,0.2835747377572314,0.4513103679211487,0.3094809839240393,0.2842230497175843,0.6878652668545209,0.310688861996281,0.5014269668608904,0.0,10.86083984375,1929.08984375
P22,discovery,NIGHT13B_UNIFIED_RESIDUAL,B00_IDENTITY,da028f8d223059a7fdcbccbaf4fa25e6e9855a66a04e927f6718d34ac99d6165,0,COMMON_KMEANS,9,9196,9196,47ac590e9225804548e509f74ecaa31567c00cf0139e3fc37e01a64685c5a087,70098d7b02f5748df7b14ea8edef451b4b60a5b60b14c7912f38d992fd51c4c0,6cd66ad56157165323e02e5482e6cc7d0bd21cbd80ffedaebf6af88f5139c985,"[[9196, 30], [9196, 50]]","[[9196, 22914], [9196, 121068]]",PASS,0.7251256704330444,0.9311843514442444,0.0,1,False,False,False,0,0.2753924835354813,0.4175294264074782,0.4164730035794694,0.3936214668884475,0.4080948719941171,0.4175294264074781,0.5868468340031645,0.4179264455135387,1.3004143629223108,0.0,24.3818359375,1929.08984375
A1,discovery,NIGHT13B_UNIFIED_RESIDUAL,B01_T62_S20_M50,980825d58c44a39288b339e3f99f36efe804878cf86cadb154196e7fd19b31fe,0,COMMON_KMEANS,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,aa59bde6bf36e74ab41eea2914f84981c065442b464dcadba87842464526ee46,fc4e9e1957e24b54395cf9f73dfc8b3b720f7424702b74120ad3146a738dc1d5,"[[3484, 30], [3484, 30]]","[[3484, 18085], [3484, 31]]",PASS,0.6047326922416687,0.4242510795593261,0.212125539779663,1,False,False,False,0,0.2251919298843003,0.3589728969764207,0.3548395204178372,0.3699732698735865,0.4035859040218743,0.3589728969764208,0.5899728425798587,0.4095527776640616,0.7442700136452913,0.0,8.744140625,1929.08984375
tonsil_s1,discovery,NIGHT13B_UNIFIED_RESIDUAL,B01_T62_S20_M50,980825d58c44a39288b339e3f99f36efe804878cf86cadb154196e7fd19b31fe,0,COMMON_KMEANS,4,4326,4326,9a30299971a5d7e475f17257fe9e0b34c500544ec6da856aec78b09648d5ba83,4ab07c895225c3d2d5a858a0181f0df26c1e3db33cb00e3310be447ff4b98b7c,6975566c8b401e0221b7956949cc1c0738d8816c70f48477a702b4c1ef47a252,"[[4326, 30], [4326, 30]]","[[4326, 18085], [4326, 31]]",PASS,0.4177672564983368,0.0172142293304204,0.0086071146652102,1,False,False,False,0,0.1508714429901832,0.2729061852092376,0.2722302656981502,0.4750209048985714,0.2895728801604899,0.2729061852092376,0.6582484212492513,0.3409777824836238,0.4543923251330852,0.0,10.86083984375,1929.08984375
P22,discovery,NIGHT13B_UNIFIED_RESIDUAL,B01_T62_S20_M50,980825d58c44a39288b339e3f99f36efe804878cf86cadb154196e7fd19b31fe,0,COMMON_KMEANS,9,9196,9196,47ac590e9225804548e509f74ecaa31567c00cf0139e3fc37e01a64685c5a087,b2cb4dd3aa0a4fff7aab7007ee4656732be9c4b8ab9787452b82446f47b6bade,062f38962defb9c98a5c38d8f3c1b64c08a7555d4ce8c4f4d7cda426e358955b,"[[9196, 30], [9196, 50]]","[[9196, 22914], [9196, 121068]]",PASS,0.7251256704330444,0.891147255897522,0.445573627948761,1,False,False,False,0,0.4280459754416882,0.5677613660233326,0.567005811932095,0.5150590607166793,0.5708258092975835,0.5677613660233326,0.790779819542334,0.2121212702234165,1.0781670603901148,0.0,24.3818359375,1929.08984375
A1,discovery,NIGHT13B_UNIFIED_RESIDUAL,B02_T62_S30_M60,5c192b602defcc0a1101ac952864edbb9fe33d4b32dce481ace6c7da7d15829f,0,COMMON_KMEANS,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,2aefec3ab6dd0489d3079321d2941443ccfc715a8e5b49fd926a18aa7f666cd2,8bfcbc89915f5a2c66de4dea1fb35d0336a44e6f88cfb2405da84d13acb98861,"[[3484, 30], [3484, 30]]","[[3484, 18085], [3484, 31]]",PASS,0.6047326922416687,0.3874557614326477,0.2324734628200531,1,False,False,False,0,0.2237110413569952,0.366653138890587,0.362734765524661,0.3756218569404195,0.3985646949006315,0.366653138890587,0.5750317884392693,0.4242752406187869,0.71662687510252,0.0,8.744140625,1929.08984375
tonsil_s1,discovery,NIGHT13B_UNIFIED_RESIDUAL,B02_T62_S30_M60,5c192b602defcc0a1101ac952864edbb9fe33d4b32dce481ace6c7da7d15829f,0,COMMON_KMEANS,4,4326,4326,9a30299971a5d7e475f17257fe9e0b34c500544ec6da856aec78b09648d5ba83,ccaf39a0c2d5249e4f156e85b1b6dfa9fb4ebf227e487a4f71a670fcfc767ac8,d00e076ec4a602f5c947d2beb75dbe8cfc9cae2c4c5a1a90ab44fc33211e7ccc,"[[4326, 30], [4326, 30]]","[[4326, 18085], [4326, 31]]",PASS,0.4177672564983368,0.0023127966560423,0.0013876780867576,1,False,False,False,0,0.1420309662852877,0.2848160406593137,0.284168222612923,0.4515048078426494,0.310106151996588,0.2848160406593136,0.6883657455811057,0.3101949807368832,0.5517035722732544,0.0,10.86083984375,1929.08984375
P22,discovery,NIGHT13B_UNIFIED_RESIDUAL,B02_T62_S30_M60,5c192b602defcc0a1101ac952864edbb9fe33d4b32dce481ace6c7da7d15829f,0,COMMON_KMEANS,9,9196,9196,47ac590e9225804548e509f74ecaa31567c00cf0139e3fc37e01a64685c5a087,059075c068dfaa0110a07931f4de207d07f7cf8c9eb5ee234307d6ef290dd7fc,e32ddbe557deaf11e645a11793c94a1be6fce08cafe7321aa1cabfdf867d7c9b,"[[9196, 30], [9196, 50]]","[[9196, 22914], [9196, 121068]]",PASS,0.7251256704330444,0.9590570330619812,0.5754342675209045,1,False,False,False,0,0.4560972914663747,0.5971002500376319,0.5963966322508514,0.5389530349267893,0.6006105387029301,0.5971002500376318,0.8385434312008582,0.1645188710025779,1.0523457545787096,0.0,24.3818359375,1929.08984375
A1,discovery,NIGHT13B_UNIFIED_RESIDUAL,B03_T62_S40_M70,ad72b500f46a823bbc32b36065bce65830321a7994e52fd8ba92d8736241a8a4,0,COMMON_KMEANS,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,ab6376de4c416090aa1bb38e1cb8cd7bf90596c27d32f77f5c26adac6673799c,727e00a31e721aec1960cfe3f82adaba22aab97d8867c3897e9b545f6b8fbc37,"[[3484, 30], [3484, 30]]","[[3484, 18085], [3484, 31]]",PASS,0.6047326922416687,0.3519012629985809,0.2463308870792389,1,False,False,False,0,0.2463785656607008,0.3785864006695346,0.3746002804515232,0.4060732434277981,0.3962340970075457,0.3785864006695346,0.5713729504034941,0.4286379290623553,0.7760194484144449,0.0,8.744140625,1929.08984375
tonsil_s1,discovery,NIGHT13B_UNIFIED_RESIDUAL,B03_T62_S40_M70,ad72b500f46a823bbc32b36065bce65830321a7994e52fd8ba92d8736241a8a4,0,COMMON_KMEANS,4,4326,4326,9a30299971a5d7e475f17257fe9e0b34c500544ec6da856aec78b09648d5ba83,90a4c6c1305119bfc33255f38a44f5ba738844a988a5ff2ff6397e65b82ec12e,d5c995f73c84c45ae0437b899fbe6c4047a629af7e7ab754cb88119f1c999589,"[[4326, 30], [4326, 30]]","[[4326, 18085], [4326, 31]]",PASS,0.4177672564983368,0.0003067073703277,0.0002146951592294,1,False,False,False,0,0.1417839133254965,0.2842034209675455,0.2835550625061156,0.4513270341892034,0.3094460037009155,0.2842034209675455,0.6881942054559338,0.310359649835894,0.5031282678246498,0.0,10.86083984375,1929.08984375
P22,discovery,NIGHT13B_UNIFIED_RESIDUAL,B03_T62_S40_M70,ad72b500f46a823bbc32b36065bce65830321a7994e52fd8ba92d8736241a8a4,0,COMMON_KMEANS,9,9196,9196,47ac590e9225804548e509f74ecaa31567c00cf0139e3fc37e01a64685c5a087,b39ac2abed5d46ddd89a31bd0a7f2d12ae18ead01159c6087cfadbbbcbd61dab,84e06703ffd4e0b0c705aa750f66a4e5e52c3cca4c50b0c4a1b429ba7fba5377,"[[9196, 30], [9196, 50]]","[[9196, 22914], [9196, 121068]]",PASS,0.7251256704330444,0.985298991203308,0.6897093057632446,1,False,False,False,0,0.4680445954593161,0.610495142063145,0.6098155695203945,0.5491724397522214,0.6143766679201962,0.6104951420631449,0.8690989846940724,0.1338605418868871,1.016838375478983,0.0,24.3818359375,1929.08984375
A1,discovery,NIGHT13B_UNIFIED_RESIDUAL,B04_T64_S20_M50,1bffcc88bab69102a7b076cdf44a89d4eb5726e475e73b1f55bc60cead67f775,0,COMMON_KMEANS,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,5d6e3252440748e47e00b23b619e08b016db44528033a5023844a6d7c60a4a8f,04c6f287948aab9ed675f04109427857bf838c501450062c5875c9bb4965c84d,"[[3484, 30], [3484, 30]]","[[3484, 18085], [3484, 31]]",PASS,0.6047326922416687,0.3306280374526977,0.1653140187263488,1,False,False,False,0,0.2252389520895393,0.3454272747018685,0.3413774171782001,0.3761843114279274,0.375462607612665,0.3454272747018685,0.5369095460540905,0.4624900706460643,0.7836064510047436,0.0,8.744140625,1929.08984375
tonsil_s1,discovery,NIGHT13B_UNIFIED_RESIDUAL,B04_T64_S20_M50,1bffcc88bab69102a7b076cdf44a89d4eb5726e475e73b1f55bc60cead67f775,0,COMMON_KMEANS,4,4326,4326,9a30299971a5d7e475f17257fe9e0b34c500544ec6da856aec78b09648d5ba83,b63c70a4e9f677aa2ae54232ce62e6c64518b47e8df6278e638d8ad75b0aa74d,5654c7ff44bd5628c2563a1eb42c0dcd9587b1af57017bf2564f3deb50d15ea7,"[[4326, 30], [4326, 30]]","[[4326, 18085], [4326, 31]]",PASS,0.4177672564983368,0.0116049079224467,0.0058024539612233,1,False,False,False,0,0.1508976785137782,0.2729456787636956,0.2722698372963064,0.4749927848848673,0.289632378069955,0.2729456787636956,0.6579617762831932,0.3412493157210107,0.4972071684896946,0.0,10.86083984375,1929.08984375
