dataset,variant,deterministic_embedding_sha256,training_seed,endpoint_seed,k,total_observations,evaluated_observations,ordered_id_sha256,partition_sha256,inertia,centroid_margin,change_rate_vs_endpoint_seed0,wall_seconds,absolute_ari,absolute_nmi,ami,fmi,homogeneity,v_measure,morans_i,gearys_c,identity_ari,identity_nmi,delta_ari,delta_nmi,win_both
A1,IDENTITY,87306a84a580d347f7b8d6f0c66ebf1fff2cdfb826086c53ff3f1ac94b3b782b,NOT_APPLICABLE,0,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,ae3c6bbb495b9541f93372b18e206be49179b74b865e17a609168ac0631b790f,178036.875,0.08681488065111749,0.0,3.7705914191901684,0.22115084021548198,0.3555763553356055,0.35168395850365036,0.36651987908419675,0.3963265861656383,0.35557635533560555,0.4771791267197429,0.5252407103927884,0.22115084021548198,0.3555763553356055,0.0,0.0,False
A1,IDENTITY,87306a84a580d347f7b8d6f0c66ebf1fff2cdfb826086c53ff3f1ac94b3b782b,NOT_APPLICABLE,1,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,24ed0dfad0e820f43a61deb67f7b0e9a974a7d5112ee51e9c2e2eacfeca2e17a,177166.171875,0.09507722998178339,0.24167623421354767,3.2810750883072615,0.2171966121702652,0.3554401770247647,0.351431078193766,0.37276461114416404,0.38438304105473997,0.3554401770247647,0.4825119148104263,0.5177015215364354,0.2171966121702652,0.3554401770247647,0.0,0.0,False
A1,IDENTITY,87306a84a580d347f7b8d6f0c66ebf1fff2cdfb826086c53ff3f1ac94b3b782b,NOT_APPLICABLE,2,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,302dd59efb06235aa69009d99e09d422181892b26d76e5130b95b54a17019518,177372.5,0.0978341539926935,0.37141216991963255,3.397754607722163,0.2675290575424605,0.37048341330825124,0.36666990477431893,0.42833131962402166,0.37943644944833826,0.37048341330825124,0.4453088084005413,0.5554214162407798,0.2675290575424605,0.37048341330825124,0.0,0.0,False
A1,IDENTITY,87306a84a580d347f7b8d6f0c66ebf1fff2cdfb826086c53ff3f1ac94b3b782b,NOT_APPLICABLE,3,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,f8972cb67771b6557a7c9bff5937ae4c5f582910809a62a9dbb1f4a5619976d8,177865.875,0.09202646815743991,0.22301951779563722,3.7020281963050365,0.22674940100727112,0.3456701020129201,0.34165994960945006,0.3807560956892425,0.37067805248238644,0.3456701020129201,0.4305134342379806,0.5707440498467513,0.22674940100727112,0.3456701020129201,0.0,0.0,False
A1,IDENTITY,87306a84a580d347f7b8d6f0c66ebf1fff2cdfb826086c53ff3f1ac94b3b782b,NOT_APPLICABLE,4,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,ed1ce285e1753bad3569e25be904fcffb5be6e562479f22c325e8dc0a276d869,177587.921875,0.09276567240001121,0.19144661308840416,3.807892255485058,0.21902953163644548,0.3487922807605965,0.34499940322923894,0.37532909238961265,0.37178654527961025,0.3487922807605965,0.43049965206517743,0.5580956885766744,0.21902953163644548,0.3487922807605965,0.0,0.0,False
A1,IDENTITY,87306a84a580d347f7b8d6f0c66ebf1fff2cdfb826086c53ff3f1ac94b3b782b,NOT_APPLICABLE,5,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,8debbcf63b2b90695ce071294495e80e78ac0199d2e0182d59021af7940d4983,177619.640625,0.09363517932525549,0.21871412169919635,3.3011147417128086,0.21979411747522903,0.35448589767422695,0.3504763648429606,0.37408298592990813,0.38387882448666955,0.35448589767422695,0.484304839390565,0.5300230562482217,0.21979411747522903,0.35448589767422695,0.0,0.0,False
A1,IDENTITY,87306a84a580d347f7b8d6f0c66ebf1fff2cdfb826086c53ff3f1ac94b3b782b,NOT_APPLICABLE,6,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,cbfd1f0583dbb71b55715dadb96bae11da3ae5555fb0869b5a37ad787a5402fa,177951.34375,0.08943868559795043,0.16590126291618834,3.498908868059516,0.2098530481666155,0.33354518052866916,0.32947818858375294,0.36015514835730095,0.3679454803524844,0.3335451805286692,0.4796246696205061,0.5223190995708438,0.2098530481666155,0.33354518052866916,0.0,0.0,False
A1,IDENTITY,87306a84a580d347f7b8d6f0c66ebf1fff2cdfb826086c53ff3f1ac94b3b782b,NOT_APPLICABLE,7,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,ecbbe7ded5cdb631ad7cc3d18612df218611128dd1ea5e34d0a428cfefe4035e,176873.953125,0.09729987527534811,0.3694029850746269,3.393739230930805,0.25905464363233227,0.3624293145686607,0.35856506984779746,0.42155240285168755,0.37096147233079696,0.3624293145686607,0.45583156168919337,0.5588700994584864,0.25905464363233227,0.3624293145686607,0.0,0.0,False
A1,IDENTITY,87306a84a580d347f7b8d6f0c66ebf1fff2cdfb826086c53ff3f1ac94b3b782b,NOT_APPLICABLE,8,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,736807be092661afbc7c3bb964d95edbb233324ca9667ba5087cd5bd5428cbef,177998.3125,0.08640069036317667,0.08122847301951774,3.709504561498761,0.22501234215396063,0.3566870158718661,0.35280111713280937,0.36980690345872724,0.3975446434792335,0.35668701587186613,0.4721084681169154,0.5302648085763223,0.22501234215396063,0.3566870158718661,0.0,0.0,False
A1,IDENTITY,87306a84a580d347f7b8d6f0c66ebf1fff2cdfb826086c53ff3f1ac94b3b782b,NOT_APPLICABLE,9,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,e81adf0e09ad8cda190411f02f7eb4cd06abd0cd63fbad646528d6223c3f2587,178078.234375,0.09305716491892545,0.22560275545350172,3.491085432469845,0.2250207159758939,0.3565912883407099,0.3526044045061141,0.3777342866617973,0.3871616598793648,0.3565912883407099,0.48173877290424977,0.534673370289667,0.2250207159758939,0.3565912883407099,0.0,0.0,False
