dataset,variant,deterministic_embedding_sha256,training_seed,endpoint_seed,k,total_observations,evaluated_observations,ordered_id_sha256,partition_sha256,inertia,centroid_margin,change_rate_vs_endpoint_seed0,wall_seconds,absolute_ari,absolute_nmi,ami,fmi,homogeneity,v_measure,morans_i,gearys_c,delta_ari,delta_nmi
A1,C00_G04_MODEL_SEED0__IDENTITY,8054ce14b45b689c259cfd1b66dce6dd6a6acb4ee896f2e83f4636d9286ec39c,NOT_APPLICABLE,0,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,5868f10e4dce42054184e7124407b97351206b61d645564edd736544c260da64,1030.0184326171875,0.2905819744537438,0.0,5.647812936455011,0.22355120102010495,0.3787668593149022,0.3749158053665216,0.36097398182182805,0.4436681619351871,0.37876685931490217,0.49738988883805774,0.5018451218177982,,
A1,C00_G04_MODEL_SEED0__IDENTITY,8054ce14b45b689c259cfd1b66dce6dd6a6acb4ee896f2e83f4636d9286ec39c,NOT_APPLICABLE,1,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,cb11123072a7c7b1e890bfbe3047c2ce13c1eff517edbb99ad6abdc0e6d8810d,1030.0328369140625,0.29014688030956987,0.011194029850746245,5.6974605191498995,0.22336776404658829,0.3779343641229504,0.37407887643853527,0.3607766550059953,0.4427738608355159,0.37793436412295045,0.4943819126727556,0.5047329576625267,,
A1,C00_G04_MODEL_SEED0__IDENTITY,8054ce14b45b689c259cfd1b66dce6dd6a6acb4ee896f2e83f4636d9286ec39c,NOT_APPLICABLE,2,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,e4dd44cf4889c08aaf3960dc127e9fcc007d0cdd244b4eaf0da5e98b57d20e8e,1030.0257568359375,0.29071427125312377,0.00086107921928813,6.504918413236737,0.22315297731559236,0.37780440164209306,0.37394744279631,0.3606064866327474,0.4425478965920023,0.37780440164209306,0.4981985652280242,0.5010244205570137,,
A1,C00_G04_MODEL_SEED0__IDENTITY,8054ce14b45b689c259cfd1b66dce6dd6a6acb4ee896f2e83f4636d9286ec39c,NOT_APPLICABLE,3,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,b19c69a3bb3a2bdc24461608ef9f2682bbc6c58d36ae0048e922b3c7d034a4d3,1030.0247802734375,0.290482832899622,0.00574052812858783,5.972015790641308,0.22375160128850277,0.3780115308184584,0.3741554800321883,0.3611667778666918,0.44274336761587985,0.37801153081845845,0.49475477050608807,0.5043087348458595,,
A1,C00_G04_MODEL_SEED0__IDENTITY,8054ce14b45b689c259cfd1b66dce6dd6a6acb4ee896f2e83f4636d9286ec39c,NOT_APPLICABLE,4,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,b0abcad530546a2d867513976dd2329109571ae5a861182962c5380885a11c02,1030.017333984375,0.290880720922044,0.00574052812858783,6.113566692918539,0.22365364943624003,0.3781936725629272,0.3743385907564898,0.36108191575170767,0.44293783846320195,0.37819367256292713,0.49627034749804244,0.5028763214288848,,
A1,C00_G04_MODEL_SEED0__IDENTITY,8054ce14b45b689c259cfd1b66dce6dd6a6acb4ee896f2e83f4636d9286ec39c,NOT_APPLICABLE,5,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,3e856169a3b7848d963f4b07ea69dac96726389f0b0d8feef6cf0e1b865bc110,1030.0445556640625,0.29061967150406665,0.00574052812858783,5.81396022811532,0.22290073143483075,0.37752350897753356,0.37366442594691807,0.36038598571274594,0.4421707608660844,0.3775235089775335,0.49864433300096556,0.5005967036488702,,
A1,C00_G04_MODEL_SEED0__IDENTITY,8054ce14b45b689c259cfd1b66dce6dd6a6acb4ee896f2e83f4636d9286ec39c,NOT_APPLICABLE,6,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,0742d81634dbc2cdc41376f7040bc3e0f1bac5efd0f10372d2cf675ad65df232,1030.0419921875,0.2906632848109823,0.006027554535017243,6.097457503899932,0.22389525152234688,0.3781907481974285,0.3743354656704905,0.3613081744312561,0.44291115486187155,0.3781907481974285,0.49564806259740235,0.5033832978743329,,
A1,C00_G04_MODEL_SEED0__IDENTITY,8054ce14b45b689c259cfd1b66dce6dd6a6acb4ee896f2e83f4636d9286ec39c,NOT_APPLICABLE,7,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,e6984ab078fe6cf5c6a6576f7a4f7d1855bd7ce601a38e27d6dec704e5dd44c4,1030.018798828125,0.2910002722957682,0.006314580941446657,6.20633845590055,0.2236729750935942,0.3777525983134452,0.37389486455560944,0.36109672529564396,0.44243086810978827,0.37775259831344515,0.4968251601054292,0.5023513654251636,,
A1,C00_G04_MODEL_SEED0__IDENTITY,8054ce14b45b689c259cfd1b66dce6dd6a6acb4ee896f2e83f4636d9286ec39c,NOT_APPLICABLE,8,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,5a86a6158335da924718339799c432fcc91c0df82398f716cb7080209b804263,1030.0419921875,0.2906632865478782,0.006027554535017243,5.468425104394555,0.22389525152234688,0.37819074819742854,0.37433546567049053,0.3613081744312561,0.4429111548618716,0.37819074819742854,0.49564806259740235,0.5033832978743329,,
A1,C00_G04_MODEL_SEED0__IDENTITY,8054ce14b45b689c259cfd1b66dce6dd6a6acb4ee896f2e83f4636d9286ec39c,NOT_APPLICABLE,9,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,6ec8041298380c00bd37e457e8c7ed635e21bf20d23e9b7479c4aecadc5622db,1030.0433349609375,0.29087313625806444,0.010045924225028702,5.030491964891553,0.2234682654835821,0.3778640592959207,0.3740076722401895,0.36088550257536606,0.4426376182318153,0.3778640592959207,0.49730703315825214,0.5018939031338283,,
