candidate_id,mechanism,family,datasets,absolute_ari,absolute_nmi,delta_ari,delta_nmi,win_both_rate,family_gate
E10_EDGE_RELIABILITY,EDGE_RELIABILITY,RNA+ATAC,2,0.24658484954950538,0.3938097169880228,-0.06462379121814725,-0.07285318290174045,0.0,False
E10_EDGE_RELIABILITY,EDGE_RELIABILITY,RNA+protein,2,0.17803478219134034,0.3202342635285026,-0.008098702549854401,-0.0098828587483384,0.5,False
E11_EDGE_RELIABILITY_ANCHORED_R10,EDGE_RELIABILITY,RNA+ATAC,2,0.2278555925091928,0.3789950976811668,-0.0833530482584598,-0.08766780220859649,0.0,False
E11_EDGE_RELIABILITY_ANCHORED_R10,EDGE_RELIABILITY,RNA+protein,2,0.19130178066476294,0.32042188536349187,0.00516829592356815,-0.009695236913349,0.35,False
E12_EDGE_RELIABILITY_ANCHORED_R05,EDGE_RELIABILITY,RNA+ATAC,2,0.2353004281423149,0.3809826811377067,-0.0759082126253378,-0.0856802187520565,0.0,False
E12_EDGE_RELIABILITY_ANCHORED_R05,EDGE_RELIABILITY,RNA+protein,2,0.18828370409580544,0.3157460747513226,0.0021502193546106504,-0.01437104752551825,0.05,False
S10_SHARED_PRIVATE_ORTHOGONAL,SHARED_PRIVATE_ORTHOGONAL,RNA+ATAC,2,0.21132450258887014,0.3543669752647344,-0.09988413817878244,-0.11229592462502895,0.0,False
S10_SHARED_PRIVATE_ORTHOGONAL,SHARED_PRIVATE_ORTHOGONAL,RNA+protein,2,0.1648912465214547,0.31241136506777734,-0.02124223821974005,-0.01770575720906363,0.25,False
X10_MODALITY_DROPOUT_CROSS_RECON,MODALITY_DROPOUT_CROSS_RECON,RNA+ATAC,2,0.23014152866512394,0.3723297551711049,-0.08106711210252865,-0.09433314471865839,0.0,False
X10_MODALITY_DROPOUT_CROSS_RECON,MODALITY_DROPOUT_CROSS_RECON,RNA+protein,2,0.19437577651409094,0.3173600248603444,0.008242291772896149,-0.01275709741649655,0.35,False
