dataset,phase,method,candidate_id,filter_id,model_seed,endpoint_seed,endpoint_n_init,k,total_observations,evaluated_observations,ordered_id_sha256,embedding_sha256,partition_sha256,endpoint_wall_seconds,absolute_ari,absolute_nmi,ami,fmi,homogeneity,v_measure,morans_i,gearys_c,endpoint_reused,endpoint_reuse_of_filter_id,source_endpoint_wall_seconds,formal_phase,reference_absolute_ari,reference_absolute_nmi,reference_ami,reference_fmi,reference_homogeneity,reference_v_measure,reference_morans_i,reference_gearys_c,reference_method,delta_ari,delta_nmi,win_ari,win_nmi,win_both,family,study,semantic_lane
A1,FORMAL_DEVELOPMENT_CYCLE3,NIGHT14A_UNIFIED_TCF,C15_BAL_XREC_600_WEAK_ALIGN,W00_IDENTITY,0,0,10,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,0731ba54dfbfb3a839d1ba6059ab939d763c603f6f1ff6bc3a62539bffaf5c1c,22bfdcc0fa9796d05fd9f748799443ec2b764b94778db8d1b2929a880a0eca0f,3.0701177529990678,0.2294177547303872,0.388286919134594,0.3844474642087189,0.3683453981921957,0.4491673643925338,0.388286919134594,0.5170694004223353,0.4840713542081428,False,,3.0701177529990678,DEVELOPMENT,0.2235512010201049,0.3787668593149022,0.3749158053665216,0.360973981821828,0.4436681619351871,0.3787668593149021,0.4973898888380577,0.5018451218177982,C00_G04_MODEL_SEED0,0.005866553710282302,0.009520059819691784,True,True,True,RNA+protein,lymph_node,COMMON_HEAD_ROBUSTNESS
A1,FORMAL_DEVELOPMENT_CYCLE3,NIGHT14A_UNIFIED_TCF,C15_BAL_XREC_600_WEAK_ALIGN,W00_IDENTITY,0,1,10,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,0731ba54dfbfb3a839d1ba6059ab939d763c603f6f1ff6bc3a62539bffaf5c1c,509a6374d2e6ef70e19a99d7a749b5b234c9aac5581aec53352e85288703b512,2.987114056944847,0.2294305120003739,0.3875162021389777,0.3836770771170495,0.3681982895175997,0.4489108211736052,0.3875162021389777,0.5161313524330176,0.4847090663534233,False,,2.987114056944847,DEVELOPMENT,0.2233677640465882,0.3779343641229504,0.3740788764385352,0.3607766550059953,0.4427738608355159,0.3779343641229504,0.4943819126727556,0.5047329576625267,C00_G04_MODEL_SEED0,0.0060627479537856965,0.0095818380160273,True,True,True,RNA+protein,lymph_node,COMMON_HEAD_ROBUSTNESS
A1,FORMAL_DEVELOPMENT_CYCLE3,NIGHT14A_UNIFIED_TCF,C15_BAL_XREC_600_WEAK_ALIGN,W00_IDENTITY,0,2,10,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,0731ba54dfbfb3a839d1ba6059ab939d763c603f6f1ff6bc3a62539bffaf5c1c,2bc5d0b75b5b6c5f8e95b174fb718ff77a9cc4d34fb3cfddc292ba176c0334cc,3.191846454516053,0.2325970486081388,0.3867489312650137,0.3828946638640499,0.3714102512510185,0.4467712493251964,0.3867489312650137,0.5241794264677315,0.4770922902940209,False,,3.191846454516053,DEVELOPMENT,0.2231529773155923,0.377804401642093,0.37394744279631,0.3606064866327474,0.4425478965920023,0.377804401642093,0.4981985652280242,0.5010244205570137,C00_G04_MODEL_SEED0,0.009444071292546485,0.008944529622920694,True,True,True,RNA+protein,lymph_node,COMMON_HEAD_ROBUSTNESS
A1,FORMAL_DEVELOPMENT_CYCLE3,NIGHT14A_UNIFIED_TCF,C15_BAL_XREC_600_WEAK_ALIGN,W00_IDENTITY,0,3,10,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,0731ba54dfbfb3a839d1ba6059ab939d763c603f6f1ff6bc3a62539bffaf5c1c,3b7dfead620e0b5f749601b76dc26c73ef34f45674d1be829c1dca76d8372a8b,2.5077068526297808,0.2249251253073595,0.3844047250470305,0.380537473019293,0.3644663987703242,0.4442639601039376,0.3844047250470305,0.5153110286047711,0.4856828052025795,False,,2.5077068526297808,DEVELOPMENT,0.2237516012885027,0.3780115308184584,0.3741554800321883,0.3611667778666918,0.4427433676158798,0.3780115308184584,0.494754770506088,0.5043087348458595,C00_G04_MODEL_SEED0,0.0011735240188568141,0.006393194228572097,True,True,True,RNA+protein,lymph_node,COMMON_HEAD_ROBUSTNESS
A1,FORMAL_DEVELOPMENT_CYCLE3,NIGHT14A_UNIFIED_TCF,C15_BAL_XREC_600_WEAK_ALIGN,W00_IDENTITY,0,4,10,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,0731ba54dfbfb3a839d1ba6059ab939d763c603f6f1ff6bc3a62539bffaf5c1c,60996ba9be639bdb110977ce9bf2dfbb9c8bc4fc87a137c12af2ba4ffea1275a,2.601844802498817,0.2271938051240121,0.3877484181847472,0.3839053970481105,0.3663485136299255,0.4485173728520131,0.3877484181847471,0.5201453211698099,0.4808007580698733,False,,2.601844802498817,DEVELOPMENT,0.2237461763369694,0.3784631357174766,0.374609717524211,0.3611677164844763,0.4432528239983588,0.3784631357174765,0.4992066192080185,0.4999742699817588,C00_G04_MODEL_SEED0,0.003447628787042717,0.009285282467270617,True,True,True,RNA+protein,lymph_node,COMMON_HEAD_ROBUSTNESS
A1,FORMAL_DEVELOPMENT_CYCLE3,NIGHT14A_UNIFIED_TCF,C15_BAL_XREC_600_WEAK_ALIGN,W00_IDENTITY,0,5,10,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,0731ba54dfbfb3a839d1ba6059ab939d763c603f6f1ff6bc3a62539bffaf5c1c,5689ab4677eda6446ec3eb10ef6a2cf7758240daa02304bf557a89cef3b419b9,2.9053893703967333,0.2333281411849362,0.3896268707236213,0.3858015426880887,0.3716224205944157,0.4514147687574176,0.3896268707236212,0.5186993035595977,0.4821654243305461,False,,2.9053893703967333,DEVELOPMENT,0.2228634505348708,0.3776800748101896,0.3738218708950925,0.3603563806278837,0.4423438347377009,0.3776800748101896,0.496185310451561,0.5029109127418339,C00_G04_MODEL_SEED0,0.010464690650065389,0.011946795913431674,True,True,True,RNA+protein,lymph_node,COMMON_HEAD_ROBUSTNESS
A1,FORMAL_DEVELOPMENT_CYCLE3,NIGHT14A_UNIFIED_TCF,C15_BAL_XREC_600_WEAK_ALIGN,W00_IDENTITY,0,6,10,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,0731ba54dfbfb3a839d1ba6059ab939d763c603f6f1ff6bc3a62539bffaf5c1c,d9133ac464251b698f10e6f96eda0edbfebede449ac0b9e04e117fe11853a809,3.199480066075921,0.2298151867157352,0.3867697691478149,0.3829211285221833,0.3687173296203586,0.4474631401615566,0.3867697691478149,0.5172784005280219,0.4838503066667702,False,,3.199480066075921,DEVELOPMENT,0.2250433429227318,0.3795015023437972,0.375652563065648,0.3624252706318074,0.4442380071131727,0.3795015023437972,0.4938441315583401,0.5049149933433329,C00_G04_MODEL_SEED0,0.004771843793003411,0.007268266804017709,True,True,True,RNA+protein,lymph_node,COMMON_HEAD_ROBUSTNESS
A1,FORMAL_DEVELOPMENT_CYCLE3,NIGHT14A_UNIFIED_TCF,C15_BAL_XREC_600_WEAK_ALIGN,W00_IDENTITY,0,7,10,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,0731ba54dfbfb3a839d1ba6059ab939d763c603f6f1ff6bc3a62539bffaf5c1c,daaff407005479428390d7a021169e5e103d602747c5a0ed48f97a4ecbaf3e0f,2.7995251771062613,0.2291652013673095,0.3876347499610425,0.3837899172412727,0.368176622908292,0.4482590868588504,0.3876347499610424,0.5167124075592467,0.4844487374582306,False,,2.7995251771062613,DEVELOPMENT,0.2236729750935942,0.3777525983134452,0.3738948645556094,0.3610967252956439,0.4424308681097882,0.3777525983134451,0.4968251601054292,0.5023513654251636,C00_G04_MODEL_SEED0,0.005492226273715289,0.009882151647597315,True,True,True,RNA+protein,lymph_node,COMMON_HEAD_ROBUSTNESS
A1,FORMAL_DEVELOPMENT_CYCLE3,NIGHT14A_UNIFIED_TCF,C15_BAL_XREC_600_WEAK_ALIGN,W00_IDENTITY,0,8,10,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,0731ba54dfbfb3a839d1ba6059ab939d763c603f6f1ff6bc3a62539bffaf5c1c,a6fc8164cffdf45bda64a613f38ed03e7b87a04dcc218783c02685366b76c7fc,2.8883568812161684,0.2233239669600265,0.382489373380467,0.3786278068163812,0.3621903807157459,0.4441117190695329,0.3824893733804671,0.5142205517951683,0.4866679152653515,False,,2.8883568812161684,DEVELOPMENT,0.2238952515223468,0.3781907481974285,0.3743354656704905,0.3613081744312561,0.4429111548618716,0.3781907481974285,0.4956480625974023,0.5033832978743329,C00_G04_MODEL_SEED0,-0.0005712845623203067,0.004298625183038529,False,True,False,RNA+protein,lymph_node,COMMON_HEAD_ROBUSTNESS
A1,FORMAL_DEVELOPMENT_CYCLE3,NIGHT14A_UNIFIED_TCF,C15_BAL_XREC_600_WEAK_ALIGN,W00_IDENTITY,0,9,10,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,0731ba54dfbfb3a839d1ba6059ab939d763c603f6f1ff6bc3a62539bffaf5c1c,95985f288e30584add52268ad3b9af8528b7378d248d097bf092b80c2c4d1ee2,2.812702221795917,0.2262376404695943,0.3852168001649624,0.3813536420370713,0.365708323925309,0.4450902511371363,0.3852168001649625,0.5155449915861723,0.4854171435094498,False,,2.812702221795917,DEVELOPMENT,0.2234682654835821,0.3778640592959207,0.3740076722401895,0.360885502575366,0.4426376182318153,0.3778640592959207,0.4973070331582521,0.5018939031338283,C00_G04_MODEL_SEED0,0.0027693749860122074,0.007352740869041696,True,True,True,RNA+protein,lymph_node,COMMON_HEAD_ROBUSTNESS
