dataset,filter_id,reference_method,model_seed_count,endpoint_row_count,absolute_ari,absolute_nmi,delta_ari,delta_nmi,joint_win_rate
A1,U00_SUPPORT_ONLY,C00_G04_MODEL_SEED0,3,60,0.20744705788249865,0.3777148022611697,-0.017654973392622075,-0.0008225163472664711,0.0
A1,U01_NO_INTEGRITY,C00_G04_MODEL_SEED0,3,60,0.22574553319311175,0.38534335653119395,0.0006435019179910142,0.0068060379227577695,0.5833333333333334
A1,U02_HIGH10,C00_G04_MODEL_SEED0,3,60,0.22589256713507785,0.38503370729274794,0.000790535859957095,0.006496388684311741,0.5833333333333334
MISAR_E15_5_S1,U00_SUPPORT_ONLY,RNA_ONLY,3,60,0.31370053892169947,0.49244936899673847,0.1080925148695707,0.181131176367779,1.0
MISAR_E15_5_S1,U01_NO_INTEGRITY,RNA_ONLY,3,60,0.2946826915380167,0.47414504840558874,0.08907466748588787,0.16282685577662923,1.0
MISAR_E15_5_S1,U02_HIGH10,RNA_ONLY,3,60,0.2714369915472297,0.4491831285084534,0.06582896749510093,0.1378649358794939,0.9666666666666667
P22,U00_SUPPORT_ONLY,N02_HIER_MODEL_SEED0,3,60,0.47073264107800217,0.6241524329297589,0.03201350426410846,0.04192511054633442,1.0
P22,U01_NO_INTEGRITY,N02_HIER_MODEL_SEED0,3,60,0.47267182390602197,0.6251689390249292,0.033952687092128286,0.04294161664150469,1.0
P22,U02_HIGH10,N02_HIER_MODEL_SEED0,3,60,0.4669889329351444,0.6191705823570012,0.028269796121250676,0.03694325997357672,1.0
tonsil_s1,U00_SUPPORT_ONLY,SIMPLE_CONCAT,3,60,0.08821294709424476,0.21203580436163325,-0.08774463655190963,-0.06821294415223167,0.0
tonsil_s1,U01_NO_INTEGRITY,SIMPLE_CONCAT,3,60,0.10836954692213446,0.23682714230812152,-0.06758803672401993,-0.04342160620574341,0.0
tonsil_s1,U02_HIGH10,SIMPLE_CONCAT,3,60,0.10925023951700542,0.23727824212277018,-0.06670734412914897,-0.04297050639109472,0.0
