aggregation_level,formal_phase,dataset,family,study,absolute_ari,absolute_nmi,delta_ari,delta_nmi,joint_win_rate
DATASET,CONFIRMATION,D1,RNA+protein,lymph_node,0.24189206959900078,0.40430453224092666,0.011572415263793163,0.05205370332916994,0.7833333333333333
DATASET,CONFIRMATION,tonsil_s2,RNA+protein,tonsil,0.14282341145117244,0.22766807179025064,-0.03116623107940157,-0.03874381665588676,0.0
DATASET,CONFIRMATION,tonsil_s3,RNA+protein,tonsil,0.11242951862691747,0.19965818786635475,-0.06989194893718732,-0.043718150818958544,0.0
DATASET,DEVELOPMENT,A1,RNA+protein,lymph_node,0.2256994384392884,0.38529530785706334,0.0005974071641676639,0.006757989248627133,0.5833333333333334
DATASET,DEVELOPMENT,MISAR_E15_5_S1,RNA+ATAC,MISAR,0.27063466548139714,0.44877484001351753,0.06502664142926831,0.13745664738455804,0.9
DATASET,DEVELOPMENT,P22,RNA+ATAC,P22,0.46840016613880314,0.6204911242192824,0.029681029324909392,0.038263801835857855,1.0
DATASET,DEVELOPMENT,tonsil_s1,RNA+protein,tonsil,0.10836954692213446,0.23682714230812152,-0.06758803672401993,-0.04342160620574341,0.0
STUDY,DEVELOPMENT_AND_CONFIRMATION,ALL_SLICES_AS_ONE_STUDY_EFFECT,RNA+ATAC,MISAR,0.27063466548139714,0.44877484001351753,0.06502664142926831,0.13745664738455804,0.9
STUDY,DEVELOPMENT_AND_CONFIRMATION,ALL_SLICES_AS_ONE_STUDY_EFFECT,RNA+ATAC,P22,0.46840016613880314,0.6204911242192824,0.029681029324909392,0.038263801835857855,1.0
STUDY,DEVELOPMENT_AND_CONFIRMATION,ALL_SLICES_AS_ONE_STUDY_EFFECT,RNA+protein,lymph_node,0.2337957540191446,0.394799920048995,0.006084911213980413,0.029405846288898536,0.6833333333333333
STUDY,DEVELOPMENT_AND_CONFIRMATION,ALL_SLICES_AS_ONE_STUDY_EFFECT,RNA+protein,tonsil,0.12120749233340812,0.22138446732157566,-0.05621540558020294,-0.041961191226862905,0.0
FAMILY,DEVELOPMENT_AND_CONFIRMATION,STUDY_BALANCED,RNA+ATAC,ALL_STUDIES,0.3695174158101001,0.5346329821164,0.04735383537708885,0.08786022461020795,0.95
FAMILY,DEVELOPMENT_AND_CONFIRMATION,STUDY_BALANCED,RNA+protein,ALL_STUDIES,0.17750162317627635,0.30809219368528534,-0.02506524718311126,-0.0062776724689821845,0.3416666666666667
