formal_phase,dataset,model_seed,optimizer_steps,trainable_parameter_count,parameters_changed,first_gradient_norm,total_loss_step1,total_loss_final,private_recon_step1,private_recon_final,cross_recon_step1,cross_recon_final,status
DEVELOPMENT,A1,0,600,118656,True,1.5090011358261108,1.6372222900390625,-1.6772522926330566,1.0339620113372803,0.04354161024093628,1.0355595350265503,0.04139118641614914,PASS
DEVELOPMENT,A1,1,600,118656,True,1.5192010402679443,1.6392021179199219,-1.678879976272583,1.035369634628296,0.043727658689022064,1.0421417951583862,0.0405304878950119,PASS
DEVELOPMENT,A1,2,600,118656,True,1.528853178024292,1.6510809659957886,-1.681821584701538,1.0475713014602661,0.04220026731491089,1.0418062210083008,0.03980424255132675,PASS
DEVELOPMENT,MISAR_E15_5_S1,0,600,122516,True,1.500479817390442,1.6486284732818604,-1.585129737854004,1.0457549095153809,0.06424549221992493,1.0376261472702026,0.07695473730564117,PASS
DEVELOPMENT,MISAR_E15_5_S1,1,600,122516,True,1.528617024421692,1.6615571975708008,-1.5806219577789307,1.0474793910980225,0.06368438154459,1.0522104501724243,0.0791051983833313,PASS
DEVELOPMENT,MISAR_E15_5_S1,2,600,122516,True,1.5023682117462158,1.647153615951538,-1.5675749778747559,1.0444340705871582,0.06554526835680008,1.038153886795044,0.08251359313726425,PASS
DEVELOPMENT,P22,0,600,122516,True,1.5026651620864868,1.6517058610916138,-1.4418890476226807,1.0434062480926514,0.11368181556463242,1.0409462451934814,0.12138805538415909,PASS
DEVELOPMENT,P22,1,600,122516,True,1.529539704322815,1.6604728698730469,-1.4209802150726318,1.0464553833007812,0.12313611060380936,1.0515722036361694,0.12721775472164154,PASS
DEVELOPMENT,P22,2,600,122516,True,1.5029374361038208,1.6482627391815186,-1.4222521781921387,1.042941689491272,0.12051692605018616,1.0390311479568481,0.1268121898174286,PASS
DEVELOPMENT,tonsil_s1,0,600,118656,True,1.510888934135437,1.637153148651123,-1.6986126899719238,1.0347156524658203,0.04317541792988777,1.0356180667877197,0.04011005908250809,PASS
DEVELOPMENT,tonsil_s1,1,600,118656,True,1.5186996459960938,1.636721134185791,-1.6977427005767822,1.034379482269287,0.04314137250185013,1.0404040813446045,0.04241970181465149,PASS
DEVELOPMENT,tonsil_s1,2,600,118656,True,1.533477544784546,1.655971646308899,-1.6961406469345093,1.0473712682724,0.04437488690018654,1.0472006797790527,0.041639186441898346,PASS
CONFIRMATION,D1,0,600,118656,True,1.5103446245193481,1.6402300596237183,-1.6787734031677246,1.0336874723434448,0.04189484566450119,1.0381169319152832,0.0395122766494751,PASS
CONFIRMATION,D1,1,600,118656,True,1.5174623727798462,1.6355475187301636,-1.6789422035217285,1.0338258743286133,0.0415179468691349,1.0388598442077637,0.039141640067100525,PASS
CONFIRMATION,D1,2,600,118656,True,1.534090518951416,1.659580111503601,-1.6790955066680908,1.0494775772094727,0.042265720665454865,1.0488656759262085,0.039856016635894775,PASS
CONFIRMATION,tonsil_s2,0,600,118656,True,1.5100892782211304,1.6358011960983276,-1.6912052631378174,1.0332671403884888,0.042552459985017776,1.0348639488220215,0.03939266502857208,PASS
CONFIRMATION,tonsil_s2,1,600,118656,True,1.5182621479034424,1.6368995904922485,-1.698094129562378,1.0328549146652222,0.03981289267539978,1.041391134262085,0.03794116526842117,PASS
CONFIRMATION,tonsil_s2,2,600,118656,True,1.5327893495559692,1.6522996425628662,-1.6940150260925293,1.0464608669281006,0.0425274521112442,1.0446949005126953,0.03964521735906601,PASS
CONFIRMATION,tonsil_s3,0,600,118656,True,1.511826992034912,1.6348246335983276,-1.7091360092163086,1.0320067405700684,0.04230218008160591,1.0361320972442627,0.03883388265967369,PASS
CONFIRMATION,tonsil_s3,1,600,118656,True,1.5158721208572388,1.630641222000122,-1.7109150886535645,1.032339334487915,0.04051532596349716,1.036414384841919,0.03890059143304825,PASS
CONFIRMATION,tonsil_s3,2,600,118656,True,1.530879259109497,1.653805136680603,-1.708068609237671,1.0474350452423096,0.042313650250434875,1.04608154296875,0.039493657648563385,PASS
