stage,dataset,source,filter_id,head,cluster_k,endpoint_seed,embedding_sha256,partition_sha256,label_policy,status,dense_n_by_n_count,absolute_ari,absolute_nmi,ami,fmi,homogeneity,v_measure,morans_i,gearys_c,exact_identity_fallback,edge_count,interior_fraction,boundary_fraction,conflict_fraction,abstain_fraction,trust_mean,surviving_directed_edges,identity_abstention_rows,endpoint_wall_seconds,head_head_id,head_fallback,head_affinity_nnz,head_affinity_sha256,head_clusters_sha256,head_graph_k,head_anchor,head_iterations,source_stage,candidate_id,model_seed,optimizer_steps,trainable_parameter_count,parameters_changed,fresh_process_status,wall_seconds,gpu_seconds,peak_gpu_mib,peak_rss_mib,head_id,labels_in_fit,operator_nnz,anisotropic_scale,representation,pca_dimension,coordinate_basis,coordinate_weight,algorithm,parent_head_id,graph_k,anchor,iterations,parent_candidate_id,potts_beta,formal_id,labels_in_fit_gradient_or_checkpoint,config_sha256,source_view_path,source_view_sha256
CHEAP,P22,N14A_C15,I00_IDENTITY,KMEANS_FUSED_NINIT3_SCREEN,9,0.0,2f85f00b5bff3efd38ed0b4db1ed00fb630eda5897ebe752af53bc97a94120d8,da7f8e4bb4960b4ab4998e7787346370562a7f05e22e22ef5d4d601bc08cc977,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,PASS,0.0,0.2988744359985704,0.4891038294083907,0.4882189027805709,0.4019417261920014,0.4961753442613286,0.4891038294083907,0.6138464282165526,0.3887460894779813,,,,,,,,,,,,,,,,,,,CHEAP_FILTER_AND_H05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEAP,P22,N14A_C15,L_K04_B02,KMEANS_FUSED_NINIT3_SCREEN,9,0.0,cae6e670f54a10a635a5ff2fb543baf56a23ed7135587f0be2e52afb4930123f,e4c7b24664fee86708eff2113d65107dbd41268c9797d40e7f811d875ceacba5,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,PASS,0.0,0.3521270367935357,0.5329604524068394,0.5321739303275518,0.4430235160263144,0.5543140743812857,0.5329604524068394,0.6730239299641497,0.3283160424325476,False,,,,,,,,,,,,,,,,,,CHEAP_FILTER_AND_H05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEAP,P22,N14A_C15,L_K04_B04,KMEANS_FUSED_NINIT3_SCREEN,9,0.0,7d7369bf4b7c7f26e4aefc505e665921389202d2351d1f27bd535777fd42ba84,9276386ec81202187f195d7865d67f06ce640f0bee55a5e94e3abf3465353153,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,PASS,0.0,0.3834105152317582,0.5664313187203607,0.5657005129345183,0.4704526196849646,0.5886157060345776,0.5664313187203607,0.7433103719443602,0.2578310029375789,False,,,,,,,,,,,,,,,,,,CHEAP_FILTER_AND_H05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEAP,P22,N14A_C15,L_K04_B06,KMEANS_FUSED_NINIT3_SCREEN,9,0.0,fe81242a9e8df90a168ffa38c56f3e73396d230dae1988e91db2b80dc93bba3d,ac78fd989902cccb60be2a8111c45a705bf1a8fc9df8b0f38f23d587e5273714,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,PASS,0.0,0.465575149171283,0.6092527890228313,0.6085706455914692,0.5467868809282552,0.6132678224531642,0.6092527890228315,0.8374122306300602,0.1648404672538982,False,,,,,,,,,,,,,,,,,,CHEAP_FILTER_AND_H05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEAP,P22,N14A_C15,L_K04_B08,KMEANS_FUSED_NINIT3_SCREEN,9,0.0,e8da384b498c27ce5d10d26dfa6a1b0e42c537c3fbd173e51a47f6085ffc8ba7,891e4cef57ec95c59ed24c5f9c37bb19b52319da1126feedda32c07d57379059,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,PASS,0.0,0.4721023858590731,0.6198011920697223,0.6191370906343352,0.5524749819585507,0.6235302679791882,0.6198011920697222,0.8504160083818584,0.1518428839051933,False,,,,,,,,,,,,,,,,,,CHEAP_FILTER_AND_H05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEAP,P22,N14A_C15,L_K06_B02,KMEANS_FUSED_NINIT3_SCREEN,9,0.0,329a75c6fb5e4f66ea23342652d925c9fc8d787e42561180e5fe5c6b4b6a053f,f0948bf48e1af56a89a2f5b5db5b07a28afc022dce26cbba268bd2128e51e880,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,PASS,0.0,0.3154460106346519,0.5111413384202752,0.5102930957471549,0.4165239130746774,0.5177643163099112,0.5111413384202754,0.675179520465784,0.3270729297376383,False,,,,,,,,,,,,,,,,,,CHEAP_FILTER_AND_H05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEAP,P22,N14A_C15,L_K06_B04,KMEANS_FUSED_NINIT3_SCREEN,9,0.0,1050fa34c455217afc9ccbe5c862e951b1d5c50f6359677e27f86a495a5fb864,c5619b7e79134cec12fd8fb09c812bd158debf95a2690c32a206f919bca7860e,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,PASS,0.0,0.3811668793122688,0.5655443467901716,0.5648122278314918,0.4684611746700124,0.58783512243403,0.5655443467901716,0.7490314309333626,0.2521750637949749,False,,,,,,,,,,,,,,,,,,CHEAP_FILTER_AND_H05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEAP,P22,N14A_C15,L_K06_B06,KMEANS_FUSED_NINIT3_SCREEN,9,0.0,51386515ed020d33b0d86eb5c37e9eca78db53b8b766c89ab848adc239da1446,752e0a1a1be88a8b243d7a6a95dd03dcb8757e50d7e2afbe37dead9a78afb65a,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,PASS,0.0,0.4526160929142672,0.5922666228175067,0.5915677169087613,0.5337532165308573,0.6054318717347469,0.5922666228175069,0.8356367909934599,0.1669012501959351,False,,,,,,,,,,,,,,,,,,CHEAP_FILTER_AND_H05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEAP,P22,N14A_C15,L_K06_B08,KMEANS_FUSED_NINIT3_SCREEN,9,0.0,c1cbcef71d18e11e918e3a94f9214cbd70b9ac189977333bd084ea10f8f3123a,46e30f0a03b004a06e4e128ece963d91e41997a8520aca11cbf02ee448b3c2e8,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,PASS,0.0,0.5054646339163792,0.6367693658368452,0.6361486627843954,0.5784694987028449,0.6528569363945227,0.6367693658368453,0.8740208521438293,0.1271937528720017,False,,,,,,,,,,,,,,,,,,CHEAP_FILTER_AND_H05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEAP,P22,N14A_C15,L_K08_B02,KMEANS_FUSED_NINIT3_SCREEN,9,0.0,7cbec87f205ab6fa95b77bc08a0fda6f6aa130a9e471620aaf71b4024226b636,caeb8b08674e1913cae379710495a3882817ee28c40f81bb836a31153b3f6c6c,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,PASS,0.0,0.3564723690866994,0.5369127272753224,0.5361327176448423,0.4468499638823293,0.5583241608724724,0.5369127272753224,0.6754227893231277,0.3259857118190944,False,,,,,,,,,,,,,,,,,,CHEAP_FILTER_AND_H05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
