formal_id,dataset,cluster_k,model_seed,endpoint_seed,status,label_policy,labels_in_fit_gradient_or_checkpoint,config_sha256,source_view_path,source_view_sha256,embedding_sha256,partition_sha256,wall_seconds,absolute_ari,absolute_nmi,ami,fmi,homogeneity,v_measure,morans_i,gearys_c,source_stage
F30_P22_K9_MAX_ARI,P22,9,0,0,PASS,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,False,52e44ed0be041150cb41ea960d9ebdd84072492b1a08b4b5cbad1ab0af99eae5,/root/autodl-fs/night14a_topology_conflict_sprint_20260823/formal/development_cycle3/C15_BAL_XREC_600_WEAK_ALIGN/P22/seed_0/roundtrip_expected.npz,c7258ae2ce57da95502d4ba9f95bf87b9b06812155ceedf71b3a804e441afe83,9613134c225a86c4901161166c5b2a3094fb23dffb516fade278543074eeb4ff,5eff443ba7eb37a4bedcae39423dbb77e4f116bafe5f65f5ca2e5c80d63bf158,1.4749265182763338,0.5683320293232914,0.6845261668582091,0.6839807365154753,0.6321439248065172,0.6955830194866889,0.684526166858209,0.9365022955111502,0.0653123369973335,FROZEN_FORMAL
F30_P22_K9_MAX_ARI,P22,9,0,1,PASS,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,False,52e44ed0be041150cb41ea960d9ebdd84072492b1a08b4b5cbad1ab0af99eae5,/root/autodl-fs/night14a_topology_conflict_sprint_20260823/formal/development_cycle3/C15_BAL_XREC_600_WEAK_ALIGN/P22/seed_0/roundtrip_expected.npz,c7258ae2ce57da95502d4ba9f95bf87b9b06812155ceedf71b3a804e441afe83,9613134c225a86c4901161166c5b2a3094fb23dffb516fade278543074eeb4ff,b2fcffec68f738ae452b999b683aa066e8ca9ce4ddc63f72258bb83136bd9d79,1.329410320147872,0.5300455567779935,0.640968715867474,0.6403329086682202,0.600787681817779,0.6398907950558724,0.6409687158674741,0.9294281544694928,0.0728501910453431,FROZEN_FORMAL
F30_P22_K9_MAX_ARI,P22,9,0,2,PASS,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,False,52e44ed0be041150cb41ea960d9ebdd84072492b1a08b4b5cbad1ab0af99eae5,/root/autodl-fs/night14a_topology_conflict_sprint_20260823/formal/development_cycle3/C15_BAL_XREC_600_WEAK_ALIGN/P22/seed_0/roundtrip_expected.npz,c7258ae2ce57da95502d4ba9f95bf87b9b06812155ceedf71b3a804e441afe83,9613134c225a86c4901161166c5b2a3094fb23dffb516fade278543074eeb4ff,240144217f5378fb9059c8ced6e2776b99455f14b8d164b1e7eb0c6a966da64d,1.329305363819003,0.490635493638673,0.6201366234133388,0.6194567501295248,0.5697600496267781,0.6127758378142691,0.6201366234133388,0.9237982871227224,0.0779445319756289,FROZEN_FORMAL
F30_P22_K9_MAX_ARI,P22,9,1,0,PASS,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,False,52e44ed0be041150cb41ea960d9ebdd84072492b1a08b4b5cbad1ab0af99eae5,/root/autodl-fs/night14a_topology_conflict_sprint_20260823/formal/development_cycle3/C15_BAL_XREC_600_WEAK_ALIGN/P22/seed_1/roundtrip_expected.npz,f062262f6114783538c8144be590945b9913814969e0177a28983e219994fd42,9fc4e96aec7f105617944a467111b8b27387b41c6b7e7844b44e8cca7d491639,786fa5423be251088c243a4d0b06b2f49629321fa159fc872ae0ef052bd85f71,1.4117119945585728,0.5131748023144148,0.6347932068452513,0.6341628541507749,0.584791575979678,0.6459152350232634,0.6347932068452513,0.9354670564285708,0.0669937437631556,FROZEN_FORMAL
F30_P22_K9_MAX_ARI,P22,9,1,1,PASS,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,False,52e44ed0be041150cb41ea960d9ebdd84072492b1a08b4b5cbad1ab0af99eae5,/root/autodl-fs/night14a_topology_conflict_sprint_20260823/formal/development_cycle3/C15_BAL_XREC_600_WEAK_ALIGN/P22/seed_1/roundtrip_expected.npz,f062262f6114783538c8144be590945b9913814969e0177a28983e219994fd42,9fc4e96aec7f105617944a467111b8b27387b41c6b7e7844b44e8cca7d491639,702a9430a60347f678667b2a40033cf1853caecfa2b3e0bad585aa0ccb287c5e,1.3097201362252235,0.4945630682128289,0.6109603255070638,0.6102735543703603,0.5712072912984149,0.6106931003897367,0.6109603255070639,0.9309815100663912,0.0715170434046328,FROZEN_FORMAL
F30_P22_K9_MAX_ARI,P22,9,1,2,PASS,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,False,52e44ed0be041150cb41ea960d9ebdd84072492b1a08b4b5cbad1ab0af99eae5,/root/autodl-fs/night14a_topology_conflict_sprint_20260823/formal/development_cycle3/C15_BAL_XREC_600_WEAK_ALIGN/P22/seed_1/roundtrip_expected.npz,f062262f6114783538c8144be590945b9913814969e0177a28983e219994fd42,9fc4e96aec7f105617944a467111b8b27387b41c6b7e7844b44e8cca7d491639,d64a8a28f20efc63aa82617f74b81aec7f69d4d7e647f8329b7f2e77f5af1b33,1.3443258814513683,0.5565332397708833,0.6686541917322383,0.6680841233797421,0.6216787375931502,0.6824868951896756,0.6686541917322383,0.932127543374076,0.0692149192511079,FROZEN_FORMAL
F30_P22_K9_MAX_ARI,P22,9,2,0,PASS,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,False,52e44ed0be041150cb41ea960d9ebdd84072492b1a08b4b5cbad1ab0af99eae5,/root/autodl-fs/night14a_topology_conflict_sprint_20260823/formal/development_cycle3/C15_BAL_XREC_600_WEAK_ALIGN/P22/seed_2/roundtrip_expected.npz,cf64addb8bdacb06ea07eb78e74d01b7b9ca368bf4e1c78915f36229c791a0e2,5fa3783460399a10470716aab7b89f8676a1ed0fb461597a454943b43958b64b,04d6efaa49d9d95112b2c33c8d19c27300800da93b646a866aca004ee01b27b5,1.457225251942873,0.4490028209475127,0.5925254214347974,0.5918068475189008,0.5320752951483967,0.593879355283864,0.5925254214347974,0.927905956061274,0.0755566090138441,FROZEN_FORMAL
F30_P22_K9_MAX_ARI,P22,9,2,1,PASS,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,False,52e44ed0be041150cb41ea960d9ebdd84072492b1a08b4b5cbad1ab0af99eae5,/root/autodl-fs/night14a_topology_conflict_sprint_20260823/formal/development_cycle3/C15_BAL_XREC_600_WEAK_ALIGN/P22/seed_2/roundtrip_expected.npz,cf64addb8bdacb06ea07eb78e74d01b7b9ca368bf4e1c78915f36229c791a0e2,5fa3783460399a10470716aab7b89f8676a1ed0fb461597a454943b43958b64b,ec273e5815ba9c2ace42474a214a24dc72ff99efeddac1172077c7acbfdb0b46,1.3428637068718672,0.4692909117358808,0.6202901765707398,0.6196358250872678,0.5488844189418762,0.6308564272362442,0.6202901765707397,0.9437597580373632,0.0592262449890367,FROZEN_FORMAL
F30_P22_K9_MAX_ARI,P22,9,2,2,PASS,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,False,52e44ed0be041150cb41ea960d9ebdd84072492b1a08b4b5cbad1ab0af99eae5,/root/autodl-fs/night14a_topology_conflict_sprint_20260823/formal/development_cycle3/C15_BAL_XREC_600_WEAK_ALIGN/P22/seed_2/roundtrip_expected.npz,cf64addb8bdacb06ea07eb78e74d01b7b9ca368bf4e1c78915f36229c791a0e2,5fa3783460399a10470716aab7b89f8676a1ed0fb461597a454943b43958b64b,b6bb4411352ab0ad3e59c3ba06c14d52001afd68fbac1ce5c6be8309ef26c74b,1.3516780640929935,0.4958844259615803,0.6377942916803956,0.6371610373572745,0.5720563158801407,0.6413416210071631,0.6377942916803957,0.9338232808709084,0.0682117792151729,FROZEN_FORMAL
F31_P22_K9_HIGH_NMI,P22,9,0,0,PASS,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,False,77be61ea150c7186ab3c9b83d22e2e961724aa921e305332e7e25a73bfa0982c,/root/autodl-fs/night14a_topology_conflict_sprint_20260823/formal/development_cycle3/C15_BAL_XREC_600_WEAK_ALIGN/P22/seed_0/roundtrip_expected.npz,c7258ae2ce57da95502d4ba9f95bf87b9b06812155ceedf71b3a804e441afe83,9613134c225a86c4901161166c5b2a3094fb23dffb516fade278543074eeb4ff,97cb221a4a13cfc2ee714a38eefb5d31284c082e97e34533eedf3b73c1ecd73f,1.3343594763427973,0.5657418174909989,0.6982816590420795,0.6977631106293222,0.629721011932058,0.7126402483069714,0.6982816590420796,0.9430221754815592,0.058396777993109,FROZEN_FORMAL
