dataset,k,result_layer,method_or_candidate,training_seed,endpoint_seed,historical_reference_ari,historical_reference_nmi,ari_best,ari_median,ari_mean,ari_min,nmi_best,nmi_median,nmi_mean,nmi_min,delta_best_ari,delta_best_nmi,ami_mean,fmi_mean,morans_i,gearys_c,wall_seconds,gpu_seconds,peak_gpu_mib,peak_rss_mib,status
P22,9,EMBEDDING_HEAD_HPO,NIGHT15B_HEAD_BEST,NOT_APPLICABLE,0,0.5691172816484583,0.6851311063039861,0.520475386018739,0.4470145381155384,0.4470145381155384,0.3735536902123378,0.6523396202874471,0.6198674403207457,0.6198674403207457,0.5873952603540443,-0.04864189562971932,-0.03279148601653903,0.6192206143348225,0.5272176939024693,0.9010260724031268,0.100586413756361,87.40461779999896,0.0,0.0,,PASS
P22_3DOT_K18,18,EMBEDDING_HEAD_HPO,NIGHT15B_HEAD_BEST,NOT_APPLICABLE,AGGREGATE,0.6121772078368297,0.7233302261338711,0.6877945220149917,0.6877945220149917,0.6877945220149917,0.6877945220149917,0.7163575552930698,0.7163575552930698,0.7163575552930698,0.7163575552930698,0.07561731417816198,-0.006972670840801332,0.7145275502796412,0.7205319817599456,0.7418613975489072,0.2604157853084972,87.40461779999896,0.0,0.0,,PASS
MISAR_E15_5_S1,7,EMBEDDING_HEAD_HPO,NIGHT15B_HEAD_BEST,NOT_APPLICABLE,AGGREGATE,0.5099310451743241,0.6289634776869945,0.4303463467536649,0.4303463467536649,0.4303463467536649,0.4303463467536649,0.5735988074737393,0.5735988074737393,0.5735988074737393,0.5735988074737393,-0.07958469842065918,-0.055364670213255196,0.5712292926248291,0.5479189260794533,0.8142787406260467,0.2062972328884041,47.96077140000125,0.0,0.0,,PASS
MISAR_E15_5_S1_K12,12,EMBEDDING_HEAD_HPO,NIGHT15B_HEAD_BEST,NOT_APPLICABLE,AGGREGATE,0.4142752375766465,0.5328709531713021,0.3741617357587285,0.3741617357587285,0.3741617357587285,0.3741617357587285,0.5906093484988677,0.5906093484988677,0.5906093484988677,0.5906093484988677,-0.04011350181791801,0.05773839532756564,0.5870298856176819,0.4940386738194823,0.8486199642661773,0.1479157576304274,47.96077140000125,0.0,0.0,,PASS
A1,10,EMBEDDING_HEAD_HPO,NIGHT15B_HEAD_BEST,NOT_APPLICABLE,AGGREGATE,0.2211508402154819,0.3555763553356055,0.273021059361755,0.273021059361755,0.273021059361755,0.273021059361755,0.4173676729225421,0.4173676729225421,0.4173676729225421,0.4173676729225421,0.05187021914627313,0.06179131758693662,0.413562764281667,0.414132972754862,0.5311233688014412,0.4720254160475211,30.328172099994845,0.0,0.0,,PASS
tonsil_s1,4,EMBEDDING_HEAD_HPO,NIGHT15B_HEAD_BEST,NOT_APPLICABLE,0,0.1418066616082619,0.2842230497175844,0.2079467132724583,0.20780217388794386,0.20780217388794386,0.2076576345034294,0.2969279606499894,0.29683107407010634,0.29683107407010634,0.2967341874902233,0.0661400516641964,0.012704910932405,0.29621206077195544,0.4849388483463062,0.6896963427359472,0.3103269745428609,23.562359500007005,0.0,0.0,,PASS
D1,10,EMBEDDING_HEAD_HPO,NIGHT15B_HEAD_BEST,NOT_APPLICABLE,0,0.2427545621080531,0.3630270844289118,0.2437566119939119,0.21332137320916936,0.21332137320916936,0.1828861344244268,0.3805336205886551,0.34600778490227074,0.34600778490227074,0.3114819492158864,0.0010020498858588078,0.01750653615974329,0.34179440816306117,0.38650543051531483,0.4220315400769293,0.5843729835776104,17.71180990000721,0.0,0.0,,PASS
tonsil_s2,4,EMBEDDING_HEAD_HPO,NIGHT15B_HEAD_BEST,NOT_APPLICABLE,1,0.1489988887745713,0.2674062765696641,0.2130056436093344,0.1373391743114005,0.1373391743114005,0.0616727050134666,0.2545984907346012,0.20374037987864102,0.20374037987864102,0.1528822690226808,0.06400675483476312,-0.012807785835062868,0.20314380608362548,0.46732351636760705,0.6756306766258559,0.319669995153124,12.918742199995904,0.0,0.0,,PASS
tonsil_s3,4,EMBEDDING_HEAD_HPO,NIGHT15B_HEAD_BEST,NOT_APPLICABLE,0,0.1969333595315539,0.2497791360710971,0.118597181700377,0.06325466524414505,0.06325466524414505,0.0079121487879131,0.2141786279144553,0.15171307420135174,0.15171307420135174,0.0892475204882482,-0.07833617783117688,-0.035600508156641814,0.15100158103776615,0.4713000021769173,0.6856437935893036,0.3183765921618757,13.705991399998311,0.0,0.0,,PASS
A1,10,SAPR_LOCAL_CPU_REPLAY,S22_CROSS_VIEW_BALANCED,"1,2 discovery; 0,1,2 confirmation",frozen per lane,0.2211508402154819,0.3555763553356055,0.2505250487220614,0.2500950673616016,0.2500950673616016,0.2496650860011418,0.4076183629007213,0.40713692582920646,0.40713692582920646,0.4066554887576917,0.029374208506579486,0.05204200756511579,0.40331388760855924,0.39206321400446076,0.5226809338562911,0.47744920240103883,,,,,PASS
