export,dataset,lane,candidate_id,training_seed,endpoint_seed,head,mode,k,total_observations,evaluated_observations,partition_sha256,absolute_ari,absolute_nmi,ami,fmi,morans_i,gearys_c,delta_ari_vs_retained,delta_nmi_vs_retained,status
CONFIRM_S22_CROSS_VIEW_BALANCED_D1_seed0.npz,D1,D1,S22_CROSS_VIEW_BALANCED,0,0,GMM_TIED,RETAINED_TEACHER,10,3359,3359,cb962b3dbb5423cf3afeb36d495ad0852ac9d8d7182e89b0169949445d86f5c5,0.24375661199391196,0.38053362058865514,0.3764582984953247,0.4051224601495466,0.4220315400769293,0.5843729835776104,0.0,0.0,PASS
CONFIRM_S22_CROSS_VIEW_BALANCED_D1_seed0.npz,D1,D1,S22_CROSS_VIEW_BALANCED,0,0,GMM_TIED,SAPR_FULL,10,3359,3359,04d3234c420a71ad99343a1e4882d5ae67c0d294dfdfb14b519363f8527b3f06,0.22739255026165087,0.3633953150406752,0.35931743550352774,0.36341417510025964,0.60219673853561,0.39884653177637963,-0.016364061732261098,-0.01713830554797996,PASS
CONFIRM_S22_CROSS_VIEW_BALANCED_D1_seed0.npz,D1,D1,S22_CROSS_VIEW_BALANCED,0,0,GMM_TIED,SAPR_RESIDUAL_DISABLED,10,3359,3359,2b90761483f1034c9be9b634473c73d6927776a6a480535ee7beaae4f06d7a67,0.2114173786715434,0.3395221851468191,0.33523384789269567,0.3532195685494067,0.5361704542541149,0.4649601012271097,-0.03233923332236857,-0.04101143544183605,PASS
CONFIRM_S22_CROSS_VIEW_BALANCED_D1_seed1.npz,D1,D1,S22_CROSS_VIEW_BALANCED,1,0,GMM_TIED,RETAINED_TEACHER,10,3359,3359,cb962b3dbb5423cf3afeb36d495ad0852ac9d8d7182e89b0169949445d86f5c5,0.24375661199391196,0.38053362058865514,0.3764582984953247,0.4051224601495466,0.4220315400769293,0.5843729835776104,0.0,0.0,PASS
CONFIRM_S22_CROSS_VIEW_BALANCED_D1_seed1.npz,D1,D1,S22_CROSS_VIEW_BALANCED,1,0,GMM_TIED,SAPR_FULL,10,3359,3359,50a3e76a40985d9fc11050f5fd3d6cec1e492bc0327e07b63fada120aec05d76,0.22859332985748895,0.3643012641013974,0.3602323926096378,0.36441985030199353,0.598266628851533,0.4028388329552223,-0.015163282136423012,-0.016232356487257737,PASS
CONFIRM_S22_CROSS_VIEW_BALANCED_D1_seed1.npz,D1,D1,S22_CROSS_VIEW_BALANCED,1,0,GMM_TIED,SAPR_RESIDUAL_DISABLED,10,3359,3359,4f5e71922b26ccae85974476d544da05f3d46bd0a452ec225b06a447167e5804,0.26003066790242596,0.37648850352337576,0.3724082903874317,0.3964815347930874,0.5207153496210405,0.48319252418615033,0.016274055908513996,-0.00404511706527938,PASS
CONFIRM_S22_CROSS_VIEW_BALANCED_D1_seed2.npz,D1,D1,S22_CROSS_VIEW_BALANCED,2,0,GMM_TIED,RETAINED_TEACHER,10,3359,3359,cb962b3dbb5423cf3afeb36d495ad0852ac9d8d7182e89b0169949445d86f5c5,0.24375661199391196,0.38053362058865514,0.3764582984953247,0.4051224601495466,0.4220315400769293,0.5843729835776104,0.0,0.0,PASS
CONFIRM_S22_CROSS_VIEW_BALANCED_D1_seed2.npz,D1,D1,S22_CROSS_VIEW_BALANCED,2,0,GMM_TIED,SAPR_FULL,10,3359,3359,b838ab7ae0d60586721b0a100aac47e1b0899e742e9cb5a53ead9f419ee5b06c,0.2222895010474176,0.36350031772309893,0.3593123146738662,0.36597952959283375,0.5709779905394987,0.42957648536594073,-0.021467110946494367,-0.01703330286555621,PASS
CONFIRM_S22_CROSS_VIEW_BALANCED_D1_seed2.npz,D1,D1,S22_CROSS_VIEW_BALANCED,2,0,GMM_TIED,SAPR_RESIDUAL_DISABLED,10,3359,3359,1b507f615af53b59ae2d1adc4ab702ac4c4f89431dc0139c8bdae33c388aefaf,0.276927171583317,0.38639888970608466,0.38236962851929346,0.41155630334307935,0.5309489897003601,0.47302274430739966,0.03317055958940501,0.005865269117429517,PASS
CONFIRM_S22_CROSS_VIEW_BALANCED_tonsil_s2_seed0.npz,tonsil_s2,tonsil_s2,S22_CROSS_VIEW_BALANCED,0,1,GMM_TIED+REFINE_T0.80_S5,RETAINED_TEACHER,4,4519,4518,bd0eab4b91938b2046e140cbbb5fa89284cb9c50378ab2350ead354e25a76aeb,0.21300564360933447,0.2545984907346012,0.2539431928016543,0.5001198091734315,0.6756306766258559,0.31966999515312405,0.0,0.0,PASS
