dataset,lane,k,mode,run_count,ari_best,ari_median,ari_mean,ari_min,nmi_best,nmi_median,nmi_mean,nmi_min,ami_mean,fmi_mean,morans_i_mean,gearys_c_mean,delta_ari_vs_retained_mean,delta_nmi_vs_retained_mean,full_minus_disabled_ari_mean,full_minus_disabled_nmi_mean,candidate_id
A1,A1,10,RETAINED_TEACHER,2,0.2578291475671883,0.2578291475671883,0.2578291475671883,0.2578291475671883,0.4140557787969627,0.4140557787969627,0.4140557787969627,0.4140557787969627,0.4102478935120339,0.4007358935214704,0.5370720448976315,0.4656225601710234,0.0,0.0,0.016246653708476888,0.01945521149945212,S22_CROSS_VIEW_BALANCED
A1,A1,10,SAPR_FULL,2,0.2505250487220614,0.2500950673616016,0.2500950673616016,0.2496650860011418,0.4076183629007213,0.40713692582920646,0.40713692582920646,0.4066554887576917,0.40331388760855924,0.39206321400446076,0.5226809338562911,0.47744920240103883,-0.007734080205586649,-0.00691885296775615,0.016246653708476888,0.01945521149945212,S22_CROSS_VIEW_BALANCED
A1,A1,10,SAPR_RESIDUAL_DISABLED,2,0.2359480664424391,0.2338484136531247,0.2338484136531247,0.2317487608638103,0.3889897329529778,0.38768171432975435,0.38768171432975435,0.3863736957065309,0.38378609619770676,0.3749616686069869,0.48970559868943264,0.5094479985525444,-0.023980733914063503,-0.026374064467208302,0.016246653708476888,0.01945521149945212,S22_CROSS_VIEW_BALANCED
D1,D1,10,RETAINED_TEACHER,3,0.2437566119939119,0.2437566119939119,0.24375661199391194,0.2437566119939119,0.3805336205886551,0.3805336205886551,0.3805336205886551,0.3805336205886551,0.3764582984953247,0.4051224601495466,0.4220315400769293,0.5843729835776104,0.0,0.0,-0.02336661233024298,-0.003737560503702664,S22_CROSS_VIEW_BALANCED
D1,D1,10,SAPR_FULL,3,0.2285933298574889,0.2273925502616508,0.22609179372218577,0.2222895010474176,0.3643012641013974,0.3635003177230989,0.36373229895505715,0.3633953150406752,0.35962071426234393,0.36460451833169555,0.5904804526422139,0.41042061669918084,-0.017664818271726102,-0.016801321633597932,-0.02336661233024298,-0.003737560503702664,S22_CROSS_VIEW_BALANCED
D1,D1,10,SAPR_RESIDUAL_DISABLED,3,0.276927171583317,0.2600306679024259,0.24945840605242875,0.2114173786715434,0.3863988897060846,0.3764885035233757,0.3674698594587598,0.3395221851468191,0.3633372555998069,0.38708580222852446,0.5292782645251718,0.4737251232402198,0.005701794058516799,-0.013063761129895267,-0.02336661233024298,-0.003737560503702664,S22_CROSS_VIEW_BALANCED
MISAR_E15_5_S1,MISAR_E15_5_S1,7,RETAINED_TEACHER,2,0.4202531069070573,0.4202531069070573,0.4202531069070573,0.4202531069070573,0.5757809181210183,0.5757809181210183,0.5757809181210183,0.5757809181210183,0.5735425061161218,0.5339403282518571,0.901507202268202,0.0983866979967865,0.0,0.0,0.0006442203722969442,0.01210423275576944,S22_CROSS_VIEW_BALANCED
MISAR_E15_5_S1,MISAR_E15_5_S1,7,SAPR_FULL,2,0.4487804545902908,0.4141999233574484,0.4141999233574484,0.3796193921246059,0.5901570696804693,0.5774596367361317,0.5774596367361317,0.564762203791794,0.5752191038764897,0.5290074061168348,0.9175695528297347,0.0836103906682651,-0.0060531835496089,0.00167871861511335,0.0006442203722969442,0.01210423275576944,S22_CROSS_VIEW_BALANCED
MISAR_E15_5_S1,MISAR_E15_5_S1,7,SAPR_RESIDUAL_DISABLED,2,0.4143399692365626,0.41355570298515143,0.41355570298515143,0.4127714367337403,0.565953808132436,0.5653554039803622,0.5653554039803622,0.5647569998282884,0.5630649688258991,0.5273211342653754,0.9080532539340951,0.09234747301586355,-0.00669740392190585,-0.010425514140656,0.0006442203722969442,0.01210423275576944,S22_CROSS_VIEW_BALANCED
MISAR_E15_5_S1,MISAR_E15_5_S1_K12,12,RETAINED_TEACHER,2,0.3649028845499023,0.3649028845499023,0.3649028845499023,0.3649028845499023,0.5901197781116109,0.5901197781116109,0.5901197781116109,0.5901197781116109,0.5865711181388696,0.4860880892828039,0.8641262084302346,0.136179679389322,0.0,0.0,-0.011256567876226531,-0.005656473273852436,S22_CROSS_VIEW_BALANCED
MISAR_E15_5_S1,MISAR_E15_5_S1_K12,12,SAPR_FULL,2,0.3593296069564865,0.354140975333912,0.354140975333912,0.3489523437113374,0.5821423258469387,0.5758840572042436,0.5758840572042436,0.5696257885615487,0.5722224761499266,0.47615198279301124,0.8754578570538266,0.12334663112272351,-0.01076190921599025,-0.01423572090736715,-0.011256567876226531,-0.005656473273852436,S22_CROSS_VIEW_BALANCED
MISAR_E15_5_S1,MISAR_E15_5_S1_K12,12,SAPR_RESIDUAL_DISABLED,2,0.3789468238535673,0.3653975432101385,0.3653975432101385,0.3518482625667097,0.5851058808172005,0.5815405304780961,0.5815405304780961,0.5779751801389915,0.5779684442634357,0.4882787552381529,0.8806603911981133,0.11887616273880944,0.0004946586602362496,-0.0085792476335148,-0.011256567876226531,-0.005656473273852436,S22_CROSS_VIEW_BALANCED
P22,P22,9,RETAINED_TEACHER,2,0.520475386018739,0.520475386018739,0.520475386018739,0.520475386018739,0.6523396202874471,0.6523396202874471,0.6523396202874471,0.6523396202874471,0.6517471308210926,0.5908913418260602,0.9010260724031268,0.100586413756361,0.0,0.0,-0.004707686453026327,0.005113587749033921,S22_CROSS_VIEW_BALANCED
P22,P22,9,SAPR_FULL,2,0.4849980171156586,0.4684381859886376,0.4684381859886376,0.4518783548616167,0.6353100138852115,0.6262264657380909,0.6262264657380909,0.6171429175909703,0.6255826730018395,0.5478760488421849,0.9150639486181059,0.0860902840056761,-0.052037200030101254,-0.02611315454935615,-0.004707686453026327,0.005113587749033921,S22_CROSS_VIEW_BALANCED
P22,P22,9,SAPR_RESIDUAL_DISABLED,2,0.4818038121837596,0.47314587244166395,0.47314587244166395,0.4644879326995683,0.6259019798551665,0.621112877989057,0.621112877989057,0.6163237761229475,0.620461883132539,0.5514147609061947,0.9034550996357906,0.09883093588228475,-0.04732951357707495,-0.031226742298390002,-0.004707686453026327,0.005113587749033921,S22_CROSS_VIEW_BALANCED
tonsil_s1,tonsil_s1,4,RETAINED_TEACHER,2,0.2079467132724583,0.2079467132724583,0.2079467132724583,0.2079467132724583,0.2969279606499894,0.2969279606499894,0.2969279606499894,0.2969279606499894,0.2963090322074574,0.4850370511068504,0.6896963427359472,0.3103269745428609,0.0,0.0,0.009548577905586358,0.00870981618961153,S22_CROSS_VIEW_BALANCED
tonsil_s1,tonsil_s1,4,SAPR_FULL,2,0.1703657265691488,0.1664405637193746,0.1664405637193746,0.1625154008696004,0.286063540142871,0.2856778638736013,0.2856778638736013,0.2852921876043315,0.2850365555106319,0.46415124168326793,0.6868085786603118,0.3118583513637764,-0.041506149553083696,-0.0112500967763881,0.009548577905586358,0.00870981618961153,S22_CROSS_VIEW_BALANCED
tonsil_s1,tonsil_s1,4,SAPR_RESIDUAL_DISABLED,2,0.1799193789444138,0.15689198581378824,0.15689198581378824,0.1338645926831627,0.2926181941022465,0.27696804768398975,0.27696804768398975,0.261317901265733,0.2763365684535404,0.44741612062636893,0.6812395722544138,0.31941796825902846,-0.05105472745867005,-0.0199599129659996,0.009548577905586358,0.00870981618961153,S22_CROSS_VIEW_BALANCED
tonsil_s2,tonsil_s2,4,RETAINED_TEACHER,3,0.2130056436093344,0.2130056436093344,0.2130056436093344,0.2130056436093344,0.2545984907346012,0.2545984907346012,0.2545984907346012,0.2545984907346012,0.2539431928016543,0.5001198091734315,0.6756306766258559,0.319669995153124,0.0,0.0,-0.046412111540369116,-0.07972475656631411,S22_CROSS_VIEW_BALANCED
tonsil_s2,tonsil_s2,4,SAPR_FULL,3,0.1611554810628193,0.1324255711258043,0.1417249731461808,0.1315938672499188,0.1925077787267415,0.1727745156605592,0.1784600067994847,0.1700977260111534,0.17775932489854662,0.44773279306257857,0.602413322087548,0.3956029804120649,-0.0712806704631536,-0.07613848393511646,-0.046412111540369116,-0.07972475656631411,S22_CROSS_VIEW_BALANCED
tonsil_s2,tonsil_s2,4,SAPR_RESIDUAL_DISABLED,3,0.234935132079797,0.1650648461972819,0.1881370846865499,0.1644112757825708,0.267107252149545,0.2551665798028767,0.2581847633657988,0.2522804581449747,0.2575377586875627,0.4889499042060929,0.6793355648939103,0.3188596293839942,-0.024868558922784532,0.0035862726311975666,-0.046412111540369116,-0.07972475656631411,S22_CROSS_VIEW_BALANCED
tonsil_s3,tonsil_s3,4,RETAINED_TEACHER,3,0.1181334304842995,0.1181334304842995,0.11813343048429951,0.1181334304842995,0.212855324057226,0.212855324057226,0.212855324057226,0.212855324057226,0.2121312363789494,0.4683309624582334,0.7073735613552935,0.2971996434531818,0.0,0.0,-0.08394853077473405,-0.06488352880093491,S22_CROSS_VIEW_BALANCED
tonsil_s3,tonsil_s3,4,SAPR_FULL,3,0.0526434092139253,0.0486235584714025,0.04864964890165371,0.0446819790196333,0.0917181214770176,0.0879036384514072,0.08436536845408223,0.0734743454338219,0.08351045683183407,0.4276626670059211,0.6341092559075039,0.3740261936294711,-0.06948378158264569,-0.12848995560314364,-0.08394853077473405,-0.06488352880093491,S22_CROSS_VIEW_BALANCED
tonsil_s3,tonsil_s3,4,SAPR_RESIDUAL_DISABLED,3,0.1662344430633291,0.1318884973890734,0.13259817967638776,0.0996715985767608,0.1631985556317724,0.1448440291505164,0.14924889725501714,0.1397041069827626,0.1485260439415018,0.43593745413670554,0.6469170465552102,0.3569191790459845,0.0144647491920883,-0.06360642680220877,-0.08394853077473405,-0.06488352880093491,S22_CROSS_VIEW_BALANCED
