mode,partition_sha256,absolute_ari,absolute_nmi,ami,fmi,morans_i,gearys_c,dataset,lane,candidate_id,mechanism_family,config_sha256,training_seed,endpoint_seed,head,k,total_observations,evaluated_observations,delta_ari_vs_retained,delta_nmi_vs_retained,status,wall_seconds,peak_gpu_mib,peak_rss_mib,experiment_phase
RETAINED_TEACHER,778247f76e4d3e1a47fee244da2297fa1b48dcd34db7ff29a9bd5960b8065aa7,0.2389411529541879,0.3928634402768866,0.3889277017461162,0.3845863966718307,0.5687759284703141,0.4327094670922682,A1,A1,S10_STABILITY_TRUST,STABILITY_TRUST,2f2ea9ce813f4c4bd7257134e64a098b95993fac25917891b267d78f3a60dfd2,0,0,GMM_TIED+REFINE_T0.90_S1,10,3484,3484,0.0,0.0,PASS,1.315293001011014,41.298828125,877.93359375,SCREEN
SAPR_FULL,fa667325b494329b2843171bdee9a5cc98b9f8f6afd19055bc82d9837835c77c,0.2722967847082856,0.4087852099916518,0.4049911552520664,0.4096578630904445,0.5020205025780682,0.4981836674192538,A1,A1,S10_STABILITY_TRUST,STABILITY_TRUST,2f2ea9ce813f4c4bd7257134e64a098b95993fac25917891b267d78f3a60dfd2,0,0,GMM_TIED+REFINE_T0.90_S1,10,3484,3484,0.0333556317540976,0.0159217697147652,PASS,1.315293001011014,41.298828125,877.93359375,SCREEN
SAPR_RESIDUAL_DISABLED,36f1c237ced835fde98ee22ec61dd06ae5c6c62324238b7516189f2fe6eef68c,0.2270208374983149,0.3803232516763296,0.3763733045379776,0.3697224574066306,0.4857122532476799,0.5137888618752219,A1,A1,S10_STABILITY_TRUST,STABILITY_TRUST,2f2ea9ce813f4c4bd7257134e64a098b95993fac25917891b267d78f3a60dfd2,0,0,GMM_TIED+REFINE_T0.90_S1,10,3484,3484,-0.011920315455873,-0.012540188600557,PASS,1.315293001011014,41.298828125,877.93359375,SCREEN
RETAINED_TEACHER,fbf21dccbcc67855181353238b59953ff541b726bf30071dc89554854273d1a9,0.1607414481055021,0.2909157780169758,0.2902764283261132,0.4628878767302947,0.6797173099658796,0.3200961126889805,tonsil_s1,tonsil_s1,S10_STABILITY_TRUST,STABILITY_TRUST,2f2ea9ce813f4c4bd7257134e64a098b95993fac25917891b267d78f3a60dfd2,0,0,GMM_TIED,4,4326,4326,0.0,0.0,PASS,0.7092265579849482,46.55224609375,890.265625,SCREEN
SAPR_FULL,19aa54051856ea0fb825109aa9e4ff547275113dc6d05e060cd79a4154108485,0.1625933972120313,0.2871372103418795,0.2864840370320889,0.4687574254479527,0.6789218306653054,0.3205242188415266,tonsil_s1,tonsil_s1,S10_STABILITY_TRUST,STABILITY_TRUST,2f2ea9ce813f4c4bd7257134e64a098b95993fac25917891b267d78f3a60dfd2,0,0,GMM_TIED,4,4326,4326,0.0018519491065292,-0.0037785676750963,PASS,0.7092265579849482,46.55224609375,890.265625,SCREEN
SAPR_RESIDUAL_DISABLED,7788854608f9c224f2ae064ef571b951ddbefb37c873cd900cccf309476a7514,0.151435646264597,0.2747670197043684,0.2741382428311742,0.4407230601873191,0.6598939524971682,0.3399521393949192,tonsil_s1,tonsil_s1,S10_STABILITY_TRUST,STABILITY_TRUST,2f2ea9ce813f4c4bd7257134e64a098b95993fac25917891b267d78f3a60dfd2,0,0,GMM_TIED,4,4326,4326,-0.009305801840905,-0.0161487583126073,PASS,0.7092265579849482,46.55224609375,890.265625,SCREEN
RETAINED_TEACHER,ae3066fa154362eec0efeccedfa2790637233655c49a0018b29c865077fe4667,0.4107535716930893,0.6064179094949806,0.6057539990652927,0.4944280545021607,0.8997778442278445,0.1001896341368456,P22,P22,S10_STABILITY_TRUST,STABILITY_TRUST,2f2ea9ce813f4c4bd7257134e64a098b95993fac25917891b267d78f3a60dfd2,0,0,GMM_DIAG+REFINE_T0.50_S2,9,9196,9196,0.0,0.0,PASS,0.6973240524530411,83.58642578125,902.48828125,SCREEN
SAPR_FULL,503bb379d5262288be837b68745dfdf903c2901d80fb057468429a070f3def31,0.4393826592412326,0.6261156395274584,0.6254847893997959,0.5193214603231816,0.9178262900836556,0.0822381782327699,P22,P22,S10_STABILITY_TRUST,STABILITY_TRUST,2f2ea9ce813f4c4bd7257134e64a098b95993fac25917891b267d78f3a60dfd2,0,0,GMM_DIAG+REFINE_T0.50_S2,9,9196,9196,0.0286290875481433,0.0196977300324777,PASS,0.6973240524530411,83.58642578125,902.48828125,SCREEN
SAPR_RESIDUAL_DISABLED,600274d047cd8a5853b8c0ea1d478759cd584e304ff933acbdbc427d3aa4b825,0.4360243700039313,0.6152630377961361,0.6146143071618594,0.5163390954728255,0.9053407128654236,0.0947252631286958,P22,P22,S10_STABILITY_TRUST,STABILITY_TRUST,2f2ea9ce813f4c4bd7257134e64a098b95993fac25917891b267d78f3a60dfd2,0,0,GMM_DIAG+REFINE_T0.50_S2,9,9196,9196,0.025270798310842,0.0088451283011554,PASS,0.6973240524530411,83.58642578125,902.48828125,SCREEN
RETAINED_TEACHER,f0e5245b581ecebb6fc50707f93ea024df435dab939a0688bf5d960bc44e2aca,0.3514171699802645,0.5366722568151729,0.534236822998133,0.4758400027867638,0.9214136163000596,0.0784680222496969,MISAR_E15_5_S1,MISAR_E15_5_S1,S10_STABILITY_TRUST,STABILITY_TRUST,2f2ea9ce813f4c4bd7257134e64a098b95993fac25917891b267d78f3a60dfd2,0,0,GMM_TIED+REFINE_T0.50_S1,7,1949,1949,0.0,0.0,PASS,0.7024776712059975,30.62744140625,910.11328125,SCREEN
