replay_id,status,lane,total_observations,evaluated_observations,registered_ordered_id_sha256,ids_array_sha256,k_requested,initial_cardinality,observed_cardinality,initial_cluster_sizes,observed_cluster_sizes,changed_observations,initial_partition_sha256,initial_source,matching_selected_teacher_indices,partition_sha256,feature,edge,feature_solver,edge_solver,omp_num_threads,mkl_num_threads,openblas_num_threads,beta,steps_requested,steps_completed,collapse_guard_triggered,absolute_ari,absolute_nmi,ami,fmi,morans_i,gearys_c,labels_in_unary_or_energy,labels_used_for_evaluation,dense_n_by_n_count,wall_seconds
P22__1,PASS,P22,9196,9196,47ac590e9225804548e509f74ecaa31567c00cf0139e3fc37e01a64685c5a087,72dc4517ce5074bb481e8d9eeae82f3d720a06ca06ae0d2ca142124579564e35,9,9,9,"[1178, 658, 1371, 802, 938, 1561, 668, 1727, 293]","[1169, 645, 1429, 824, 1027, 1520, 631, 1815, 136]",337,66ae6ac1fb9edd7f7e1145bd47916b60df55fbee9cdc88b8ea79f67dffb1b77d,kit:21,[],28ee49f10493b3b17cf814b44e1584e07c5a7c903293023c697dd6c979b3fc06,retained,either_similar,full,full,1,1,1,4.0,10,10,False,0.5825258535806178,0.7015750203472326,0.7010588927044333,0.644280844467261,0.9346191497877676,0.06719241502443296,0,1,0,0.21104949999426026
P22__2,PASS,P22,9196,9196,47ac590e9225804548e509f74ecaa31567c00cf0139e3fc37e01a64685c5a087,72dc4517ce5074bb481e8d9eeae82f3d720a06ca06ae0d2ca142124579564e35,9,9,9,"[1178, 658, 1371, 802, 938, 1561, 668, 1727, 293]","[1169, 645, 1429, 824, 1027, 1520, 631, 1815, 136]",337,66ae6ac1fb9edd7f7e1145bd47916b60df55fbee9cdc88b8ea79f67dffb1b77d,kit:21,[],28ee49f10493b3b17cf814b44e1584e07c5a7c903293023c697dd6c979b3fc06,retained,either_similar,full,full,1,1,1,4.0,10,10,False,0.5825258535806178,0.7015750203472326,0.7010588927044333,0.644280844467261,0.9346191497877676,0.06719241502443296,0,1,0,0.18850950000341982
P22_3DOT_K18__1,PASS,P22_3DOT_K18,9196,9196,47ac590e9225804548e509f74ecaa31567c00cf0139e3fc37e01a64685c5a087,72dc4517ce5074bb481e8d9eeae82f3d720a06ca06ae0d2ca142124579564e35,18,18,18,"[615, 2151, 898, 674, 828, 586, 602, 284, 43, 104, 459, 223, 250, 157, 197, 437, 461, 227]","[626, 2289, 937, 642, 778, 577, 576, 229, 41, 32, 415, 162, 309, 139, 161, 433, 566, 284]",993,d5e2eacb6e832fb6416995bd2a9d652cf52355c30a6f4d2e5e69e5a216b2cc60,consensus,[],c7232c64ad168c8d7cd2a2ece287a0ad7f5c15d42d9ca9c2a8a09499047c79f8,views_concat,spatial,full,full,1,1,1,1.0,5,5,False,0.7276781309266444,0.748983710740499,0.747350065998685,0.7570019884223241,0.8332695982304099,0.16823882863702758,0,1,0,0.20591459999559447
P22_3DOT_K18__2,PASS,P22_3DOT_K18,9196,9196,47ac590e9225804548e509f74ecaa31567c00cf0139e3fc37e01a64685c5a087,72dc4517ce5074bb481e8d9eeae82f3d720a06ca06ae0d2ca142124579564e35,18,18,18,"[615, 2151, 898, 674, 828, 586, 602, 284, 43, 104, 459, 223, 250, 157, 197, 437, 461, 227]","[626, 2289, 937, 642, 778, 577, 576, 229, 41, 32, 415, 162, 309, 139, 161, 433, 566, 284]",993,d5e2eacb6e832fb6416995bd2a9d652cf52355c30a6f4d2e5e69e5a216b2cc60,consensus,[],c7232c64ad168c8d7cd2a2ece287a0ad7f5c15d42d9ca9c2a8a09499047c79f8,views_concat,spatial,full,full,1,1,1,1.0,5,5,False,0.7276781309266444,0.748983710740499,0.747350065998685,0.7570019884223241,0.8332695982304099,0.16823882863702758,0,1,0,0.2138076999981422
MISAR_E15_5_S1__1,PASS,MISAR_E15_5_S1,1949,1949,9f0514cee55d307a0ff81d44ffffc2da742dbe2d02b849576b7ef5903743dd1b,fe7c7c8e42bf7e7d41c3f6a45ae955fe9cd8419e857d2542b86562442fd6564f,7,7,7,"[335, 422, 163, 247, 323, 342, 117]","[294, 438, 181, 263, 347, 309, 117]",153,7a607222ac162e633ed5fd9731a46806923f3fd81a7a78cc820a5edf4c06aba9,kit:5,[],f79bbf1e43bd2908184926494c78c1a326810443a3aef773dad398ee114d13cd,retained,either_similar,full,full,1,1,1,2.0,5,5,False,0.5354769763781246,0.6540125822444057,0.6521871044392112,0.6281281014729106,0.9196255469991576,0.08179757785343011,0,1,0,0.04898720000346657
MISAR_E15_5_S1__2,PASS,MISAR_E15_5_S1,1949,1949,9f0514cee55d307a0ff81d44ffffc2da742dbe2d02b849576b7ef5903743dd1b,fe7c7c8e42bf7e7d41c3f6a45ae955fe9cd8419e857d2542b86562442fd6564f,7,7,7,"[335, 422, 163, 247, 323, 342, 117]","[294, 438, 181, 263, 347, 309, 117]",153,7a607222ac162e633ed5fd9731a46806923f3fd81a7a78cc820a5edf4c06aba9,kit:5,[],f79bbf1e43bd2908184926494c78c1a326810443a3aef773dad398ee114d13cd,retained,either_similar,full,full,1,1,1,2.0,5,5,False,0.5354769763781246,0.6540125822444057,0.6521871044392112,0.6281281014729106,0.9196255469991576,0.08179757785343011,0,1,0,0.04964830000244547
MISAR_E15_5_S1_K12__1,PASS,MISAR_E15_5_S1_K12,1949,1949,9f0514cee55d307a0ff81d44ffffc2da742dbe2d02b849576b7ef5903743dd1b,fe7c7c8e42bf7e7d41c3f6a45ae955fe9cd8419e857d2542b86562442fd6564f,12,12,12,"[313, 85, 497, 121, 44, 136, 119, 89, 67, 251, 65, 162]","[300, 72, 479, 134, 42, 146, 139, 95, 57, 248, 69, 168]",155,5ae14916ead91e6e206abbb511447d4339ae1b46f7b8da2666bcc9ebb9f447f7,kit:0,[],d147e7c4b7c018a07a654fa7d5b98c1ef86aca5599075b56da134007020f29e0,view1,either_similar,full,full,1,1,1,4.0,5,5,False,0.43955531035684464,0.5742982050996677,0.5704666509208377,0.548102726565118,0.8972601763209006,0.10237868970600811,0,1,0,0.049939699994865805
MISAR_E15_5_S1_K12__2,PASS,MISAR_E15_5_S1_K12,1949,1949,9f0514cee55d307a0ff81d44ffffc2da742dbe2d02b849576b7ef5903743dd1b,fe7c7c8e42bf7e7d41c3f6a45ae955fe9cd8419e857d2542b86562442fd6564f,12,12,12,"[313, 85, 497, 121, 44, 136, 119, 89, 67, 251, 65, 162]","[300, 72, 479, 134, 42, 146, 139, 95, 57, 248, 69, 168]",155,5ae14916ead91e6e206abbb511447d4339ae1b46f7b8da2666bcc9ebb9f447f7,kit:0,[],d147e7c4b7c018a07a654fa7d5b98c1ef86aca5599075b56da134007020f29e0,view1,either_similar,full,full,1,1,1,4.0,5,5,False,0.43955531035684464,0.5742982050996677,0.5704666509208377,0.548102726565118,0.8972601763209006,0.10237868970600811,0,1,0,0.05374249999294989
tonsil_s1__1,PASS,tonsil_s1,4326,4326,9a30299971a5d7e475f17257fe9e0b34c500544ec6da856aec78b09648d5ba83,7c1496a783c79c1cc8aae24d92715637300963e793fdfac76165e6b453827ce8,4,4,4,"[430, 1268, 1249, 1379]","[481, 1289, 1183, 1373]",153,e00097201bac0e1b77f460806ab298a37815429cac695d94b7e6f70ec955dc3f,selected:0,[0],0edbb940739812a97fb3825ed6cbff570e7ca35aabda25ea5655fbca7676505e,retained,both_similar,full,full,1,1,1,0.2,10,10,False,0.2205921774186391,0.30409413228289045,0.3034845644545975,0.49196365093379574,0.6983538136797929,0.3019214082962689,0,1,0,0.06936350000614766
tonsil_s1__2,PASS,tonsil_s1,4326,4326,9a30299971a5d7e475f17257fe9e0b34c500544ec6da856aec78b09648d5ba83,7c1496a783c79c1cc8aae24d92715637300963e793fdfac76165e6b453827ce8,4,4,4,"[430, 1268, 1249, 1379]","[481, 1289, 1183, 1373]",153,e00097201bac0e1b77f460806ab298a37815429cac695d94b7e6f70ec955dc3f,selected:0,[0],0edbb940739812a97fb3825ed6cbff570e7ca35aabda25ea5655fbca7676505e,retained,both_similar,full,full,1,1,1,0.2,10,10,False,0.2205921774186391,0.30409413228289045,0.3034845644545975,0.49196365093379574,0.6983538136797929,0.3019214082962689,0,1,0,0.06751210000948049
tonsil_s2__1,PASS,tonsil_s2,4519,4518,a5e06f660ef432696b1e4ee3573d3b7b4843ced9a4e0505485f5ec008f3a39c5,b2ad38e93aca833959913a3993221e4f6a55c4088b803e383f96242c4677bd60,4,4,4,"[1187, 1338, 686, 1308]","[1029, 1364, 455, 1671]",567,a76d48cfe12037f3984d51c79219d50b9cbb6ff93cde1d30f72dffcbea1c6848,kit:6,[],63c3c5a082e37c72b8e7a3bc99dbd01814b8af4895267ad57a77bcfdb64c1779,view2,either_similar,full,full,1,1,1,1.0,10,10,False,0.23647081691263613,0.2786754606859548,0.2780719519707367,0.5001571094808974,0.7108886455507388,0.28857660110587624,0,1,0,0.07980729998962488
