lane,control,feature_solver,edge_solver,omp_threads,mkl_threads,absolute_ari,absolute_nmi,partition_sha256,classification
MISAR_E15_5_S1,MISAR_E15_5_S1_randomized_thread1,randomized,randomized,1,1,0.5347436001975807,0.6546074123134797,92a64cb26fb510e8f72d6dd2b6c4278542674fd37b9cf3be7e664ca38db92c3b,THREAD_SENSITIVE_PARTITION
MISAR_E15_5_S1,MISAR_E15_5_S1_randomized_thread8,randomized,randomized,8,8,0.5341286880745391,0.6532487107301191,fa4e7c91f2a8a8fbcb02cc4edfa1b9a9d52b88b54039c5f1b81b3b719e8b005e,THREAD_SENSITIVE_PARTITION
P22,P22_randomized_thread1,randomized,randomized,1,1,0.5829734889453989,0.7026799735829306,e5646a134bcd7b098ca274acadf3b1c4e609b992740a3e4c15a53b24ef4a3314,THREAD_SENSITIVE_PARTITION
P22,P22_randomized_thread8,randomized,randomized,8,8,0.5837052294934976,0.7029717208771477,1324ac1560754d7e72e7eeaccb569e2b9e18a0d115bbd9b719e0489fb5c48c84,THREAD_SENSITIVE_PARTITION
tonsil_s1,tonsil_s1_randomized_thread1,randomized,randomized,1,1,0.22060154460028786,0.30422548661148047,0e86ce8ff299aa6906cac1ffe5bf51eb2074ca633a142a73a3df9fcb09573a43,THREAD_SENSITIVE_PARTITION
tonsil_s1,tonsil_s1_randomized_thread8,randomized,randomized,8,8,0.22052866311385153,0.30447318822778724,40f20f2d6cc4347507c8f74410f355cebb62a77c18338e978f3a458e32f054c0,THREAD_SENSITIVE_PARTITION
tonsil_s3,S3_RANDOMIZED_THREAD8_PEAK,randomized,randomized,8,8,0.31740982325559586,0.2753431099367105,fa8acf170a4498b30b620be005fc96ba4b3536657257e2b8ddf569301bd96548,DEVELOPMENT_PEAK
tonsil_s3,S3_RANDOMIZED_UNFIXED,randomized,randomized,UNSET,UNSET,0.3007666499042576,0.2406481413042525,2e8b20f05a93c930c49c71825eef9e5030ec02ee5f94528562c270cf6813a90a,STABLE_CONTROL
tonsil_s3,S3_FULL_SVD_THREAD1,full,full,1,1,0.2757015172878732,0.2255455471236533,3cef4c3bec5d8ab1fff831230882d4bb6d21f806301659ea28f71253adcd35b0,STABLE_CONTROL
tonsil_s3,S3_NOPCA_VIEW1_THREAD1,none,none,1,1,0.30126823969952854,0.24584455373516984,9a8f6d9cabf49f516ee90cc3c7c0385f80e77d99fc2c1b064bd111a82e34308b,STABLE_CONTROL
tonsil_s3,S3_NOPCA_CONCAT_THREAD1_STABLE,none,none,1,1,0.3112425801611686,0.27815435529702826,0b7489cab7114ee98f03c3946aa1d69b20fdbb939fda732859aa43153a06d9b9,STABLE_CONTROL
