lane,k,total_observations,evaluated_observations,profile,reporting_role,evidence_path,absolute_ari,absolute_nmi,delta_ari_vs_night15f,delta_nmi_vs_night15f,ami,fmi,morans_i,gearys_c,min_cluster_size,cluster_sizes,config_id,feature_variant,partition_sha256,public_labels_used_for_cross_run_hpo,labels_in_representation_energy_or_head,note
A1,10,3484,3484,BALANCED,HEADLINE,OPTIONAL_MORPHOLOGY_ENERGY,0.2760026589984753,0.42173983941218224,0.00045983184070413907,0.001601913781647868,0.4179696235567275,0.41627457695164916,0.5620517715044797,0.4410940841343784,114,"[277,773,568,182,307,790,168,114,121,184]",O02_0039_a5dd21c47d50a5,HANDCRAFTED_D64,9bcf8dbf19dded510dbe24ecb034809a899c553db7b1cd446d64948af2e4d69a,1,0,tiny dual-positive development signal
D1,10,3359,3359,NONMICRO_BALANCED,HEADLINE,MORPHOLOGY_COORDINATE_HEAD,0.28887600833487515,0.41376160498731795,0.033832498379883946,0.024406063183973814,0.40978764603830026,0.4287826612792442,0.5185403685209878,0.48410843335978476,86,"[208,194,114,141,967,289,530,162,668,86]",RESNET18_D64__MW0.5__CW0.03__PCA64__GMM_TIED__S2,RESNET18_D64,19c4dd4f1cb502e5b02a6b2b4f373e2716c5877a2763b6aa0a7eff717dfa3aaf,1,0,one-percent minimum-cluster constraint; no microcluster
D1,10,3359,3359,MAX_ARI,DEVELOPMENT_CEILING_WITH_SINGLETON,MORPHOLOGY_COORDINATE_HEAD,0.35072852591573367,0.4160321154515217,0.09568501596074247,0.02667657364817755,0.4120602498770831,0.5046990624981091,0.43167150598661835,0.5559855715906041,1,"[982,61,235,214,124,1273,111,348,1,10]",RESNET18_D32__MW0.2__CW0.03__PCA64__GMM_TIED__S0,RESNET18_D32,e8ba25984a3ea684618036be21af2644b4c304b7e32a97dc73d0f719ca7a2857,1,0,preserved score ceiling; min cluster size one
D1,10,3359,3359,STAGE2_BALANCED,ALTERNATE_WITH_SINGLETON,MORPHOLOGY_SEEDED_MOLECULAR_ENERGY,0.31536507449698037,0.3971004793114793,0.06032156454198917,0.007744937508135152,0.3931299774455233,0.4856611486439658,0.5306632551504358,0.48969476820223984,1,"[36,278,111,125,123,1290,1,291,1,1103]",R0725_2dd22f32cd729d,morphology-seeded initial partition; molecular Stage1/Stage2,a5b6ffd5b89950ad7810fc834d641c3cf7bd67cd94a252381fa23803420e1ebd,1,0,not an active morphology representation in Stage2; min cluster one
tonsil_s3,4,4521,4460,BALANCED,HEADLINE,OPTIONAL_MORPHOLOGY_ENERGY,0.349880567011789,0.3092665192529602,0.008773509501548704,0.00830041039957552,0.3086238611787992,0.6140297558071146,0.6985861585973758,0.3082255291358738,295,"[2468,574,1184,295]",O02_0061_524c62f714bfa7,HANDCRAFTED_D64,e55511857d19f1d0a1b97fc5c90074b76116eacb95081f5f5d0af1c541dd2e75,1,0,material dual-positive development signal
tonsil_s3,4,4521,4460,MAX_NMI,ALTERNATE,OPTIONAL_MORPHOLOGY_ENERGY,0.34859691408366544,0.3107552444500985,0.007489856573425158,0.009789135596713794,0.31011401852744,0.6132796713749524,0.6999033342536702,0.30722784982500473,296,"[2469,574,1182,296]",O02_0108_9e337265103bd6,HANDCRAFTED_D64,2ffd417ed5361ccaa2a6e5a03710118b369c93b83867bca916f97398cb27dfa8,1,0,separate max-NMI profile
tonsil_s1,4,4326,4326,MISSING_VIEW_EXACT_FALLBACK,NO_NEW_MORPHOLOGY_EVIDENCE,NIGHT15F_MOLECULAR_AUTHORITY,0.23622005623915696,0.3168843080420388,0.0,0.0,0.3162853699022593,0.5030502656786058,0.7260510446667428,0.2739283086541015,478,"[478,1300,1142,1406]",C0774_b295b03a8ad031,MORPHOLOGY_ABSENT,57f469992e9ff6bd56bc97efb7e40cdee70f323f8b0624551a668d50fc1c28eb,1,0,"no registered image; exact Night-15F fallback, not a Night-15G gain"
tonsil_s2,4,4519,4518,MISSING_VIEW_EXACT_FALLBACK,NO_NEW_MORPHOLOGY_EVIDENCE,NIGHT15F_MOLECULAR_AUTHORITY,0.2575602926237894,0.31187103018718415,0.0,0.0,0.3112943000162638,0.5149291389253666,0.7654544262798753,0.23383012126927366,443,"[1012,1395,443,1669]",tonsil_s2__R0091_ec7e54697c6341,MORPHOLOGY_ABSENT,75f13757ca7105bca3955b58ac4223f2e40a22a08ba146c796dbc3ad12aa2061,1,0,"no registered image; exact Night-15F fallback, not a Night-15G gain"
P22,9,9196,9196,MISSING_VIEW_EXACT_FALLBACK,NO_NEW_MORPHOLOGY_EVIDENCE,NIGHT15F_MOLECULAR_AUTHORITY,0.5939121542899773,0.7142428513607495,0.0,0.0,0.7137491497344995,0.6540724542323064,0.9294834701115051,0.07321619090500334,166,"[1147,620,1490,793,1033,1519,614,1814,166]",P22__R0071_d60a73221abf6c,MORPHOLOGY_ABSENT,3fb0397efa846c8df34debc9a63b54e343261e525450a00d2e319513861ab4e8,1,0,"no registered image; exact Night-15F fallback, not a Night-15G gain"
P22_3DOT_K18,18,9196,9196,MISSING_VIEW_EXACT_FALLBACK,NO_NEW_MORPHOLOGY_EVIDENCE,NIGHT15F_MOLECULAR_AUTHORITY,0.7396852743147485,0.7542182135683022,0.0,0.0,0.7526119602331741,0.7680654721490351,0.8697404805206036,0.1323594772732142,23,"[764,2276,1013,578,624,593,591,174,45,23,451,143,356,142,26,431,680,286]",P22_3DOT_K18__R0001_3fedba6af5ec01,MORPHOLOGY_ABSENT,9dd5ba3ffc79ecada004655bb79d663c7b3f1494e81635762f21f8f99887f447,1,0,"no registered image; exact Night-15F fallback, not a Night-15G gain"
