ablation,absolute_ari,absolute_nmi,accepted_expansions,ami,changed_observations,cycle_energy_ledger_json,each_frozen_cycle_monotone,fmi,gearys_c,lane,mean_optional_conflict,mean_optional_consistency,mean_optional_presence,mean_optional_reliability,mean_pair_weight,mean_prototype_margin,mean_retained_weight,mean_self_return,mean_view1_weight,mean_view2_weight,min_cluster_size,min_cluster_size_before,missing_view_exact_fallback,morans_i,observed_cardinality,optional_view_present,optional_weight_noop,pair_edge_count,partition_sha256,scale_broad_normalized,scale_fine_normalized,scale_registered_normalized,total_move_assignments,evidence_path
FULL,0.2760026589984753,0.42173983941218224,9.0,0.4179696235567275,41.0,"[{""cycle_index"":0,""start_energy"":2349.1814860476334,""end_energy"":2335.640302637736,""accepted_expansions"":8,""move_assignments"":40},{""cycle_index"":1,""start_energy"":2275.561994040529,""end_energy"":2275.437118047285,""accepted_expansions"":1,""move_assignments"":2}]",1.0,0.41627457695164916,0.4410940841343784,A1,0.2540733814239502,0.37795162200927734,1.0,0.8895689845085144,0.028451071218850203,0.7351250052452087,0.7570363283157349,0.44757232688779996,0.16383250057697296,0.0791310966014862,114.0,114.0,0.0,0.5620517715044797,10.0,1.0,,33824.0,9bcf8dbf19dded510dbe24ecb034809a899c553db7b1cd446d64948af2e4d69a,0.02520848996937275,0.9490246176719666,0.025766881182789803,42.0,OPTIONAL_MORPHOLOGY_ENERGY
RELIABILITY_CONSTANT,0.27304280509144213,0.4185482003362038,12.0,0.4147628552007662,63.0,"[{""cycle_index"":0,""start_energy"":2488.191753037103,""end_energy"":2470.444494439614,""accepted_expansions"":8,""move_assignments"":49},{""cycle_index"":1,""start_energy"":2408.9676416351917,""end_energy"":2406.077570774324,""accepted_expansions"":4,""move_assignments"":15}]",1.0,0.41347470137324205,0.43235692468991455,A1,0.2540733814239502,0.37795162200927734,1.0,1.0,0.028451071218850203,0.7357742786407471,0.7568156719207764,0.44757232688779996,0.1615908443927765,0.08159347623586655,114.0,114.0,0.0,0.5706258103145416,10.0,1.0,,33824.0,ddfe956bb7f14a06d02eedf8f3b6e8d20d3860501a12011867410c3a8d28d544,0.02520848996937275,0.9490246176719666,0.025766881182789803,64.0,OPTIONAL_MORPHOLOGY_ENERGY
UNARY_ONLY,0.2760026589984753,0.42173983941218224,9.0,0.4179696235567275,41.0,"[{""cycle_index"":0,""start_energy"":2349.1814860476334,""end_energy"":2335.640302637736,""accepted_expansions"":8,""move_assignments"":40},{""cycle_index"":1,""start_energy"":2275.561994040529,""end_energy"":2275.437118047285,""accepted_expansions"":1,""move_assignments"":2}]",1.0,0.41627457695164916,0.4410940841343784,A1,0.2540733814239502,0.37795162200927734,1.0,0.8895689845085144,0.028451071218850203,0.7351250052452087,0.7570363283157349,0.44757232688779996,0.16383250057697296,0.0791310966014862,114.0,114.0,0.0,0.5620517715044797,10.0,1.0,,33824.0,9bcf8dbf19dded510dbe24ecb034809a899c553db7b1cd446d64948af2e4d69a,0.02520848996937275,0.9490246176719666,0.025766881182789803,42.0,OPTIONAL_MORPHOLOGY_ENERGY
EDGE_ONLY,0.2755428271577712,0.42013792563053437,,0.416352017706177,0.0,[],,0.41617003213053055,0.45350466687129093,A1,,,,,,,,,,,,,0.0,0.549704453415092,10.0,1.0,1.0,,db0f4674c544bb996d45d3123f4d1a4813a2eccff1def238145d9712e55fc86f,,,,,OPTIONAL_MORPHOLOGY_ENERGY
CONSISTENCY_OFF,0.27397263506486147,0.4197610790914782,12.0,0.41598139184844274,48.0,"[{""cycle_index"":0,""start_energy"":2372.782013259657,""end_energy"":2359.272883441009,""accepted_expansions"":8,""move_assignments"":36},{""cycle_index"":1,""start_energy"":2309.0284662802596,""end_energy"":2308.1050084892977,""accepted_expansions"":4,""move_assignments"":13}]",1.0,0.41436186393255414,0.4384238244757198,A1,0.2540733814239502,0.37795162200927734,1.0,0.893756091594696,0.028451071218850203,0.7357118725776672,0.7561374306678772,0.44757232688779996,0.16459505259990692,0.07926751673221588,114.0,114.0,0.0,0.5644598769169844,10.0,1.0,,33824.0,86b47b1d59d4ab4fb6158c5a114b3680fc0f777b013a5766baef32eab133809b,0.02520848996937275,0.9490246176719666,0.025766881182789803,49.0,OPTIONAL_MORPHOLOGY_ENERGY
CONFLICT_OFF,0.2734644237286718,0.41886684603660673,13.0,0.4150816618116209,56.0,"[{""cycle_index"":0,""start_energy"":2403.9553750528175,""end_energy"":2389.846547724644,""accepted_expansions"":8,""move_assignments"":43},{""cycle_index"":1,""start_energy"":2329.855723829905,""end_energy"":2328.3354392162914,""accepted_expansions"":5,""move_assignments"":14}]",1.0,0.41393034470288365,0.43458544056076304,A1,0.2540733814239502,0.37795162200927734,1.0,0.9233118295669556,0.028451071218850203,0.7341668605804443,0.7571074366569519,0.44757232688779996,0.16287776827812195,0.08001484721899033,114.0,113.0,0.0,0.5683432525156552,10.0,1.0,,33824.0,d454396f718674f0f9344f81f85309ff90a213bcfa70af13cd599e083cfd203c,0.02520848996937275,0.9490246176719666,0.025766881182789803,57.0,OPTIONAL_MORPHOLOGY_ENERGY
MARGIN_OFF,0.2755467943641836,0.42171844789106877,10.0,0.41794755164113623,41.0,"[{""cycle_index"":0,""start_energy"":2324.8947630150396,""end_energy"":2313.2782428118194,""accepted_expansions"":8,""move_assignments"":40},{""cycle_index"":1,""start_energy"":2254.062165275475,""end_energy"":2253.9453730134837,""accepted_expansions"":2,""move_assignments"":2}]",1.0,0.41592328273996587,0.4409872214331081,A1,0.2540733814239502,0.37795162200927734,1.0,0.8732408285140991,0.028451071218850203,0.7356911897659302,0.7559010982513428,0.44757232688779996,0.16383831202983856,0.08026062697172165,114.0,114.0,0.0,0.5620092866059828,10.0,1.0,,33824.0,c5b490b36f7e3cb517d4801617149dfd800e03c5e64c3dd1dfea698d23cbeb9c,0.02520848996937275,0.9490246176719666,0.025766881182789803,42.0,OPTIONAL_MORPHOLOGY_ENERGY
PERMUTED_MORPHOLOGY,0.2736694924142009,0.4178676083649841,15.0,0.4140727384070742,46.0,"[{""cycle_index"":0,""start_energy"":3695.9811650289375,""end_energy"":3679.118149013616,""accepted_expansions"":10,""move_assignments"":38},{""cycle_index"":1,""start_energy"":3640.8903068018926,""end_energy"":3638.6307530126783,""accepted_expansions"":5,""move_assignments"":11}]",1.0,0.41431405780492525,0.44620358049445397,A1,0.20602095127105713,0.36835068464279175,1.0,0.8741663694381714,0.028451071218850203,0.7427680492401123,0.758314847946167,0.44757232688779996,0.16437245905399323,0.0773126557469368,115.0,113.0,0.0,0.5568069335302118,10.0,1.0,,33824.0,5e0cbdded0f82efe327fa0f67b0995ced57b3ba39a5740c94fcd78fbdf8e0523,0.02520848996937275,0.9490246176719666,0.025766881182789803,49.0,OPTIONAL_MORPHOLOGY_ENERGY
MISSING_VIEW,0.2755428271577712,0.42013792563053437,,0.416352017706177,0.0,[],,0.41617003213053055,0.45350466687129093,A1,,,,,,,,,,,,,1.0,0.549704453415092,10.0,0.0,,,db0f4674c544bb996d45d3123f4d1a4813a2eccff1def238145d9712e55fc86f,,,,,OPTIONAL_MORPHOLOGY_ENERGY
FULL,0.349880567011789,0.3092665192529602,10.0,0.3086238611787992,42.0,"[{""cycle_index"":0,""start_energy"":1071.605629953901,""end_energy"":1055.195951055746,""accepted_expansions"":4,""move_assignments"":31},{""cycle_index"":1,""start_energy"":1028.139467293873,""end_energy"":1026.4423352353242,""accepted_expansions"":3,""move_assignments"":8},{""cycle_index"":2,""start_energy"":1018.2189738139476,""end_energy"":1018.0853799463274,""accepted_expansions"":3,""move_assignments"":3}]",1.0,0.6140297558071146,0.3082255291358738,tonsil_s3,0.21646474301815033,0.36479297280311584,1.0,0.3186989724636078,0.027820214021207906,1.2974331378936768,0.019241899251937866,0.4719266989060159,0.024439150467514992,0.9563188552856445,295.0,294.0,0.0,0.6985861585973758,4.0,1.0,,42908.0,e55511857d19f1d0a1b97fc5c90074b76116eacb95081f5f5d0af1c541dd2e75,0.38229838013648987,0.011392967775464058,0.60630863904953,42.0,OPTIONAL_MORPHOLOGY_ENERGY
