lane,stage,candidate_id,parent_candidate_id,start_name,start_partition_sha256,config_json,complexity,status,failure,partition_key,exact_k,finite,min_cluster_size,cluster_sizes,normalized_cluster_entropy,graph_same_fraction,partition_sha256,repair_enabled,repair_threshold,repair_merged_clusters,repair_split_clusters,repair_boundary_moves,wall_seconds,absolute_ari,absolute_nmi,ami,fmi,morans_i,gearys_c,evaluated_observations,source_stage,source_directory
D1,coarse,COARSE_44c13fe1e522cdde,,extra::balanced,359e3185b2ab84c7ba897775c152b48261c2fdcc7b54d76de3c2667bb923a202,"{""boundary_refine_beta"":0.0,""boundary_refine_sweeps"":0,""enabled"":true,""feature_mode"":""molecular"",""merge_boundary_weight"":0.0,""merge_mode"":""pointwise"",""min_cluster_fraction_of_equal"":0.03,""seed"":0,""split_cluster_score"":""mean"",""split_mode"":""pca_quantile"",""split_quantile"":0.35}",1,PASS,,p_b72230901c722436feb453532077d48561f7182dc5ce727657f424c42a1979e3,1,1,44,"[44,245,227,210,480,140,822,145,366,680]",0.8940699677941836,0.5420849420849421,b72230901c722436feb453532077d48561f7182dc5ce727657f424c42a1979e3,1,11,1,1,0,0.0063691000104881,0.2265845533027289,0.3714832330736713,0.3672938738815492,0.3721309451731164,0.5295598484472472,0.4753178952469816,3359,coarse_d1,D:\文档\ChatGPT\博士第一篇科研论文项目\night16b_local_work\working\coarse_d1
D1,coarse,COARSE_02ffb0f806440225,,extra::balanced,359e3185b2ab84c7ba897775c152b48261c2fdcc7b54d76de3c2667bb923a202,"{""boundary_refine_beta"":0.0,""boundary_refine_sweeps"":0,""enabled"":true,""feature_mode"":""molecular"",""merge_boundary_weight"":0.25,""merge_mode"":""pointwise"",""min_cluster_fraction_of_equal"":0.05,""seed"":1,""split_cluster_score"":""mean"",""split_mode"":""pca_quantile"",""split_quantile"":0.5}",1,PASS,,p_b57c2fcf5cfb5521267c9bed3197fdae34c450224043174a21dfc11de900fae1,1,1,44,"[44,245,227,210,480,140,822,145,523,523]",0.9002585272879097,0.528957528957529,b57c2fcf5cfb5521267c9bed3197fdae34c450224043174a21dfc11de900fae1,1,17,1,1,0,0.004988200002117,0.2297390965068931,0.3715279637056796,0.3673560839635316,0.3733962528018105,0.5275781732531762,0.4774143110653221,3359,coarse_d1,D:\文档\ChatGPT\博士第一篇科研论文项目\night16b_local_work\working\coarse_d1
D1,coarse,COARSE_bc5a53d7fc02ff99,,extra::balanced,359e3185b2ab84c7ba897775c152b48261c2fdcc7b54d76de3c2667bb923a202,"{""boundary_refine_beta"":0.0,""boundary_refine_sweeps"":0,""enabled"":true,""feature_mode"":""molecular"",""merge_boundary_weight"":0.75,""merge_mode"":""pointwise"",""min_cluster_fraction_of_equal"":0.075,""seed"":2,""split_cluster_score"":""mean"",""split_mode"":""kmeans2"",""split_quantile"":0.5}",1,PASS,,p_9d0d9abfb8cdc07090fee15eb0a09f3c935931c4e6d0abaeacc7ed1c29fe063b,1,1,44,"[44,245,227,210,480,140,822,145,525,521]",0.9002575384305084,0.533075933075933,9d0d9abfb8cdc07090fee15eb0a09f3c935931c4e6d0abaeacc7ed1c29fe063b,1,26,1,1,0,0.1229406000056769,0.2327591757366191,0.373275103571041,0.3691148188322647,0.3759388954277879,0.5306747560686924,0.4743181918175061,3359,coarse_d1,D:\文档\ChatGPT\博士第一篇科研论文项目\night16b_local_work\working\coarse_d1
D1,coarse,COARSE_b7c7ae5fe4849572,,extra::balanced,359e3185b2ab84c7ba897775c152b48261c2fdcc7b54d76de3c2667bb923a202,"{""boundary_refine_beta"":0.0,""boundary_refine_sweeps"":0,""enabled"":true,""feature_mode"":""molecular"",""merge_boundary_weight"":0.25,""merge_mode"":""clusterwise"",""min_cluster_fraction_of_equal"":0.1,""seed"":3,""split_cluster_score"":""sse"",""split_mode"":""pca_quantile"",""split_quantile"":0.35}",1,PASS,,p_b72230901c722436feb453532077d48561f7182dc5ce727657f424c42a1979e3,1,1,44,"[44,245,227,210,480,140,822,145,366,680]",0.8940699677941836,0.5420849420849421,b72230901c722436feb453532077d48561f7182dc5ce727657f424c42a1979e3,1,34,1,1,0,0.0052626999968197,0.2265845533027289,0.3714832330736713,0.3672938738815492,0.3721309451731164,0.5295598484472472,0.4753178952469816,3359,coarse_d1,D:\文档\ChatGPT\博士第一篇科研论文项目\night16b_local_work\working\coarse_d1
D1,coarse,COARSE_385a9d82bad27a96,,extra::balanced,359e3185b2ab84c7ba897775c152b48261c2fdcc7b54d76de3c2667bb923a202,"{""boundary_refine_beta"":0.0,""boundary_refine_sweeps"":0,""enabled"":true,""feature_mode"":""molecular"",""merge_boundary_weight"":0.75,""merge_mode"":""clusterwise"",""min_cluster_fraction_of_equal"":0.15,""seed"":4,""split_cluster_score"":""mean"",""split_mode"":""pca_quantile"",""split_quantile"":0.65}",1,PASS,,p_f8b9f1dc6770ae42a5b0ced7153beb13924983b4a959683695316a0245d86605,1,1,140,"[245,227,210,480,140,534,189,680,366,288]",0.9496435204559084,0.5134277134277134,f8b9f1dc6770ae42a5b0ced7153beb13924983b4a959683695316a0245d86605,1,51,2,2,0,0.0102904000086709,0.224866261223756,0.3669998706252267,0.3629100391522287,0.3630451003759404,0.500023569812714,0.5005299898052915,3359,coarse_d1,D:\文档\ChatGPT\博士第一篇科研论文项目\night16b_local_work\working\coarse_d1
D1,coarse,COARSE_08c66b6f03956545,,extra::balanced,359e3185b2ab84c7ba897775c152b48261c2fdcc7b54d76de3c2667bb923a202,"{""boundary_refine_beta"":0.0,""boundary_refine_sweeps"":0,""enabled"":true,""feature_mode"":""molecular"",""merge_boundary_weight"":0.75,""merge_mode"":""pointwise"",""min_cluster_fraction_of_equal"":0.2,""seed"":5,""split_cluster_score"":""boundary"",""split_mode"":""kmeans2"",""split_quantile"":0.5}",1,PASS,,p_a5962dde2079ac9d869730414585a2f5056b2463a86262ea63b9b8cf2b3df226,1,1,140,"[245,229,210,480,140,390,187,553,493,432]",0.9602538051050232,0.5105105105105106,a5962dde2079ac9d869730414585a2f5056b2463a86262ea63b9b8cf2b3df226,1,68,2,2,0,0.0499103000038303,0.2128799553914737,0.364381384173946,0.3603022621239615,0.3507634743991148,0.5000614928100897,0.5012890786638946,3359,coarse_d1,D:\文档\ChatGPT\博士第一篇科研论文项目\night16b_local_work\working\coarse_d1
D1,coarse,COARSE_8717dda26c136a26,,extra::balanced,359e3185b2ab84c7ba897775c152b48261c2fdcc7b54d76de3c2667bb923a202,"{""boundary_refine_beta"":0.02,""boundary_refine_sweeps"":1,""enabled"":true,""feature_mode"":""molecular"",""merge_boundary_weight"":0.25,""merge_mode"":""pointwise"",""min_cluster_fraction_of_equal"":0.05,""seed"":6,""split_cluster_score"":""mean"",""split_mode"":""pca_quantile"",""split_quantile"":0.5}",2,PASS,,p_a97e60139b0cdf68a7c1146c6193c81618f40d745b747d6daec483a1b5771506,1,1,47,"[47,244,251,200,433,147,902,161,420,554]",0.8985246504526251,0.772972972972973,a97e60139b0cdf68a7c1146c6193c81618f40d745b747d6daec483a1b5771506,1,17,1,1,930,0.152350500022294,0.2035419804262836,0.3475034723108909,0.3431640183765942,0.3527395227759842,0.7447948716277434,0.2600829335582092,3359,coarse_d1,D:\文档\ChatGPT\博士第一篇科研论文项目\night16b_local_work\working\coarse_d1
D1,coarse,COARSE_4c7909b662df2d6c,,extra::balanced,359e3185b2ab84c7ba897775c152b48261c2fdcc7b54d76de3c2667bb923a202,"{""boundary_refine_beta"":0.05,""boundary_refine_sweeps"":1,""enabled"":true,""feature_mode"":""molecular"",""merge_boundary_weight"":0.75,""merge_mode"":""clusterwise"",""min_cluster_fraction_of_equal"":0.075,""seed"":7,""split_cluster_score"":""sse"",""split_mode"":""kmeans2"",""split_quantile"":0.5}",2,PASS,,p_140b0bb9504568fdc4205dd89aac1db90756f4ec7d7cd6080203ee882b8dd9e9,1,1,47,"[47,238,251,193,443,141,898,165,525,458]",0.8981277324006606,0.7789789789789789,140b0bb9504568fdc4205dd89aac1db90756f4ec7d7cd6080203ee882b8dd9e9,1,26,1,1,966,0.1770917999965604,0.2039798311276342,0.3481721799940904,0.343836452955831,0.3530302680146551,0.7533189221698373,0.2514013358551409,3359,coarse_d1,D:\文档\ChatGPT\博士第一篇科研论文项目\night16b_local_work\working\coarse_d1
D1,coarse,COARSE_329e7a598c342462,,extra::balanced,359e3185b2ab84c7ba897775c152b48261c2fdcc7b54d76de3c2667bb923a202,"{""boundary_refine_beta"":0.05,""boundary_refine_sweeps"":2,""enabled"":true,""feature_mode"":""molecular"",""merge_boundary_weight"":0.75,""merge_mode"":""pointwise"",""min_cluster_fraction_of_equal"":0.1,""seed"":8,""split_cluster_score"":""boundary"",""split_mode"":""pca_quantile"",""split_quantile"":0.4}",2,PASS,,p_8185297c072543beba060437bfb86038149da193258656e5ef81c58dcac1f23f,1,1,50,"[50,239,257,192,430,140,943,173,232,703]",0.8806813000247505,0.8267696267696267,8185297c072543beba060437bfb86038149da193258656e5ef81c58dcac1f23f,1,34,1,1,1252,0.2701026999857276,0.2026433821089692,0.340396213327685,0.3359564411616232,0.3563854021467793,0.7896962681908968,0.2142997624402459,3359,coarse_d1,D:\文档\ChatGPT\博士第一篇科研论文项目\night16b_local_work\working\coarse_d1
D1,coarse,COARSE_f3930b0a7cdbf527,,extra::balanced,359e3185b2ab84c7ba897775c152b48261c2fdcc7b54d76de3c2667bb923a202,"{""boundary_refine_beta"":0.1,""boundary_refine_sweeps"":1,""enabled"":true,""feature_mode"":""molecular"",""merge_boundary_weight"":0.25,""merge_mode"":""clusterwise"",""min_cluster_fraction_of_equal"":0.15,""seed"":9,""split_cluster_score"":""boundary"",""split_mode"":""pca_quantile"",""split_quantile"":0.6}",2,PASS,,p_20d5abd84bd56158b2cb519967c9de6384f68b9fd383de99938edc14d37cb858,1,1,132,"[241,255,216,487,132,507,224,586,433,278]",0.959480461295612,0.7655083655083655,20d5abd84bd56158b2cb519967c9de6384f68b9fd383de99938edc14d37cb858,1,51,2,2,1041,0.1597171000030357,0.1760144906811198,0.3374729335107784,0.3332184840585852,0.3182841448282462,0.7454715467810853,0.2554121722603625,3359,coarse_d1,D:\文档\ChatGPT\博士第一篇科研论文项目\night16b_local_work\working\coarse_d1
