lane,stage,candidate_id,parent_candidate_id,start_name,start_partition_sha256,config_json,complexity,status,failure,partition_key,exact_k,finite,min_cluster_size,cluster_sizes,normalized_cluster_entropy,graph_same_fraction,partition_sha256,repair_enabled,repair_threshold,repair_merged_clusters,repair_split_clusters,repair_boundary_moves,wall_seconds,absolute_ari,absolute_nmi,ami,fmi,morans_i,gearys_c,evaluated_observations,source_stage,source_directory
A1,coarse,COARSE_e49c1eb6eba29668,,parent_frontier,9bcf8dbf19dded510dbe24ecb034809a899c553db7b1cd446d64948af2e4d69a,"{""boundary_refine_beta"":0.0,""boundary_refine_sweeps"":0,""enabled"":false,""feature_mode"":""retained"",""merge_boundary_weight"":0.0,""merge_mode"":""pointwise"",""min_cluster_fraction_of_equal"":0.0,""seed"":0,""split_cluster_score"":""mean"",""split_mode"":""pca_quantile"",""split_quantile"":0.5}",0,PASS,,p_9bcf8dbf19dded510dbe24ecb034809a899c553db7b1cd446d64948af2e4d69a,1,1,114,"[277,773,568,182,307,790,168,114,121,184]",0.8972182160422406,0.6082388948630987,9bcf8dbf19dded510dbe24ecb034809a899c553db7b1cd446d64948af2e4d69a,0,0,0,0,0,0.000815400009742,0.2760026589984753,0.4217398394121822,0.4179696235567275,0.4162745769516491,0.5620517715044797,0.4410940841343782,3484,coarse_primary,D:\文档\ChatGPT\博士第一篇科研论文项目\night16b_local_work\working\coarse_primary_other
D1,refine,REFINE_709aa511c3fd0ee0,REFINE_1e9e7bd1ede5214a,coarse::REFINE_1e9e7bd1ede5214a,7221dca58da9646b3ec027de9203e019b058c08b7758f0800c645154953cd46e,"{""boundary_refine_beta"":0.0,""boundary_refine_sweeps"":3,""enabled"":true,""feature_mode"":""molecular"",""merge_boundary_weight"":0.75,""merge_mode"":""clusterwise"",""min_cluster_fraction_of_equal"":0.15,""seed"":4,""split_cluster_score"":""mean"",""split_mode"":""pca_quantile"",""split_quantile"":0.65}",2,PASS,,p_62787ef341fd01198c121b8a43c1359d8191674253ead3ce355323fe2ab39426,1,1,55,"[998,90,1082,133,212,370,93,209,55,117]",0.7921774665872469,0.6640926640926641,62787ef341fd01198c121b8a43c1359d8191674253ead3ce355323fe2ab39426,1,51,0,0,365,0.3969854000024497,0.3651735437579217,0.4445774430144442,0.4406181160034202,0.5042383351628853,0.6047180132381064,0.3982150049956685,3359,refine2_d1,D:\文档\ChatGPT\博士第一篇科研论文项目\night16b_local_work\working\refine2_d1
D1,refine,REFINE_a5c5549bf83caedd,REFINE_1e9e7bd1ede5214a,coarse::REFINE_1e9e7bd1ede5214a,7221dca58da9646b3ec027de9203e019b058c08b7758f0800c645154953cd46e,"{""boundary_refine_beta"":0.0,""boundary_refine_sweeps"":2,""enabled"":true,""feature_mode"":""molecular"",""merge_boundary_weight"":0.75,""merge_mode"":""clusterwise"",""min_cluster_fraction_of_equal"":0.15,""seed"":4,""split_cluster_score"":""mean"",""split_mode"":""pca_quantile"",""split_quantile"":0.65}",2,PASS,,p_b499f161429f75f5b350ccc50f188eac2aa20e44dffd5b9c4587a6eb3df97f4f,1,1,54,"[1030,88,1112,132,209,345,92,208,54,89]",0.777817658518746,0.6646932646932647,b499f161429f75f5b350ccc50f188eac2aa20e44dffd5b9c4587a6eb3df97f4f,1,51,0,0,263,0.2637583999894559,0.364994205143565,0.4471587180802874,0.4431808674545093,0.5070301681814353,0.5924852064317473,0.4108804653794957,3359,refine2_d1,D:\文档\ChatGPT\博士第一篇科研论文项目\night16b_local_work\working\refine2_d1
D1,refine,REFINE_cf56a3c9c9a50cc1,REFINE_5ebbf98156b6ccfd,coarse::REFINE_5ebbf98156b6ccfd,f0ac7aec2eec1873e17e65580ac32a47564818ddcf36aafc3e5934fa46786fb1,"{""boundary_refine_beta"":0.0,""boundary_refine_sweeps"":2,""enabled"":true,""feature_mode"":""molecular_coord_w0.03"",""merge_boundary_weight"":0.75,""merge_mode"":""clusterwise"",""min_cluster_fraction_of_equal"":0.15,""seed"":4,""split_cluster_score"":""mean"",""split_mode"":""pca_quantile"",""split_quantile"":0.65}",2,PASS,,p_631dace515dcfddd4e5cfecefd39f2aa718f8a0807971d5fc8917e261b06028e,1,1,54,"[1028,89,1113,132,208,346,92,208,54,89]",0.7780594707814517,0.6656370656370656,631dace515dcfddd4e5cfecefd39f2aa718f8a0807971d5fc8917e261b06028e,1,51,0,0,268,0.2615034999907948,0.3644138530408744,0.4474001702238062,0.4434246460610847,0.5065384914527907,0.5924394674195367,0.4107547795606691,3359,refine2_d1,D:\文档\ChatGPT\博士第一篇科研论文项目\night16b_local_work\working\refine2_d1
D1,refine,REFINE_0d1d695b2b5d9bc9,REFINE_d7c41da804a82857,coarse::REFINE_d7c41da804a82857,e5568a73a4429f26aa490756514f81658f207b8ac0aa20ebaea8f3faacb67264,"{""boundary_refine_beta"":0.0,""boundary_refine_sweeps"":1,""enabled"":true,""feature_mode"":""molecular_coord_w0.1"",""merge_boundary_weight"":0.0,""merge_mode"":""pointwise"",""min_cluster_fraction_of_equal"":0.01,""seed"":0,""split_cluster_score"":""mean"",""split_mode"":""pca_quantile"",""split_quantile"":0.35}",2,PASS,,p_5be4c21c20d490744c0d977fe265424667f3a0912f269ab7fb3b8bb01424058d,1,1,53,"[1050,90,1161,130,202,317,84,206,53,66]",0.7606539384053912,0.667009867009867,5be4c21c20d490744c0d977fe265424667f3a0912f269ab7fb3b8bb01424058d,1,4,0,0,142,0.1312564999971073,0.3625910985564323,0.4490490675893522,0.4450413106659743,0.5088175808256663,0.5733152821859117,0.430327721520691,3359,refine2_d1,D:\文档\ChatGPT\博士第一篇科研论文项目\night16b_local_work\working\refine2_d1
D1,refine,REFINE_b3f2c65e9da9f457,REFINE_1e9e7bd1ede5214a,coarse::REFINE_1e9e7bd1ede5214a,7221dca58da9646b3ec027de9203e019b058c08b7758f0800c645154953cd46e,"{""boundary_refine_beta"":0.0005,""boundary_refine_sweeps"":1,""enabled"":true,""feature_mode"":""molecular"",""merge_boundary_weight"":0.75,""merge_mode"":""clusterwise"",""min_cluster_fraction_of_equal"":0.15,""seed"":4,""split_cluster_score"":""mean"",""split_mode"":""pca_quantile"",""split_quantile"":0.65}",2,PASS,,p_0751214c2813f0c1f09aa79ecc34dacba623faad5385648384f6f1accc2bc354,1,1,54,"[1053,89,1158,132,202,314,84,205,54,68]",0.7613309288468897,0.6869154869154869,0751214c2813f0c1f09aa79ecc34dacba623faad5385648384f6f1accc2bc354,1,51,0,0,153,0.1366108999936841,0.3601735702477723,0.4533704380336812,0.4493952356604666,0.5068864546528252,0.5944373789555523,0.4095013524687695,3359,refine2_d1,D:\文档\ChatGPT\博士第一篇科研论文项目\night16b_local_work\working\refine2_d1
D1,refine,REFINE_53b223ec0a47c78e,REFINE_1e9e7bd1ede5214a,coarse::REFINE_1e9e7bd1ede5214a,7221dca58da9646b3ec027de9203e019b058c08b7758f0800c645154953cd46e,"{""boundary_refine_beta"":0.001,""boundary_refine_sweeps"":1,""enabled"":true,""feature_mode"":""molecular"",""merge_boundary_weight"":0.75,""merge_mode"":""clusterwise"",""min_cluster_fraction_of_equal"":0.15,""seed"":4,""split_cluster_score"":""mean"",""split_mode"":""pca_quantile"",""split_quantile"":0.65}",2,PASS,,p_4a5ab3ac816d9b1832ef2a8a380888bdb009d262d670196f7881bfe88b238e91,1,1,51,"[1055,90,1156,132,204,312,84,206,51,69]",0.7611871556607421,0.714028314028314,4a5ab3ac816d9b1832ef2a8a380888bdb009d262d670196f7881bfe88b238e91,1,51,0,0,202,0.1345689999870956,0.3573943587234166,0.4541090013588941,0.4501396255417964,0.5047291735453473,0.6183862897600317,0.3858021310996448,3359,refine2_d1,D:\文档\ChatGPT\博士第一篇科研论文项目\night16b_local_work\working\refine2_d1
tonsil_s1,coarse,COARSE_0388234583f93edf,,parent_frontier,e295e970c84d33c1ec13ad3be498846ee59c3b4c3cb3f3b6ee5c35ed73ccb6da,"{""boundary_refine_beta"":0.0,""boundary_refine_sweeps"":0,""enabled"":false,""feature_mode"":""retained"",""merge_boundary_weight"":0.0,""merge_mode"":""pointwise"",""min_cluster_fraction_of_equal"":0.0,""seed"":0,""split_cluster_score"":""mean"",""split_mode"":""pca_quantile"",""split_quantile"":0.5}",0,PASS,,p_e295e970c84d33c1ec13ad3be498846ee59c3b4c3cb3f3b6ee5c35ed73ccb6da,1,1,478,"[478,1301,1141,1406]",0.9532838170734512,0.8002544529262087,e295e970c84d33c1ec13ad3be498846ee59c3b4c3cb3f3b6ee5c35ed73ccb6da,0,0,0,0,0,0.001035099994624,0.2365355019438236,0.3171179292228705,0.3165191882593222,0.5032711126740634,0.7263567315820176,0.2736187146925177,4326,coarse_primary,D:\文档\ChatGPT\博士第一篇科研论文项目\night16b_local_work\working\coarse_primary_other
tonsil_s2,coarse,COARSE_894b53b16bf2fab1,,parent_frontier,b56c96f9aa3c3463a0fb10094ed18b971aa96c78966e50609a578247ca8d6196,"{""boundary_refine_beta"":0.0,""boundary_refine_sweeps"":0,""enabled"":false,""feature_mode"":""retained"",""merge_boundary_weight"":0.0,""merge_mode"":""pointwise"",""min_cluster_fraction_of_equal"":0.0,""seed"":0,""split_cluster_score"":""mean"",""split_mode"":""pca_quantile"",""split_quantile"":0.5}",0,PASS,,p_b56c96f9aa3c3463a0fb10094ed18b971aa96c78966e50609a578247ca8d6196,1,1,445,"[1008,1395,445,1671]",0.9331586574539272,0.833791472223998,b56c96f9aa3c3463a0fb10094ed18b971aa96c78966e50609a578247ca8d6196,0,0,0,0,0,0.0009459000139031,0.2582642450087792,0.3143240809985105,0.3137494434429366,0.5154080732104173,0.7663242690025756,0.2328300648697517,4518,coarse_primary,D:\文档\ChatGPT\博士第一篇科研论文项目\night16b_local_work\working\coarse_primary_other
tonsil_s3,coarse,COARSE_6f0fe04e060b0169,,parent_frontier,0003aaac74f65273cf1b21b9f52070eb6f8ad11328b2b0f96d815c3e9ce83f43,"{""boundary_refine_beta"":0.0,""boundary_refine_sweeps"":0,""enabled"":false,""feature_mode"":""retained"",""merge_boundary_weight"":0.0,""merge_mode"":""pointwise"",""min_cluster_fraction_of_equal"":0.0,""seed"":0,""split_cluster_score"":""mean"",""split_mode"":""pca_quantile"",""split_quantile"":0.5}",0,PASS,,p_0003aaac74f65273cf1b21b9f52070eb6f8ad11328b2b0f96d815c3e9ce83f43,1,1,294,"[2470,573,1184,294]",0.8083977791012936,0.7930912687199774,0003aaac74f65273cf1b21b9f52070eb6f8ad11328b2b0f96d815c3e9ce83f43,0,0,0,0,0,0.0012468000059016,0.350644182009914,0.3097714630576775,0.3091290246560089,0.6146168233278212,0.6998615447437957,0.3070206899992176,4460,coarse_primary,D:\文档\ChatGPT\博士第一篇科研论文项目\night16b_local_work\working\coarse_primary_other
