lane,stage,candidate_id,parent_candidate_id,start_name,start_partition_sha256,config_json,complexity,status,failure,partition_key,exact_k,finite,min_cluster_size,cluster_sizes,normalized_cluster_entropy,graph_same_fraction,partition_sha256,repair_enabled,repair_threshold,repair_merged_clusters,repair_split_clusters,repair_boundary_moves,wall_seconds,absolute_ari,absolute_nmi,ami,fmi,morans_i,gearys_c,evaluated_observations,source_stage,source_directory,guard_fraction_of_equal,guard_threshold
A1,coarse,COARSE_e49c1eb6eba29668,,parent_frontier,9bcf8dbf19dded510dbe24ecb034809a899c553db7b1cd446d64948af2e4d69a,"{""boundary_refine_beta"":0.0,""boundary_refine_sweeps"":0,""enabled"":false,""feature_mode"":""retained"",""merge_boundary_weight"":0.0,""merge_mode"":""pointwise"",""min_cluster_fraction_of_equal"":0.0,""seed"":0,""split_cluster_score"":""mean"",""split_mode"":""pca_quantile"",""split_quantile"":0.5}",0,PASS,,p_9bcf8dbf19dded510dbe24ecb034809a899c553db7b1cd446d64948af2e4d69a,1,1,114,"[277,773,568,182,307,790,168,114,121,184]",0.8972182160422406,0.6082388948630987,9bcf8dbf19dded510dbe24ecb034809a899c553db7b1cd446d64948af2e4d69a,0,0,0,0,0,0.000815400009742,0.2760026589984753,0.4217398394121822,0.4179696235567275,0.4162745769516491,0.5620517715044797,0.4410940841343782,3484,coarse_primary,D:\文档\ChatGPT\博士第一篇科研论文项目\night16b_local_work\working\coarse_primary_other,0.0,0
A1,coarse,COARSE_e49c1eb6eba29668,,parent_frontier,9bcf8dbf19dded510dbe24ecb034809a899c553db7b1cd446d64948af2e4d69a,"{""boundary_refine_beta"":0.0,""boundary_refine_sweeps"":0,""enabled"":false,""feature_mode"":""retained"",""merge_boundary_weight"":0.0,""merge_mode"":""pointwise"",""min_cluster_fraction_of_equal"":0.0,""seed"":0,""split_cluster_score"":""mean"",""split_mode"":""pca_quantile"",""split_quantile"":0.5}",0,PASS,,p_9bcf8dbf19dded510dbe24ecb034809a899c553db7b1cd446d64948af2e4d69a,1,1,114,"[277,773,568,182,307,790,168,114,121,184]",0.8972182160422406,0.6082388948630987,9bcf8dbf19dded510dbe24ecb034809a899c553db7b1cd446d64948af2e4d69a,0,0,0,0,0,0.000815400009742,0.2760026589984753,0.4217398394121822,0.4179696235567275,0.4162745769516491,0.5620517715044797,0.4410940841343782,3484,coarse_primary,D:\文档\ChatGPT\博士第一篇科研论文项目\night16b_local_work\working\coarse_primary_other,0.01,5
A1,coarse,COARSE_e49c1eb6eba29668,,parent_frontier,9bcf8dbf19dded510dbe24ecb034809a899c553db7b1cd446d64948af2e4d69a,"{""boundary_refine_beta"":0.0,""boundary_refine_sweeps"":0,""enabled"":false,""feature_mode"":""retained"",""merge_boundary_weight"":0.0,""merge_mode"":""pointwise"",""min_cluster_fraction_of_equal"":0.0,""seed"":0,""split_cluster_score"":""mean"",""split_mode"":""pca_quantile"",""split_quantile"":0.5}",0,PASS,,p_9bcf8dbf19dded510dbe24ecb034809a899c553db7b1cd446d64948af2e4d69a,1,1,114,"[277,773,568,182,307,790,168,114,121,184]",0.8972182160422406,0.6082388948630987,9bcf8dbf19dded510dbe24ecb034809a899c553db7b1cd446d64948af2e4d69a,0,0,0,0,0,0.000815400009742,0.2760026589984753,0.4217398394121822,0.4179696235567275,0.4162745769516491,0.5620517715044797,0.4410940841343782,3484,coarse_primary,D:\文档\ChatGPT\博士第一篇科研论文项目\night16b_local_work\working\coarse_primary_other,0.02,7
A1,coarse,COARSE_e49c1eb6eba29668,,parent_frontier,9bcf8dbf19dded510dbe24ecb034809a899c553db7b1cd446d64948af2e4d69a,"{""boundary_refine_beta"":0.0,""boundary_refine_sweeps"":0,""enabled"":false,""feature_mode"":""retained"",""merge_boundary_weight"":0.0,""merge_mode"":""pointwise"",""min_cluster_fraction_of_equal"":0.0,""seed"":0,""split_cluster_score"":""mean"",""split_mode"":""pca_quantile"",""split_quantile"":0.5}",0,PASS,,p_9bcf8dbf19dded510dbe24ecb034809a899c553db7b1cd446d64948af2e4d69a,1,1,114,"[277,773,568,182,307,790,168,114,121,184]",0.8972182160422406,0.6082388948630987,9bcf8dbf19dded510dbe24ecb034809a899c553db7b1cd446d64948af2e4d69a,0,0,0,0,0,0.000815400009742,0.2760026589984753,0.4217398394121822,0.4179696235567275,0.4162745769516491,0.5620517715044797,0.4410940841343782,3484,coarse_primary,D:\文档\ChatGPT\博士第一篇科研论文项目\night16b_local_work\working\coarse_primary_other,0.05,18
D1,refine,REFINE_709aa511c3fd0ee0,REFINE_1e9e7bd1ede5214a,coarse::REFINE_1e9e7bd1ede5214a,7221dca58da9646b3ec027de9203e019b058c08b7758f0800c645154953cd46e,"{""boundary_refine_beta"":0.0,""boundary_refine_sweeps"":3,""enabled"":true,""feature_mode"":""molecular"",""merge_boundary_weight"":0.75,""merge_mode"":""clusterwise"",""min_cluster_fraction_of_equal"":0.15,""seed"":4,""split_cluster_score"":""mean"",""split_mode"":""pca_quantile"",""split_quantile"":0.65}",2,PASS,,p_62787ef341fd01198c121b8a43c1359d8191674253ead3ce355323fe2ab39426,1,1,55,"[998,90,1082,133,212,370,93,209,55,117]",0.7921774665872469,0.6640926640926641,62787ef341fd01198c121b8a43c1359d8191674253ead3ce355323fe2ab39426,1,51,0,0,365,0.3969854000024497,0.3651735437579217,0.4445774430144442,0.4406181160034202,0.5042383351628853,0.6047180132381064,0.3982150049956685,3359,refine2_d1,D:\文档\ChatGPT\博士第一篇科研论文项目\night16b_local_work\working\refine2_d1,0.0,0
D1,refine,REFINE_709aa511c3fd0ee0,REFINE_1e9e7bd1ede5214a,coarse::REFINE_1e9e7bd1ede5214a,7221dca58da9646b3ec027de9203e019b058c08b7758f0800c645154953cd46e,"{""boundary_refine_beta"":0.0,""boundary_refine_sweeps"":3,""enabled"":true,""feature_mode"":""molecular"",""merge_boundary_weight"":0.75,""merge_mode"":""clusterwise"",""min_cluster_fraction_of_equal"":0.15,""seed"":4,""split_cluster_score"":""mean"",""split_mode"":""pca_quantile"",""split_quantile"":0.65}",2,PASS,,p_62787ef341fd01198c121b8a43c1359d8191674253ead3ce355323fe2ab39426,1,1,55,"[998,90,1082,133,212,370,93,209,55,117]",0.7921774665872469,0.6640926640926641,62787ef341fd01198c121b8a43c1359d8191674253ead3ce355323fe2ab39426,1,51,0,0,365,0.3969854000024497,0.3651735437579217,0.4445774430144442,0.4406181160034202,0.5042383351628853,0.6047180132381064,0.3982150049956685,3359,refine2_d1,D:\文档\ChatGPT\博士第一篇科研论文项目\night16b_local_work\working\refine2_d1,0.01,5
D1,refine,REFINE_709aa511c3fd0ee0,REFINE_1e9e7bd1ede5214a,coarse::REFINE_1e9e7bd1ede5214a,7221dca58da9646b3ec027de9203e019b058c08b7758f0800c645154953cd46e,"{""boundary_refine_beta"":0.0,""boundary_refine_sweeps"":3,""enabled"":true,""feature_mode"":""molecular"",""merge_boundary_weight"":0.75,""merge_mode"":""clusterwise"",""min_cluster_fraction_of_equal"":0.15,""seed"":4,""split_cluster_score"":""mean"",""split_mode"":""pca_quantile"",""split_quantile"":0.65}",2,PASS,,p_62787ef341fd01198c121b8a43c1359d8191674253ead3ce355323fe2ab39426,1,1,55,"[998,90,1082,133,212,370,93,209,55,117]",0.7921774665872469,0.6640926640926641,62787ef341fd01198c121b8a43c1359d8191674253ead3ce355323fe2ab39426,1,51,0,0,365,0.3969854000024497,0.3651735437579217,0.4445774430144442,0.4406181160034202,0.5042383351628853,0.6047180132381064,0.3982150049956685,3359,refine2_d1,D:\文档\ChatGPT\博士第一篇科研论文项目\night16b_local_work\working\refine2_d1,0.02,7
D1,refine,REFINE_709aa511c3fd0ee0,REFINE_1e9e7bd1ede5214a,coarse::REFINE_1e9e7bd1ede5214a,7221dca58da9646b3ec027de9203e019b058c08b7758f0800c645154953cd46e,"{""boundary_refine_beta"":0.0,""boundary_refine_sweeps"":3,""enabled"":true,""feature_mode"":""molecular"",""merge_boundary_weight"":0.75,""merge_mode"":""clusterwise"",""min_cluster_fraction_of_equal"":0.15,""seed"":4,""split_cluster_score"":""mean"",""split_mode"":""pca_quantile"",""split_quantile"":0.65}",2,PASS,,p_62787ef341fd01198c121b8a43c1359d8191674253ead3ce355323fe2ab39426,1,1,55,"[998,90,1082,133,212,370,93,209,55,117]",0.7921774665872469,0.6640926640926641,62787ef341fd01198c121b8a43c1359d8191674253ead3ce355323fe2ab39426,1,51,0,0,365,0.3969854000024497,0.3651735437579217,0.4445774430144442,0.4406181160034202,0.5042383351628853,0.6047180132381064,0.3982150049956685,3359,refine2_d1,D:\文档\ChatGPT\博士第一篇科研论文项目\night16b_local_work\working\refine2_d1,0.05,17
tonsil_s1,coarse,COARSE_0388234583f93edf,,parent_frontier,e295e970c84d33c1ec13ad3be498846ee59c3b4c3cb3f3b6ee5c35ed73ccb6da,"{""boundary_refine_beta"":0.0,""boundary_refine_sweeps"":0,""enabled"":false,""feature_mode"":""retained"",""merge_boundary_weight"":0.0,""merge_mode"":""pointwise"",""min_cluster_fraction_of_equal"":0.0,""seed"":0,""split_cluster_score"":""mean"",""split_mode"":""pca_quantile"",""split_quantile"":0.5}",0,PASS,,p_e295e970c84d33c1ec13ad3be498846ee59c3b4c3cb3f3b6ee5c35ed73ccb6da,1,1,478,"[478,1301,1141,1406]",0.9532838170734512,0.8002544529262087,e295e970c84d33c1ec13ad3be498846ee59c3b4c3cb3f3b6ee5c35ed73ccb6da,0,0,0,0,0,0.001035099994624,0.2365355019438236,0.3171179292228705,0.3165191882593222,0.5032711126740634,0.7263567315820176,0.2736187146925177,4326,coarse_primary,D:\文档\ChatGPT\博士第一篇科研论文项目\night16b_local_work\working\coarse_primary_other,0.0,0
tonsil_s1,coarse,COARSE_0388234583f93edf,,parent_frontier,e295e970c84d33c1ec13ad3be498846ee59c3b4c3cb3f3b6ee5c35ed73ccb6da,"{""boundary_refine_beta"":0.0,""boundary_refine_sweeps"":0,""enabled"":false,""feature_mode"":""retained"",""merge_boundary_weight"":0.0,""merge_mode"":""pointwise"",""min_cluster_fraction_of_equal"":0.0,""seed"":0,""split_cluster_score"":""mean"",""split_mode"":""pca_quantile"",""split_quantile"":0.5}",0,PASS,,p_e295e970c84d33c1ec13ad3be498846ee59c3b4c3cb3f3b6ee5c35ed73ccb6da,1,1,478,"[478,1301,1141,1406]",0.9532838170734512,0.8002544529262087,e295e970c84d33c1ec13ad3be498846ee59c3b4c3cb3f3b6ee5c35ed73ccb6da,0,0,0,0,0,0.001035099994624,0.2365355019438236,0.3171179292228705,0.3165191882593222,0.5032711126740634,0.7263567315820176,0.2736187146925177,4326,coarse_primary,D:\文档\ChatGPT\博士第一篇科研论文项目\night16b_local_work\working\coarse_primary_other,0.01,11
