lane,variant,absolute_ari,absolute_nmi,ami,fmi,morans_i,gearys_c,min_cluster_size,cluster_sizes,partition_sha256,delta_absolute_ari_vs_full,delta_absolute_nmi_vs_full
A1,START_PARTITION,0.2752927992564834,0.4199077568017935,0.41611977669809175,0.41599227072287903,0.5487009975818602,0.4545208417448163,109,"[274,775,577,181,311,793,158,109,121,185]",70cd702e61556ecb586fc7cfab0ab88af57e4ed51dbcff7b69efd9df50870696,0.00024897665987855255,0.0001709100002205144
A1,FULL_COMMON_PATH,0.27504382259660487,0.41973684680157297,0.41594848735938306,0.4157412957062962,0.549833421401042,0.45323770636814054,110,"[275,775,576,181,311,792,159,110,121,184]",a1b53495aa57fb420756c40e9a04e7a4aa88e3b361ecd781e3a97236df1c5d6d,0.0,0.0
A1,CROSS_MODAL_RELIABILITY_DISABLED,0.2752927992564834,0.4199077568017935,0.41611977669809175,0.41599227072287903,0.5487009975818602,0.4545208417448163,109,"[274,775,577,181,311,793,158,109,121,185]",70cd702e61556ecb586fc7cfab0ab88af57e4ed51dbcff7b69efd9df50870696,0.00024897665987855255,0.0001709100002205144
A1,SELF_RETURN_DISABLED,0.24520261209191258,0.3999392225987312,0.3961372890856082,0.3839764370981243,0.6445038822702767,0.35674236522050295,142,"[284,645,432,208,276,669,417,237,142,174]",7e2a777a4a4b8c37b576aae3b96c95a1e6f50609c5ee5fb1f62e8101c545656a,-0.029841210504692295,-0.019797624202841757
A1,GENERIC_REPAIR_DISABLED,0.27504382259660487,0.41973684680157297,0.41594848735938306,0.4157412957062962,0.549833421401042,0.45323770636814054,110,"[275,775,576,181,311,792,159,110,121,184]",a1b53495aa57fb420756c40e9a04e7a4aa88e3b361ecd781e3a97236df1c5d6d,0.0,0.0
D1,START_PARTITION,0.2546579651152784,0.3890444821916162,0.3850499187899952,0.4099142270841515,0.5172905851406905,0.48844038519448246,1,"[44,246,227,210,1,480,140,822,145,1044]",7fb5479ad72e345ef46e707f3ab50bd20f6a63e5004165884cd9fe966443cb8e,0.040682117735298895,0.027602778412432805
D1,FULL_COMMON_PATH,0.2139758473799795,0.3614417037791834,0.3573546389886059,0.3512923726085963,0.5288292046976666,0.47305600502989326,151,"[256,241,220,530,151,425,196,537,439,364]",00a959ed40985c3ea46f9bf77a06b7034fee3be87417cce8a5122615c0385aa7,0.0,0.0
D1,CROSS_MODAL_RELIABILITY_DISABLED,0.21320710212796534,0.3604198469686821,0.35632733733318295,0.3505538777412127,0.5288742150469639,0.4731495175672005,151,"[256,242,223,530,151,426,196,534,436,365]",65d151f4aa8af7b77a7d598c7e083357f47b9fd84e3b79bcd6df27b59a127fed,-0.0007687452520141469,-0.0010218568105012649
D1,SELF_RETURN_DISABLED,0.21320710212796534,0.3604198469686821,0.35632733733318295,0.3505538777412127,0.5288742150469639,0.4731495175672005,151,"[256,242,223,530,151,426,196,534,436,365]",65d151f4aa8af7b77a7d598c7e083357f47b9fd84e3b79bcd6df27b59a127fed,-0.0007687452520141469,-0.0010218568105012649
D1,GENERIC_REPAIR_DISABLED,0.25438081441932237,0.38897389109623354,0.3849778225225591,0.40982289515470827,0.5188849563311149,0.4868488197500045,1,"[44,246,227,210,1,476,140,823,145,1047]",9ba6b6ea7c7d5393be682f685aaa79efd20ab227440c54be60c821b4ce57e9ea,0.040404967039342876,0.02753218731705015
tonsil_s1,START_PARTITION,0.23382458055710792,0.314270251883914,0.3136691779131912,0.5013029881905311,0.719588607711217,0.2804593864106381,479,"[479,1302,1149,1396]",ad617abca23207de27c5a2252c7bc4765f6a0cf5e37b859127012550e1304764,-0.00271092138671572,-0.0028476773389565224
tonsil_s1,FULL_COMMON_PATH,0.23653550194382364,0.3171179292228705,0.31651918825932224,0.5032711126740634,0.7263567315820176,0.2736187146925177,478,"[478,1301,1141,1406]",e295e970c84d33c1ec13ad3be498846ee59c3b4c3cb3f3b6ee5c35ed73ccb6da,0.0,0.0
tonsil_s1,CROSS_MODAL_RELIABILITY_DISABLED,0.23382458055710792,0.314270251883914,0.3136691779131912,0.5013029881905311,0.719588607711217,0.2804593864106381,479,"[479,1302,1149,1396]",ad617abca23207de27c5a2252c7bc4765f6a0cf5e37b859127012550e1304764,-0.00271092138671572,-0.0028476773389565224
tonsil_s1,SELF_RETURN_DISABLED,0.1860542430253975,0.2624118339023428,0.2617659041002264,0.4684918975318091,0.811890073581169,0.1880184741991502,489,"[489,1255,1165,1417]",dc4685009b516610b4856b3754b71781de501bbe902fbf473173318601d7055f,-0.05048125891842614,-0.054706095320527726
tonsil_s1,GENERIC_REPAIR_DISABLED,0.23653550194382364,0.3171179292228705,0.31651918825932224,0.5032711126740634,0.7263567315820176,0.2736187146925177,478,"[478,1301,1141,1406]",e295e970c84d33c1ec13ad3be498846ee59c3b4c3cb3f3b6ee5c35ed73ccb6da,0.0,0.0
tonsil_s2,START_PARTITION,0.2547979281144028,0.3052523860699747,0.3046693748719768,0.5135218886574944,0.7501581986394484,0.24960569776745495,433,"[1015,1388,433,1683]",53221a7ac972eebc000ab3f4d61732112c177a488c6e32e87c1e8009da4eee79,0.005092037489561524,0.006167645235398145
tonsil_s2,FULL_COMMON_PATH,0.2497058906248413,0.29908474083457653,0.29849581235491723,0.5105892800221474,0.7654145166345572,0.2343757970872667,426,"[1003,1401,426,1689]",91b8131bfc14ad38c51d4e67c2f828981b65521e672c72ad4345e3d4c1c28b24,0.0,0.0
tonsil_s2,CROSS_MODAL_RELIABILITY_DISABLED,0.2547979281144028,0.3052523860699747,0.3046693748719768,0.5135218886574944,0.7501581986394484,0.24960569776745495,433,"[1015,1388,433,1683]",53221a7ac972eebc000ab3f4d61732112c177a488c6e32e87c1e8009da4eee79,0.005092037489561524,0.006167645235398145
tonsil_s2,SELF_RETURN_DISABLED,0.11854251082993972,0.1288267203554009,0.12809850062984038,0.42215585791569094,0.9020372251087576,0.09744079930511926,531,"[931,1254,531,1803]",d678b00ac0ff1654ab8bb46e345ce366b4781027104e09df90464aae84a03d6e,-0.13116337979490159,-0.17025802047917563
tonsil_s2,GENERIC_REPAIR_DISABLED,0.2497058906248413,0.29908474083457653,0.29849581235491723,0.5105892800221474,0.7654145166345572,0.2343757970872667,426,"[1003,1401,426,1689]",91b8131bfc14ad38c51d4e67c2f828981b65521e672c72ad4345e3d4c1c28b24,0.0,0.0
tonsil_s3,START_PARTITION,0.32831055003908766,0.2895243534508425,0.28884410086200263,0.6104290469992378,0.6831390282099928,0.32499434165832974,197,"[2596,560,1168,197]",a4ddb26b032b423c70fcea19ae71456d5e753186b905d9587133505d8908f4ed,-0.010112347944869704,-0.007122881823869165
tonsil_s3,FULL_COMMON_PATH,0.33842289798395736,0.29664723527471165,0.29598354234817403,0.6119557876426834,0.689216506247659,0.31832550835782025,248,"[2538,561,1174,248]",fecbb154befaacc15d1620e29cfce083af90a939f4bf5a0cf33e8100df9c6057,0.0,0.0
tonsil_s3,CROSS_MODAL_RELIABILITY_DISABLED,0.33783356775163825,0.29809071655477687,0.29742839130587,0.6116333425834605,0.6842934511873157,0.3231397901718265,248,"[2539,562,1172,248]",641e2a417ed6487a6654485228f46f1f3a0c152d83d1e54062916e35b537476e,-0.0005893302323191074,0.0014434812800652175
tonsil_s3,SELF_RETURN_DISABLED,0.19862766414035396,0.23226896410850673,0.2316025763542417,0.4858611836978325,0.6907133886551109,0.312105970105194,321,"[1669,1133,1398,321]",92dca8aa6d4c07f4dcfdb5877bcd452fc753e2e2e557a782115c71ffc898be06,-0.1397952338436034,-0.06437827116620493
tonsil_s3,GENERIC_REPAIR_DISABLED,0.33842289798395736,0.29664723527471165,0.29598354234817403,0.6119557876426834,0.689216506247659,0.31832550835782025,248,"[2538,561,1174,248]",fecbb154befaacc15d1620e29cfce083af90a939f4bf5a0cf33e8100df9c6057,0.0,0.0
P22,START_PARTITION,0.5891910297854036,0.7100418847809442,0.7095404212686452,0.6500914474252544,0.9316972048707112,0.07075082845551645,158,"[1154,614,1494,811,993,1527,613,1832,158]",8d8de5e6abdac8ba3e9d2d322dcce1e3a9d9c4678716b0debe9dfea560455a2d,-0.0052897052464381256,-0.006377540021681782
P22,FULL_COMMON_PATH,0.5944807350318417,0.716419424802626,0.7159296176263407,0.6545472671977509,0.9340518791504056,0.06812762374819889,168,"[1168,622,1479,811,998,1518,614,1818,168]",6fde30a8904f9664de4341b1e2ee42eb16b596ac8e796c9d0d68ccf08ade9f8d,0.0,0.0
P22,CROSS_MODAL_RELIABILITY_DISABLED,0.578555624587758,0.6994446185502554,0.6989261458736947,0.6408510889163834,0.9342277668958192,0.06805551455394553,180,"[1128,620,1476,813,995,1561,636,1787,180]",b321be8e2d0333d358b5798efe85396986e60c2786e633e9d67c23e4ca09f541,-0.015925110444083734,-0.016974806252370578
P22,SELF_RETURN_DISABLED,0.5809546727720802,0.6952883269096305,0.6947621953732608,0.6428903407084225,0.9375528366118604,0.06440541920947601,165,"[1193,679,1435,797,1091,1509,548,1779,165]",8cc76b8a28ec87df7ad58956b3185e4cdd47eee1105ad5a19e06d0442020762c,-0.013526062259761495,-0.0211310978929955
P22,GENERIC_REPAIR_DISABLED,0.5931589082715603,0.713099034472321,0.71260348284631,0.6534113358956213,0.9296465519988539,0.07291961959581204,167,"[1163,618,1487,801,1012,1516,621,1811,167]",2105cf65edb3f78c642d2c7a6b8c5d321fc1dc08954d2fdfd4e6e5cc6bebd1d8,-0.0013218267602814748,-0.0033203903303049564
MISAR_E15_5_S1,START_PARTITION,0.540931814030495,0.6666169188694607,0.6648597762110812,0.6326254756290489,0.9227418137953123,0.07909727558546886,125,"[296,438,178,266,354,292,125]",a6c7ab6ec779c52d006404217f934e40a1a93c5c9679c1d9a5df0ebb08e66ed6,-0.00036612268913249757,-0.00015792598757502496
MISAR_E15_5_S1,FULL_COMMON_PATH,0.5412979367196274,0.6667748448570358,0.6650185633567873,0.6329276665471261,0.9229399715141289,0.07891771235541487,125,"[295,438,178,267,354,292,125]",decab81bc85526ba07a780d9338b4bd83d2495f38ced4414313d12eef0297850,0.0,0.0
MISAR_E15_5_S1,CROSS_MODAL_RELIABILITY_DISABLED,0.5401634307901837,0.6662904292970274,0.6645321291027797,0.6319896268414436,0.9218187631387332,0.07997349372602107,127,"[296,438,178,266,354,290,127]",a00e0e91e64bafccea5edaf2f3a0ff8a0cbcc2619b3e105f9ee5c8e60b9fabae,-0.001134505929443752,-0.0004844155600083333
MISAR_E15_5_S1,SELF_RETURN_DISABLED,0.5295593001880169,0.6509577979031957,0.649115870759454,0.6232745182672309,0.9190974804667887,0.0826284195873489,126,"[290,457,177,274,355,270,126]",aca36e08c31b3d84f2d7341d982fc3ff3de64f66e2361941efeffecc384af611,-0.011738636531610558,-0.015817046953840008
MISAR_E15_5_S1,GENERIC_REPAIR_DISABLED,0.5412979367196274,0.6667748448570358,0.6650185633567873,0.6329276665471261,0.9229399715141289,0.07891771235541487,125,"[295,438,178,267,354,292,125]",decab81bc85526ba07a780d9338b4bd83d2495f38ced4414313d12eef0297850,0.0,0.0
