lane,stage,candidate_id,parent_candidate_id,start_name,start_partition_sha256,config_json,complexity,status,failure,partition_key,exact_k,finite,min_cluster_size,cluster_sizes,normalized_cluster_entropy,graph_same_fraction,partition_sha256,repair_enabled,repair_threshold,repair_merged_clusters,repair_split_clusters,repair_boundary_moves,wall_seconds,absolute_ari,absolute_nmi,ami,fmi,morans_i,gearys_c,evaluated_observations,source_stage,source_directory,parameter__boundary_refine_beta,parameter__boundary_refine_sweeps,parameter__enabled,parameter__feature_mode,parameter__merge_boundary_weight,parameter__merge_mode,parameter__min_cluster_fraction_of_equal,parameter__seed,parameter__split_cluster_score,parameter__split_mode,parameter__split_quantile,delta_ari_vs_headline,delta_nmi_vs_headline
A1,coarse,COARSE_e49c1eb6eba29668,,parent_frontier,9bcf8dbf19dded510dbe24ecb034809a899c553db7b1cd446d64948af2e4d69a,"{""boundary_refine_beta"":0.0,""boundary_refine_sweeps"":0,""enabled"":false,""feature_mode"":""retained"",""merge_boundary_weight"":0.0,""merge_mode"":""pointwise"",""min_cluster_fraction_of_equal"":0.0,""seed"":0,""split_cluster_score"":""mean"",""split_mode"":""pca_quantile"",""split_quantile"":0.5}",0,PASS,,p_9bcf8dbf19dded510dbe24ecb034809a899c553db7b1cd446d64948af2e4d69a,1,1,114,"[277,773,568,182,307,790,168,114,121,184]",0.8972182160422406,0.6082388948630987,9bcf8dbf19dded510dbe24ecb034809a899c553db7b1cd446d64948af2e4d69a,0,0,0,0,0,0.000815400009742,0.2760026589984753,0.4217398394121822,0.4179696235567275,0.4162745769516491,0.5620517715044797,0.4410940841343782,3484,coarse_primary,D:\文档\ChatGPT\博士第一篇科研论文项目\night16b_local_work\working\coarse_primary_other,0.0,0,False,retained,0.0,pointwise,0.0,0,mean,pca_quantile,0.5,0.0,0.0
A1,coarse,COARSE_a2888f468c3032ae,,parent_frontier,9bcf8dbf19dded510dbe24ecb034809a899c553db7b1cd446d64948af2e4d69a,"{""boundary_refine_beta"":0.0,""boundary_refine_sweeps"":0,""enabled"":true,""feature_mode"":""retained"",""merge_boundary_weight"":0.0,""merge_mode"":""pointwise"",""min_cluster_fraction_of_equal"":0.03,""seed"":0,""split_cluster_score"":""mean"",""split_mode"":""pca_quantile"",""split_quantile"":0.35}",1,PASS,,p_9bcf8dbf19dded510dbe24ecb034809a899c553db7b1cd446d64948af2e4d69a,1,1,114,"[277,773,568,182,307,790,168,114,121,184]",0.8972182160422406,0.6082388948630987,9bcf8dbf19dded510dbe24ecb034809a899c553db7b1cd446d64948af2e4d69a,1,11,0,0,0,0.0011293999850749,0.2760026589984753,0.4217398394121822,0.4179696235567275,0.4162745769516491,0.5620517715044797,0.4410940841343782,3484,coarse_primary,D:\文档\ChatGPT\博士第一篇科研论文项目\night16b_local_work\working\coarse_primary_other,0.0,0,True,retained,0.0,pointwise,0.03,0,mean,pca_quantile,0.35,0.0,0.0
A1,coarse,COARSE_96682146993788a4,,parent_frontier,9bcf8dbf19dded510dbe24ecb034809a899c553db7b1cd446d64948af2e4d69a,"{""boundary_refine_beta"":0.0,""boundary_refine_sweeps"":0,""enabled"":true,""feature_mode"":""retained"",""merge_boundary_weight"":0.25,""merge_mode"":""pointwise"",""min_cluster_fraction_of_equal"":0.05,""seed"":1,""split_cluster_score"":""mean"",""split_mode"":""pca_quantile"",""split_quantile"":0.5}",1,PASS,,p_9bcf8dbf19dded510dbe24ecb034809a899c553db7b1cd446d64948af2e4d69a,1,1,114,"[277,773,568,182,307,790,168,114,121,184]",0.8972182160422406,0.6082388948630987,9bcf8dbf19dded510dbe24ecb034809a899c553db7b1cd446d64948af2e4d69a,1,18,0,0,0,0.001025599980494,0.2760026589984753,0.4217398394121822,0.4179696235567275,0.4162745769516491,0.5620517715044797,0.4410940841343782,3484,coarse_primary,D:\文档\ChatGPT\博士第一篇科研论文项目\night16b_local_work\working\coarse_primary_other,0.0,0,True,retained,0.25,pointwise,0.05,1,mean,pca_quantile,0.5,0.0,0.0
A1,coarse,COARSE_dff1db90751f8639,,parent_frontier,9bcf8dbf19dded510dbe24ecb034809a899c553db7b1cd446d64948af2e4d69a,"{""boundary_refine_beta"":0.0,""boundary_refine_sweeps"":0,""enabled"":true,""feature_mode"":""retained"",""merge_boundary_weight"":0.75,""merge_mode"":""pointwise"",""min_cluster_fraction_of_equal"":0.075,""seed"":2,""split_cluster_score"":""mean"",""split_mode"":""kmeans2"",""split_quantile"":0.5}",1,PASS,,p_9bcf8dbf19dded510dbe24ecb034809a899c553db7b1cd446d64948af2e4d69a,1,1,114,"[277,773,568,182,307,790,168,114,121,184]",0.8972182160422406,0.6082388948630987,9bcf8dbf19dded510dbe24ecb034809a899c553db7b1cd446d64948af2e4d69a,1,27,0,0,0,0.0009683999815024,0.2760026589984753,0.4217398394121822,0.4179696235567275,0.4162745769516491,0.5620517715044797,0.4410940841343782,3484,coarse_primary,D:\文档\ChatGPT\博士第一篇科研论文项目\night16b_local_work\working\coarse_primary_other,0.0,0,True,retained,0.75,pointwise,0.075,2,mean,kmeans2,0.5,0.0,0.0
A1,coarse,COARSE_6189aba3ce8a59aa,,parent_frontier,9bcf8dbf19dded510dbe24ecb034809a899c553db7b1cd446d64948af2e4d69a,"{""boundary_refine_beta"":0.0,""boundary_refine_sweeps"":0,""enabled"":true,""feature_mode"":""retained"",""merge_boundary_weight"":0.25,""merge_mode"":""clusterwise"",""min_cluster_fraction_of_equal"":0.1,""seed"":3,""split_cluster_score"":""sse"",""split_mode"":""pca_quantile"",""split_quantile"":0.35}",1,PASS,,p_9bcf8dbf19dded510dbe24ecb034809a899c553db7b1cd446d64948af2e4d69a,1,1,114,"[277,773,568,182,307,790,168,114,121,184]",0.8972182160422406,0.6082388948630987,9bcf8dbf19dded510dbe24ecb034809a899c553db7b1cd446d64948af2e4d69a,1,35,0,0,0,0.000995199981844,0.2760026589984753,0.4217398394121822,0.4179696235567275,0.4162745769516491,0.5620517715044797,0.4410940841343782,3484,coarse_primary,D:\文档\ChatGPT\博士第一篇科研论文项目\night16b_local_work\working\coarse_primary_other,0.0,0,True,retained,0.25,clusterwise,0.1,3,sse,pca_quantile,0.35,0.0,0.0
A1,coarse,COARSE_196804ff35c7ad74,,parent_frontier,9bcf8dbf19dded510dbe24ecb034809a899c553db7b1cd446d64948af2e4d69a,"{""boundary_refine_beta"":0.0,""boundary_refine_sweeps"":0,""enabled"":true,""feature_mode"":""retained"",""merge_boundary_weight"":0.75,""merge_mode"":""clusterwise"",""min_cluster_fraction_of_equal"":0.15,""seed"":4,""split_cluster_score"":""mean"",""split_mode"":""pca_quantile"",""split_quantile"":0.65}",1,PASS,,p_9bcf8dbf19dded510dbe24ecb034809a899c553db7b1cd446d64948af2e4d69a,1,1,114,"[277,773,568,182,307,790,168,114,121,184]",0.8972182160422406,0.6082388948630987,9bcf8dbf19dded510dbe24ecb034809a899c553db7b1cd446d64948af2e4d69a,1,53,0,0,0,0.0009682000090833,0.2760026589984753,0.4217398394121822,0.4179696235567275,0.4162745769516491,0.5620517715044797,0.4410940841343782,3484,coarse_primary,D:\文档\ChatGPT\博士第一篇科研论文项目\night16b_local_work\working\coarse_primary_other,0.0,0,True,retained,0.75,clusterwise,0.15,4,mean,pca_quantile,0.65,0.0,0.0
A1,coarse,COARSE_5ad9a4751235482f,,parent_frontier,9bcf8dbf19dded510dbe24ecb034809a899c553db7b1cd446d64948af2e4d69a,"{""boundary_refine_beta"":0.0,""boundary_refine_sweeps"":0,""enabled"":true,""feature_mode"":""retained"",""merge_boundary_weight"":0.75,""merge_mode"":""pointwise"",""min_cluster_fraction_of_equal"":0.2,""seed"":5,""split_cluster_score"":""boundary"",""split_mode"":""kmeans2"",""split_quantile"":0.5}",1,PASS,,p_9bcf8dbf19dded510dbe24ecb034809a899c553db7b1cd446d64948af2e4d69a,1,1,114,"[277,773,568,182,307,790,168,114,121,184]",0.8972182160422406,0.6082388948630987,9bcf8dbf19dded510dbe24ecb034809a899c553db7b1cd446d64948af2e4d69a,1,70,0,0,0,0.0009780000254977,0.2760026589984753,0.4217398394121822,0.4179696235567275,0.4162745769516491,0.5620517715044797,0.4410940841343782,3484,coarse_primary,D:\文档\ChatGPT\博士第一篇科研论文项目\night16b_local_work\working\coarse_primary_other,0.0,0,True,retained,0.75,pointwise,0.2,5,boundary,kmeans2,0.5,0.0,0.0
A1,coarse,COARSE_1ec2e8e8ee29629d,,parent_frontier,9bcf8dbf19dded510dbe24ecb034809a899c553db7b1cd446d64948af2e4d69a,"{""boundary_refine_beta"":0.02,""boundary_refine_sweeps"":1,""enabled"":true,""feature_mode"":""retained"",""merge_boundary_weight"":0.25,""merge_mode"":""pointwise"",""min_cluster_fraction_of_equal"":0.05,""seed"":6,""split_cluster_score"":""mean"",""split_mode"":""pca_quantile"",""split_quantile"":0.5}",2,PASS,,p_5756a68825382b83798fb1bceb1ad8e30e685427120a9f1610b872ec97251b71,1,1,125,"[268,743,530,177,311,755,269,125,125,181]",0.9128555830320524,0.6298287699561584,5756a68825382b83798fb1bceb1ad8e30e685427120a9f1610b872ec97251b71,1,18,0,0,435,0.1468710000044666,0.2527329262831836,0.3972342496899945,0.3933403820392671,0.3945901384159832,0.5925178772547626,0.4103579003645783,3484,coarse_primary,D:\文档\ChatGPT\博士第一篇科研论文项目\night16b_local_work\working\coarse_primary_other,0.02,1,True,retained,0.25,pointwise,0.05,6,mean,pca_quantile,0.5,-0.023269732715291702,-0.024505589722187693
A1,coarse,COARSE_5942bd34033813be,,parent_frontier,9bcf8dbf19dded510dbe24ecb034809a899c553db7b1cd446d64948af2e4d69a,"{""boundary_refine_beta"":0.05,""boundary_refine_sweeps"":1,""enabled"":true,""feature_mode"":""retained"",""merge_boundary_weight"":0.75,""merge_mode"":""clusterwise"",""min_cluster_fraction_of_equal"":0.075,""seed"":7,""split_cluster_score"":""sse"",""split_mode"":""kmeans2"",""split_quantile"":0.5}",2,PASS,,p_616efb2824722c1427467468aebb9504256e93a0d0983816e65477909085d1cb,1,1,127,"[269,756,540,177,307,751,249,128,127,180]",0.9112470756831006,0.6510050459095045,616efb2824722c1427467468aebb9504256e93a0d0983816e65477909085d1cb,1,27,0,0,431,0.145820800011279,0.2510290339022022,0.3966349563780144,0.3927331612278865,0.3934293591279982,0.6119700426658443,0.3909983841176634,3484,coarse_primary,D:\文档\ChatGPT\博士第一篇科研论文项目\night16b_local_work\working\coarse_primary_other,0.05,1,True,retained,0.75,clusterwise,0.075,7,sse,kmeans2,0.5,-0.0249736250962731,-0.025104883034167802
A1,coarse,COARSE_c624410e0463ebca,,parent_frontier,9bcf8dbf19dded510dbe24ecb034809a899c553db7b1cd446d64948af2e4d69a,"{""boundary_refine_beta"":0.05,""boundary_refine_sweeps"":2,""enabled"":true,""feature_mode"":""retained"",""merge_boundary_weight"":0.75,""merge_mode"":""pointwise"",""min_cluster_fraction_of_equal"":0.1,""seed"":8,""split_cluster_score"":""boundary"",""split_mode"":""pca_quantile"",""split_quantile"":0.4}",2,PASS,,p_c1b1e2ce20fb7b46ca4d1427c13312879af5f684d73c8990c67b30395aa9a0be,1,1,127,"[266,739,523,179,304,758,277,134,127,177]",0.9145695532971738,0.6721813218628505,c1b1e2ce20fb7b46ca4d1427c13312879af5f684d73c8990c67b30395aa9a0be,1,35,0,0,597,0.2847083999949973,0.2378585233108772,0.3870210962339493,0.3830648361751743,0.3818164070828492,0.6333081264487174,0.3692501193824725,3484,coarse_primary,D:\文档\ChatGPT\博士第一篇科研论文项目\night16b_local_work\working\coarse_primary_other,0.05,2,True,retained,0.75,pointwise,0.1,8,boundary,pca_quantile,0.4,-0.03814413568759811,-0.03471874317823287
