physical_unit,protocol_id,K,annotation_source,annotation_file_sha256,label_array_sha256,evaluation_mask_sha256,purpose,status,notes
A1,A1_PRIMARY_K10,10,GSE263617 A1_groundtruth.csv,0c9473b95cd15af20cf45cbc380e5d7d315b687bd18681ab93f0e41973560b5f,2a2b89a6e17884cb0fead46d320c86b527c9896f1325863702b45be20def9355,787f73dc1a6c699e36cb44e1c3d30506a363cc108d31d4859a9431d7b879943d,headline development/transfer evaluation,REGISTERED,3484/3484 evaluated
D1,D1_PRIMARY_K10,10,GSE263617 D1_groundtruth.csv,524e2447b743b093afad440fea7cd28e63239fe0660b461f1c404aba68ba84f3,c0f7debebe2653c6108e2b54090c9f1e644197207140741044581919aa592734,3460f8c8ae772633faa9bf7d6eddc66ecc05af1fee0bcc611c45e008710b8df6,headline development/transfer evaluation,REGISTERED,3359/3359 evaluated
tonsil_s1,tonsil_s1_PRIMARY_K4,4,Zenodo12654113 RNA obs.final_annot,e1d99b34685805c93a7314f8ef4e07b2f92d244a8c29ac9fced9ee19ff3b96a9,cee1aa522ae9b6de9434ae0714be032d8b6d5a3542922cce41a445ce9b0349e5,d1f23b8087490e9dce40ee691b6165d47643bc474cc1cf263b7c31788e81d78d,headline development/transfer evaluation,REGISTERED,4326/4326 evaluated
tonsil_s2,tonsil_s2_PRIMARY_K4,4,Zenodo12654113 RNA obs.final_annot,74ae08874242a48be5dbee5c73a4cacb6944ebd99def6f4f1a5223bfed3ca7bd,c5d090aef7ebf173eb530238015c19be55ba88cb24f83a4db98b62da21bf6e96,6b6a01d21043870f9d90dee8afac79468cc95f01e78b978f0fba746c92198198,headline development/transfer evaluation,REGISTERED,4518/4519 evaluated
tonsil_s3,tonsil_s3_PRIMARY_K4,4,Zenodo12654113 RNA obs.final_annot,23ef098c7e6b347e98dc5b46bc577073b3aa9575ea61a38669b747b58cc5f47a,7e090bc36a33d839c750a65cc6f8bc561134b4dbe8ea288f80d38e10e59ecd6b,6b0ecb9ffb09029516d05069f1e8697b9fe8ef60ac89d1b3d1e8496efc731244,headline development/transfer evaluation,REGISTERED,4460/4521 evaluated
P22,P22_PRIMARY_K9,9,MouseBrain_groundtruth.csv,ca2a702323b42a63588687be29bbffeed7b2d57586386e5a000b0f6135619b32,7939dfdaf74a3fbe45c1c407cf4e0f108915adccc58b4f771b00897ffda040fb,769069a9fa363aa12af8d47bf6e0a3429b7d55313de385e68929f0937356b1d0,headline development/transfer evaluation,REGISTERED,9196/9196 evaluated
MISAR_E15_5_S1,MISAR_E15_5_S1_PRIMARY_K7,7,official Figshare Y carrier,2f5862cff045b6a296f3cbc0a978d8576bd36f2d4c9419b75c6760c9c7e9d2e3,ee6f9c4b20216a2b904bc41fe446258efc9da42d31b60883616103c194769521,667c4f48d19a1392a0db30f6a2241695476f4deeea2b1f32407eb7a987f81826,headline development/transfer evaluation,REGISTERED,1949/1949 evaluated
A1,SMART_A1_K7_CONTEXT,7,SMART publication/reproduction protocol,,,,context only,PROTOCOL_CONFLICT_NOT_MIXED,Not substituted for project K10
tonsil_study_block,SMART_MS_JOINT_K6_CONTEXT,6,SMART-MS joint tonsil protocol,,,,context only,PROTOCOL_CONFLICT_NOT_MIXED,Not substituted for per-slice K4
P22,P22_K12_CONTEXT,12,registered literature context,,,,secondary context,PROTOCOL_ONLY,Not compared with K9 headline
P22,P22_AUTHOR_K18,18,3d-OT author assignment,,637ed947fa9b3f5e53da0937c7e1f972ce53276c09cfeedea8ed30477ed162d2,769069a9fa363aa12af8d47bf6e0a3429b7d55313de385e68929f0937356b1d0,secondary sensitivity,REGISTERED,Author assignment; separate from K9 expert protocol
MISAR_E15_5_S1,MISAR_K12_CONTEXT,12,SEPAR-style K12 endpoint context,,,,secondary sensitivity,PROTOCOL_ONLY,Not an independent physical unit; not used in Night16C headline
other_MISAR_stages,MISAR_OTHER_STAGE_K10_CONTEXT,10,SMART/MISAR stage-specific context,,,,registry only,NOT_ACCESSED,Requires exact per-stage annotation closure
