unit_id,family,study,accession_or_doi,platform,modalities,observations,feature_shapes,annotation_protocol,status,night16c_role,paired_id_contract,registered_path,notes
A1,RNA_PROTEIN,GSE263617,GSM8195494/GSM8195498,registered reduced-view compute kit,RNA+protein,3484,"view1=(3484, 30);view2=(3484, 30)",A1_PRIMARY_K10,LABELED_PUBLIC_BENCHMARK,discovery,byte-exact ordered IDs,D:\文档\ChatGPT\博士第一篇科研论文项目\night15b_delivery_20260824\working\local_compute_kit\A1.npz,
D1,RNA_PROTEIN,GSE263617,GSM8195496/GSM8195500,registered reduced-view compute kit,RNA+protein,3359,"view1=(3359, 30);view2=(3359, 30)",D1_PRIMARY_K10,LABELED_PUBLIC_BENCHMARK,frozen_transfer,byte-exact ordered IDs,D:\文档\ChatGPT\博士第一篇科研论文项目\night15b_delivery_20260824\working\local_compute_kit\D1.npz,
tonsil_s1,RNA_PROTEIN,Zenodo 12654113,10.5281/zenodo.12654113,registered reduced-view compute kit,RNA+protein,4326,"view1=(4326, 30);view2=(4326, 30)",tonsil_s1_PRIMARY_K4,LABELED_PUBLIC_BENCHMARK,discovery,byte-exact ordered IDs,D:\文档\ChatGPT\博士第一篇科研论文项目\night15b_delivery_20260824\working\local_compute_kit\tonsil_s1.npz,
tonsil_s2,RNA_PROTEIN,Zenodo 12654113,10.5281/zenodo.12654113,registered reduced-view compute kit,RNA+protein,4519,"view1=(4519, 30);view2=(4519, 30)",tonsil_s2_PRIMARY_K4,LABELED_PUBLIC_BENCHMARK,frozen_transfer,byte-exact ordered IDs,D:\文档\ChatGPT\博士第一篇科研论文项目\night15b_delivery_20260824\working\local_compute_kit\tonsil_s2.npz,
tonsil_s3,RNA_PROTEIN,Zenodo 12654113,10.5281/zenodo.12654113,registered reduced-view compute kit,RNA+protein,4521,"view1=(4521, 30);view2=(4521, 30)",tonsil_s3_PRIMARY_K4,LABELED_PUBLIC_BENCHMARK,frozen_transfer,byte-exact ordered IDs,D:\文档\ChatGPT\博士第一篇科研论文项目\night15b_delivery_20260824\working\local_compute_kit\tonsil_s3.npz,
P22,RNA_CHROMATIN,AtlasXplore/Fan,deposited P22 RNA+ATAC,registered reduced-view compute kit,RNA+ATAC,9196,"view1=(9196, 30);view2=(9196, 50)",P22_PRIMARY_K9,LABELED_PUBLIC_BENCHMARK,discovery,byte-exact ordered IDs,D:\文档\ChatGPT\博士第一篇科研论文项目\night15b_delivery_20260824\working\local_compute_kit\P22.npz,
MISAR_E15_5_S1,RNA_CHROMATIN,MISAR-seq,OEP003285,registered reduced-view compute kit,RNA+ATAC,1949,"view1=(1949, 30);view2=(1949, 50)",MISAR_E15_5_S1_PRIMARY_K7,LABELED_PUBLIC_BENCHMARK,discovery,byte-exact ordered IDs,D:\文档\ChatGPT\博士第一篇科研论文项目\night15b_delivery_20260824\working\local_compute_kit\MISAR_E15_5_S1.npz,
SPOTS_SPLEEN_REP1,RNA_PROTEIN,GSE198353,GSE198353 processed rep1,10x Visium+SPOTS,RNA+21 ADT,2653,raw=2653x32285+2653x21;P0=2653x30+2653x21,NONE_RELIABLE,UNLABELED_P0_PASS,new frozen-transfer P0,10x barcode+tissue exact,/root/autodl-fs/night4a_external_data/raw/GSE198353,No author clusters treated as ground truth
SPOTS_SPLEEN_REP2,RNA_PROTEIN,GSE198353,GSE198353 processed rep2,10x Visium+SPOTS,RNA+21 ADT,2768,raw=2768x32285+2768x21,NONE_RELIABLE,REGISTRY_ONLY,reserve,10x barcode+tissue exact,/root/autodl-fs/night4a_external_data/raw/GSE198353,
P10S1,RNA_PROTEIN,GSE308623,GSM9247585+NeMO ADT,spatial tri-omics P10,RNA+ADT,7447,"raw RNA=[7447, 32285];ADT=[7447, 143];P0=7447x80+7447x80",NONE_RELIABLE,UNLABELED_P0_PASS,new frozen-transfer P0,byte-exact after frozen terminal -1 transform,/autodl-fs/data/night12b_replicate_calibrated_link_identifiability_20260822/preflight/P10S1/registered_matrices.npz,
