dataset,control,candidate_id,absolute_ari,absolute_nmi,delta_ari_vs_input,delta_nmi_vs_input,changed_from_input,partition_sha256,operation_mode
A1,teacher,RL_615cc4f227cd_t0_e0,0.2760037787216815,0.4216898282359678,0.0,0.0,0,8c3430f4db406f6d537ef7eb5e6691f8c5fd509adcd6aab968fd08b2481ebc2b,teacher
A1,teacher_head,RL_44a9ff133fb2_t0_e0,0.2670864529861787,0.4095667510576803,-0.008917325735502801,-0.012123077178287478,216,b7d0d60b28aae2c113626cf0a405324b19fa1f5568d000c448df8b366f8691c8,teacher_head
A1,generic,RL_4c6a3c5ac66e_t0_e0,0.26443057186009766,0.4085953737552731,-0.011573206861583862,-0.013094454480694684,220,61d923f5097bb42d3bdd9e2e6f3ca4e1db229f5420bdf410f6efdd62a519d8b2,generic
A1,support,RL_30dc9e166172_t0_e0,0.26583467479228035,0.4098584965576299,-0.01016910392940118,-0.011831331678337886,278,ed53741cc3e0f204dba2a95b6ed2481d9d937c2b1b59fc261560d4b6f33f7e62,support
A1,support_boundary,RL_2ba8a12d9ff3_t0_e0,0.2650964078018118,0.4088304860825862,-0.010907370919869708,-0.012859342153381581,280,bb0b91590ea783c09627b2313c0c33b4f617db621b1ddd30e99df450c572ed4a,support_boundary
A1,support_conflict,RL_2ef6bae64170_t0_e0,0.2661469014089917,0.40981375877673093,-0.009856877312689805,-0.01187606945923686,278,bda87e3deae087998ed2489dbae654aa215258184ad87ebd496bbaf795327171,support_conflict
A1,full_matched,RL_847a23b5f7f3_t0_e0,0.26538000609323387,0.40854616550755735,-0.010623772628447659,-0.013143662728410443,284,1d4b1c1eed93b106a385f3d8052bc099ba415ccc167f33a836ec13a8ad66c253,full
A1,full_no_trust,RL_420124774d3a_t0_e0,0.2604293988690445,0.39939985851456783,-0.015574379852637044,-0.02228996972139996,339,a7c0074dd21c012f894bfa2fdbd8b57a76d442fc57a51c63b71ebed91b6d5c5a,full_no_trust
A1,shuffled,RL_749af6b5474d_t0_e0,0.26703477067042963,0.40858230548548274,-0.008969008051251892,-0.013107522750485046,234,be23f358a78b9b18e04e5e4becf946ba3daa419a225372e20e3c9b8519a71bea,full
A1,best_full_balanced,RL_5999be6e0744_t0_e0,0.27611905601831266,0.4215873270402989,0.00011527729663113329,-0.00010250119566890259,2,be6dcfc7a1d139e5b27d667b5c5d3388fb10b6c70ac186dfe8f5d345100720a3,full
tonsil_s1,teacher,RL_615cc4f227cd_t0_e0,0.23668286718251594,0.31736524060791066,0.0,0.0,0,61d64ed233b9bd5e8d800da195123f337eb1b1fcdaee08cec1068601738d5e0b,teacher
tonsil_s1,teacher_head,RL_44a9ff133fb2_t0_e0,0.217995123236924,0.27795781446664464,-0.018687743945591945,-0.03940742614126602,252,296d05564eab6ad0c04ee561fe9f6db19aefd4d28fc07b78a725e53c7b754ae0,teacher_head
tonsil_s1,generic,RL_4c6a3c5ac66e_t0_e0,0.22096889622216243,0.2813501605057894,-0.015713970960353513,-0.03601508010212123,263,f93544bbafba5283bab08e75da91334ec6fd13442c7984910a34c9c9e1cebd4d,generic
tonsil_s1,support,RL_30dc9e166172_t0_e0,0.2148033719099198,0.27726995825088785,-0.02187949527259614,-0.04009528235702281,332,cfaf2d53be93a57e055784e31d7f7b941de5cefd06195184cf9300dd41ba576b,support
tonsil_s1,support_boundary,RL_2ba8a12d9ff3_t0_e0,0.2139154195106374,0.276292431155567,-0.02276744767187855,-0.04107280945234365,353,05b9058290e54ebfeec4e493b5fdf0c9445ed2d8f6271e0dce73fe7fb0f56550,support_boundary
tonsil_s1,support_conflict,RL_2ef6bae64170_t0_e0,0.2153515420524305,0.2777837499819863,-0.021331325130085427,-0.039581490625924365,332,c8ce0adc9a5d1c676190ec93824aada862a4171fb215c467424826ecef7814df,support_conflict
tonsil_s1,full_matched,RL_847a23b5f7f3_t0_e0,0.21518524182413648,0.27751141093850445,-0.021497625358379457,-0.039853829669406204,337,0a25c2ac2a8c77a6c0bc804ab0ac98f7761024be7e4876dc78a7c6a041500328,full
tonsil_s1,full_no_trust,RL_420124774d3a_t0_e0,0.22325345920948525,0.2823859841356794,-0.013429407973030688,-0.03497925647223127,270,e19e60f17657578abbd281b2887bceb9932bedcd7de43af3acaf44d18f01ae48,full_no_trust
tonsil_s1,shuffled,RL_749af6b5474d_t0_e0,0.18267165476016495,0.25751338364198817,-0.05401121242235099,-0.05985185696592249,664,bba13e2391311d2cc39f3a511b61ff02c05af82d2358c6e58856308ae138d904,full
tonsil_s1,best_full_balanced,RL_d36ef37aadc2_t0_e0,0.23668286718251594,0.31736524060791066,0.0,0.0,0,61d64ed233b9bd5e8d800da195123f337eb1b1fcdaee08cec1068601738d5e0b,full
P22,teacher,RL_615cc4f227cd_t0_e0,0.5959576919633218,0.718005775236186,0.0,0.0,0,ce444fc82e04a3c0aa7c9b8b5a74a1e7f5ac0bd4a55d3a2d92bd39008b547e3d,teacher
P22,teacher_head,RL_44a9ff133fb2_t0_e0,0.5029211399518886,0.6430291414096896,-0.09303655201143324,-0.07497663382649644,831,1fbee997e94da7dd5b72c090688bcd907d2064ba0c6b26774fbb460b7040d428,teacher_head
P22,generic,RL_4c6a3c5ac66e_t0_e0,0.5052968241331862,0.6460720177882803,-0.0906608678301356,-0.07193375744790576,809,ea797298d01919aa071161ff8e76cee8ce10f3f21254c9017df9ac54d91b0440,generic
P22,support,RL_30dc9e166172_t0_e0,0.5005626608161136,0.6414562771247988,-0.09539503114720826,-0.07654949811138723,870,ffb3d783f0ebd5ee53a743d1fa5f7a4125dbf635b516492e772aea69a8918b23,support
P22,support_boundary,RL_2ba8a12d9ff3_t0_e0,0.4994010584077524,0.6402749915444851,-0.09655663355556943,-0.07773078369170094,886,0a78895d8ea7eca8a851c3513c3c8581cf0342699739b1ea0a84659f71a7fafd,support_boundary
P22,support_conflict,RL_2ef6bae64170_t0_e0,0.5003805163152809,0.6408944987915035,-0.09557717564804091,-0.07711127644468252,872,394230ca3e4580be811bfa2505b3f750d76da2034a732f32d0ca373bfc725e01,support_conflict
P22,full_matched,RL_847a23b5f7f3_t0_e0,0.49822282314703026,0.6391287662523346,-0.09773486881629156,-0.07887700898385142,897,1fb43205a8e415d220db88edca90e53f2ad2dbe64af4d176e6ea706a6ba1a524,full
P22,full_no_trust,RL_420124774d3a_t0_e0,0.4913391399375929,0.6332838309492731,-0.10461855202572895,-0.08472194428691293,976,351db0762d183a8da02685762a1cf5abb3579e80d9d7561d1d1e01617d006c6a,full_no_trust
P22,shuffled,RL_749af6b5474d_t0_e0,0.5087987557639565,0.6447185098700022,-0.08715893619936532,-0.0732872653661838,913,9ee6459e5dfdd18b6dda2b18f7fda35135d5d9ec98fbe4b3cc28e5c49c43926f,full
P22,best_full_balanced,RL_5999be6e0744_t0_e0,0.5907508517514489,0.7136033666904325,-0.0052068402118728985,-0.004402408545753578,34,7244e4cc15520548a1d677352ed63c8734419bc876da79ea522ac08aa1a9dee2,full
MISAR_E15_5_S1,teacher,RL_615cc4f227cd_t0_e0,0.5416365903694235,0.6669488935833198,0.0,0.0,0,1e7f48d5c56302ba7e728af2f70df32fe0f52f3dc49d1118ad2509ce58675829,teacher
MISAR_E15_5_S1,teacher_head,RL_44a9ff133fb2_t0_e0,0.40021872347549264,0.5685300030252693,-0.14141786689393082,-0.09841889055805042,307,89c8e528fc7acf62033853a1c885f4eed8bbb7353dc009af4ab729241cab1070,teacher_head
MISAR_E15_5_S1,generic,RL_4c6a3c5ac66e_t0_e0,0.40020326259835465,0.5699900118318114,-0.14143332777106882,-0.09695888175150835,314,89c7c7915e8081e73dcb080bcd1133ebd71731245303eb151ef237b090050e03,generic
MISAR_E15_5_S1,support,RL_30dc9e166172_t0_e0,0.4018402518163663,0.5696082466501494,-0.13979633855305718,-0.09734064693317035,311,4bfec4fc160c3857f505c98b4520a0d16969e2653ea7fef9a120cdbf76c4bfdf,support
MISAR_E15_5_S1,support_boundary,RL_2ba8a12d9ff3_t0_e0,0.4011491307322659,0.5671273262804806,-0.14048745963715759,-0.0998215673028392,310,5f19030a86d83e83d2acb4d0eab447b4384ed113418e09d03ed351cb83991b24,support_boundary
MISAR_E15_5_S1,support_conflict,RL_2ef6bae64170_t0_e0,0.40205220919545565,0.5699845404631698,-0.13958438117396782,-0.09696435312014995,312,0b537dbf0e306701935dbc60a92779c8930c3ff643a5bb1bc556a7b6e96fcf50,support_conflict
MISAR_E15_5_S1,full_matched,RL_847a23b5f7f3_t0_e0,0.4016169832982267,0.568461207091041,-0.14001960707119676,-0.09848768649227879,310,ed4b0b1ede696026424ff953b70d8df9a6b8648d4f86e522b62bff26a6ecc5a6,full
