dataset,protocol_id,endpoint_k,reference_unique_k,reference_sha256,mask_sha256,n_total,n_evaluated,reference_type,use
A1,A1_PRIMARY_K10,10,10,2af9d92e8efad029284d4577977ee73bd56ab6563bfe78833c7937b6159fa57c,81015f4911f12ad1693bf1de5f630a53ed0434864971b974ab163c3c43634a74,3484,3484,PUBLIC_BENCHMARK_REFERENCE,DISCOVERY_HPO_AND_EVALUATION
D1,D1_PRIMARY_K10,10,10,d9c62e2ef902e3d62aab5e66f04ac0d4bf666f76a8324547b002a779e8b70891,60f9578fe979fa41f64d029a2499afc5fc31f3c7faae4eed47233397f288c7f1,3359,3359,PUBLIC_BENCHMARK_REFERENCE,FROZEN_OPERATOR_TRANSFER_EVALUATION_ON_HISTORICALLY_TUNED_START
tonsil_s1,tonsil_s1_PRIMARY_K4,4,4,47afb84eea5484b9798945078b3fa4e8025a3dca36cb07f9177b7680dd6d96b2,6d61f28f84e96a19515cfd0a99826e9d78d771cd5b2bcd021d4839dd78773283,4326,4326,PUBLIC_BENCHMARK_REFERENCE,DISCOVERY_HPO_AND_EVALUATION
tonsil_s2,tonsil_s2_PRIMARY_K4,4,4,2363f92dfe0b08a0ce0481e226de900196793494a3e0d5f91f756413a33d2488,e4c006ba4a5630b9e3abb26193ea0d33e4454ff83d3a171905169f4a80ef86cf,4519,4518,PUBLIC_BENCHMARK_REFERENCE,FROZEN_OPERATOR_TRANSFER_EVALUATION_ON_HISTORICALLY_TUNED_START
tonsil_s3,tonsil_s3_PRIMARY_K4,4,4,c1b287a27f3e2045d05840c6f7a0382be8a842ed28e9ff6e191cba3d023b6160,a9c58e43a8d08cee15af91caa250440520ccb6b172567ed0a026df0f6d307c34,4521,4460,PUBLIC_BENCHMARK_REFERENCE,FROZEN_OPERATOR_TRANSFER_EVALUATION_ON_HISTORICALLY_TUNED_START
P22,P22_PRIMARY_K9,9,9,99e1977bd406e3dbb6892b2cdfa547a7152acb622f953a6bf9c9985c9a0d2a4b,a9862c04ea51d20c2085a51878e5477bdef9b95c863a2d00ecf161d6d3c05f5f,9196,9196,PUBLIC_BENCHMARK_REFERENCE,DISCOVERY_HPO_AND_EVALUATION
MISAR_E15_5_S1,MISAR_E15_5_S1_PRIMARY_K7,7,7,012c1b92972808e51e133997fb0aefc9638355e4912f4b062ac65290ca4bd11a,088af8a614d77ac55a1c498220d9074f61b24dc8f2e09477db7476bc37ef7b8f,1949,1949,PUBLIC_BENCHMARK_REFERENCE,FROZEN_OPERATOR_TRANSFER_EVALUATION_ON_HISTORICALLY_TUNED_START
P22,P22_3DOT_AUTHOR_ASSIGNMENT_K18,18,18,8e04a2fcc564bc7d2ae53a7a9c5b91c5c537252027137762b5fd1abb237ea199,a9862c04ea51d20c2085a51878e5477bdef9b95c863a2d00ecf161d6d3c05f5f,9196,9196,AUTHOR_18_STATE_ASSIGNMENT,SECONDARY_SENSITIVITY_ONLY
MISAR_E15_5_S1,MISAR_ENDPOINT_K12_AGAINST_AVAILABLE_K7_REFERENCE,12,7,012c1b92972808e51e133997fb0aefc9638355e4912f4b062ac65290ca4bd11a,088af8a614d77ac55a1c498220d9074f61b24dc8f2e09477db7476bc37ef7b8f,1949,1949,ENDPOINT_SENSITIVITY_NOT_DISTINCT_K12_ANNOTATION,SECONDARY_CONTEXT_ONLY
MULTIGATE_HUMAN_HIPPOCAMPUS,MULTIGATE_MANUAL_ANATOMICAL_K7,7,7,c2909e2ec6f767ceb3d8029cdcdd4e0e92bd96ac7eb3e3b0686bb8a36b800af3,16b76cc376cd588ece82300b724e87659db72b65bb6497012e937ae78b74602b,2500,2500,OFFICIAL_MANUAL_ANATOMICAL_GROUND_TRUTH_CARRIER,INDEPENDENT_FROZEN_OPERATOR_TRANSFER_EVALUATION
