unit_id,study,accession_or_doi,platform,family,role,n,view1_shape,view2_shape,paired_id_status,annotation_status,endpoint_k,evaluation_status
A1,GSE263617,GSE263617,VISIUM_RNA_ADT,RNA_PROTEIN,FAMILY_DISCOVERY,3484,"[3484, 30]","[3484, 30]",CLOSED,CLOSED,10,COMPLETE
D1,GSE263617,GSE263617,VISIUM_RNA_ADT,RNA_PROTEIN,FROZEN_OPERATOR_TRANSFER_ON_BENCHMARK_TUNED_START,3359,"[3359, 30]","[3359, 30]",CLOSED,CLOSED,10,COMPLETE
tonsil_s1,ZENODO_12654113,10.5281/zenodo.12654113,VISIUM_RNA_ADT,RNA_PROTEIN,FAMILY_DISCOVERY,4326,"[4326, 30]","[4326, 30]",CLOSED,CLOSED,4,COMPLETE
tonsil_s2,ZENODO_12654113,10.5281/zenodo.12654113,VISIUM_RNA_ADT,RNA_PROTEIN,FROZEN_OPERATOR_TRANSFER_ON_BENCHMARK_TUNED_START,4519,"[4519, 30]","[4519, 30]",CLOSED,CLOSED,4,COMPLETE
tonsil_s3,ZENODO_12654113,10.5281/zenodo.12654113,VISIUM_RNA_ADT,RNA_PROTEIN,FROZEN_OPERATOR_TRANSFER_ON_BENCHMARK_TUNED_START,4521,"[4521, 30]","[4521, 30]",CLOSED,CLOSED,4,COMPLETE
P22,P22,PROJECT_CANONICAL_P22,SPATIAL_RNA_ATAC,RNA_CHROMATIN,FAMILY_DISCOVERY,9196,"[9196, 30]","[9196, 50]",CLOSED,CLOSED,9,COMPLETE
MISAR_E15_5_S1,MISAR_E15_5_S1,MISAR_E15.5_S1,SPATIAL_RNA_ATAC,RNA_CHROMATIN,FAMILY_DISCOVERY_ROLE_REVISED_BEFORE_NEW_UNIT_EVALUATION,1949,"[1949, 30]","[1949, 50]",CLOSED,CLOSED,7,COMPLETE
MULTIGATE_HUMAN_HIPPOCAMPUS,MULTIGATE_FIGSHARE_27978765,10.6084/m9.figshare.27978765,SPATIAL_RNA_ATAC,RNA_CHROMATIN,INDEPENDENT_FROZEN_OPERATOR_TRANSFER,2500,"[2500, 7666]","[2500, 28270]",BYTE_EXACT_SET_AND_ORDER_CLOSED,OFFICIAL_MANUAL_ANATOMICAL_K7_CLOSED,7,COMPLETE
GSM6204623_MouseBrain_20um,GSE205055,GSM6204623,SPATIAL_EPIGENOME_TRANSCRIPTOME_20UM,RNA_CHROMATIN_ASSET,PROVENANCE_ONLY_NOT_MISAR_STAGE,2500,"[2500, 233155]",UNRESOLVED,NOT_CLOSED_AS_PHYSICAL_PAIR,NO_REFERENCE_IN_BUNDLE,,NOT_EVALUATED
GSM6204636_MouseBrain_20um,GSE205055,GSM6204636,SPATIAL_EPIGENOME_TRANSCRIPTOME_20UM,RNA_CHROMATIN_ASSET,PROVENANCE_ONLY_NOT_MISAR_STAGE,2373,"[2373, 19859]",UNRESOLVED,NOT_CLOSED_AS_PHYSICAL_PAIR,NO_REFERENCE_IN_BUNDLE,,NOT_EVALUATED
