dataset,family,role,variant,candidate_id,absolute_ari,absolute_nmi,delta_ari_vs_input,delta_nmi_vs_input,min_cluster_size_full,partition_sha256
A1,RNA_PROTEIN,FAMILY_DISCOVERY,INPUT_STRONG_START,INPUT_STRONG_START,0.2760037787216815,0.4216898282359678,0.0,0.0,114,8c3430f4db406f6d537ef7eb5e6691f8c5fd509adcd6aab968fd08b2481ebc2b
A1,RNA_PROTEIN,FAMILY_DISCOVERY,NIGHT15F_DIRECT,NIGHT15F_DIRECT_fb04d51736b95c,0.2760037787216815,0.4216898282359678,0.0,0.0,114,8c3430f4db406f6d537ef7eb5e6691f8c5fd509adcd6aab968fd08b2481ebc2b
A1,RNA_PROTEIN,FAMILY_DISCOVERY,TSRE_FULL,TSRE_FULL_2ee7a3d777cdc5,0.2762858911644195,0.4218302703612856,0.00028211244273795844,0.00014044212531783007,114,6fd30b01f2fbe7ea2cf8c55027fba4c747138bf30ef1a7418bb2afa9c0611bf9
A1,RNA_PROTEIN,FAMILY_DISCOVERY,SUPPORT_MODULATION_ONLY,SUPPORT_MODULATION_ONLY_8fe318ada0c205,0.2760037787216815,0.4216898282359678,0.0,0.0,114,8c3430f4db406f6d537ef7eb5e6691f8c5fd509adcd6aab968fd08b2481ebc2b
A1,RNA_PROTEIN,FAMILY_DISCOVERY,BOUNDARY_OFF,BOUNDARY_OFF_faf17cc663451e,0.2760037787216815,0.4216898282359678,0.0,0.0,114,8c3430f4db406f6d537ef7eb5e6691f8c5fd509adcd6aab968fd08b2481ebc2b
A1,RNA_PROTEIN,FAMILY_DISCOVERY,CONFLICT_PRIVATE_OFF,CONFLICT_PRIVATE_OFF_99326e6d7c4941,0.2760037787216815,0.4216898282359678,0.0,0.0,114,8c3430f4db406f6d537ef7eb5e6691f8c5fd509adcd6aab968fd08b2481ebc2b
A1,RNA_PROTEIN,FAMILY_DISCOVERY,REJECTED_MASS_STAY_OFF,REJECTED_MASS_STAY_OFF_44ae16f7052a81,0.2397020795972389,0.372978357680097,-0.036301699124442616,-0.04871147055587077,148,1174e810eff89ac4d39033276da0d9f79bd1536260af0d1ca57f633fd6b67a0a
A1,RNA_PROTEIN,FAMILY_DISCOVERY,PURE_SUPPORT_POTTS_FULL,PURE_SUPPORT_POTTS_FULL_80717da96750fc,0.2762009157439677,0.4217315010010226,0.0001971370222861868,4.1672765054789895e-05,114,a6fba5e211d26a7f9096eda3242477e681e8a94cc8de1e66d7660cb328bda80b
D1,RNA_PROTEIN,FROZEN_OPERATOR_TRANSFER_ON_BENCHMARK_TUNED_START,INPUT_STRONG_START,INPUT_STRONG_START,0.3664778624945835,0.4481582291179584,0.0,0.0,58,47f5ba48cd016d19087cc0c813ba5d1f3b6ad0b1348c66778b136659e3a45334
D1,RNA_PROTEIN,FROZEN_OPERATOR_TRANSFER_ON_BENCHMARK_TUNED_START,NIGHT15F_DIRECT,NIGHT15F_DIRECT_fb04d51736b95c,0.3664670263244355,0.4477052666489846,-1.083617014796534e-05,-0.00045296246897380543,56,9769ac2fb172fbb6fa3a2214f77bfc7b8aceae1461c516ba134ae24e39328538
D1,RNA_PROTEIN,FROZEN_OPERATOR_TRANSFER_ON_BENCHMARK_TUNED_START,TSRE_FULL,TSRE_FULL_2ee7a3d777cdc5,0.3661129314104913,0.4475825938554101,-0.00036493108409219044,-0.0005756352625482797,59,517f7908a21f09c5572949a5f689490f60a2b1a78b10bb057fc242a7ba514d2e
D1,RNA_PROTEIN,FROZEN_OPERATOR_TRANSFER_ON_BENCHMARK_TUNED_START,SUPPORT_MODULATION_ONLY,SUPPORT_MODULATION_ONLY_8fe318ada0c205,0.3662681264457788,0.4475864773306031,-0.00020973604880469843,-0.0005717517873553013,56,20496b2fc95750b5124b7d60e84303038a3802f57155441fb436adc7e5ffdc17
D1,RNA_PROTEIN,FROZEN_OPERATOR_TRANSFER_ON_BENCHMARK_TUNED_START,BOUNDARY_OFF,BOUNDARY_OFF_faf17cc663451e,0.3663956201953772,0.4479381165352755,-8.224229920628101e-05,-0.00022011258268289646,57,7b89f7a4ce8dbd83b3ea01d229806951f5a6b98e7b5a5a29a653525631514739
D1,RNA_PROTEIN,FROZEN_OPERATOR_TRANSFER_ON_BENCHMARK_TUNED_START,CONFLICT_PRIVATE_OFF,CONFLICT_PRIVATE_OFF_99326e6d7c4941,0.3664778624945835,0.4481582291179584,0.0,0.0,58,47f5ba48cd016d19087cc0c813ba5d1f3b6ad0b1348c66778b136659e3a45334
D1,RNA_PROTEIN,FROZEN_OPERATOR_TRANSFER_ON_BENCHMARK_TUNED_START,REJECTED_MASS_STAY_OFF,REJECTED_MASS_STAY_OFF_44ae16f7052a81,0.2465850397448203,0.3423749794456121,-0.11989282274976318,-0.10578324967234626,67,2caafcd06c6c79d0c002ffd693275ccccb031312481ef8113cf62a044fcf2430
D1,RNA_PROTEIN,FROZEN_OPERATOR_TRANSFER_ON_BENCHMARK_TUNED_START,PURE_SUPPORT_POTTS_FULL,PURE_SUPPORT_POTTS_FULL_80717da96750fc,0.3661129314104913,0.4475825938554101,-0.00036493108409219044,-0.0005756352625482797,59,517f7908a21f09c5572949a5f689490f60a2b1a78b10bb057fc242a7ba514d2e
tonsil_s1,RNA_PROTEIN,FAMILY_DISCOVERY,INPUT_STRONG_START,INPUT_STRONG_START,0.2366828671825159,0.3173652406079106,0.0,0.0,478,61d64ed233b9bd5e8d800da195123f337eb1b1fcdaee08cec1068601738d5e0b
