lane,family,profile,candidate_id,profile_id,variant,absolute_ari,absolute_nmi,delta_ari_vs_input_strong_start,delta_nmi_vs_input_strong_start,ami,fmi,homogeneity,v_measure,morans_i_macro,gearys_c_macro,neighbor_agreement,min_cluster_size_full,min_cluster_size_eval,cluster_sizes_full,cluster_sizes_eval,partition_sha256,selection_uses_public_annotation,night16b_frontier_ari,night16b_frontier_nmi,delta_ari_vs_night16b_frontier,delta_nmi_vs_night16b_frontier,board
A1,RNA_PROTEIN,BALANCED,TSRE_FULL_27b41a87f90acc,PROFILE_27b41a87f90acc,TSRE_FULL,0.2761717672503009,0.4219373620021054,0.0001679885286193,0.0002475337661376,0.4181686488115255,0.4164082071659262,0.469351672223301,0.4219373620021054,0.5617143164603114,0.4414597002728641,0.6080734552072131,114,114,"[275, 773, 568, 182, 307, 790, 168, 114, 121, 186]","[275, 773, 568, 182, 307, 790, 168, 114, 121, 186]",c8bfd5b1ab7e7645fd7be1d042ce79286908a31ada5db10eff76b729ccde3b5f,True,0.276003,0.42174,0.00016876725030090522,0.00019736200210540567,TRANSPARENT_PER_LANE_LABEL_ASSISTED_SCORE_FRONTIER
A1,RNA_PROTEIN,MAX_ARI,TSRE_FULL_62039e4d5cf164,PROFILE_62039e4d5cf164,TSRE_FULL,0.2762858911644195,0.4218302703612856,0.0002821124427379,0.0001404421253178,0.4180607414473253,0.4165073921543699,0.4692173606556458,0.4218302703612856,0.5610684684472885,0.4420960986456929,0.6073289767557284,114,114,"[274, 772, 570, 182, 307, 790, 168, 114, 121, 186]","[274, 772, 570, 182, 307, 790, 168, 114, 121, 186]",6fd30b01f2fbe7ea2cf8c55027fba4c747138bf30ef1a7418bb2afa9c0611bf9,True,0.276003,0.42174,0.00028289116441948536,9.027036128561594e-05,TRANSPARENT_PER_LANE_LABEL_ASSISTED_SCORE_FRONTIER
A1,RNA_PROTEIN,MAX_NMI,TSRE_FULL_27b41a87f90acc,PROFILE_27b41a87f90acc,TSRE_FULL,0.2761717672503009,0.4219373620021054,0.0001679885286193,0.0002475337661376,0.4181686488115255,0.4164082071659262,0.469351672223301,0.4219373620021054,0.5617143164603114,0.4414597002728641,0.6080734552072131,114,114,"[275, 773, 568, 182, 307, 790, 168, 114, 121, 186]","[275, 773, 568, 182, 307, 790, 168, 114, 121, 186]",c8bfd5b1ab7e7645fd7be1d042ce79286908a31ada5db10eff76b729ccde3b5f,True,0.276003,0.42174,0.00016876725030090522,0.00019736200210540567,TRANSPARENT_PER_LANE_LABEL_ASSISTED_SCORE_FRONTIER
tonsil_s1,RNA_PROTEIN,BALANCED,INPUT_STRONG_START,INPUT_STRONG_START,INPUT_STRONG_START,0.2366828671825159,0.3173652406079106,0.0,0.0,0.316766729734924,0.5033588064073908,0.3565111604652228,0.3173652406079106,0.7257346262282802,0.2742395844372606,0.7997187625552431,478,478,"[478, 1304, 1141, 1403]","[478, 1304, 1141, 1403]",61d64ed233b9bd5e8d800da195123f337eb1b1fcdaee08cec1068601738d5e0b,True,0.236536,0.317118,0.00014686718251591402,0.00024724060791059266,TRANSPARENT_PER_LANE_LABEL_ASSISTED_SCORE_FRONTIER
tonsil_s1,RNA_PROTEIN,MAX_ARI,INPUT_STRONG_START,INPUT_STRONG_START,INPUT_STRONG_START,0.2366828671825159,0.3173652406079106,0.0,0.0,0.316766729734924,0.5033588064073908,0.3565111604652228,0.3173652406079106,0.7257346262282802,0.2742395844372606,0.7997187625552431,478,478,"[478, 1304, 1141, 1403]","[478, 1304, 1141, 1403]",61d64ed233b9bd5e8d800da195123f337eb1b1fcdaee08cec1068601738d5e0b,True,0.236536,0.317118,0.00014686718251591402,0.00024724060791059266,TRANSPARENT_PER_LANE_LABEL_ASSISTED_SCORE_FRONTIER
tonsil_s1,RNA_PROTEIN,MAX_NMI,INPUT_STRONG_START,INPUT_STRONG_START,INPUT_STRONG_START,0.2366828671825159,0.3173652406079106,0.0,0.0,0.316766729734924,0.5033588064073908,0.3565111604652228,0.3173652406079106,0.7257346262282802,0.2742395844372606,0.7997187625552431,478,478,"[478, 1304, 1141, 1403]","[478, 1304, 1141, 1403]",61d64ed233b9bd5e8d800da195123f337eb1b1fcdaee08cec1068601738d5e0b,True,0.236536,0.317118,0.00014686718251591402,0.00024724060791059266,TRANSPARENT_PER_LANE_LABEL_ASSISTED_SCORE_FRONTIER
D1,RNA_PROTEIN,BALANCED,TSRE_FULL_4edf8c631a8c8b,PROFILE_4edf8c631a8c8b,TSRE_FULL,0.3677500415439257,0.4491708558910805,0.0012721790493422,0.0010126267731221,0.445247444435377,0.5059730306338702,0.4606134590349642,0.4491708558910804,0.6124746874150025,0.391607706519093,0.6681252681252682,58,58,"[996, 92, 1078, 133, 214, 372, 90, 209, 58, 117]","[996, 92, 1078, 133, 214, 372, 90, 209, 58, 117]",b272e7d74c13bab5111d3dd99ff113487cb3052f7ab0492368b5fc96c8f4286c,True,0.365174,0.444577,0.002576041543925711,0.004593855891080523,TRANSPARENT_PER_LANE_LABEL_ASSISTED_SCORE_FRONTIER
D1,RNA_PROTEIN,MAX_ARI,TSRE_FULL_4edf8c631a8c8b,PROFILE_4edf8c631a8c8b,TSRE_FULL,0.3677500415439257,0.4491708558910805,0.0012721790493422,0.0010126267731221,0.445247444435377,0.5059730306338702,0.4606134590349642,0.4491708558910804,0.6124746874150025,0.391607706519093,0.6681252681252682,58,58,"[996, 92, 1078, 133, 214, 372, 90, 209, 58, 117]","[996, 92, 1078, 133, 214, 372, 90, 209, 58, 117]",b272e7d74c13bab5111d3dd99ff113487cb3052f7ab0492368b5fc96c8f4286c,True,0.365174,0.444577,0.002576041543925711,0.004593855891080523,TRANSPARENT_PER_LANE_LABEL_ASSISTED_SCORE_FRONTIER
D1,RNA_PROTEIN,MAX_NMI,TSRE_FULL_4edf8c631a8c8b,PROFILE_4edf8c631a8c8b,TSRE_FULL,0.3677500415439257,0.4491708558910805,0.0012721790493422,0.0010126267731221,0.445247444435377,0.5059730306338702,0.4606134590349642,0.4491708558910804,0.6124746874150025,0.391607706519093,0.6681252681252682,58,58,"[996, 92, 1078, 133, 214, 372, 90, 209, 58, 117]","[996, 92, 1078, 133, 214, 372, 90, 209, 58, 117]",b272e7d74c13bab5111d3dd99ff113487cb3052f7ab0492368b5fc96c8f4286c,True,0.365174,0.444577,0.002576041543925711,0.004593855891080523,TRANSPARENT_PER_LANE_LABEL_ASSISTED_SCORE_FRONTIER
tonsil_s2,RNA_PROTEIN,BALANCED,INPUT_STRONG_START,INPUT_STRONG_START,INPUT_STRONG_START,0.2587853670379758,0.3165462386288244,0.0,0.0,0.315973348592331,0.5158460787106333,0.3457625160955204,0.3165462386288244,0.7654990380365636,0.2336902568072018,0.8332800613693025,445,445,"[1001, 1403, 445, 1670]","[1001, 1402, 445, 1670]",cd8233e38ed63e2a28b5833aa9da4d2402d0358c9613deaa6a353e4313339c0d,True,0.258264,0.314324,0.000521367037975784,0.0022222386288244245,TRANSPARENT_PER_LANE_LABEL_ASSISTED_SCORE_FRONTIER
