lane,control,candidate_id,partition_sha256,arm,start_id,cluster_sizes_full,cluster_sizes_eval,status,failure,absolute_ari,absolute_nmi,ami,fmi,homogeneity,v_measure,morans_i_macro,gearys_c_macro,neighbor_agreement,min_cluster_size_full,min_cluster_size_eval,n_total,n_evaluated,k,wall_seconds,delta_vs_medoid_ari,delta_vs_medoid_nmi,oracle_gap_ari
P22_K9,PLAIN_PARTITION_MEDOID,KMEANS_RETAINED_S3__UNIFORM_MASS_MATCHED,06fe5537ec5ca21f2a0bda31272af6486d7c2c359b5f95232d3e3f6f601342a1,UNIFORM_MASS_MATCHED,KMEANS_RETAINED_S3,"[821, 2317, 941, 705, 714, 1044, 1052, 713, 889]","[821, 2317, 941, 705, 714, 1044, 1052, 713, 889]",PASS,,0.5144519726101757,0.6449194896266399,0.6443145500622561,0.5857342553256527,0.6631479981526993,0.64491948962664,0.902679093242219,0.09883181895075227,0.9204541929078894,705.0,705.0,9196.0,9196.0,9.0,0.5951351393014193,0.0,0.0,0.08193808307239836
P22_K9,MINIMUM_RETAINED_INERTIA,KMEANS_RETAINED_S1__INPUT_START,090a371f48de634db387dbdda66b2412d61b02a38e718148d69f94d033b4c27e,INPUT_START,KMEANS_RETAINED_S1,"[1399, 1032, 628, 1047, 713, 1259, 2256, 164, 698]","[1399, 1032, 628, 1047, 713, 1259, 2256, 164, 698]",PASS,,0.44904474559018387,0.5869323958022975,0.5862153689779289,0.5315492038226087,0.5939110881873062,0.5869323958022974,0.8191858537515819,0.18308357661655628,0.8575062823814104,164.0,164.0,9196.0,9196.0,9.0,0.0007619708776473999,-0.06540722701999185,-0.05798709382434242,0.1473453100923902
P22_K9,MAXIMUM_RETAINED_CH,KMEANS_RETAINED_S1__INPUT_START,090a371f48de634db387dbdda66b2412d61b02a38e718148d69f94d033b4c27e,INPUT_START,KMEANS_RETAINED_S1,"[1399, 1032, 628, 1047, 713, 1259, 2256, 164, 698]","[1399, 1032, 628, 1047, 713, 1259, 2256, 164, 698]",PASS,,0.44904474559018387,0.5869323958022975,0.5862153689779289,0.5315492038226087,0.5939110881873062,0.5869323958022974,0.8191858537515819,0.18308357661655628,0.8575062823814104,164.0,164.0,9196.0,9196.0,9.0,0.0007619708776473999,-0.06540722701999185,-0.05798709382434242,0.1473453100923902
P22_K9,MAXIMUM_SPATIAL_COHERENCE,PATH_UNIFORM__AUTHORITY_STRONG_START__L06,590a294fc360ddf83051775834adb89031a53dd15fef2d1a4ee5594cbb72d9c0,UNIFORM_MASS_MATCHED_PATH,AUTHORITY_STRONG_START,"[1147, 624, 1513, 790, 1069, 1520, 544, 1825, 164]","[1147, 624, 1513, 790, 1069, 1520, 544, 1825, 164]",PASS,,0.5875325536381577,0.7089736211480059,0.7084699608014403,0.6487336497556058,0.7195964937791552,0.7089736211480059,0.9334454442970213,0.06901663444101273,0.9589551081190084,164.0,164.0,9196.0,9196.0,9.0,0.5195453204214573,0.07308058102798198,0.06405413152136596,0.008857502044416377
P22_K9,FIXED_AUTHORITY_DIRECT_ENERGY,AUTHORITY_STRONG_START__DIRECT_BASE,719495be0baf552f0423d71d966c96201144ce21dee837a23ca4f71fbb1f7f22,DIRECT_BASE,AUTHORITY_STRONG_START,"[1146, 624, 1483, 791, 1034, 1521, 613, 1820, 164]","[1146, 624, 1483, 791, 1034, 1521, 613, 1820, 164]",PASS,,0.5948372492388294,0.7157421095103025,0.7152509213253695,0.6548714601024409,0.7275307229399212,0.7157421095103025,0.9308865572688286,0.07174076202088119,0.9566903484007073,164.0,164.0,9196.0,9196.0,9.0,0.5863751657307148,0.08038527662865369,0.07082261988366256,0.0015528064437446698
P22_K9,LABEL_ASSISTED_ORACLE_MAX_ARI,PATH_UNIFORM__AUTHORITY_STRONG_START__L03,76ec89c8243fc4856692ddcd4cf2906df971381b968a5489c245a74c52eda3be,UNIFORM_MASS_MATCHED_PATH,AUTHORITY_STRONG_START,"[1148, 624, 1482, 802, 1019, 1524, 612, 1819, 166]","[1148, 624, 1482, 802, 1019, 1524, 612, 1819, 166]",PASS,,0.5963900556825741,0.7182431752166996,0.7177564029544009,0.6561938761976059,0.7301798169767678,0.7182431752166996,0.9319680778656318,0.0705238845729904,0.9574969751496913,166.0,166.0,9196.0,9196.0,9.0,0.4805218167603016,0.08193808307239836,0.07332368559005964,0.0
P22_K9,LABEL_ASSISTED_ORACLE_MAX_NMI,PATH_UNIFORM__AUTHORITY_STRONG_START__L03,76ec89c8243fc4856692ddcd4cf2906df971381b968a5489c245a74c52eda3be,UNIFORM_MASS_MATCHED_PATH,AUTHORITY_STRONG_START,"[1148, 624, 1482, 802, 1019, 1524, 612, 1819, 166]","[1148, 624, 1482, 802, 1019, 1524, 612, 1819, 166]",PASS,,0.5963900556825741,0.7182431752166996,0.7177564029544009,0.6561938761976059,0.7301798169767678,0.7182431752166996,0.9319680778656318,0.0705238845729904,0.9574969751496913,166.0,166.0,9196.0,9196.0,9.0,0.4805218167603016,0.08193808307239836,0.07332368559005964,0.0
P22_K9,MULTI_EVIDENCE_GLOBAL,PATH_UNIFORM__AUTHORITY_STRONG_START__L03,76ec89c8243fc4856692ddcd4cf2906df971381b968a5489c245a74c52eda3be,UNIFORM_MASS_MATCHED_PATH,AUTHORITY_STRONG_START,"[1148, 624, 1482, 802, 1019, 1524, 612, 1819, 166]","[1148, 624, 1482, 802, 1019, 1524, 612, 1819, 166]",PASS,,0.5963900556825741,0.7182431752166996,0.7177564029544009,0.6561938761976059,0.7301798169767678,0.7182431752166996,0.9319680778656318,0.0705238845729904,0.9574969751496913,166.0,166.0,9196.0,9196.0,9.0,0.4805218167603016,0.08193808307239836,0.07332368559005964,0.0
P22_K9,SIMPLE_EQUAL_WEIGHT_RANK,PATH_UNIFORM__KMEANS_RETAINED_S0__L03,a9f4163e99aeed41f2c41d14a3dedcb76ffe9a640425b4338012d78876f08f17,UNIFORM_MASS_MATCHED_PATH,KMEANS_RETAINED_S0,"[1029, 2310, 839, 892, 1048, 722, 709, 710, 937]","[1029, 2310, 839, 892, 1048, 722, 709, 710, 937]",PASS,,0.5091893749885379,0.6378066470817637,0.6371898099952084,0.5811700412679872,0.6560609948631879,0.6378066470817637,0.8964182453897287,0.10493086813505813,0.9151180467223032,709.0,709.0,9196.0,9196.0,9.0,0.5091018527746201,-0.005262597621637832,-0.007112842544876208,0.08720068069403619
P22_K9,NO_MOLECULAR_AXIS,AUTHORITY_STRONG_START__PERMUTED_SUPPORT,807cfb046f296270647b66ef37035edf332a614c22513d2d3f0cb775c54ec950,PERMUTED_SUPPORT,AUTHORITY_STRONG_START,"[1150, 624, 1482, 804, 1017, 1524, 611, 1818, 166]","[1150, 624, 1482, 804, 1017, 1524, 611, 1818, 166]",PASS,,0.5955061787297278,0.7174544110590007,0.7169662799813722,0.6554360215446474,0.7293838579366113,0.7174544110590005,0.9318785374390772,0.07065244288226327,0.9573728787267707,166.0,166.0,9196.0,9196.0,9.0,0.9575022775679827,0.08105420611955205,0.07253492143236073,0.0008838769528463075
