lane,run_id,arm,config_id,ari,nmi,ami,fmi,neighbor_agreement,moran_macro_ovr,geary_macro_ovr,min_cluster_size,cluster_sizes,partition_sha256,representation_sha256,training_seed,evaluator_label_reads,delta_ari_vs_frozen,delta_nmi_vs_frozen,delta_ari_vs_strongest_control,delta_nmi_vs_strongest_control
HUMAN_HIPPOCAMPUS_K7,BASELINE__FROZEN_RETAINED,FROZEN_RETAINED_SAME_HEAD,BASELINE,0.12891280649086256,0.1869376236949035,0.18365635770089142,0.2892076226212045,0.3283118783877826,0.24106271060285195,0.7587954787347255,141,"[442,141,496,207,456,348,410]",58ab5247008ec34afd9c69c5660cd3daf76f77e0429e38570b70157a0b903aff,1f610ae69afd42cc985b452622b1367dfe851b9e6d6c4ad16a7ed8bf41bd0aa6,0,1,0.0,0.0,-0.06682391776713215,-0.09129686494145486
HUMAN_HIPPOCAMPUS_K7,BASELINE__FEASIBLE_RELATION_SMOOTH,FEASIBLE_CONSENSUS_SAME_HEAD,BASELINE,0.1957367242579947,0.27823448863635836,0.2752095798911524,0.35393019792377134,0.4567843338809779,0.43072784923990887,0.5655553156071809,49,"[602,240,164,497,541,407,49]",e3f324343dafa6e5f9f710aa6fac4441745f51d0b2d5f17acf6017a738dec26c,bd9d9ee3fa9ff2cfe5fdeb3a512770fd8831c6784eb59b0686f06704374b7eda,0,1,0.06682391776713215,0.09129686494145486,0.0,0.0
HUMAN_HIPPOCAMPUS_K7,F03_ANCHORED__FULL_WEIGHTED__S0,FULL_WEIGHTED,F03_ANCHORED,0.1492084735203147,0.21325653429099875,0.20995297117232395,0.31691404796494,0.38275173477201974,0.3506750555229335,0.6460385034823716,46,"[46,255,370,160,559,596,514]",132b46caa86e4c6994575536fc10fa70fe8de12cc8e93c128fbae51224a3db37,9a0611d270621d316299b1b256b06eefebcdbc5a8c5625c0ecbc7548d4020eeb,0,1,0.020295667029452125,0.026318910596095257,-0.04652825073768002,-0.0649779543453596
HUMAN_HIPPOCAMPUS_K7,F03_ANCHORED__UNWEIGHTED_RELATION__S0,UNWEIGHTED_RELATION,F03_ANCHORED,0.1550043401312289,0.21931656108274986,0.21603759285018473,0.3219359348778163,0.3877663429024735,0.3563485272258049,0.6406469332363753,48,"[48,506,362,258,154,573,599]",064925361f1257d0cd783ded66fedcde1671d7eb602ab7ffb7528f472d9ebaba,d13f4a284a2cdbe7bc48aafa750225742d7776ff2b3e8a323f5cb06dcb54e61b,0,1,0.026091533640366343,0.03237893738784636,-0.0407323841267658,-0.0589179275536085
HUMAN_HIPPOCAMPUS_K7,F03_ANCHORED__UNBIASED_BANK_WEIGHTED__S0,UNBIASED_BANK_WEIGHTED,F03_ANCHORED,0.15127931988990923,0.21827004408777134,0.2149824983341777,0.31923868893175156,0.38335757344449883,0.35163048069063446,0.6451727771403905,46,"[46,239,364,161,576,582,532]",eb4ee633c2c2f063ff031f7424a51dc11b9e54259ec301daa2fbf5568a656230,89e2a66aba484154c436c71e7a970e41e99854ce73669d754e7b844cdb49c1f6,0,1,0.02236651339904666,0.03133242039286785,-0.044457404368085485,-0.059964444548587015
HUMAN_HIPPOCAMPUS_K7,F03_ANCHORED__RELATION_PERMUTED__S0,RELATION_PERMUTED,F03_ANCHORED,0.1644533277570614,0.2138387606126422,0.21055677263458977,0.32911748515929884,0.38608399151818984,0.33594550067146095,0.6620397648824616,63,"[63,265,477,676,381,156,482]",361702c46eb02b7538995bbb92f3fb9814e159726bbab52ced6947e718620ca6,0fd7ac58950b6126cabf7c9e7ab701eb0efb9d2b283ad3406c19b4d027fd590e,0,1,0.03554052126619883,0.02690113691773871,-0.031283396500933314,-0.06439572802371615
HUMAN_HIPPOCAMPUS_K7,F03_ANCHORED__SINGLE_VIEW1__S0,SINGLE_VIEW1,F03_ANCHORED,0.1672619694825864,0.22814263318495698,0.22489925123930718,0.33183971457927997,0.4029510318687366,0.3682782388893834,0.6281389389978296,48,"[571,600,48,229,475,420,157]",93ca8ee8d50cd7122ab5c6d4534182c50a2d66bf6e8f77c4ac5d3ca8a8e4579e,04e29656d3441b31fd636ed496a6b1ae41be9c54e3afd043921a0971050c149a,0,1,0.038349162991723834,0.041205009490053485,-0.028474754775408312,-0.05009185545140138
HUMAN_HIPPOCAMPUS_K7,F03_ANCHORED__SINGLE_VIEW2__S0,SINGLE_VIEW2,F03_ANCHORED,0.1468631686047791,0.21202390418829634,0.20874341097568438,0.3141096092311093,0.3719410965998696,0.3209337085021545,0.6768631327092639,72,"[72,230,479,590,160,578,391]",77130034addbe2dd672b4d44cb246435b9db7e5386641bbb13b1758b57ec1608,6ff1ef5fe3455499811b206aaf8addce392b4246f77656d8ef8a0722a08dd69b,0,1,0.01795036211391654,0.025086280493392843,-0.048873555653215606,-0.06621058444806202
MISAR_K7,BASELINE__FROZEN_RETAINED,FROZEN_RETAINED_SAME_HEAD,BASELINE,0.3611133493142985,0.5371715938517067,0.5347566088080864,0.4827788366729388,0.922318008046878,0.904387359733862,0.09506461800879741,183,"[367,401,264,183,248,214,272]",3add99e4cdb08d99017e747da6c12dc0ea3151e551b5b0bc26997df0c8b2ecd6,359216b6a6d78645e9c4a2988e87b365d84ed212ac85f70b0e4d5882c3bd3977,0,1,0.0,0.0,0.0,-0.0011454934861450106
MISAR_K7,BASELINE__FEASIBLE_RELATION_SMOOTH,FEASIBLE_CONSENSUS_SAME_HEAD,BASELINE,0.360033848124176,0.5383170873378517,0.535906951865165,0.4819340364974421,0.9256538338943161,0.9085258508689841,0.09092432699245197,174,"[174,404,219,271,250,364,267]",2455297ac2b6d9852de6cba0731ab859902e6c1dc879e69761d8fbf4a8f45d0f,1ee170b027f4658339d5a6bd1b965d67644bdd12a59b53cfefda2ebba4cf2021,0,1,-0.0010795011901225116,0.0011454934861450106,-0.0010795011901225116,0.0
