scope,config_id,molecular,topology,learned,uncertainty,dual_improvement_count,worst_min_delta,mean_delta_ari,mean_delta_nmi,weight_sum
DIRECT_ALL3,M0_T0.5_L0.5_U0,0.0,0.5,0.5,0.0,0,-0.17153643028359716,-0.09225852245476035,-0.06318292116319509,1.0
DIRECT_ALL3,M0_T0.5_L0.5_U0.5,0.0,0.5,0.5,0.5,0,-0.10479476769223539,-0.045666843987365535,-0.033085508572824406,1.5
DIRECT_ALL3,M0_T0.5_L0.5_U1,0.0,0.5,0.5,1.0,0,-0.10479476769223539,-0.044552117094127985,-0.03812670147986389,2.0
DIRECT_ALL3,M0_T0.5_L1_U0,0.0,0.5,1.0,0.0,0,-0.17153643028359716,-0.09171855603715896,-0.06198493210293073,1.5
DIRECT_ALL3,M0_T0.5_L1_U0.5,0.0,0.5,1.0,0.5,0,-0.17126051530862574,-0.10364531554288471,-0.07454420889940856,2.0
DIRECT_ALL3,M0_T0.5_L1_U1,0.0,0.5,1.0,1.0,0,-0.3683878268811675,-0.21750161815640542,-0.16551146174910172,2.5
DIRECT_ALL3,M0_T0.5_L2_U0,0.0,0.5,2.0,0.0,0,-0.17102304044932481,-0.09154742609240152,-0.061774908918993766,2.5
DIRECT_ALL3,M0_T0.5_L2_U0.5,0.0,0.5,2.0,0.5,0,-0.4611580773078291,-0.24842503496529264,-0.1916500527455892,3.0
DIRECT_ALL3,M0_T0.5_L2_U1,0.0,0.5,2.0,1.0,0,-0.4611580773078291,-0.24842503496529264,-0.1916500527455892,3.5
DIRECT_ALL3,M0_T1_L0.5_U0,0.0,1.0,0.5,0.0,1,-0.001667107469963458,0.002396798191484306,0.002826667960560488,1.5
DIRECT_ALL3,M0_T1_L0.5_U0.5,0.0,1.0,0.5,0.5,0,-0.030538656799897756,-0.010735254756620405,-0.005521791228242183,2.0
DIRECT_ALL3,M0_T1_L0.5_U1,0.0,1.0,0.5,1.0,0,-0.09954442765261096,-0.03373717837419147,-0.016716772615015585,2.5
DIRECT_ALL3,M0_T1_L1_U0,0.0,1.0,1.0,0.0,0,-0.17153643028359716,-0.09225852245476035,-0.06318292116319509,2.0
DIRECT_ALL3,M0_T1_L1_U0.5,0.0,1.0,1.0,0.5,0,-0.10479476769223539,-0.045666843987365535,-0.033085508572824406,2.5
DIRECT_ALL3,M0_T1_L1_U1,0.0,1.0,1.0,1.0,0,-0.10479476769223539,-0.045666843987365535,-0.033085508572824406,3.0
DIRECT_ALL3,M0_T1_L2_U0,0.0,1.0,2.0,0.0,0,-0.17153643028359716,-0.09171855603715896,-0.06198493210293073,3.0
