absolute_ari,absolute_nmi,ami,arm,candidate_id,changed_from_initial,cluster_sizes_eval,cluster_sizes_full,config_id,delta_ari_vs_learned,delta_ari_vs_night16h,delta_nmi_vs_learned,delta_nmi_vs_night16h,evaluator_label_reads,failure,fmi,gearys_c_macro,homogeneity,k,lane,min_cluster_size_eval,min_cluster_size_full,morans_i_macro,n_evaluated,n_total,neighbor_agreement,night16h_ari,night16h_nmi,partition_sha256,profile,start_id,start_role,status,v_measure,wall_seconds
0.5875325536381577,0.7089736211480059,0.7084699608014403,RELATION_DISABLED,METHOD_NIGHT16H_START__L01_MIX025__RELATION_DISABLED,0,"[1147, 624, 1513, 790, 1069, 1520, 544, 1825, 164]","[1147, 624, 1513, 790, 1069, 1520, 544, 1825, 164]",L01_MIX025,0.0001239144011129234,0.0,-5.975076492581444e-06,0.0,1,,0.6487336497556058,0.06901663444101273,0.7195964937791552,9,P22_K9,164,164,0.9334454442970213,9196,9196,0.9589551081190084,0.5875325536381577,0.7089736211480059,590a294fc360ddf83051775834adb89031a53dd15fef2d1a4ee5594cbb72d9c0,STRICT_LOSO_MATCHED_CONTROL,METHOD_NIGHT16H_START,NIGHT16H_LOCKED_METHOD_START,PASS,0.7089736211480059,0.8348398711532354
0.5874086392370448,0.7089795962244985,0.7084759757106093,ZERO_RELATION,METHOD_NIGHT16H_START__L01_MIX025__ZERO_RELATION,2,"[1147, 624, 1514, 790, 1069, 1520, 543, 1824, 165]","[1147, 624, 1514, 790, 1069, 1520, 543, 1824, 165]",L01_MIX025,0.0,-0.0001239144011129234,0.0,5.975076492581444e-06,1,,0.6486260038624131,0.06907106553423513,0.7196292243388499,9,P22_K9,165,165,0.9334020650860757,9196,9196,0.9588620358018181,0.5875325536381577,0.7089736211480059,f065bf35bc942b514a27b9663e9c8c53bf4f220c73d0fd393d43f21aaee9d809,STRICT_LOSO_MATCHED_CONTROL,METHOD_NIGHT16H_START,NIGHT16H_LOCKED_METHOD_START,PASS,0.7089795962244986,0.9801288526505232
0.5873331343021428,0.7088094855738833,0.7083055852453173,UNIFORM_MASS_MATCHED,METHOD_NIGHT16H_START__L01_MIX025__UNIFORM_MASS_MATCHED,1,"[1147, 624, 1513, 790, 1069, 1520, 544, 1824, 165]","[1147, 624, 1513, 790, 1069, 1520, 544, 1824, 165]",L01_MIX025,-7.550493490193766e-05,-0.00019941933601486106,-0.00017011065061511843,-0.000164135574122537,1,,0.648559078941454,0.06896561740568827,0.7194763148617489,9,P22_K9,165,165,0.9334879061132438,9196,9196,0.9589240840132783,0.5875325536381577,0.7089736211480059,489b01b3d13d4b719d405bf2e1807440ea3f39356da3c13a14beead0fb9dc83b,STRICT_LOSO_MATCHED_CONTROL,METHOD_NIGHT16H_START,NIGHT16H_LOCKED_METHOD_START,PASS,0.7088094855738833,0.8205952811986208
0.5875325536381577,0.7089736211480059,0.7084699608014403,PERMUTED_RELATION,METHOD_NIGHT16H_START__L01_MIX025__PERMUTED_RELATION,0,"[1147, 624, 1513, 790, 1069, 1520, 544, 1825, 164]","[1147, 624, 1513, 790, 1069, 1520, 544, 1825, 164]",L01_MIX025,0.0001239144011129234,0.0,-5.975076492581444e-06,0.0,1,,0.6487336497556058,0.06901663444101273,0.7195964937791552,9,P22_K9,164,164,0.9334454442970213,9196,9196,0.9589551081190084,0.5875325536381577,0.7089736211480059,590a294fc360ddf83051775834adb89031a53dd15fef2d1a4ee5594cbb72d9c0,STRICT_LOSO_MATCHED_CONTROL,METHOD_NIGHT16H_START,NIGHT16H_LOCKED_METHOD_START,PASS,0.7089736211480059,1.152878887951374
0.5874086392370448,0.7089795962244985,0.7084759757106093,LEARNED_RELATION,METHOD_NIGHT16H_START__L01_MIX025__LEARNED_RELATION,2,"[1147, 624, 1514, 790, 1069, 1520, 543, 1824, 165]","[1147, 624, 1514, 790, 1069, 1520, 543, 1824, 165]",L01_MIX025,0.0,-0.0001239144011129234,0.0,5.975076492581444e-06,1,,0.6486260038624131,0.06907106553423513,0.7196292243388499,9,P22_K9,165,165,0.9334020650860757,9196,9196,0.9588620358018181,0.5875325536381577,0.7089736211480059,f065bf35bc942b514a27b9663e9c8c53bf4f220c73d0fd393d43f21aaee9d809,STRICT_LOSO_MATCHED_CONTROL,METHOD_NIGHT16H_START,NIGHT16H_LOCKED_METHOD_START,PASS,0.7089795962244986,0.8187634516507387
0.5346235433360444,0.6567718908460013,0.6549625314225564,RELATION_DISABLED,METHOD_NIGHT16H_START__L01_MIX025__RELATION_DISABLED,0,"[293, 445, 181, 265, 353, 287, 125]","[293, 445, 181, 265, 353, 287, 125]",L01_MIX025,0.0,0.0,0.0,0.0,1,,0.6274223802219516,0.07954452238594586,0.6942525985868286,7,MISAR_K7,125,125,0.9223604516801551,1949,1949,0.9373627981852773,0.5346235433360444,0.6567718908460013,dcf2f7547e2f9b7963a157bd8699c52d2411ef577dc80a5bdcee94a5ad079198,STRICT_LOSO_MATCHED_CONTROL,METHOD_NIGHT16H_START,NIGHT16H_LOCKED_METHOD_START,PASS,0.6567718908460013,0.14555707573890686
0.5346235433360444,0.6567718908460013,0.6549625314225564,ZERO_RELATION,METHOD_NIGHT16H_START__L01_MIX025__ZERO_RELATION,0,"[293, 445, 181, 265, 353, 287, 125]","[293, 445, 181, 265, 353, 287, 125]",L01_MIX025,0.0,0.0,0.0,0.0,1,,0.6274223802219516,0.07954452238594586,0.6942525985868286,7,MISAR_K7,125,125,0.9223604516801551,1949,1949,0.9373627981852773,0.5346235433360444,0.6567718908460013,dcf2f7547e2f9b7963a157bd8699c52d2411ef577dc80a5bdcee94a5ad079198,STRICT_LOSO_MATCHED_CONTROL,METHOD_NIGHT16H_START,NIGHT16H_LOCKED_METHOD_START,PASS,0.6567718908460013,0.16460843198001385
0.5346235433360444,0.6567718908460013,0.6549625314225564,UNIFORM_MASS_MATCHED,METHOD_NIGHT16H_START__L01_MIX025__UNIFORM_MASS_MATCHED,0,"[293, 445, 181, 265, 353, 287, 125]","[293, 445, 181, 265, 353, 287, 125]",L01_MIX025,0.0,0.0,0.0,0.0,1,,0.6274223802219516,0.07954452238594586,0.6942525985868286,7,MISAR_K7,125,125,0.9223604516801551,1949,1949,0.9373627981852773,0.5346235433360444,0.6567718908460013,dcf2f7547e2f9b7963a157bd8699c52d2411ef577dc80a5bdcee94a5ad079198,STRICT_LOSO_MATCHED_CONTROL,METHOD_NIGHT16H_START,NIGHT16H_LOCKED_METHOD_START,PASS,0.6567718908460013,0.14619174040853977
0.5344711524896479,0.6566026604639721,0.6547923558763187,PERMUTED_RELATION,METHOD_NIGHT16H_START__L01_MIX025__PERMUTED_RELATION,1,"[292, 445, 181, 265, 354, 287, 125]","[292, 445, 181, 265, 354, 287, 125]",L01_MIX025,-0.00015239084639651068,-0.00015239084639651068,-0.00016923038202920626,-0.00016923038202920626,1,,0.627297154092626,0.07984648984735031,0.6940548199247718,7,MISAR_K7,125,125,0.9220628080800436,1949,1949,0.9370701009805357,0.5346235433360444,0.6567718908460013,acfe07621a3db4804006ae5d5e3b36550e1c42e9c5ed8bec11bf5bf4314b8adf,STRICT_LOSO_MATCHED_CONTROL,METHOD_NIGHT16H_START,NIGHT16H_LOCKED_METHOD_START,PASS,0.656602660463972,0.2298159133642912
0.5346235433360444,0.6567718908460013,0.6549625314225564,LEARNED_RELATION,METHOD_NIGHT16H_START__L01_MIX025__LEARNED_RELATION,0,"[293, 445, 181, 265, 353, 287, 125]","[293, 445, 181, 265, 353, 287, 125]",L01_MIX025,0.0,0.0,0.0,0.0,1,,0.6274223802219516,0.07954452238594586,0.6942525985868286,7,MISAR_K7,125,125,0.9223604516801551,1949,1949,0.9373627981852773,0.5346235433360444,0.6567718908460013,dcf2f7547e2f9b7963a157bd8699c52d2411ef577dc80a5bdcee94a5ad079198,STRICT_LOSO_MATCHED_CONTROL,METHOD_NIGHT16H_START,NIGHT16H_LOCKED_METHOD_START,PASS,0.6567718908460013,0.15936287865042686
0.6018477280137705,0.5940734830597721,0.5922459969130068,RELATION_DISABLED,METHOD_NIGHT16H_START__L03_MIX075__RELATION_DISABLED,30,"[22, 58, 301, 661, 160, 872, 426]","[22, 58, 301, 661, 160, 872, 426]",L03_MIX075,0.00777464243858228,0.005669365916868951,0.010399413404058921,0.008583965028939766,1,,0.6923013898798049,0.19616107788441256,0.5670969934829813,7,HUMAN_HIPPOCAMPUS_K7,22,22,0.7955985369270585,2500,2500,0.9132060097224949,0.5961783620969016,0.5854895180308324,7102ca8452df8bb4526d2e43eaeee099b5835187a021f7b1357d91edce7dff07,STRICT_LOSO_MATCHED_CONTROL,METHOD_NIGHT16H_START,NIGHT16H_LOCKED_METHOD_START,PASS,0.5940734830597723,0.1869487389922142
0.5928504168069196,0.5824273347354596,0.5805669635438482,ZERO_RELATION,METHOD_NIGHT16H_START__L03_MIX075__ZERO_RELATION,10,"[34, 59, 300, 654, 165, 864, 424]","[34, 59, 300, 654, 165, 864, 424]",L03_MIX075,-0.0012226687682685977,-0.003327945289981926,-0.0012467349202536226,-0.003062183295372778,1,,0.684295719563518,0.21419615137516843,0.5591924047702294,7,HUMAN_HIPPOCAMPUS_K7,34,34,0.7777710032424159,2500,2500,0.9025380594677238,0.5961783620969016,0.5854895180308324,ed99dc296c2526529f6cd07a4e83b2ee25662ce02c7ab3f4c01f3a132cf0b2a4,STRICT_LOSO_MATCHED_CONTROL,METHOD_NIGHT16H_START,NIGHT16H_LOCKED_METHOD_START,PASS,0.5824273347354596,0.22321884147822857
0.5957305708793792,0.5871252913654693,0.585280089621345,UNIFORM_MASS_MATCHED,METHOD_NIGHT16H_START__L03_MIX075__UNIFORM_MASS_MATCHED,9,"[32, 58, 299, 658, 159, 869, 425]","[32, 58, 299, 658, 159, 869, 425]",L03_MIX075,0.0016574853041909643,-0.00044779121752236417,0.0034512217097560915,0.0016357733346369363,1,,0.6870575198516986,0.21169503223625177,0.5624512860601549,7,HUMAN_HIPPOCAMPUS_K7,32,32,0.7804727200404112,2500,2500,0.9049121427367098,0.5961783620969016,0.5854895180308324,1aa340a7d4c8b949ad22716251dbbdaea0a1529d4d7742d6559fdac225a77629,STRICT_LOSO_MATCHED_CONTROL,METHOD_NIGHT16H_START,NIGHT16H_LOCKED_METHOD_START,PASS,0.5871252913654692,0.1847398281097412
0.5945347850839378,0.5846884897460773,0.5828371007315041,PERMUTED_RELATION,METHOD_NIGHT16H_START__L03_MIX075__PERMUTED_RELATION,15,"[34, 58, 297, 652, 165, 866, 428]","[34, 58, 297, 652, 165, 866, 428]",L03_MIX075,0.0004616995087495246,-0.0016435770129638039,0.001014420090364121,-0.0008010282847550343,1,,0.6857101475147228,0.2143376885427799,0.5611201852645026,7,HUMAN_HIPPOCAMPUS_K7,34,34,0.778026950440151,2500,2500,0.9029192062671235,0.5961783620969016,0.5854895180308324,1c14a545001a073ebf38b3fbf2778d01c6a15de1cbc60ae4eb7c491a4597d08e,STRICT_LOSO_MATCHED_CONTROL,METHOD_NIGHT16H_START,NIGHT16H_LOCKED_METHOD_START,PASS,0.5846884897460773,0.28689445555210114
0.5940730855751882,0.5836740696557132,0.581818134538665,LEARNED_RELATION,METHOD_NIGHT16H_START__L03_MIX075__LEARNED_RELATION,10,"[34, 58, 300, 654, 164, 865, 425]","[34, 58, 300, 654, 164, 865, 425]",L03_MIX075,0.0,-0.0021052765217133285,0.0,-0.0018154483751191552,1,,0.6853408211044524,0.21388188076031067,0.5601448824799637,7,HUMAN_HIPPOCAMPUS_K7,34,34,0.7784135153450686,2500,2500,0.9028440932975853,0.5961783620969016,0.5854895180308324,857a1f7c5fa04f460714223b1b10d6c553e7c7d1c7038a8f03a85b4827825309,STRICT_LOSO_MATCHED_CONTROL,METHOD_NIGHT16H_START,NIGHT16H_LOCKED_METHOD_START,PASS,0.5836740696557132,0.18000636622309685
