lane,profile,candidate_id,config_id,arm,absolute_ari,absolute_nmi,ami,fmi,homogeneity,v_measure,morans_i_macro,gearys_c_macro,neighbor_agreement,n_total,n_evaluated,k,min_cluster_size,cluster_sizes,changed_from_strong_start,partition_sha256,representation_sha256,wall_seconds,peak_gpu_mib,peak_rss_mib
P22_K9,NIGHT16H_INPUT_PARTITION_AUTHORITY,INPUT_STRONG_START,BASELINE,INPUT_STRONG_START,0.5875325536381577,0.7089736211480059,0.7084699608014403,0.6487336497556058,0.7195964937791552,0.7089736211480059,0.9334454442970213,0.0690166344410127,0.9589551081190084,9196,9196,9,164,"[1147, 624, 1513, 790, 1069, 1520, 544, 1825, 164]",0,bcc866123bedd713e0570f6ee51950aaaa96ef72d27e9a4099c500433c786026,0c67c0eebbcea4da157ec7cab84026052137394bb2646c6db9516f63a6ecd74f,7.545810222625732,149.53271484375,943.56640625
P22_K9,FROZEN_RETAINED_KMEANS_ENDPOINT,FROZEN_RETAINED_SAME_HEAD,BASELINE,FROZEN_RETAINED_SAME_HEAD,0.3893001347475836,0.5781562739167619,0.5774443501300853,0.4758730327213828,0.600046171525966,0.5781562739167619,0.8257101754700343,0.1754147793195579,0.8459963391555239,9196,9196,9,708,"[894, 1009, 1232, 711, 735, 1604, 708, 1497, 806]",3356,aa19723d8b5d1f5a8fb7a902c78fe28576d0256bc064f0fdcbb565ba06dd8233,0c67c0eebbcea4da157ec7cab84026052137394bb2646c6db9516f63a6ecd74f,7.545810222625732,149.53271484375,943.56640625
P22_K9,MATCHED_BACKBONE_NO_CSBO,C01_CONSERVATIVE__BACKBONE_NO_CSBO__S0,C01_CONSERVATIVE,BACKBONE_NO_CSBO,0.3592608660883779,0.5570971255510148,0.5563482246944448,0.4501079913276819,0.5771138154867236,0.5570971255510148,0.8203674147156572,0.1810779225223675,0.8436385071200323,9196,9196,9,712,"[904, 791, 1465, 718, 730, 1572, 712, 1491, 813]",3281,dc5b2b86657c348164362668d23a7480140e89a1d57457435d63d397576dddd4,e48d69d8fdb4f4f441d1d90c4fd965bf7bc2694ed56bc59d8ecf00a6700af6ce,7.545810222625732,149.53271484375,943.56640625
P22_K9,FULL_CSBO_PUBLIC_DEVELOPMENT_BEST,C01_CONSERVATIVE__FULL_CSBO__S0,C01_CONSERVATIVE,FULL_CSBO,0.3509288922126309,0.5454913085774289,0.5447238595575873,0.4425681121639508,0.5658657111903691,0.5454913085774289,0.7962783831540771,0.2051684741695377,0.8200601867651165,9196,9196,9,691,"[1030, 820, 1429, 691, 744, 1471, 704, 1502, 805]",3401,40ca4752bbbc845f4cdd7433d7387b197d474e44dd0aaca74a1105ae135c4a4e,60d0e8b5ff61f07557804991ff076ece786800f0d1e83a734bac43b8d7e2a02a,7.545810222625732,149.53271484375,943.56640625
P22_K9,STRONGEST_MATCHED_CONTROL_BY_ARI,C01_CONSERVATIVE__UNSIGNED_ONLY__S0,C01_CONSERVATIVE,UNSIGNED_ONLY,0.39169947465455,0.5824256075946044,0.5817205547282507,0.4780430099086965,0.6041966551356537,0.5824256075946045,0.8278261343164467,0.1732588241845657,0.8487574845655074,9196,9196,9,706,"[858, 990, 1243, 721, 737, 1643, 706, 1487, 811]",3317,7899ba51bcd8ecba31f7d128ed4be4557ea66f8f0e479d1cf06a303829324865,fe52988d023ce6538b8869708817ae4388a0505cd489ac65036f98601a6e89df,7.545810222625732,149.53271484375,943.56640625
MISAR_K7,NIGHT16H_INPUT_PARTITION_AUTHORITY,INPUT_STRONG_START,BASELINE,INPUT_STRONG_START,0.5346235433360444,0.6567718908460013,0.6549625314225564,0.6274223802219516,0.6942525985868286,0.6567718908460013,0.9223604516801552,0.0795445223859458,0.9373627981852772,1949,1949,7,125,"[293, 445, 181, 265, 353, 287, 125]",0,e4fb7b79e08a62a9d9e33a44e3c49d958c5a0cf3702f17b890d0f01af7b3d433,359216b6a6d78645e9c4a2988e87b365d84ed212ac85f70b0e4d5882c3bd3977,4.197182655334473,40.4755859375,852.86328125
MISAR_K7,FROZEN_RETAINED_KMEANS_ENDPOINT,FROZEN_RETAINED_SAME_HEAD,BASELINE,FROZEN_RETAINED_SAME_HEAD,0.36635822284266,0.5441877042558723,0.5418122712530774,0.4870090731672318,0.5807663257705563,0.5441877042558723,0.8842754353419654,0.1172390103171976,0.90501975706132,1949,1949,7,216,"[217, 251, 403, 361, 279, 216, 222]",508,355a0c26f676a759e85d0d6a73086fccfd7be9ec16abce19365d5e1355d129d0,359216b6a6d78645e9c4a2988e87b365d84ed212ac85f70b0e4d5882c3bd3977,4.197182655334473,40.4755859375,852.86328125
MISAR_K7,MATCHED_BACKBONE_NO_CSBO,C01_CONSERVATIVE__BACKBONE_NO_CSBO__S0,C01_CONSERVATIVE,BACKBONE_NO_CSBO,0.36136695375073,0.5374996677171828,0.535086959656588,0.4829563886246183,0.5731486355036717,0.5374996677171827,0.8925015819445629,0.1088482595326905,0.9113127469632664,1949,1949,7,185,"[214, 249, 401, 365, 272, 185, 263]",539,8f5f30169435dad4d30edb9fbea3ed4fdfaa61dae5ef5f6091c1e0a5ff845c64,d35a14c715c937ed493ad4847c368386f466bf57f10a8a1599c7b5f58379ed41,4.197182655334473,40.4755859375,852.86328125
MISAR_K7,FULL_CSBO_PUBLIC_DEVELOPMENT_BEST,C01_CONSERVATIVE__FULL_CSBO__S0,C01_CONSERVATIVE,FULL_CSBO,0.3587937887916161,0.5340288873683554,0.5315991802017479,0.4807140072589342,0.5696985686992486,0.5340288873683553,0.8904341167778739,0.110698927520963,0.9094102151324456,1949,1949,7,179,"[221, 263, 399, 356, 273, 179, 258]",539,fa2627b94138dbc415459863c1b09d9e013245958b4bb6508ac198472846f5fc,18f7963eed3573024b485187e373d2cf71d43862abe804124c4eda8cbbca56a0,4.197182655334473,40.4755859375,852.86328125
MISAR_K7,STRONGEST_MATCHED_CONTROL_BY_ARI,C01_CONSERVATIVE__PERMUTED_EDGE_STATES__S0,C01_CONSERVATIVE,PERMUTED_EDGE_STATES,0.3610280303945741,0.5367196979891524,0.5343036562937765,0.4826214446114806,0.5724752853409509,0.5367196979891524,0.8922172026769463,0.1090795019534648,0.9110200497585248,1949,1949,7,185,"[216, 250, 399, 363, 272, 185, 264]",540,f59fef4fbab61cec1474090e4ea902fc13de66c89aaf3af5c749bdfc740265ae,49256f8d540d335bea26bad7cf59a7957d190e07fc0b6bd2fbda907ffb181a0f,4.197182655334473,40.4755859375,852.86328125
