lane,config_id,training_seed,endpoint,candidate_id,partition_sha256,n_total,n_eval,k,ari,nmi,ami,fmi,min_cluster_size_full,cluster_sizes_full,min_cluster_size_eval,cluster_sizes_eval,wall_seconds,gpu_peak_mib,peak_rss_mib,neighbor_agreement,moran_macro_indicator,geary_macro_indicator,family,changed_spots_vs_frozen_same_endpoint,changed_spots_vs_same_embedding_common_kmeans,historical_frontier_ari,historical_frontier_nmi,delta_ari_vs_historical_frontier,delta_nmi_vs_historical_frontier
A1_K10,FROZEN_RETAINED,0,COMMON_KMEANS,COMMON_KMEANS_N20_S0,ca9cfbc7d0cd1c4136f08ba9f8b129ec7e16dd1f284f02be1fa48fc7959c6513,3484,3484,10,0.2352682736626953,0.38763923553470997,0.38383017509745393,0.3721862712108681,187,"[340, 548, 228, 187, 504, 444, 261, 332, 294, 346]",187,"[340, 548, 228, 187, 504, 444, 261, 332, 294, 346]",2.0543138179928064,0.0,413.06640625,0.5676061936990898,0.5328244756554342,0.4717617696372514,RNA_PROTEIN,0,0,0.2760026589984753,0.42173983941218224,-0.04073438533578003,-0.03410060387747227
A1_K10,FROZEN_RETAINED,0,FEASIBLE_MEDOID,RAW_KMEANS_N1_S3,ab5f6f634ad082d62d4b3962a924e3b2051fa08db403d4843dd459b60d3913c0,3484,3484,10,0.21930194768270483,0.37593324500374337,0.3720717422569824,0.3569527519252911,220,"[280, 220, 347, 332, 346, 450, 347, 308, 305, 549]",220,"[280, 220, 347, 332, 346, 450, 347, 308, 305, 549]",2.0543138179928064,0.0,413.06640625,0.5702752328627271,0.5088470753109314,0.4911037376378711,RNA_PROTEIN,0,3452,0.2760026589984753,0.42173983941218224,-0.05670071131577048,-0.04580659440843887
A1_K10,FROZEN_RETAINED,0,NIGHT16H_FIXED_STRUCTURED,GRAPH_L1_KMEANS_S1,b5ef61cc8b01abbc80d0e054003c4b23e39bc368f3f8daa82985541ade3cd243,3484,3484,10,0.24505034772623477,0.3904718135362858,0.3866656343558488,0.3815269869647584,183,"[340, 216, 258, 348, 350, 545, 570, 230, 444, 183]",183,"[340, 216, 258, 348, 350, 545, 570, 230, 444, 183]",2.0543138179928064,0.0,413.06640625,0.6040357386201982,0.5627603616647135,0.4421820246768327,RNA_PROTEIN,0,3169,0.2760026589984753,0.42173983941218224,-0.030952311272240546,-0.031268025875896444
A1_K10,FROZEN_RETAINED,0,COMMON_GMM,RAW_GMM_DIAG_S0,43b3ebfb779b0fa8f1b49c71b9f182e85ac19a0eefa429e5d20a259a0c1c99ac,3484,3484,10,0.2410874048475313,0.3932698934271062,0.38941356085804824,0.38069057672261675,107,"[432, 271, 661, 226, 107, 527, 278, 134, 591, 257]",107,"[432, 271, 661, 226, 107, 527, 278, 134, 591, 257]",2.0543138179928064,0.0,413.06640625,0.5731619595693829,0.5492174811402941,0.456835583998971,RNA_PROTEIN,0,3417,0.2760026589984753,0.42173983941218224,-0.034915254150944014,-0.028469945985076017
A1_K10,C01_FULL,0,COMMON_KMEANS,COMMON_KMEANS_N20_S0,42cdcffaeeda273f0fa5eea3c12b8f991f43cdb70f068f131487e524143224cc,3484,3484,10,0.21640022860294147,0.3870389547037558,0.3832275164647269,0.3550651528636982,204,"[247, 351, 204, 441, 607, 422, 331, 242, 341, 298]",204,"[247, 351, 204, 441, 607, 422, 331, 242, 341, 298]",7.4089455753564835,155.9384765625,1033.1796875,0.6178636329191588,0.5835543951805116,0.42090117492018475,RNA_PROTEIN,2230,0,0.2760026589984753,0.42173983941218224,-0.05960243039553384,-0.034700884708426416
A1_K10,C01_FULL,0,FEASIBLE_MEDOID,COMMON_KMEANS_N20_S0,42cdcffaeeda273f0fa5eea3c12b8f991f43cdb70f068f131487e524143224cc,3484,3484,10,0.21640022860294147,0.3870389547037558,0.3832275164647269,0.3550651528636982,204,"[247, 351, 204, 441, 607, 422, 331, 242, 341, 298]",204,"[247, 351, 204, 441, 607, 422, 331, 242, 341, 298]",7.4089455753564835,155.9384765625,1033.1796875,0.6178636329191588,0.5835543951805116,0.42090117492018475,RNA_PROTEIN,3445,0,0.2760026589984753,0.42173983941218224,-0.05960243039553384,-0.034700884708426416
A1_K10,C01_FULL,0,NIGHT16H_FIXED_STRUCTURED,GRAPH_L3_KMEANS_S0,f5b73525af55ab723f8cf759742a42aacfee32c3ebb0e78646ffdf50acbeedd5,3484,3484,10,0.20998678806541546,0.3763217972719745,0.37242011455289564,0.35030798561862153,188,"[369, 395, 188, 303, 639, 439, 199, 290, 200, 462]",188,"[369, 395, 188, 303, 639, 439, 199, 290, 200, 462]",7.4089455753564835,155.9384765625,1033.1796875,0.7157851896560106,0.6822733599386617,0.32284770046782274,RNA_PROTEIN,3104,2146,0.2760026589984753,0.42173983941218224,-0.06601587093305986,-0.045418042140207726
A1_K10,C01_FULL,0,COMMON_GMM,RAW_GMM_DIAG_S0,5e037825c4ec5e1790e425ef32518ccd7910f5271d71c44f2e3d013327057a79,3484,3484,10,0.2002270563608732,0.37434961591122384,0.37045451530287044,0.34038653666896823,182,"[481, 423, 453, 182, 417, 496, 262, 201, 259, 310]",182,"[481, 423, 453, 182, 417, 496, 262, 201, 259, 310]",7.4089455753564835,155.9384765625,1033.1796875,0.6097524040715242,0.5711266466929958,0.4294120750030551,RNA_PROTEIN,3297,3450,0.2760026589984753,0.42173983941218224,-0.07577560263760211,-0.047390223500958395
A1_K10,C02_NO_GRAPH,0,COMMON_KMEANS,COMMON_KMEANS_N20_S0,c59f5324d60b2cd65aae8bffe518e937a39b7a6b252c72f1938900f52cb8cb94,3484,3484,10,0.2324099548952756,0.38815804681571464,0.3843538313700291,0.3695834853008828,203,"[307, 532, 203, 356, 389, 254, 258, 353, 275, 557]",203,"[307, 532, 203, 356, 389, 254, 258, 353, 275, 557]",6.625340204685926,139.51318359375,1015.1484375,0.5554251533440587,0.5119793088384542,0.4921105402905572,RNA_PROTEIN,2826,0,0.2760026589984753,0.42173983941218224,-0.04359270410319971,-0.0335817925964676
A1_K10,C02_NO_GRAPH,0,FEASIBLE_MEDOID,RAW_KMEANS_N1_S4,07d57255265a3d4a71825a788280cf1de05c1674ab7e1012d611ba267f9a0fb6,3484,3484,10,0.23293386172538613,0.38953089824899695,0.3857333256975824,0.37013469933120374,200,"[303, 343, 352, 278, 570, 252, 200, 262, 394, 530]",200,"[303, 343, 352, 278, 570, 252, 200, 262, 394, 530]",6.625340204685926,139.51318359375,1015.1484375,0.5554819414160513,0.5113865610721429,0.4926933510605527,RNA_PROTEIN,3452,2944,0.2760026589984753,0.42173983941218224,-0.04306879727308918,-0.03220894116318529
