lane,arm,config_id,training_seed,endpoint,candidate_id,partition_sha256,n_total,n_eval,k,ari,nmi,ami,fmi,min_cluster_size_full,cluster_sizes_full,min_cluster_size_eval,cluster_sizes_eval,wall_seconds,gpu_peak_mib,peak_rss_mib,neighbor_agreement,moran_macro_indicator,geary_macro_indicator
A1_K10,FULL_RESPONSE_CALIBRATION,T01_COMMON_NO_GRAPH,0,COMMON_GMM,RAW_GMM_DIAG_S0,b3abf0fd96036df9460a0fae44763a8ff4616a876755678dfe3e9c46d8bdc8fb,3484,3484,10,0.2287498056143201,0.3858060304786228,0.3819540278253983,0.3674942541386498,130,"[491, 278, 266, 130, 592, 295, 549, 276, 385, 222]",130,"[491, 278, 266, 130, 592, 295, 549, 276, 385, 222]",9.6455538533628,138.4375,1008.015625,0.558103657193413,0.5075405837469134,0.4932962482334761
A1_K10,FULL_RESPONSE_CALIBRATION,T01_COMMON_NO_GRAPH,0,COMMON_KMEANS,COMMON_KMEANS_N20_S0,dd6b7c97d9084cfbbe9368b1a0b2fc0ee6cf3e2df7a4ca41e843cc419a93f220,3484,3484,10,0.2342962096119434,0.3895159418904272,0.3857200499547258,0.3713254856080764,205,"[347, 304, 327, 574, 205, 271, 269, 527, 392, 268]",205,"[347, 304, 327, 574, 205, 271, 269, 527, 392, 268]",9.6455538533628,138.4375,1008.015625,0.5586336791281599,0.5158173481934952,0.4881685580313245
A1_K10,FULL_RESPONSE_CALIBRATION,T01_COMMON_NO_GRAPH,0,FEASIBLE_MEDOID,COMMON_KMEANS_N20_S0,dd6b7c97d9084cfbbe9368b1a0b2fc0ee6cf3e2df7a4ca41e843cc419a93f220,3484,3484,10,0.2342962096119434,0.3895159418904272,0.3857200499547258,0.3713254856080764,205,"[347, 304, 327, 574, 205, 271, 269, 527, 392, 268]",205,"[347, 304, 327, 574, 205, 271, 269, 527, 392, 268]",9.6455538533628,138.4375,1008.015625,0.5586336791281599,0.5158173481934952,0.4881685580313245
A1_K10,FULL_RESPONSE_CALIBRATION,T01_COMMON_NO_GRAPH,0,NIGHT16H_FIXED_STRUCTURED,GRAPH_L3_KMEANS_S0,937e4724a9bfebca43174d94ab8dc71de8f8fc79823690e6b383603923a71b7e,3484,3484,10,0.2236824927386072,0.3916966736912486,0.3879338111804875,0.3609229282132726,229,"[423, 533, 316, 295, 229, 330, 261, 389, 311, 397]",229,"[423, 533, 316, 295, 229, 330, 261, 389, 311, 397]",9.6455538533628,138.4375,1008.015625,0.6615147270597722,0.6193853050728666,0.3804857008082313
A1_K10,LOWPASS_ONLY_CALIBRATION,T01_COMMON_NO_GRAPH,0,COMMON_GMM,RAW_GMM_DIAG_S0,6de87567c68d6711a5fca80f0f0609423f568272d7886d9af387b58d233ae100,3484,3484,10,0.2153983087960662,0.378692937162872,0.3748428706557888,0.3535298146494068,230,"[442, 293, 321, 230, 474, 335, 497, 269, 392, 231]",230,"[442, 293, 321, 230, 474, 335, 497, 269, 392, 231]",7.923861678689718,138.4462890625,1006.16015625,0.5516866056505971,0.4959566964220636,0.503794112138534
A1_K10,LOWPASS_ONLY_CALIBRATION,T01_COMMON_NO_GRAPH,0,COMMON_KMEANS,COMMON_KMEANS_N20_S0,b156afe560f4d8f8eebbe373e6ecdb717ed9ccfd3861e510907ea47eba629962,3484,3484,10,0.2340010533497529,0.389618384950663,0.3858190471052704,0.3711897142789264,204,"[393, 237, 267, 204, 547, 342, 566, 299, 275, 354]",204,"[393, 237, 267, 204, 547, 342, 566, 299, 275, 354]",7.923861678689718,138.4462890625,1006.16015625,0.5646248201860349,0.5192390627103066,0.4847568906845782
A1_K10,LOWPASS_ONLY_CALIBRATION,T01_COMMON_NO_GRAPH,0,FEASIBLE_MEDOID,RAW_KMEANS_N1_S2,a8fcdad97b32bd083b88d8a0443a46ac9a07a910b3920cc237ff050c75bfeae5,3484,3484,10,0.2342867623287386,0.3913702869959228,0.3875828675207671,0.3714157040295748,210,"[241, 210, 545, 564, 301, 266, 342, 352, 397, 266]",210,"[241, 210, 545, 564, 301, 266, 342, 352, 397, 266]",7.923861678689718,138.4462890625,1006.16015625,0.5644544559954434,0.5208896088074148,0.4831144770381171
A1_K10,LOWPASS_ONLY_CALIBRATION,T01_COMMON_NO_GRAPH,0,NIGHT16H_FIXED_STRUCTURED,RAW_KMEANS_N1_S2,a8fcdad97b32bd083b88d8a0443a46ac9a07a910b3920cc237ff050c75bfeae5,3484,3484,10,0.2342867623287386,0.3913702869959228,0.3875828675207671,0.3714157040295748,210,"[241, 210, 545, 564, 301, 266, 342, 352, 397, 266]",210,"[241, 210, 545, 564, 301, 266, 342, 352, 397, 266]",7.923861678689718,138.4462890625,1006.16015625,0.5644544559954434,0.5208896088074148,0.4831144770381171
A1_K10,MATCHED_BACKBONE,T01_COMMON_NO_GRAPH,0,COMMON_GMM,RAW_GMM_DIAG_S0,1d8964d6a87b6eda46fd044e3b107fbca6a219722b35cfe989f17eb00aa11f25,3484,3484,10,0.2200356641335079,0.3844441647747469,0.3806005625490662,0.359151388610777,212,"[310, 363, 643, 219, 258, 253, 377, 324, 212, 525]",212,"[310, 363, 643, 219, 258, 253, 377, 324, 212, 525]",6.263753799721599,138.44482421875,1020.63671875,0.5496043764852372,0.5211335310192421,0.4830353469304745
A1_K10,MATCHED_BACKBONE,T01_COMMON_NO_GRAPH,0,COMMON_KMEANS,COMMON_KMEANS_N20_S0,c59f5324d60b2cd65aae8bffe518e937a39b7a6b252c72f1938900f52cb8cb94,3484,3484,10,0.2324099548952756,0.3881580468157146,0.3843538313700291,0.3695834853008828,203,"[307, 532, 203, 356, 389, 254, 258, 353, 275, 557]",203,"[307, 532, 203, 356, 389, 254, 258, 353, 275, 557]",6.263753799721599,138.44482421875,1020.63671875,0.5554251533440587,0.5119793088384542,0.4921105402905572
