lane,arm,candidate_id,candidate_sha256,source,complexity,feasible,min_cluster_size,registered_endpoint_names
A1_K10,FULL_RESPONSE_CALIBRATION,COMMON_KMEANS_N20_S0,dd6b7c97d9084cfbbe9368b1a0b2fc0ee6cf3e2df7a4ca41e843cc419a93f220,RAW,0,True,205,FEASIBLE_MEDOID
A1_K10,FULL_RESPONSE_CALIBRATION,RAW_KMEANS_N1_S0,7eac9ca1413e04678ec232632de0f3351af40cf9a8f9320eb803c50e8aca303f,RAW,1,True,270,
A1_K10,FULL_RESPONSE_CALIBRATION,RAW_KMEANS_N1_S1,61fc77ff795372ab7c24f10b18c134d00286543bbaf8516e1b6e953fb39e2d86,RAW,1,True,230,
A1_K10,FULL_RESPONSE_CALIBRATION,RAW_KMEANS_N1_S2,04fdddb1693f1e8d6097212adb600ff0bb2869e708658df21943ccf96c0acc2f,RAW,1,True,208,
A1_K10,FULL_RESPONSE_CALIBRATION,RAW_KMEANS_N1_S3,72bcf110ddb9f9a9741d6938289ad20bf186acfb1b58d25a3728c460937b4efb,RAW,1,True,289,
A1_K10,FULL_RESPONSE_CALIBRATION,RAW_KMEANS_N1_S4,291d0e34be2cb230535cc730a481421b31e5ed130a4f7942233a5bd473822799,RAW,1,True,205,
A1_K10,FULL_RESPONSE_CALIBRATION,RAW_KMEANS_N1_S5,4661148d7622d05eaf3f296dfc8a8af1243a98169481ab41490dc48ff0ecb777,RAW,1,True,290,
A1_K10,FULL_RESPONSE_CALIBRATION,RAW_GMM_DIAG_S0,b3abf0fd96036df9460a0fae44763a8ff4616a876755678dfe3e9c46d8bdc8fb,RAW_GMM,2,True,130,COMMON_GMM
A1_K10,FULL_RESPONSE_CALIBRATION,RAW_GMM_DIAG_S1,67ce9ef371f05785fb7e549e4f51f66ed18ba19b4fd7babdf6b5dc210480a164,RAW_GMM,2,True,184,
A1_K10,FULL_RESPONSE_CALIBRATION,GRAPH_L1_KMEANS_S0,f7ce3b091e43bdac0ee94bc0599341e2708d57b5b26110e92ed1ca8e5775666f,GRAPH_0.10,3,True,205,
A1_K10,FULL_RESPONSE_CALIBRATION,GRAPH_L1_KMEANS_S1,68056ee2716e1969c5c9139b3b34b3b63b59515c1326dd5d78b3eb02d4312b7e,GRAPH_0.10,3,True,206,
A1_K10,FULL_RESPONSE_CALIBRATION,GRAPH_L2_KMEANS_S0,2d3443e18f14e8b722d0d10d7d12aeb32514672cdece5c3a48fb08f3d544ab04,GRAPH_0.20,4,True,221,
A1_K10,FULL_RESPONSE_CALIBRATION,GRAPH_L2_KMEANS_S1,31dd836cad114b3148782f8ce90fd6fc58fde37216663fbbd3f4c1101fdf8feb,GRAPH_0.20,4,True,204,
A1_K10,FULL_RESPONSE_CALIBRATION,GRAPH_L3_KMEANS_S0,937e4724a9bfebca43174d94ab8dc71de8f8fc79823690e6b383603923a71b7e,GRAPH_0.35,5,True,229,NIGHT16H_FIXED_STRUCTURED
A1_K10,FULL_RESPONSE_CALIBRATION,GRAPH_L3_KMEANS_S1,ea1af96d0e025b3f57a5860dfcc2693a43020c9843cb3b97ea69be80fcae1952,GRAPH_0.35,5,True,200,
A1_K10,LOWPASS_ONLY_CALIBRATION,COMMON_KMEANS_N20_S0,b156afe560f4d8f8eebbe373e6ecdb717ed9ccfd3861e510907ea47eba629962,RAW,0,True,204,COMMON_KMEANS
A1_K10,LOWPASS_ONLY_CALIBRATION,RAW_KMEANS_N1_S0,1d232764a3b964f0a17531dce00cb9c389b0e3bf55955934017ef86a29877877,RAW,1,True,292,
A1_K10,LOWPASS_ONLY_CALIBRATION,RAW_KMEANS_N1_S1,cfb38b607f3f87f8d162e416149f5a9844a9b069139697488367a74c8f33d671,RAW,1,True,238,
A1_K10,LOWPASS_ONLY_CALIBRATION,RAW_KMEANS_N1_S2,a8fcdad97b32bd083b88d8a0443a46ac9a07a910b3920cc237ff050c75bfeae5,RAW,1,True,210,NIGHT16H_FIXED_STRUCTURED
A1_K10,LOWPASS_ONLY_CALIBRATION,RAW_KMEANS_N1_S3,35693c290c83d9d3dbb44bb525cc4b4f4881f4dd87f6866e21f0081a282a02b6,RAW,1,True,200,
A1_K10,LOWPASS_ONLY_CALIBRATION,RAW_KMEANS_N1_S4,5ecf1ddc9c8a7708c079368b5bfdb3254d4b3af1353b37976755c8bf5c9889bf,RAW,1,True,259,
A1_K10,LOWPASS_ONLY_CALIBRATION,RAW_KMEANS_N1_S5,d551ccf397afd37f327d7ae8463b0e241907e8f2a222d7f561fb4d835766ce8d,RAW,1,True,290,
A1_K10,LOWPASS_ONLY_CALIBRATION,RAW_GMM_DIAG_S0,6de87567c68d6711a5fca80f0f0609423f568272d7886d9af387b58d233ae100,RAW_GMM,2,True,230,COMMON_GMM
A1_K10,LOWPASS_ONLY_CALIBRATION,RAW_GMM_DIAG_S1,0af69475822916b600ab6e7d21881ea1cf75dea7af90f813957c026220d1f1b5,RAW_GMM,2,True,130,
A1_K10,LOWPASS_ONLY_CALIBRATION,GRAPH_L1_KMEANS_S0,68eeab8814c3f3f41679234acf56a2f89565ed10a89ebd2c035ab46a6d1f8048,GRAPH_0.10,3,True,287,
A1_K10,LOWPASS_ONLY_CALIBRATION,GRAPH_L1_KMEANS_S1,8c83d5d6c0ec02d5041f1d94261d376a9d4e15e38e39cc047891a4a15bada250,GRAPH_0.10,3,True,200,
A1_K10,LOWPASS_ONLY_CALIBRATION,GRAPH_L2_KMEANS_S0,515e9dcc52b5ccaf7a1c609e7ef54a07fe8536345e9154141cb90be54d5ae313,GRAPH_0.20,4,True,282,
A1_K10,LOWPASS_ONLY_CALIBRATION,GRAPH_L2_KMEANS_S1,697b87919cd91f5e53d06e402142e78e003a3a9033b58a7c79a6c26edd0662a1,GRAPH_0.20,4,True,244,
A1_K10,LOWPASS_ONLY_CALIBRATION,GRAPH_L3_KMEANS_S0,73870a5b063fe2ef57841587ccfe5328b79708cc5425167dd6a62e0a6f92ed30,GRAPH_0.35,5,True,215,
A1_K10,LOWPASS_ONLY_CALIBRATION,GRAPH_L3_KMEANS_S1,36ce0ac85c6b9cd4a96b2e14d992899d96348b874116ca71fbdf1e0f585bee71,GRAPH_0.35,5,True,216,
A1_K10,MATCHED_BACKBONE,COMMON_KMEANS_N20_S0,c59f5324d60b2cd65aae8bffe518e937a39b7a6b252c72f1938900f52cb8cb94,RAW,0,True,203,COMMON_KMEANS
A1_K10,MATCHED_BACKBONE,RAW_KMEANS_N1_S0,2837ac1b52ee8c3ccecb8e58bf217ee40fb7149435503370c5b011344679070b,RAW,1,True,202,
A1_K10,MATCHED_BACKBONE,RAW_KMEANS_N1_S1,3618d5003f51015eaa1bc6ffe1b8d9868fa10045fbe4e39ba0ac12b443340763,RAW,1,True,232,
A1_K10,MATCHED_BACKBONE,RAW_KMEANS_N1_S2,4d3a862abc14a03a06897aa0b89e389b1a8907e3dfe2b3892cd8300393e94a74,RAW,1,True,206,NIGHT16H_FIXED_STRUCTURED
A1_K10,MATCHED_BACKBONE,RAW_KMEANS_N1_S3,f36247567916267394b2bade926d2438642631affb52780e328ac32079c38a5e,RAW,1,True,258,
A1_K10,MATCHED_BACKBONE,RAW_KMEANS_N1_S4,07d57255265a3d4a71825a788280cf1de05c1674ab7e1012d611ba267f9a0fb6,RAW,1,True,200,FEASIBLE_MEDOID
A1_K10,MATCHED_BACKBONE,RAW_KMEANS_N1_S5,b31983e0387180c61066591ab730aa46f9c0df0b018eddc4fd4e18533801a388,RAW,1,True,203,
A1_K10,MATCHED_BACKBONE,RAW_GMM_DIAG_S0,1d8964d6a87b6eda46fd044e3b107fbca6a219722b35cfe989f17eb00aa11f25,RAW_GMM,2,True,212,COMMON_GMM
A1_K10,MATCHED_BACKBONE,RAW_GMM_DIAG_S1,1df3118ae2eb5c3571b98cf51c41d59537de61a46f51f1d0ba2291df75c614c1,RAW_GMM,2,True,184,
A1_K10,MATCHED_BACKBONE,GRAPH_L1_KMEANS_S0,bae292b1a8913e079b8c509c0d2d431f28cfaeba4394f2de108a660ed2d72502,GRAPH_0.10,3,True,219,
A1_K10,MATCHED_BACKBONE,GRAPH_L1_KMEANS_S1,66e08aeeb1e395ce52b052759628850fe91f9c6b8270beb50571a349305c0454,GRAPH_0.10,3,True,202,
A1_K10,MATCHED_BACKBONE,GRAPH_L2_KMEANS_S0,53d56344c7b106fabd3f224d3a75e338e9196ddccb4b4a0b495efb4d5c47d15e,GRAPH_0.20,4,True,190,
A1_K10,MATCHED_BACKBONE,GRAPH_L2_KMEANS_S1,06be4e434421d1fb6ef99cd294f4ced3e5940f1f38f1583ac0fff0b9e8b9979c,GRAPH_0.20,4,True,200,
A1_K10,MATCHED_BACKBONE,GRAPH_L3_KMEANS_S0,b5d1f10943931782fd09c48c0bbf0927df4047e0570322ac6dba2a7fe44a93a2,GRAPH_0.35,5,True,196,
A1_K10,MATCHED_BACKBONE,GRAPH_L3_KMEANS_S1,6cfa1abe57acd2d0baf700c6b466ca534f271b61bf6a2015f8da9a1a5607a6d0,GRAPH_0.35,5,True,199,
A1_K10,SHARED_SCALE_CONTROL,COMMON_KMEANS_N20_S0,34dc17e234944da44dff59dd9f9edd1892e80d73a3244f64d93e284716e95eaa,RAW,0,True,203,COMMON_KMEANS
A1_K10,SHARED_SCALE_CONTROL,RAW_KMEANS_N1_S0,0b284a226088a06bc503125dc16ede08d0a65585e3f278926ce68f7e1c8ecde6,RAW,1,True,203,
A1_K10,SHARED_SCALE_CONTROL,RAW_KMEANS_N1_S1,d23fb03f4a48fa60e66cb1c04eed1c285c6d8b305162b11f89334ab3eb6fa9f0,RAW,1,True,203,
A1_K10,SHARED_SCALE_CONTROL,RAW_KMEANS_N1_S2,9380a3c1acca33a09b3d020df4392805a816a760908e3f93833e5217b2562aff,RAW,1,True,199,
A1_K10,SHARED_SCALE_CONTROL,RAW_KMEANS_N1_S3,0cdf640468306c14f7f12e7f7b30eaee0e01f2e00917a298c4ac98153a4a87e8,RAW,1,True,203,
A1_K10,SHARED_SCALE_CONTROL,RAW_KMEANS_N1_S4,19825d3609ae49370b9fd3ce422dcd44812bb111dd25e999e1e1cf870ac1ce1e,RAW,1,True,184,
A1_K10,SHARED_SCALE_CONTROL,RAW_KMEANS_N1_S5,0391fc253e4b85cbb2bc5bf3a0cac71d695760d10a93c65c3bdb60cb16bbdd54,RAW,1,True,203,
A1_K10,SHARED_SCALE_CONTROL,RAW_GMM_DIAG_S0,dcad95ada6832239f1ccc17a325d31e74e6a081da5d2202b18e0404d78f4e58f,RAW_GMM,2,True,189,COMMON_GMM
A1_K10,SHARED_SCALE_CONTROL,RAW_GMM_DIAG_S1,ec6a139721fcae3b110b72c30b75726746a0050adf3d29c2ee6caa0a429e0746,RAW_GMM,2,True,189,
A1_K10,SHARED_SCALE_CONTROL,GRAPH_L1_KMEANS_S0,5c34ec5457c1777f419df665a4e0abe3dc797c0764de98624c16022f316588d3,GRAPH_0.10,3,True,214,
A1_K10,SHARED_SCALE_CONTROL,GRAPH_L1_KMEANS_S1,8f3dafa7fbb48047b991c0d3f499677df00e4b0afa47ddbd4aaced2b0356ec12,GRAPH_0.10,3,True,143,NIGHT16H_FIXED_STRUCTURED
A1_K10,SHARED_SCALE_CONTROL,GRAPH_L2_KMEANS_S0,94cfce412505e1e08cff6677475910a1805a502dcb8b15d9f8783cd44af01866,GRAPH_0.20,4,True,298,
A1_K10,SHARED_SCALE_CONTROL,GRAPH_L2_KMEANS_S1,dd11bf721f28a473d798f72053fc2a76ce7e0cacdc277cab889e89acc6a7c5fb,GRAPH_0.20,4,True,194,FEASIBLE_MEDOID
A1_K10,SHARED_SCALE_CONTROL,GRAPH_L3_KMEANS_S0,6d71a3cdf01d554d007f89cc8b275c5d4ff09d9b54b1ca7bc1d1d8e5117d9a96,GRAPH_0.35,5,True,225,
A1_K10,SHARED_SCALE_CONTROL,GRAPH_L3_KMEANS_S1,b64e53886a665e9772a71c2c2818bb152782b4a57579090087d9b3bf374649ad,GRAPH_0.35,5,True,295,
A1_K10,SHARPEN_ONLY_CALIBRATION,COMMON_KMEANS_N20_S0,4b1c04df3c6c0ed1145b2f04009458c2ea449da96fdf2c419431e5bd4bf6e0ff,RAW,0,True,205,NIGHT16H_FIXED_STRUCTURED
A1_K10,SHARPEN_ONLY_CALIBRATION,RAW_KMEANS_N1_S0,01b6a29e05fe4b5163a01832aa787b0162007f8e7185f33e38697b21b6200ad1,RAW,1,True,277,
A1_K10,SHARPEN_ONLY_CALIBRATION,RAW_KMEANS_N1_S1,3617a83b8b9f6a9c4033457041f0a3f23d8c43df8bf2a7b5deede9650f255aff,RAW,1,True,231,
A1_K10,SHARPEN_ONLY_CALIBRATION,RAW_KMEANS_N1_S2,e388e534a295f42b82f35ecf875643e8e5590d3eb2718fd763aadd8efe324c90,RAW,1,True,200,
A1_K10,SHARPEN_ONLY_CALIBRATION,RAW_KMEANS_N1_S3,be5554921b16ed0ab415a2d2350c6c3b90584f4813afa93e60202f003a1bf77b,RAW,1,True,265,
A1_K10,SHARPEN_ONLY_CALIBRATION,RAW_KMEANS_N1_S4,3f13c0b4470caa1c77ba75162294a4f0919c70217c1a58de07ec9df39f27e2a3,RAW,1,True,187,
A1_K10,SHARPEN_ONLY_CALIBRATION,RAW_KMEANS_N1_S5,c3de24b668bad8322b90e706c25e5df05c83b3a6624200f13ae21ca3818b809d,RAW,1,True,280,
