lane,endpoint,arm,baseline_ari,baseline_nmi,arm_ari,arm_nmi,delta_ari,delta_nmi,changed_spots_aligned,arm_partition_sha256,baseline_partition_sha256
A1_K10,COMMON_GMM,FULL_RESPONSE_CALIBRATION,0.2200356641335079,0.3844441647747469,0.2287498056143201,0.3858060304786228,0.008714141480812204,0.0013618657038758641,1184,b3abf0fd96036df9460a0fae44763a8ff4616a876755678dfe3e9c46d8bdc8fb,1d8964d6a87b6eda46fd044e3b107fbca6a219722b35cfe989f17eb00aa11f25
A1_K10,COMMON_GMM,LOWPASS_ONLY_CALIBRATION,0.2200356641335079,0.3844441647747469,0.2153983087960662,0.378692937162872,-0.004637355337441695,-0.0057512276118749095,1122,6de87567c68d6711a5fca80f0f0609423f568272d7886d9af387b58d233ae100,1d8964d6a87b6eda46fd044e3b107fbca6a219722b35cfe989f17eb00aa11f25
A1_K10,COMMON_GMM,SHARPEN_ONLY_CALIBRATION,0.2200356641335079,0.3844441647747469,0.2263341621582499,0.3872159027571157,0.006298498024742,0.0027717379823687938,1204,37a69607c53b79ba71894ff42370caa2ec205bf68db59035862efb82a61068ef,1d8964d6a87b6eda46fd044e3b107fbca6a219722b35cfe989f17eb00aa11f25
A1_K10,COMMON_GMM,SHARED_SCALE_CONTROL,0.2200356641335079,0.3844441647747469,0.2189065163793085,0.3874542200738651,-0.0011291477541993944,0.003010055299118186,819,dcad95ada6832239f1ccc17a325d31e74e6a081da5d2202b18e0404d78f4e58f,1d8964d6a87b6eda46fd044e3b107fbca6a219722b35cfe989f17eb00aa11f25
A1_K10,COMMON_GMM,SWAPPED_RESPONSE_CONTROL,0.2200356641335079,0.3844441647747469,0.2176147909463724,0.385098999627017,-0.0024208731871354916,0.0006548348522700809,807,9a141553080e155a7f867c637e8e2cfcafbb25b85fe42293f2cb20d1e7ecea8a,1d8964d6a87b6eda46fd044e3b107fbca6a219722b35cfe989f17eb00aa11f25
A1_K10,COMMON_KMEANS,FULL_RESPONSE_CALIBRATION,0.2324099548952756,0.3881580468157146,0.2342962096119434,0.3895159418904272,0.0018862547166677845,0.0013578950747126228,188,dd6b7c97d9084cfbbe9368b1a0b2fc0ee6cf3e2df7a4ca41e843cc419a93f220,c59f5324d60b2cd65aae8bffe518e937a39b7a6b252c72f1938900f52cb8cb94
A1_K10,COMMON_KMEANS,LOWPASS_ONLY_CALIBRATION,0.2324099548952756,0.3881580468157146,0.2340010533497529,0.389618384950663,0.0015910984544773021,0.0014603381349483913,98,b156afe560f4d8f8eebbe373e6ecdb717ed9ccfd3861e510907ea47eba629962,c59f5324d60b2cd65aae8bffe518e937a39b7a6b252c72f1938900f52cb8cb94
A1_K10,COMMON_KMEANS,SHARPEN_ONLY_CALIBRATION,0.2324099548952756,0.3881580468157146,0.2324557746999505,0.390515557427709,4.581980467488478e-05,0.0023575106119944067,386,4b1c04df3c6c0ed1145b2f04009458c2ea449da96fdf2c419431e5bd4bf6e0ff,c59f5324d60b2cd65aae8bffe518e937a39b7a6b252c72f1938900f52cb8cb94
A1_K10,COMMON_KMEANS,SHARED_SCALE_CONTROL,0.2324099548952756,0.3881580468157146,0.2340111430012618,0.3872623647492527,0.0016011881059861954,-0.0008956820664619003,91,34dc17e234944da44dff59dd9f9edd1892e80d73a3244f64d93e284716e95eaa,c59f5324d60b2cd65aae8bffe518e937a39b7a6b252c72f1938900f52cb8cb94
A1_K10,COMMON_KMEANS,SWAPPED_RESPONSE_CONTROL,0.2324099548952756,0.3881580468157146,0.2278571428069773,0.3881796554719446,-0.0045528120882983025,2.160865623002106e-05,122,bbe0e6c9a2c4643dead603282fd3abd775c4ffbc3b66e0079cd2ceed12ff421b,c59f5324d60b2cd65aae8bffe518e937a39b7a6b252c72f1938900f52cb8cb94
A1_K10,FEASIBLE_MEDOID,FULL_RESPONSE_CALIBRATION,0.2329338617253861,0.3895308982489969,0.2342962096119434,0.3895159418904272,0.0013623478865572858,-1.4956358569684358e-05,171,dd6b7c97d9084cfbbe9368b1a0b2fc0ee6cf3e2df7a4ca41e843cc419a93f220,07d57255265a3d4a71825a788280cf1de05c1674ab7e1012d611ba267f9a0fb6
