lane,arm,n,k,view1_shape,view2_shape,retained_shape,spatial_graph_nnz,optimizer_steps,parameter_changed,strict_checkpoint_reload,artifact_reload,producer_annotation_reads,carrier_sha256
A1_K10,FULL_RESPONSE_CALIBRATION,3484,10,"[3484, 30]","[3484, 30]","[3484, 64]",14166,80,True,PASS,PASS,0,d0334a94189840278cd813d773de7b0e587e363f1d5c4a14ba5e340b4dc2b79e
A1_K10,LOWPASS_ONLY_CALIBRATION,3484,10,"[3484, 30]","[3484, 30]","[3484, 64]",14166,80,True,PASS,PASS,0,d0334a94189840278cd813d773de7b0e587e363f1d5c4a14ba5e340b4dc2b79e
A1_K10,MATCHED_BACKBONE,3484,10,"[3484, 30]","[3484, 30]","[3484, 64]",14166,80,True,PASS,PASS,0,d0334a94189840278cd813d773de7b0e587e363f1d5c4a14ba5e340b4dc2b79e
A1_K10,SHARED_SCALE_CONTROL,3484,10,"[3484, 30]","[3484, 30]","[3484, 64]",14166,80,True,PASS,PASS,0,d0334a94189840278cd813d773de7b0e587e363f1d5c4a14ba5e340b4dc2b79e
A1_K10,SHARPEN_ONLY_CALIBRATION,3484,10,"[3484, 30]","[3484, 30]","[3484, 64]",14166,80,True,PASS,PASS,0,d0334a94189840278cd813d773de7b0e587e363f1d5c4a14ba5e340b4dc2b79e
A1_K10,SWAPPED_RESPONSE_CONTROL,3484,10,"[3484, 30]","[3484, 30]","[3484, 64]",14166,80,True,PASS,PASS,0,d0334a94189840278cd813d773de7b0e587e363f1d5c4a14ba5e340b4dc2b79e
P22_K9,FULL_RESPONSE_CALIBRATION,9196,9,"[9196, 30]","[9196, 50]","[9196, 64]",37168,80,True,PASS,PASS,0,b86c3cfe2863bf893368840c09cd829d73d82a02c6af1c0e823ebed34654288b
P22_K9,LOWPASS_ONLY_CALIBRATION,9196,9,"[9196, 30]","[9196, 50]","[9196, 64]",37168,80,True,PASS,PASS,0,b86c3cfe2863bf893368840c09cd829d73d82a02c6af1c0e823ebed34654288b
P22_K9,MATCHED_BACKBONE,9196,9,"[9196, 30]","[9196, 50]","[9196, 64]",37168,80,True,PASS,PASS,0,b86c3cfe2863bf893368840c09cd829d73d82a02c6af1c0e823ebed34654288b
P22_K9,SHARED_SCALE_CONTROL,9196,9,"[9196, 30]","[9196, 50]","[9196, 64]",37168,80,True,PASS,PASS,0,b86c3cfe2863bf893368840c09cd829d73d82a02c6af1c0e823ebed34654288b
P22_K9,SHARPEN_ONLY_CALIBRATION,9196,9,"[9196, 30]","[9196, 50]","[9196, 64]",37168,80,True,PASS,PASS,0,b86c3cfe2863bf893368840c09cd829d73d82a02c6af1c0e823ebed34654288b
P22_K9,SWAPPED_RESPONSE_CONTROL,9196,9,"[9196, 30]","[9196, 50]","[9196, 64]",37168,80,True,PASS,PASS,0,b86c3cfe2863bf893368840c09cd829d73d82a02c6af1c0e823ebed34654288b
