candidate_index,candidate_id,profile_id,arm,start_index,start_name,partition_sha256,changed_observations,structure_feasible,ari,nmi,ami,fmi,homogeneity,v_measure,moran_indicator_macro,geary_indicator_macro,neighbor_agreement,observed_k,min_cluster_size,cluster_sizes
0,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER__NO_OP_START__FUSED_KMEANS_S0,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER,NO_OP_START,0,FUSED_KMEANS_S0,5793f8d4c49623fcc298a013ebac56221c33e55eb9aa8271b9190de8e6aff2a5,0,True,0.351752533665932,0.5334512189737729,0.5274611084450909,0.45577417057641123,0.5779230471370456,0.533451218973773,0.18535446233429426,0.8214870751047292,0.2510832932113625,10,63,"[239, 100, 137, 104, 176, 254, 63, 301, 200, 88]"
1,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER__NO_OP_START__FUSED_KMEANS_S1,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER,NO_OP_START,1,FUSED_KMEANS_S1,dc64b458ffa88138cacb651e2ad3f1dd3535602393d63eae75f4ea2f352e4979,0,True,0.3380489586061912,0.5351160094694808,0.529179986108472,0.44351093835356614,0.5825217621888265,0.5351160094694809,0.13511780263795659,0.8642015489363924,0.24434280211844006,10,92,"[251, 142, 224, 101, 92, 172, 100, 170, 310, 100]"
2,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER__NO_OP_START__FUSED_KMEANS_S2,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER,NO_OP_START,2,FUSED_KMEANS_S2,a68b3937379aa3ac2be76637b767607dd7622c936403942f207e9b13296caa9b,0,True,0.417145824870958,0.527824740818264,0.5217406984223403,0.5129472582209422,0.5704726670838214,0.527824740818264,0.13383644095790254,0.8685561581229708,0.23375060182956187,10,83,"[98, 271, 225, 83, 112, 349, 179, 105, 112, 128]"
3,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER__NO_OP_START__FUSED_KMEANS_S3,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER,NO_OP_START,3,FUSED_KMEANS_S3,21b7d1c5635bd08e1319b973fff330971f63e2bb12cb6c0c347d8a1dd1880fa3,0,True,0.41986572623095053,0.5325886919537423,0.5265449089490272,0.5154209581852368,0.5737175154414179,0.5325886919537423,0.19829010898862182,0.8135447466377498,0.2542128069330766,10,61,"[120, 99, 272, 217, 124, 123, 173, 366, 61, 107]"
4,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER__NO_OP_START__FUSED_KMEANS_S4,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER,NO_OP_START,4,FUSED_KMEANS_S4,7d6e1165f9b1959f9ac772861dda13546e2e3c7e55a78d441d31eb9e3e569344,0,True,0.3586686308209744,0.5447966065420368,0.5390520729048343,0.4613903569133155,0.5985279497534962,0.5447966065420368,0.15209912061073316,0.8470635004873959,0.24410207029369282,10,100,"[100, 143, 150, 183, 142, 293, 170, 106, 223, 152]"
5,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER__NO_OP_START__RNA_KMEANS_S0,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER,NO_OP_START,5,RNA_KMEANS_S0,164af87db95e3ac6d1c7cc11c99e268aee2f8cd705ad8dfe1221dad05ac98c1d,0,True,0.39360195435339396,0.5892764381705942,0.5839987749548354,0.49235289902252916,0.6379604767041254,0.589276438170594,0.16286185297392836,0.8371756189690153,0.2498796340876264,10,62,"[324, 108, 124, 62, 92, 233, 206, 213, 203, 97]"
6,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER__NO_OP_START__RNA_KMEANS_S1,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER,NO_OP_START,6,RNA_KMEANS_S1,872a4bcf6b58d1fe56aa914baf6d44c2f78f522cf03ddd83c6402e563b8ede89,0,True,0.3842304102606906,0.5875129184602509,0.5822469042199319,0.48403538722754896,0.6392091499511038,0.5875129184602508,0.2179615137103145,0.7889708319458086,0.27154549831487723,10,68,"[214, 70, 202, 68, 167, 163, 120, 192, 319, 147]"
7,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER__NO_OP_START__ATAC_REGULATORY_KMEANS_S0,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER,NO_OP_START,7,ATAC_REGULATORY_KMEANS_S0,b8e97d4d14c5e6048c48a8e6588072f869bcc2112ae23de7e2779016f80c539a,0,True,0.06629165240949143,0.12242528327347704,0.11147662007721795,0.19670621397209284,0.13569754754026359,0.12242528327347706,0.03522491736082954,0.9632693724971577,0.1362542128069331,10,120,"[120, 149, 142, 176, 198, 194, 170, 148, 205, 160]"
8,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER__NO_OP_START__ATAC_REGULATORY_KMEANS_S1,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER,NO_OP_START,8,ATAC_REGULATORY_KMEANS_S1,180069f0beb60a9cb51ccca94c3a02f52d646e43c73b8c54e5f23e322626d8c7,0,True,0.07906724473081134,0.13274201007046635,0.12188838796475697,0.20928993208015326,0.14678420003288886,0.13274201007046635,0.0296519280979885,0.9699854343235457,0.13216177178623015,10,113,"[146, 210, 173, 113, 209, 218, 176, 144, 126, 147]"
9,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER__NO_OP_START__LOWPASS_FUSED_KMEANS_S0,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER,NO_OP_START,9,LOWPASS_FUSED_KMEANS_S0,df252d0b4440aded575c6f52e9eb44d32d58bdc1dd1cb1b7dd5d2507bebb430f,0,True,0.3600550755037291,0.5385294631571095,0.5326544717129634,0.46270069589985674,0.5873169308903634,0.5385294631571095,0.23887033721265113,0.76812634267636,0.2903225806451613,10,64,"[298, 198, 64, 197, 154, 230, 106, 97, 177, 141]"
10,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER__NO_OP_START__LOWPASS_FUSED_KMEANS_S1,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER,NO_OP_START,10,LOWPASS_FUSED_KMEANS_S1,04448d34bc8ddf486d71dc63d8c9cfc3f91e678c2cc332f2867a33d56de68b1b,0,True,0.35771353154642704,0.5118743330783363,0.505725986918618,0.4605750715959478,0.5632148206163479,0.5118743330783364,0.2004829170179062,0.8031636732321872,0.27323062108810786,10,104,"[106, 193, 213, 174, 227, 216, 104, 111, 120, 198]"
11,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER__NO_OP_START__FUSED_GMM_DIAG_S0,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER,NO_OP_START,11,FUSED_GMM_DIAG_S0,f00201d76f461c9069604d44452153d257736b19a09171effa79d8399469b208,0,True,0.2553145755691008,0.5307068661788673,0.5243872613270274,0.38635840844126446,0.5512526004607541,0.5307068661788672,0.19895347099249902,0.8092539928106428,0.28695233509870005,10,44,"[202, 82, 111, 95, 148, 171, 44, 543, 219, 47]"
12,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER__NO_OP_START__FUSED_GMM_DIAG_S1,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER,NO_OP_START,12,FUSED_GMM_DIAG_S1,f366b934e4540fba7d3937005b40bc1e58ed2baab6783ece5ae7b20639aa26ba,0,True,0.25794035042269053,0.5303403376285224,0.5240559710347217,0.38640743682138984,0.5546246569434515,0.5303403376285224,0.12392082552463912,0.872897005325455,0.27106403466538276,10,48,"[171, 109, 200, 95, 48, 149, 82, 214, 528, 66]"
13,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER__L2_LOWPASS_MATCHED__FUSED_KMEANS_S0,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER,L2_LOWPASS_MATCHED,0,FUSED_KMEANS_S0,96c2d71471e3e678f3c3d9138452d95c4ae1227e39569e30be90601b098f1d74,273,True,0.3690094460198729,0.5249779421342756,0.5188122624249,0.471893474461622,0.5635626580746694,0.5249779421342756,0.2772892811392903,0.7360968666716156,0.31824747231584016,10,54,"[270, 100, 141, 110, 182, 379, 54, 121, 212, 93]"
14,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER__L2_LOWPASS_MATCHED__FUSED_KMEANS_S1,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER,L2_LOWPASS_MATCHED,1,FUSED_KMEANS_S1,a66a064f41908d6efa6b9862debac1e8a22bf3292081976d40af1067866fb0b4,264,True,0.36430682652165014,0.5419882678169804,0.5361378390663447,0.46667663485793326,0.5897665539936529,0.5419882678169803,0.2210003896075936,0.7824341924126044,0.3088589311506981,10,91,"[357, 142, 214, 109, 91, 183, 101, 198, 133, 134]"
15,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER__L2_LOWPASS_MATCHED__FUSED_KMEANS_S2,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER,L2_LOWPASS_MATCHED,2,FUSED_KMEANS_S2,b5d8e00d8edeed4440ffebdbb205c92ff0c998a42d52abda16c90b37d7d1da4d,249,True,0.419753289227384,0.5353452148030517,0.5293068061528313,0.5155668985231406,0.5735483855786896,0.5353452148030519,0.24544340733299658,0.7614926903766883,0.2987481945113144,10,43,"[99, 215, 241, 95, 43, 383, 220, 106, 125, 135]"
