start_index,start_name,full_ari,full_nmi,noop_ari,noop_nmi,delta_ari,delta_nmi,full_changed_observations,full_structure_feasible
0,FUSED_KMEANS_S0,0.030578236734994577,0.12342015319206402,0.351752533665932,0.5334512189737729,-0.3211742969309374,-0.4100310657817089,1141,True
1,FUSED_KMEANS_S1,0.0304903698406734,0.1097639333593921,0.3380489586061912,0.5351160094694808,-0.30755858876551784,-0.4253520761100887,1174,False
2,FUSED_KMEANS_S2,0.010396848887790007,0.11195097754471231,0.417145824870958,0.527824740818264,-0.406748975983168,-0.41587376327355174,1156,False
3,FUSED_KMEANS_S3,-0.00583561349871602,0.11422014291804417,0.41986572623095053,0.5325886919537423,-0.42570133972966656,-0.4183685490356981,1379,False
4,FUSED_KMEANS_S4,0.05642404944034435,0.1207008463770506,0.3586686308209744,0.5447966065420368,-0.30224458138063004,-0.4240957601649862,1112,True
5,RNA_KMEANS_S0,0.03587835258841229,0.1310619364015488,0.39360195435339396,0.5892764381705942,-0.35772360176498164,-0.4582145017690453,1209,False
6,RNA_KMEANS_S1,0.029302811525497567,0.14840647240213858,0.3842304102606906,0.5875129184602509,-0.35492759873519303,-0.43910644605811233,1300,False
7,ATAC_REGULATORY_KMEANS_S0,0.06629165240949143,0.12242528327347704,0.06629165240949143,0.12242528327347704,0.0,0.0,0,True
8,ATAC_REGULATORY_KMEANS_S1,0.07906724473081134,0.13274201007046635,0.07906724473081134,0.13274201007046635,0.0,0.0,0,True
9,LOWPASS_FUSED_KMEANS_S0,0.018418560725746852,0.09881480532326477,0.3600550755037291,0.5385294631571095,-0.3416365147779823,-0.4397146578338447,1368,False
10,LOWPASS_FUSED_KMEANS_S1,0.033379507444302216,0.1005675755986146,0.35771353154642704,0.5118743330783363,-0.3243340241021248,-0.4113067574797217,1273,False
11,FUSED_GMM_DIAG_S0,0.011854383297637487,0.11829151466654293,0.2553145755691008,0.5307068661788673,-0.24346019227146332,-0.4124153515123244,1449,False
12,FUSED_GMM_DIAG_S1,0.03770881750185225,0.1178817996566799,0.25794035042269053,0.5303403376285224,-0.22023153292083827,-0.4124585379718425,1275,False
