selection_name,candidate_index,candidate_id,profile_id,arm,start_index,start_name,partition_sha256,changed_observations,structure_feasible,ari,nmi,ami,fmi,homogeneity,v_measure,moran_indicator_macro,geary_indicator_macro,neighbor_agreement,observed_k,min_cluster_size,cluster_sizes
NO_OP_START__STRUCTURE_FEASIBLE_MEDOID,0,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER__NO_OP_START__FUSED_KMEANS_S0,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER,NO_OP_START,0,FUSED_KMEANS_S0,5793f8d4c49623fcc298a013ebac56221c33e55eb9aa8271b9190de8e6aff2a5,0,True,0.351752533665932,0.5334512189737729,0.5274611084450909,0.45577417057641123,0.5779230471370456,0.533451218973773,0.18535446233429426,0.8214870751047292,0.2510832932113625,10,63,"[239, 100, 137, 104, 176, 254, 63, 301, 200, 88]"
NO_OP_START__PLAIN_MEDOID,0,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER__NO_OP_START__FUSED_KMEANS_S0,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER,NO_OP_START,0,FUSED_KMEANS_S0,5793f8d4c49623fcc298a013ebac56221c33e55eb9aa8271b9190de8e6aff2a5,0,True,0.351752533665932,0.5334512189737729,0.5274611084450909,0.45577417057641123,0.5779230471370456,0.533451218973773,0.18535446233429426,0.8214870751047292,0.2510832932113625,10,63,"[239, 100, 137, 104, 176, 254, 63, 301, 200, 88]"
L2_LOWPASS_MATCHED__STRUCTURE_FEASIBLE_MEDOID,24,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER__L2_LOWPASS_MATCHED__FUSED_GMM_DIAG_S0,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER,L2_LOWPASS_MATCHED,11,FUSED_GMM_DIAG_S0,1aed8ab161fc54228703775099c58199a9fdcbc35e008bb8d1074fb8fc1ba102,518,True,0.37059687981510664,0.5268495229761752,0.5207033504995205,0.4733414569495425,0.5651418157429586,0.5268495229761752,0.2804839385855993,0.7340140668276159,0.31872893596533464,10,52,"[271, 100, 140, 109, 183, 381, 52, 121, 212, 93]"
L2_LOWPASS_MATCHED__PLAIN_MEDOID,24,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER__L2_LOWPASS_MATCHED__FUSED_GMM_DIAG_S0,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER,L2_LOWPASS_MATCHED,11,FUSED_GMM_DIAG_S0,1aed8ab161fc54228703775099c58199a9fdcbc35e008bb8d1074fb8fc1ba102,518,True,0.37059687981510664,0.5268495229761752,0.5207033504995205,0.4733414569495425,0.5651418157429586,0.5268495229761752,0.2804839385855993,0.7340140668276159,0.31872893596533464,10,52,"[271, 100, 140, 109, 183, 381, 52, 121, 212, 93]"
FULL_FROZEN_ENERGY__STRUCTURE_FEASIBLE_MEDOID,34,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER__FULL_FROZEN_ENERGY__ATAC_REGULATORY_KMEANS_S1,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER,FULL_FROZEN_ENERGY,8,ATAC_REGULATORY_KMEANS_S1,180069f0beb60a9cb51ccca94c3a02f52d646e43c73b8c54e5f23e322626d8c7,0,True,0.07906724473081134,0.13274201007046635,0.12188838796475697,0.20928993208015326,0.14678420003288886,0.13274201007046635,0.0296519280979885,0.9699854343235457,0.13216177178623015,10,113,"[146, 210, 173, 113, 209, 218, 176, 144, 126, 147]"
FULL_FROZEN_ENERGY__PLAIN_MEDOID,32,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER__FULL_FROZEN_ENERGY__RNA_KMEANS_S1,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER,FULL_FROZEN_ENERGY,6,RNA_KMEANS_S1,07c0650e41ee784d94a1f3abd60b1de9a75a697ad1e097e95c63db6330b6b086,1300,False,0.029302811525497567,0.14840647240213858,0.13568891502576358,0.36450383908048295,0.10661554040601039,0.14840647240213856,0.5612021907950917,0.517716887404623,0.9655753490611458,10,1,"[71, 58, 6, 184, 1, 1, 23, 15, 1, 1302]"
REGISTERED_SCALE_ONLY__STRUCTURE_FEASIBLE_MEDOID,39,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER__REGISTERED_SCALE_ONLY__FUSED_KMEANS_S0,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER,REGISTERED_SCALE_ONLY,0,FUSED_KMEANS_S0,e24cfbbdb2f56dd406e151a76ab509fe6aaef2bc222d49cbf0fa7e60ba32d0b4,104,True,0.3099053878267226,0.4848153505820869,0.4782636365751351,0.41838661184515924,0.529408263983837,0.48481535058208686,0.20434725743092347,0.7957662965678949,0.3013962445835339,10,85,"[219, 93, 129, 99, 153, 246, 167, 282, 189, 85]"
REGISTERED_SCALE_ONLY__PLAIN_MEDOID,39,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER__REGISTERED_SCALE_ONLY__FUSED_KMEANS_S0,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER,REGISTERED_SCALE_ONLY,0,FUSED_KMEANS_S0,e24cfbbdb2f56dd406e151a76ab509fe6aaef2bc222d49cbf0fa7e60ba32d0b4,104,True,0.3099053878267226,0.4848153505820869,0.4782636365751351,0.41838661184515924,0.529408263983837,0.48481535058208686,0.20434725743092347,0.7957662965678949,0.3013962445835339,10,85,"[219, 93, 129, 99, 153, 246, 167, 282, 189, 85]"
NO_SELF_RETURN_STAY__STRUCTURE_FEASIBLE_MEDOID,52,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER__NO_SELF_RETURN_STAY__FUSED_KMEANS_S0,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER,NO_SELF_RETURN_STAY,0,FUSED_KMEANS_S0,797d34a7ab9c3b5ec52b7cb6530f42dac68d5f69cea22a7f8a076709087cce82,1356,True,0.010556835375493925,0.1507615421439712,0.13457341368452397,0.3757182064291565,0.10294340514542424,0.15076154214397122,0.48019541936103033,0.5021778311564968,0.9236880115551276,10,4,"[31, 6, 20, 23, 23, 33, 1419, 91, 12, 4]"
NO_SELF_RETURN_STAY__PLAIN_MEDOID,64,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER__NO_SELF_RETURN_STAY__FUSED_GMM_DIAG_S1,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER,NO_SELF_RETURN_STAY,12,FUSED_GMM_DIAG_S1,1b1cdd83b62569d671adc30a127263a1bb59d80089740853cc0f8c3540b19e2f,1343,False,0.015205923281524434,0.14185354958049193,0.12673301050784008,0.37332523732400535,0.09746055954363632,0.14185354958049193,0.4334039798069706,0.5912213815126914,0.9258545979778526,10,2,"[31, 11, 58, 21, 1391, 16, 3, 2, 124, 5]"
