mechanical_rank,certificate_config_id,discovery_lane_pass_count,worst_study_median_delta_ari,mean_study_median_delta_ari,mean_study_median_delta_nmi,study_balanced_mean_trusted_fraction,strict_independent_lane_start_count,pareto_independent_lane_start_count,dual_gain_lane_start_count
1,Q50_S2_KEEP1_E1E6,0,-0.18794518271920613,-0.0503009504994408,-0.06301923672944625,0.4964592434178849,0,0,4
2,Q50_S2_KEEP0_E1E6,0,-0.19434549654519062,-0.05426267522511754,-0.07312169862460062,0.4964592434178849,0,0,4
3,Q65_S2_KEEP1_E1E6,0,-0.23655784724414253,-0.06635863239951996,-0.08597715009523642,0.3493772324045068,0,0,4
4,Q50_S3_KEEP1_E1E6,0,-0.24892964588310823,-0.07057717010536334,-0.0969814328971594,0.39678119432503806,0,0,4
5,Q65_S2_KEEP0_E1E6,0,-0.25061496806362704,-0.07307252079981998,-0.09228000249437367,0.3493772324045068,0,0,4
6,Q50_S3_KEEP0_E1E6,0,-0.25752363165945524,-0.0753488687465394,-0.10384322299550604,0.39678119432503806,0,0,4
7,Q65_S3_KEEP1_E1E6,0,-0.2676808728576721,-0.07668567003392385,-0.10606265156703161,0.28519510651773067,0,0,4
8,Q65_S3_KEEP0_E1E6,0,-0.2777069342891339,-0.08204444572965885,-0.11028547792088161,0.28519510651773067,0,0,4
9,Q80_S2_KEEP1_E1E6,0,-0.28425890775838014,-0.08216631525601174,-0.10351839178715172,0.1998935594828478,0,0,4
10,Q80_S3_KEEP1_E1E6,0,-0.2894639360254888,-0.08385398214902544,-0.11190815782321589,0.1704989749412336,0,0,4
11,Q80_S2_KEEP0_E1E6,0,-0.2961759404243746,-0.08782245537318518,-0.10914341741336886,0.1998935594828478,0,0,4
12,Q80_S3_KEEP0_E1E6,0,-0.30149741925264273,-0.08953797101951849,-0.1135134148069421,0.1704989749412336,0,0,4
