lane,stage,seed,wall_seconds,peak_rss_mib,peak_gpu_mib
P22_K9,STAGE_A,0,18.831632614135742,1422.8515625,195.14306640625
P22_K9,D0_REV1,0,4.0516135692596436,1414.98046875,122.1357421875
P22_K9,D0_REV1,1,4.441211223602295,1419.53125,122.1357421875
MISAR_K7,STAGE_A,0,10.037413120269775,975.75,52.9443359375
MISAR_K7,D0_REV1,0,1.3145887851715088,887.3984375,38.4296875
MISAR_K7,D0_REV1,1,1.3247056007385254,894.35546875,38.4296875
HUMAN_HIPPOCAMPUS_K7,STAGE_A,0,12.546074151992798,975.078125,69.7421875
HUMAN_HIPPOCAMPUS_K7,D0_REV1,0,1.6374077796936035,900.11328125,48.1845703125
HUMAN_HIPPOCAMPUS_K7,D0_REV1,1,1.791489601135254,904.12109375,48.1845703125
PLACENTA_K10,STAGE_A,0,9.913662910461426,975.1015625,39.79736328125
PLACENTA_K10,D0_REV1,0,1.4360764026641846,891.3515625,30.3193359375
PLACENTA_K10,D0_REV1,1,1.430776596069336,895.0390625,30.3193359375
