lane,candidate_id,arm,operator_nnz,operator_sha256,finite,nonnegative,symmetry_max_abs,reliability_min_median_max,reliability_unique_count,dense_n_by_n_count
P22_K9,S01_LOCAL__RNA_ONLY_DIFFUSION__E0,RNA_ONLY_DIFFUSION,87864,4233204bb6afcb870d004768839ec31207f371fbf0ea29609bf476e6e37ab6fa,True,True,0.0,"[0.018666754196189125,0.03513086578268137,0.42476580620238363]",9196,0
P22_K9,S01_LOCAL__ATAC_ONLY_DIFFUSION__E0,ATAC_ONLY_DIFFUSION,57138,5c3870ec26dafcbdd3c4fa6a61cb14bf6978df93baf8128c392c6013ab7b48fd,True,True,0.0,"[0.018666754196189125,0.03513086578268137,0.42476580620238363]",9196,0
P22_K9,S01_LOCAL__SPATIAL_ONLY_DIFFUSION__E0,SPATIAL_ONLY_DIFFUSION,46364,2e678eea917f543cc24256c3d9f13fa10f757bed027f211b5c217ccbca8b0c20,True,True,0.0,"[0.018666754196189125,0.03513086578268137,0.42476580620238363]",9196,0
P22_K9,S01_LOCAL__CONCATENATED_FEATURE_KNN__E0,CONCATENATED_FEATURE_KNN,67172,3955ecf2df8664069ab68f9aced6bf172729d76b9b6e14905335d31be6f73842,True,True,0.0,"[0.018666754196189125,0.03513086578268137,0.42476580620238363]",9196,0
P22_K9,S01_LOCAL__SIMPLE_OPERATOR_AVERAGE__E0,SIMPLE_OPERATOR_AVERAGE,150874,d17dbc0536417492d292ea514993926e2a68170af111a45a8db19f12f4ce914c,True,True,0.0,"[0.018666754196189125,0.03513086578268137,0.42476580620238363]",9196,0
P22_K9,S01_LOCAL__CLASSICAL_ALTERNATING_RA__E0,CLASSICAL_ALTERNATING_RA,174238,1e74fac325ac90648cc7d4bb56a86015589c4f0a80e08aa2178ce7477d531c07,True,True,0.0,"[0.018666754196189125,0.03513086578268137,0.42476580620238363]",9196,0
P22_K9,S01_LOCAL__SPATIALLY_ANCHORED_ALTERNATING__E0,SPATIALLY_ANCHORED_ALTERNATING,194473,19de8f15189855634bd2aa5a185f02c7e6fc9d36bee6f654c13ca36a4f79e6f4,True,True,0.0,"[0.018666754196189125,0.03513086578268137,0.42476580620238363]",9196,0
P22_K9,S01_LOCAL__CSAD_FULL__E0,CSAD_FULL,185794,996450b58d7239b59531a3d4cff9b80033d2bb8ced7b62cb8493547b01944517,True,True,0.0,"[0.018666754196189125,0.03513086578268137,0.42476580620238363]",9196,0
P22_K9,S01_LOCAL__CSAD_CONFLICT_DISABLED__E0,CSAD_CONFLICT_DISABLED,186645,5c158742cde2e198fdc162026d8ccd974030d4aab048a2eb25e2cfb059cf1a44,True,True,0.0,"[0.018666754196189125,0.03513086578268137,0.42476580620238363]",9196,0
P22_K9,S01_LOCAL__CSAD_MODALITY_EDGE_PERMUTED__E0,CSAD_MODALITY_EDGE_PERMUTED,192380,1f4bf6e378d187bc3caeb6f0ed7718a522a8fbad136640b0ecf5c1353a8a4027,True,True,0.0,"[0.018666754196189125,0.03513086578268137,0.42476580620238363]",9196,0
P22_K9,S02_MESOSCALE__RNA_ONLY_DIFFUSION__E0,RNA_ONLY_DIFFUSION,145944,6cf647aa22ed27ebf219f7510e4a1524b1307af73f05a4e5c34457822cac8f9e,True,True,0.0,"[0.011103930303160857,0.021756435899546636,0.48216649660347216]",9196,0
P22_K9,S02_MESOSCALE__ATAC_ONLY_DIFFUSION__E0,ATAC_ONLY_DIFFUSION,94934,40c609cb0311e187e77c9f7e939dddc615b159cd7956902d727e85a122b3c1ef,True,True,0.0,"[0.011103930303160857,0.021756435899546636,0.48216649660347216]",9196,0
P22_K9,S02_MESOSCALE__SPATIAL_ONLY_DIFFUSION__E0,SPATIAL_ONLY_DIFFUSION,73662,b898e41f23cf0f91d34c74eb79341e3c576a816d2fe9a61c35159e7980cb0cb2,True,True,0.0,"[0.011103930303160857,0.021756435899546636,0.48216649660347216]",9196,0
P22_K9,S02_MESOSCALE__CONCATENATED_FEATURE_KNN__E0,CONCATENATED_FEATURE_KNN,113080,c475598d4e242d5123ccc3449e3a3e89c5c77140274d72e7595440e81a88d6d6,True,True,0.0,"[0.011103930303160857,0.021756435899546636,0.48216649660347216]",9196,0
