lane,seed,arm,run_id,ari,nmi,ami,fmi,min_cluster_size,cluster_sizes,partition_sha256,representation_sha256
P22_K9,0,FROZEN_RETAINED,BASELINE__FROZEN_RETAINED,0.3893208525073957,0.5784037483938195,0.5776923150201647,0.47587557030383065,708,"[1009,1491,1232,708,894,1604,711,736,811]",9f4d2239dd47e1d3c735ee2e6e6be9d8f1b0a91dc92be15b6148349f9fb530b9,0c67c0eebbcea4da157ec7cab84026052137394bb2646c6db9516f63a6ecd74f
P22_K9,0,RELATION_SMOOTH,BASELINE__UNBIASED_SMOOTH,0.3939005260086102,0.5847127109962361,0.5840118106458233,0.47987581633807175,706,"[1586,1501,1264,734,713,706,894,799,999]",613df5bc94428ac10b95c9e12b813654dd08e7335d07cf297ce791df8a22558f,d40843517bed7a57c3789506691c75ff39fa9c69fa4e7add6812a5ab00a63f15
P22_K9,0,ZERO_RESIDUAL,BASELINE__ZERO_RESIDUAL,0.3939005260086102,0.5847127109962361,0.5840118106458233,0.47987581633807175,706,"[1586,1501,1264,734,713,706,894,799,999]",613df5bc94428ac10b95c9e12b813654dd08e7335d07cf297ce791df8a22558f,d40843517bed7a57c3789506691c75ff39fa9c69fa4e7add6812a5ab00a63f15
P22_K9,0,PERMUTED_RELATION,Z01_CONSERVATIVE__PERMUTED_RELATION__S0,0.3923849820084918,0.5835342847254942,0.5828311638840344,0.4786148060517183,702,"[1507,1608,712,800,882,702,1258,741,986]",62d033a25bb923d41355f1a56e9ad074d175924cc604ccebb39749ccdac6c7bb,710a7faac3428c94342665bc3476b29f252f42153fc081200cdf12123715000f
P22_K9,0,Z01_FULL,Z01_CONSERVATIVE__UNBIASED_FULL__S0,0.4816499442278457,0.6104992867596107,0.6098376225342028,0.5570932532447512,718,"[2221,1090,1012,718,745,910,917,763,820]",081eff87514ca87bbcd5847f7b006ed689d2248328b0062703ec7af9d2ef653d,41a0a4240b1cda18dfb167cb5e85863dec58e13f021c4be11d3db82ffc59dc99
MISAR_K7,0,FROZEN_RETAINED,BASELINE__FROZEN_RETAINED,0.3611133493142985,0.5371715938517067,0.5347566088080864,0.4827788366729388,183,"[367,401,264,183,248,214,272]",3add99e4cdb08d99017e747da6c12dc0ea3151e551b5b0bc26997df0c8b2ecd6,359216b6a6d78645e9c4a2988e87b365d84ed212ac85f70b0e4d5882c3bd3977
MISAR_K7,0,RELATION_SMOOTH,BASELINE__UNBIASED_SMOOTH,0.3601774063031095,0.5383578064348719,0.5359475698775771,0.4820722488075806,173,"[404,219,273,265,173,365,250]",d3987ed7153661937f3f1ace611b0eaeff8baabe1e14323315ba02ee79ae3fcd,14fd5e235cfd689b6698c55bf69fbea1b1b90bda93e9bc0e73c2330449dc66e0
MISAR_K7,0,ZERO_RESIDUAL,BASELINE__ZERO_RESIDUAL,0.3601774063031095,0.5383578064348719,0.5359475698775771,0.4820722488075806,173,"[404,219,273,265,173,365,250]",d3987ed7153661937f3f1ace611b0eaeff8baabe1e14323315ba02ee79ae3fcd,14fd5e235cfd689b6698c55bf69fbea1b1b90bda93e9bc0e73c2330449dc66e0
MISAR_K7,0,PERMUTED_RELATION,Z01_CONSERVATIVE__PERMUTED_RELATION__S0,0.3612066829210437,0.5381501487012194,0.5357416416284924,0.48277045703345994,185,"[273,253,363,219,400,256,185]",bf8e42d640377283b44a1269958e459ebfc9100697e0741ad1a56e3b4656a2b7,88c76f7dbaf2227bfe2efa75f3fed9a2efd2d28051ee591047c07debe9e2739a
MISAR_K7,0,Z01_FULL,Z01_CONSERVATIVE__UNBIASED_FULL__S0,0.36371391381529505,0.5409742092460456,0.5385776010331369,0.485002395721311,170,"[283,363,401,265,247,220,170]",100f3ddc1e3ee1371265ee3458b9f2c852dbe208571918d580040e473c74a47f,aeb9a9abacd22aa743d495db7ee7734a61cd49a60bf756f08cd64b2732f52018
