lane,family,arm,profile,training_seed,endpoint_seed,n_total,n_eval,k,ari,nmi,ami,fmi,min_cluster_size,cluster_sizes,representation_sha256,partition_sha256,wall_seconds,gpu_peak_mib,peak_rss_mib
A1_K10,RNA_PROTEIN,CARRIER_ONLY,FAMILY_BASE_V1,0,0,3484,3484,10,0.23643209910354843,0.3887643545531437,0.3849644679186248,0.3731491959019825,185,"[365, 289, 225, 539, 448, 477, 185, 351, 348, 257]",6043ed59944da6ae5034832d455cffc209ba7df2250b95f179a59db61f1814a4,da2124ad8a60e4b2334718fef6edd660ac10f6815b8148c1ac5bed7c700ddd88,1.1684592440724373,0.0,415.7109375
A1_K10,RNA_PROTEIN,LOWPASS_CARRIER_CONTROL,FAMILY_BASE_V1,0,0,3484,3484,10,0.23626493616669536,0.392540376486407,0.38876083816349377,0.37316755818077446,192,"[305, 444, 259, 325, 351, 240, 467, 592, 309, 192]",7cc52de13c22452a70299ac8e44deff2015a898d104f0814c40050a0b69477d9,a29f3036168e40959f8aca3cafdc8c2f6ba041aa9665dac10c4d5c5c4f4e7270,1.138711215928197,0.0,419.734375
A1_K10,RNA_PROTEIN,MEAN_ONLY_ANCHORED,FAMILY_BASE_V1,0,0,3484,3484,10,0.2228430792313703,0.38570644836196566,0.3818919517853354,0.3607447647608888,226,"[470, 264, 226, 264, 271, 599, 328, 373, 363, 326]",963ef3dda6ae41b335b73622cdaefd7bc87ec3ec67f7b1f6f2842c99abcf37d7,88b3a01fe8bb0959341ba7d91967690d280a98b23ba526fbc142b0a76bb37f56,6.533476581797004,78.5419921875,786.703125
A1_K10,RNA_PROTEIN,HIERARCHICAL_WITHOUT_ANCHOR,FAMILY_BASE_V1,0,0,3484,3484,10,0.15523508001088068,0.27529097762159416,0.27079958137806653,0.29827918766944067,170,"[430, 435, 299, 354, 475, 310, 431, 170, 251, 329]",ea03b685c20c8fcd225570e532b7dd40a5f8f877639e1c574b89671c98c54a9f,924b8e426cef59805f1ddd0476436e58c3eb0838417eb4ccfe71f9f37612d059,6.542206974700093,92.142578125,794.5234375
A1_K10,RNA_PROTEIN,ANCHOR_WITHOUT_GRADIENT,FAMILY_BASE_V1,0,0,3484,3484,10,0.21630997106880265,0.3752375608626568,0.37136134186814507,0.35467796682267133,241,"[259, 277, 411, 314, 266, 390, 610, 346, 241, 370]",a81eaf8293b148ffdf1251a40fb4180ec2d547f51e58b633b9d4a55ee6dbc29b,f17717cdedb98f7eb23caa64f76d72d1be4d62817a3353530fd7b7eeb8e90df0,6.474413178861141,85.373046875,801.3515625
A1_K10,RNA_PROTEIN,ANCHOR_WITHOUT_HIERARCHICAL_FUSION,FAMILY_BASE_V1,0,0,3484,3484,10,0.21831002008359707,0.36261557707381875,0.3586617404934892,0.3564099682966191,241,"[538, 294, 403, 304, 270, 383, 241, 507, 245, 299]",ac47c45ad64379b0b26872e48d89ece489fa55e4477c2dc4a7b09a1c1fe1927b,4d9a9df9eca12a1393dbed638a428cf3403e8e27412c3467aa32572c78ea41f2,6.366477608680725,84.921875,796.8125
A1_K10,RNA_PROTEIN,FULL_COMPOSITION,FAMILY_BASE_V1,0,0,3484,3484,10,0.20856346474122064,0.36038766565213726,0.35642997519987085,0.3470810202546198,239,"[376, 317, 297, 503, 278, 506, 239, 362, 282, 324]",56daf885aa065566f39d827a760b0a2c186c73ac0227b766ad128cc0a48b8d4c,7e6fc0c437780ec7a086aad5b0b29cb323fa055654481f3c186fde1161d5b610,6.919866697862744,95.189453125,810.5078125
TONSIL_S1_K4,RNA_PROTEIN,CARRIER_ONLY,FAMILY_BASE_V1,0,0,4326,4326,4,0.15281598996574233,0.2072254572356357,0.206540390051139,0.44004162543976094,670,"[1289, 1054, 1313, 670]",d11a6aa801a23be32b7a4c812f6b9092c2976893a8409a89ca10c79cf6b2771a,1930f1ec8c40810d51c8ccf1a5ede13b69f9e59c26c822beea329a23971ba713,0.5388396102935076,0.0,414.3515625
TONSIL_S1_K4,RNA_PROTEIN,LOWPASS_CARRIER_CONTROL,FAMILY_BASE_V1,0,0,4326,4326,4,0.14701888866063334,0.20046466854072972,0.19977328459923488,0.43634512745978377,658,"[1316, 658, 1293, 1059]",33b7f18ffca677782c0ec70821eabe09ffe892b1715565e3c320eddb5f07f377,9600fc90e18df931f75df18a1a0c8e66cea0184572d82df8897155fcc0e3fd30,0.58829315751791,0.0,416.72265625
TONSIL_S1_K4,RNA_PROTEIN,MEAN_ONLY_ANCHORED,FAMILY_BASE_V1,0,0,4326,4326,4,0.1803933391065327,0.25336394246844424,0.2527193093824818,0.45923363642715204,782,"[782, 1436, 1216, 892]",58b2ab830b10a39218943ece8ab2f7b8841c37351ab3208c591c7f0d25494982,3be2ed7e673c7ddf61106d41e603b544768ef3c6b96f6ea1387ccd06b8797c8b,4.657870972529054,50.5791015625,785.1796875
TONSIL_S1_K4,RNA_PROTEIN,HIERARCHICAL_WITHOUT_ANCHOR,FAMILY_BASE_V1,0,0,4326,4326,4,0.10377911177318018,0.15019986600706708,0.1494682706282018,0.4042605273109799,792,"[1184, 1389, 961, 792]",ccb968d98fa36260401961f7a43871ea088dbc00d71e11a8ce0718438f1e91d3,1c168292f1452eaed7fed7029f16c4b18a386ce6b422f8a4ec9c47137b4dd597,4.657159550115466,69.833984375,794.41015625
TONSIL_S1_K4,RNA_PROTEIN,ANCHOR_WITHOUT_GRADIENT,FAMILY_BASE_V1,0,0,4326,4326,4,0.1808651622066981,0.24980173884796517,0.24915450388973695,0.4591811307884341,790,"[900, 1426, 1210, 790]",72fe8e0e942eadf0dc50311e7ca38d7a347725dd2039b9562f7ae12b3afdf3d8,5bf38d973d99f1e71e0c70d886d183bf3274588bda20a64a045ea88acab9eff8,4.388213703408837,59.345703125,799.82421875
TONSIL_S1_K4,RNA_PROTEIN,ANCHOR_WITHOUT_HIERARCHICAL_FUSION,FAMILY_BASE_V1,0,0,4326,4326,4,0.1368176067447456,0.1849516278998064,0.18423900739040242,0.4342274793613463,504,"[1145, 1308, 504, 1369]",2a1c41bd13b4d0f625e4b814d76382f8ce5f98485e4d5256e7d6ee78f17f7fa4,8676169bf97fded0c7d614eccfed37d98bb41be25aacdb010e41286b5a7e4ced,4.048323096707463,58.95458984375,799.640625
TONSIL_S1_K4,RNA_PROTEIN,FULL_COMPOSITION,FAMILY_BASE_V1,0,0,4326,4326,4,0.13882237493530175,0.18919467219209277,0.18848625276360628,0.43522153268420105,508,"[508, 1328, 1162, 1328]",67ebbed41d42eaac79e59ce348ab78b2f1275c5908253cc1cf306d4a48a499f3,b8924cc1d49ed8fd14fb37620775ccb94bdf5c55c4be85781f73011a7746a6a9,4.316800834611058,72.01953125,815.0078125
P22_K9,RNA_CHROMATIN,CARRIER_ONLY,FAMILY_BASE_V1,0,0,9196,9196,9,0.47081719863848254,0.5998769987547389,0.5991975444063622,0.5476988261531563,731,"[779, 2202, 768, 925, 1025, 1107, 896, 763, 731]",0c4cfaf9da79ab970be62747502610016d1c51aab929b192c498544f7a95a6bd,1a05f88e859762349425dd9b08481b8cfc135628969566aa27be69dec201d1cb,2.0495769679546356,0.0,429.875
P22_K9,RNA_CHROMATIN,LOWPASS_CARRIER_CONTROL,FAMILY_BASE_V1,0,0,9196,9196,9,0.4809399105218947,0.6103778279429019,0.609715998928191,0.5564769583192234,740,"[1083, 770, 1029, 791, 740, 2221, 747, 912, 903]",a2c63c399c48acc70dc44d9d3bf22c49889cd50ff1d6ede5d8db963017bba837,b537d0df3f32b57c3f8a032e376dad27fdfc8a2a7ea8e72a833930677e9d9175,2.4369235299527645,0.0,433.6640625
P22_K9,RNA_CHROMATIN,MEAN_ONLY_ANCHORED,FAMILY_BASE_V1,0,0,9196,9196,9,0.4650211843785294,0.6003320181132253,0.5996542091414846,0.5424368907950031,650,"[713, 2124, 916, 650, 881, 1076, 918, 1088, 830]",e3dab753d43b1d77039ae12023f0485294629847f5c40a41e90c8b5add5a1218,a1085e48ffc69882f1a2f9504a1c69a26128d41bf84a48aca92cde242cc6553a,11.068486884236336,181.51904296875,828.625
