candidate_id,lane,family,arm,config_id,training_seed,endpoint_seed,steps,ari,nmi,ami,fmi,n_total,n_eval,k,min_cluster_size,cluster_sizes,neighbor_agreement,moran_indicator_macro,geary_indicator_macro,partition_sha256,representation_sha256,artifact_sha256,checkpoint_sha256,parameter_changed,optimizer_steps,wall_seconds,peak_rss_mb,loss_relative_change_last_windows,labels_read_by_producer,labels_read_by_evaluator
A1_K10__B0_BACKBONE_ONLY__P0_COMMON_V1_S0,A1_K10,RNA_PROTEIN,B0_BACKBONE_ONLY,P0_COMMON_V1,0,0,300,0.17698625738564908,0.3223748846398467,0.3179195388434632,0.33749348980106547,3484,3484,10,33,"[33, 184, 70, 205, 657, 599, 470, 888, 126, 252]",0.638006494423267,0.548545673469178,0.4646546018731267,46aed31e145020f320414b8811bd9be084e2a3cb40bc67e6a8b9eeaff61ccacd,e338e2011ab2d4cc18227c9aa86a704cecdb51205516ef324a164169bbf42bb8,d1a7abfba0b94db39ad8a792a70506dc60d58d41d4d44cb4e3f03aa93313925e,e663210f61320ccf12250352a4c60338ad5ea639741b4c85f2f8df4ffac43e09,True,300,5.0391809940338135,909.26953125,-0.2726164667945998,0,1
A1_K10__B0_BACKBONE_ONLY__STABLE700_V1_S0,A1_K10,RNA_PROTEIN,B0_BACKBONE_ONLY,STABLE700_V1,0,0,700,0.18017530504933457,0.330330330180586,0.32592387000550915,0.3391569464503376,3484,3484,10,60,"[847, 60, 142, 421, 691, 60, 164, 267, 207, 625]",0.6470422137512354,0.5778263775583877,0.4356010463658005,6d293d43bcf4c00afc3c2417c4494f5a2c50746cd690b96313ae7dcb8b8dcf94,da9f69ce09b4282ce19d5d5e24ea764273289ebaae3e1a3dd3fa59f2ffb6a903,36b91b9c9c64c96fccc77165a39fc7dbc5f6cc8e9f03c5cf617f04ca2fe5c841,f4ec1720b88a8b928c17cff7592bf9d7bc870cf698ccac8e6d14ca8e8d9d1fe7,True,700,9.604769229888916,930.04296875,-0.04688274919484901,0,1
A1_K10__B1_BACKBONE_POINTWISE_ANCHOR__P0_COMMON_V1_S0,A1_K10,RNA_PROTEIN,B1_BACKBONE_POINTWISE_ANCHOR,P0_COMMON_V1,0,0,300,0.1829603651058784,0.32713844619611404,0.32271604059965686,0.34268883896306246,3484,3484,10,30,"[127, 897, 179, 451, 30, 209, 603, 658, 70, 260]",0.6347592827897783,0.5482457477852604,0.46602303184700417,ed52b81bf42a4d91bc5937eb7845c81e022453f1ec850ab32627ac949b1ace23,fb7e2b3ffc6e5168d7cbb485f06d7186ca18067b2bc3c66626003e5f1ae97aae,a44db768076098b578f2a5e27d391f99d8a316680d50702dac5540a76c328097,0fc2774ad86d9c5f32b76dbc67f22dc91407edbb12d540ebadffd7f31c83c7b0,True,300,5.214650630950928,913.16015625,-0.27088396257884123,0,1
A1_K10__B1_BACKBONE_POINTWISE_ANCHOR__STABLE700_V1_S0,A1_K10,RNA_PROTEIN,B1_BACKBONE_POINTWISE_ANCHOR,STABLE700_V1,0,0,700,0.17803017308770244,0.32709582898592215,0.32266723727468,0.3376126590169419,3484,3484,10,54,"[54, 280, 628, 846, 55, 436, 685, 155, 151, 194]",0.6456303826062403,0.5605022950252491,0.45400489077135003,70cc3cc7dcdaa8456127610fb2de237aec0d67703d4443a43abe10795f000e4e,b7967b9197ca8efa772d995d03fc9874eb194830f138e75b6c868cd78ddaa506,f2129661f1d924f5dc083939707ee800c97710d8310432a3e2a1b114064ac362,b03bb1bd076364b75b5e579441c218693714bc364e960aebb5cfb055beca0097,True,700,9.807708501815796,928.23828125,-0.044767942544939786,0,1
A1_K10__B2_POSITIVE_RELATION_ONLY__P0_COMMON_V1_S0,A1_K10,RNA_PROTEIN,B2_POSITIVE_RELATION_ONLY,P0_COMMON_V1,0,0,300,0.20294448476436325,0.3459720464974051,0.3416206877111439,0.36256892023578363,3484,3484,10,46,"[53, 672, 46, 144, 355, 202, 898, 147, 216, 751]",0.6950444726810674,0.6227380996255925,0.3921934047177754,bafb285609514cbd8ffe2433b1ae75a792288050bf2aff5949abd824a2b7b863,7cebf5375e18a5b0141879aedeb1a00227c4518b2d7c026efd63eb37c2831805,a315c0905f853e7528b00852f0af1cbb6809266b50af0f0932c70f6928f7c262,8552f1603ce5b8a4746a2f4a857697f4a7c1bed6fcc8fdc0066bca3825095920,True,300,5.184736967086792,929.76953125,-0.28529509804554914,0,1
A1_K10__B2_POSITIVE_RELATION_ONLY__STABLE700_V1_S0,A1_K10,RNA_PROTEIN,B2_POSITIVE_RELATION_ONLY,STABLE700_V1,0,0,700,0.18265656277116382,0.34789342513780636,0.34352260846012017,0.34874233154296896,3484,3484,10,51,"[182, 105, 184, 290, 725, 51, 687, 154, 981, 125]",0.710574615276013,0.6271733363576625,0.38965428707314165,d115cad5de5e08259d6ae34a0c012bf24586c22dacec75bbd72820791ad644cd,6da10eb514adaa63aa6075e37de6ae20ea15d7798d1c9ee8ea9f9063ab33a657,e205e99760bae0d6969dd78a77bf19a496a57329fa3fa161e0f2385612f01684,7bc0034a5231a07b55b1414672ad34fe959593a2488c944e72dd825244156cb8,True,700,10.78860592842102,939.2578125,-0.04353811651462187,0,1
A1_K10__B3_BOUNDARY_RELATION_ONLY__P0_COMMON_V1_S0,A1_K10,RNA_PROTEIN,B3_BOUNDARY_RELATION_ONLY,P0_COMMON_V1,0,0,300,0.21937252525818354,0.3413209748812542,0.3368020902296196,0.38895223108648225,3484,3484,10,43,"[664, 156, 127, 690, 195, 255, 106, 1196, 43, 52]",0.6511365240717211,0.5660431510831107,0.4520953179096884,e1db3195f84c53ac2c429b2ea8f1591481a572f993164db666ddf221e22f8c1b,6c0af8e7cb0d758fdc19d63ba9f2b56c9cd65ccd24260e98d8346a5d34b509f7,19cedcd73cd9b5cf3c3cb62c65e50fa1868c94b8343e70efdbda19829393d61c,b762b4862b2883c20b48e3d77683c18c01bba311ef0516a915cb753bf993e2e6,True,300,5.321676969528198,917.29296875,-0.2675404428839795,0,1
A1_K10__B3_BOUNDARY_RELATION_ONLY__STABLE700_V1_S0,A1_K10,RNA_PROTEIN,B3_BOUNDARY_RELATION_ONLY,STABLE700_V1,0,0,700,0.18713402156106437,0.3341302280327503,0.3297463193869274,0.34535764112060197,3484,3484,10,60,"[565, 60, 916, 252, 159, 669, 424, 129, 117, 193]",0.6306649724692927,0.5565907141509335,0.4569395269394437,61f3ebb92abba12123533bc802dd45bc598241ba407f2b82071f43ea5fab1424,a2001ccf08eff5a4233b017d715965bd7343e2677367106d80226eab984a61ed,750f6091b4c99fab8b6ecbb50f0f846cbac36571386ed74daa8547c693769f61,ba10d23be48934ade5b0376fb2900034952bfe2c9ed20d528e69c868906d9f3f,True,700,9.534131050109863,916.33203125,-0.048437981212853615,0,1
A1_K10__FULL_SIGNED_RELATIONAL_DISTILLATION__P0_COMMON_V1_S0,A1_K10,RNA_PROTEIN,FULL_SIGNED_RELATIONAL_DISTILLATION,P0_COMMON_V1,0,0,300,0.25008078045017157,0.3639653147487846,0.35970719025659004,0.4046515812950308,3484,3484,10,35,"[199, 374, 143, 202, 35, 618, 602, 68, 144, 1099]",0.6395595086827616,0.5852019700192231,0.4298917935249132,3c88a68817b449ef68221351949fabaeb4f4258a36245677b22db4fadd2816ee,f5bd872a6b67c88015a6cd3fb36d9bce3cd11bcc595c9b0892b2693a0398886b,430affb08f50920b8eed4cd8b6765475c99acb614acf2ff20ccd541d39e5d214,bce223a88d39ecdae0ac68b0ee15731d509596078bc42bf882d0bcf810948748,True,300,5.870915412902832,919.03125,-0.27628998983918457,0,1
A1_K10__FULL_SIGNED_RELATIONAL_DISTILLATION__REV1_POSDOM_S0,A1_K10,RNA_PROTEIN,FULL_SIGNED_RELATIONAL_DISTILLATION,REV1_POSDOM,0,0,700,0.2307780381056034,0.39193331028812234,0.3878572761163006,0.38708533024818337,3484,3484,10,105,"[110, 124, 730, 105, 187, 164, 630, 327, 107, 1000]",0.67711421713963,0.5981131487239983,0.4171309783245703,de19e76495b82087adee03813d021ce58af4b8041a5f40a9473cef9dbc134d30,d10d83df9f7a8a0544949690dedf62200febb12b6f8f33d7fe3e65eea83dd12d,e54d431704233b8149662386efbbd54a633ed75b360fec62d9936fac254993ca,9320c99fe42d90700b91c5c66cb6224ec2f21921f506648085201011c72a576b,True,700,11.240501880645752,950.546875,-0.039316237211028685,0,1
