candidate_id,ids_exact,partition_exact,partition_sha256,representation_close,representation_max_abs,schema
A1_K10__B0_BACKBONE_ONLY__STABLE700_V1_S0,True,True,6d293d43bcf4c00afc3c2417c4494f5a2c50746cd690b96313ae7dcb8b8dcf94,True,4.76837158203125e-06,night21b-fresh-replay-v1
A1_K10__B1_BACKBONE_POINTWISE_ANCHOR__STABLE700_V1_S0,True,True,70cc3cc7dcdaa8456127610fb2de237aec0d67703d4443a43abe10795f000e4e,True,3.814697265625e-06,night21b-fresh-replay-v1
A1_K10__B2_POSITIVE_RELATION_ONLY__STABLE700_V1_S0,True,True,d115cad5de5e08259d6ae34a0c012bf24586c22dacec75bbd72820791ad644cd,True,5.7220458984375e-06,night21b-fresh-replay-v1
A1_K10__B3_BOUNDARY_RELATION_ONLY__STABLE700_V1_S0,True,True,61f3ebb92abba12123533bc802dd45bc598241ba407f2b82071f43ea5fab1424,True,3.814697265625e-06,night21b-fresh-replay-v1
A1_K10__FULL_SIGNED_RELATIONAL_DISTILLATION__STABLE700_V1_S0,True,True,5f93718384e501b404a8c92cceb83c0794df8a5f7cacce483fa0e28906ee138f,True,7.62939453125e-06,night21b-fresh-replay-v1
A1_K10__T0_STRONG_CARRIER__STABLE700_V1_S0,True,True,48ef4fb52e815f15015438684259dd8b38118d29f875997dfc8b68e157f0a6d0,True,0.0,night21b-fresh-replay-v1
P22_K9__B0_BACKBONE_ONLY__STABLE700_V1_S0,True,True,4ed6ee6ac989bd77194b0847582780731d0401f40d06350b1026438e7fc34889,True,1.9073486328125e-06,night21b-fresh-replay-v1
P22_K9__B1_BACKBONE_POINTWISE_ANCHOR__STABLE700_V1_S0,True,True,974a3b2d1a5b117f6b9fec16e2671d22cb22112a4a4153c00915ed5e8aa878e2,True,1.9073486328125e-06,night21b-fresh-replay-v1
P22_K9__B2_POSITIVE_RELATION_ONLY__STABLE700_V1_S0,True,True,5b450a3033dca5006d9a2bd6067229c3f7f95a641edea8a7ae7d860a05130674,True,2.86102294921875e-06,night21b-fresh-replay-v1
P22_K9__B3_BOUNDARY_RELATION_ONLY__STABLE700_V1_S0,True,True,48ba9a4c6e1acb83b27bf5b7b05b5b424c3b075dcb3a873b6ae90d3b5b604bfe,True,1.9073486328125e-06,night21b-fresh-replay-v1
P22_K9__FULL_SIGNED_RELATIONAL_DISTILLATION__STABLE700_V1_S0,True,True,4eddd98ffc6809c7fcdaad967a16acc39f60639947562ab42588b02847f32e0c,True,2.86102294921875e-06,night21b-fresh-replay-v1
P22_K9__T0_STRONG_CARRIER__STABLE700_V1_S0,True,True,4d03da02d9111fb53b9b56e94ba45dfc242668ed45c8f6e0c0e313c4ce49b062,True,0.0,night21b-fresh-replay-v1
PLACENTA_K10__B0_BACKBONE_ONLY__STABLE700_V1_S0,True,True,6c9203d684872261c2a7f24f87b350a14d981bd160fa6d1b38c32a0b74b237ff,True,2.86102294921875e-06,night21b-fresh-replay-v1
PLACENTA_K10__B1_BACKBONE_POINTWISE_ANCHOR__STABLE700_V1_S0,True,True,b0f3d34ba74ff613c4ce6a7c9c6d52eef44a865f8aca376b65af44909bd6c2e7,True,2.1457672119140625e-06,night21b-fresh-replay-v1
PLACENTA_K10__B2_POSITIVE_RELATION_ONLY__STABLE700_V1_S0,True,True,681f190913f84c0e25c203a871737f45248de2704d29f64383a291af4b932f72,True,3.337860107421875e-06,night21b-fresh-replay-v1
PLACENTA_K10__B3_BOUNDARY_RELATION_ONLY__STABLE700_V1_S0,True,True,197ad7ab92e04adc6bd589b71c0418c6474b9d736f5b950f1d55920308ce392a,True,2.384185791015625e-06,night21b-fresh-replay-v1
PLACENTA_K10__FULL_SIGNED_RELATIONAL_DISTILLATION__STABLE700_V1_S0,True,True,c489ab1b514e326a7a82b3cc9cd96df8fd2d4a906b8d33d1c1d5b188d9afd163,True,2.86102294921875e-06,night21b-fresh-replay-v1
PLACENTA_K10__T0_STRONG_CARRIER__STABLE700_V1_S0,True,True,5c355a8be0c5307d59d9c2becb94bc86a57315bb3308f3b982f613f1fe5de199,True,0.0,night21b-fresh-replay-v1
TONSIL_S1_K4__B0_BACKBONE_ONLY__STABLE700_V1_S0,True,True,aff33f6b9905a5d29bf197318bffd2d457cc04a59315a0bd355e2e8c04aedfae,True,4.76837158203125e-06,night21b-fresh-replay-v1
TONSIL_S1_K4__B1_BACKBONE_POINTWISE_ANCHOR__STABLE700_V1_S0,True,True,3f35e625a18f245800dcb19c26f8b2298634328621675dca8ba0a2fed9866a06,True,2.86102294921875e-06,night21b-fresh-replay-v1
TONSIL_S1_K4__B2_POSITIVE_RELATION_ONLY__STABLE700_V1_S0,True,True,68b74a0852647b1201917054fa34303b5fcc2c6e781f88a91be5eff3cb0394e1,True,2.86102294921875e-06,night21b-fresh-replay-v1
TONSIL_S1_K4__B3_BOUNDARY_RELATION_ONLY__STABLE700_V1_S0,True,True,6a7e327ffe48232590af503e607e2d4e1009401028ac49d0185e0845a1f5e74f,True,2.86102294921875e-06,night21b-fresh-replay-v1
TONSIL_S1_K4__FULL_SIGNED_RELATIONAL_DISTILLATION__STABLE700_V1_S0,True,True,be7e42e014977b9c141700aeebaa9b1ae3e57896a136e05df0e2ec164eea8e74,True,3.814697265625e-06,night21b-fresh-replay-v1
TONSIL_S1_K4__T0_STRONG_CARRIER__STABLE700_V1_S0,True,True,67ed9ef1d60c17472634149135d3ee6147d117318364903dcc8b3bc6b4c1e4e4,True,0.0,night21b-fresh-replay-v1
