candidate_id,lane,family,arm,config_id,training_seed,endpoint_seed,steps,ari,nmi,ami,fmi,n_total,n_eval,k,min_cluster_size,cluster_sizes,neighbor_agreement,moran_indicator_macro,geary_indicator_macro,partition_sha256,representation_sha256,artifact_sha256,checkpoint_sha256,parameter_changed,optimizer_steps,wall_seconds,peak_rss_mb,loss_relative_change_last_windows,labels_read_by_producer,labels_read_by_evaluator,strict_independent_dual_gain,delta_vs_t0_ari,delta_vs_t0_nmi,delta_vs_b0_ari,delta_vs_b0_nmi
A1_K10__B0_BACKBONE_ONLY__STABLE700_V1_S0,A1_K10,RNA_PROTEIN,B0_BACKBONE_ONLY,STABLE700_V1,0,0,700,0.18017530504933457,0.330330330180586,0.32592387000550915,0.3391569464503376,3484,3484,10,60,"[847, 60, 142, 421, 691, 60, 164, 267, 207, 625]",0.6470422137512354,0.5778263775583877,0.4356010463658005,6d293d43bcf4c00afc3c2417c4494f5a2c50746cd690b96313ae7dcb8b8dcf94,da9f69ce09b4282ce19d5d5e24ea764273289ebaae3e1a3dd3fa59f2ffb6a903,36b91b9c9c64c96fccc77165a39fc7dbc5f6cc8e9f03c5cf617f04ca2fe5c841,f4ec1720b88a8b928c17cff7592bf9d7bc870cf698ccac8e6d14ca8e8d9d1fe7,True,700,9.604769229888916,930.04296875,-0.04688274919484901,0,1,False,0.012931822166406204,-0.0008029345521836095,0.059536602137882866,0.05437828112957949
A1_K10__B1_BACKBONE_POINTWISE_ANCHOR__STABLE700_V1_S0,A1_K10,RNA_PROTEIN,B1_BACKBONE_POINTWISE_ANCHOR,STABLE700_V1,0,0,700,0.17803017308770244,0.32709582898592215,0.32266723727468,0.3376126590169419,3484,3484,10,54,"[54, 280, 628, 846, 55, 436, 685, 155, 151, 194]",0.6456303826062403,0.5605022950252491,0.45400489077135003,70cc3cc7dcdaa8456127610fb2de237aec0d67703d4443a43abe10795f000e4e,b7967b9197ca8efa772d995d03fc9874eb194830f138e75b6c868cd78ddaa506,f2129661f1d924f5dc083939707ee800c97710d8310432a3e2a1b114064ac362,b03bb1bd076364b75b5e579441c218693714bc364e960aebb5cfb055beca0097,True,700,9.807708501815796,928.23828125,-0.044767942544939786,0,1,False,0.012931822166406204,-0.0008029345521836095,0.059536602137882866,0.05437828112957949
A1_K10__B2_POSITIVE_RELATION_ONLY__STABLE700_V1_S0,A1_K10,RNA_PROTEIN,B2_POSITIVE_RELATION_ONLY,STABLE700_V1,0,0,700,0.18265656277116382,0.34789342513780636,0.34352260846012017,0.34874233154296896,3484,3484,10,51,"[182, 105, 184, 290, 725, 51, 687, 154, 981, 125]",0.710574615276013,0.6271733363576625,0.38965428707314165,d115cad5de5e08259d6ae34a0c012bf24586c22dacec75bbd72820791ad644cd,6da10eb514adaa63aa6075e37de6ae20ea15d7798d1c9ee8ea9f9063ab33a657,e205e99760bae0d6969dd78a77bf19a496a57329fa3fa161e0f2385612f01684,7bc0034a5231a07b55b1414672ad34fe959593a2488c944e72dd825244156cb8,True,700,10.78860592842102,939.2578125,-0.04353811651462187,0,1,False,0.012931822166406204,-0.0008029345521836095,0.059536602137882866,0.05437828112957949
A1_K10__B3_BOUNDARY_RELATION_ONLY__STABLE700_V1_S0,A1_K10,RNA_PROTEIN,B3_BOUNDARY_RELATION_ONLY,STABLE700_V1,0,0,700,0.18713402156106437,0.3341302280327503,0.3297463193869274,0.34535764112060197,3484,3484,10,60,"[565, 60, 916, 252, 159, 669, 424, 129, 117, 193]",0.6306649724692927,0.5565907141509335,0.4569395269394437,61f3ebb92abba12123533bc802dd45bc598241ba407f2b82071f43ea5fab1424,a2001ccf08eff5a4233b017d715965bd7343e2677367106d80226eab984a61ed,750f6091b4c99fab8b6ecbb50f0f846cbac36571386ed74daa8547c693769f61,ba10d23be48934ade5b0376fb2900034952bfe2c9ed20d528e69c868906d9f3f,True,700,9.534131050109863,916.33203125,-0.048437981212853615,0,1,False,0.012931822166406204,-0.0008029345521836095,0.059536602137882866,0.05437828112957949
A1_K10__FULL_SIGNED_RELATIONAL_DISTILLATION__STABLE700_V1_S0,A1_K10,RNA_PROTEIN,FULL_SIGNED_RELATIONAL_DISTILLATION,STABLE700_V1,0,0,700,0.23971190718721744,0.3847086113101655,0.3805859813114314,0.3940790240390053,3484,3484,10,59,"[787, 94, 922, 190, 294, 682, 59, 138, 129, 189]",0.6484540448962304,0.5811933716436054,0.4352089575961212,5f93718384e501b404a8c92cceb83c0794df8a5f7cacce483fa0e28906ee138f,9cdd04fde4ba93ebe314c4261822dbbaa51f715da2e9e64cb40ae0d5f506314b,7c3f3580a1c26ad86942dfdc36f5ee3b3ae70728982c183e05057acc58dc9c5a,dfb770ea0f82c4f09b62a23d1d26ecf584088cb298d1df617e09a3830f7b7b33,True,700,10.062950849533081,923.4296875,-0.042631613221264485,0,1,False,0.012931822166406204,-0.0008029345521836095,0.059536602137882866,0.05437828112957949
A1_K10__T0_STRONG_CARRIER__STABLE700_V1_S0,A1_K10,RNA_PROTEIN,T0_STRONG_CARRIER,STABLE700_V1,0,0,700,0.22678008502081123,0.3855115458623491,0.3816864046533749,0.3645188872570268,3484,3484,10,171,"[316, 377, 332, 534, 233, 457, 226, 171, 349, 489]",0.5610616970210363,0.5298844776731803,0.475367286760461,48ef4fb52e815f15015438684259dd8b38118d29f875997dfc8b68e157f0a6d0,afc3332077a04b60124742b20e20f312cd25e9d471248907ff19db4cb0574f25,633391367a4eb48338a8e3574ec4a2f756066dcbc5136eb9e59ef2baa798d014,,False,0,0.6718652248382568,411.11328125,,0,1,False,0.012931822166406204,-0.0008029345521836095,0.059536602137882866,0.05437828112957949
P22_K9__B0_BACKBONE_ONLY__STABLE700_V1_S0,P22_K9,RNA_CHROMATIN,B0_BACKBONE_ONLY,STABLE700_V1,0,0,700,0.3398743560861741,0.47285780731942817,0.47189625276963326,0.4497051817476591,9196,9196,9,47,"[2421, 153, 977, 1268, 596, 2205, 522, 47, 1007]",0.7137860525182953,0.6643785854418369,0.3336987644103035,4ed6ee6ac989bd77194b0847582780731d0401f40d06350b1026438e7fc34889,70340a123d4e17b6ca3972ab7f875d60a91ffa1cad2ac21de62711e0abfd27be,0b926183df7eddec9c0f88d7a0ebe56aaf6956b010bdfec93c93cd2ffe2197d2,b803798869051a5d7753cd156c3f6beb7cf4c16a908ce7f9c29926d2787dee29,True,700,11.690515518188477,1000.84765625,-0.049974656809337104,0,1,False,-0.20253713589837952,-0.17348690981918036,-0.07132318798919585,-0.04585565620756549
P22_K9__B1_BACKBONE_POINTWISE_ANCHOR__STABLE700_V1_S0,P22_K9,RNA_CHROMATIN,B1_BACKBONE_POINTWISE_ANCHOR,STABLE700_V1,0,0,700,0.3556742098611865,0.48989011289817136,0.4889614532196964,0.4620086784425096,9196,9196,9,47,"[976, 430, 2370, 884, 927, 47, 1202, 152, 2208]",0.7188441670253982,0.6703929814309963,0.327619054705804,974a3b2d1a5b117f6b9fec16e2671d22cb22112a4a4153c00915ed5e8aa878e2,c79885ecb3f28595a7b8af3f2c8eaff2d36dd7abec4c79b516697e857a301266,6937e9241eaa8911a6d2fad6bd103fa8d4955ed9aeb7624aa3978975928d21ed,7c723e5b9421b773b98b4c8d802bab3d1f4224d65a74dcb3d163bc97f51f0e77,True,700,11.578628778457642,978.953125,-0.04779208799780033,0,1,False,-0.20253713589837952,-0.17348690981918036,-0.07132318798919585,-0.04585565620756549
P22_K9__B2_POSITIVE_RELATION_ONLY__STABLE700_V1_S0,P22_K9,RNA_CHROMATIN,B2_POSITIVE_RELATION_ONLY,STABLE700_V1,0,0,700,0.3291428193410522,0.4795056232923446,0.4785703802640873,0.4399447662398651,9196,9196,9,132,"[718, 132, 620, 245, 1990, 910, 587, 1409, 2585]",0.7423590185105468,0.6949590826973345,0.30323311123719077,5b450a3033dca5006d9a2bd6067229c3f7f95a641edea8a7ae7d860a05130674,e093cfd7f572019cc4b6576e874ecbf70e09edf5d5712cdbf9950dd6c0f6e843,53aea104f27d8de8a90ccd52199f03885b559ae85ae34bbf4c5e9f0f58080831,3a76efbfb58bb1642fc26e336b202bc7cf26bb3d677e92ce24bd93f2b2a83983,True,700,12.092160701751709,981.640625,-0.04641938863597932,0,1,False,-0.20253713589837952,-0.17348690981918036,-0.07132318798919585,-0.04585565620756549
P22_K9__B3_BOUNDARY_RELATION_ONLY__STABLE700_V1_S0,P22_K9,RNA_CHROMATIN,B3_BOUNDARY_RELATION_ONLY,STABLE700_V1,0,0,700,0.32462111861123455,0.46673864249748565,0.4657659975030466,0.43640275971545966,9196,9196,9,45,"[45, 1303, 555, 136, 1043, 940, 610, 2437, 2127]",0.7047998278088679,0.6734633061172475,0.3245090567199207,48ba9a4c6e1acb83b27bf5b7b05b5b424c3b075dcb3a873b6ae90d3b5b604bfe,13c0ab22fa7105ff360b4b0fb0d3297c2145a0a077ce25b7ea0d9481b575e862,d583791b9ab7b020e276b3e9efdfed85cc5ef23ae9e1c1bf2756708b275ac0c5,c59387ad550bed77ccfd3dfab10d40417bc950105e687808c041e29849dfa706,True,700,11.22015380859375,1014.94921875,-0.05489818440339108,0,1,False,-0.20253713589837952,-0.17348690981918036,-0.07132318798919585,-0.04585565620756549
