lane,representation_source,endpoint,ari,nmi,ami,fmi,min_cluster_size_full,cluster_sizes_full
A1_K10,NIGHT21B_SPARSE_PORT_STABLE700,COMMON_KMEANS_N20_S0,0.18017530504933457,0.330330330180586,0.32592387000550915,0.3391569464503376,60,60|60|142|164|207|267|421|625|691|847
A1_K10,OFFICIAL_CONFIG_DEFAULT_700__OFFICIAL_FULL,COMMON_KMEANS_N20_S0,0.1766658396738246,0.3300817104050987,0.32567795013252354,0.33625832895716773,49,49|99|120|169|214|265|443|582|640|903
A1_K10,RETAINED_CARRIER,COMMON_KMEANS_N20_S0,0.22678008502081123,0.3855115458623491,0.3816864046533749,0.3645188872570268,171,171|226|233|316|332|349|377|457|489|534
A1_K10,S1_NOTEBOOK_ANALOG_300__OFFICIAL_AE_ONLY,COMMON_KMEANS_N20_S0,0.14804777065938496,0.25994964091055117,0.2550179414582686,0.3194184670913,37,37|54|130|160|215|249|265|710|761|903
A1_K10,S1_NOTEBOOK_ANALOG_300__OFFICIAL_FULL,COMMON_KMEANS_N20_S0,0.16187049982387278,0.3192456887588289,0.31481783445342976,0.3190652158807574,55,55|69|130|191|263|272|542|635|649|678
A1_K10,S1_NOTEBOOK_ANALOG_300__OFFICIAL_GRAPH_ONLY,COMMON_KMEANS_N20_S0,0.17376455780085795,0.3383027496515696,0.33408061848043996,0.3227912523749532,72,72|121|148|287|318|340|465|475|593|665
TONSIL_S1_K4,NIGHT21B_SPARSE_PORT_STABLE700,COMMON_KMEANS_N20_S0,0.10342396895655544,0.20558424007021625,0.20475876786174763,0.5068279322750439,160,160|402|963|2801
TONSIL_S1_K4,OFFICIAL_CONFIG_DEFAULT_700__OFFICIAL_FULL,COMMON_KMEANS_N20_S0,0.09095758529986575,0.19831349829389058,0.19745777091681435,0.5078951357007162,149,149|259|1081|2837
TONSIL_S1_K4,RETAINED_CARRIER,COMMON_KMEANS_N20_S0,0.13774369148711335,0.21370642331649065,0.21299993106025877,0.44589576825393473,298,298|1103|1453|1472
TONSIL_S1_K4,S1_NOTEBOOK_EXACT_300__OFFICIAL_AE_ONLY,COMMON_KMEANS_N20_S0,0.0283044532222213,0.13227878127074427,0.1314438274284957,0.41108834637424285,124,124|923|1078|2201
TONSIL_S1_K4,S1_NOTEBOOK_EXACT_300__OFFICIAL_FULL,COMMON_KMEANS_N20_S0,0.03881551022570148,0.13733281654921256,0.13652074830227498,0.40906997237577347,186,186|1006|1014|2120
TONSIL_S1_K4,S1_NOTEBOOK_EXACT_300__OFFICIAL_GRAPH_ONLY,COMMON_KMEANS_N20_S0,0.05001134060666773,0.12338032823117227,0.1226041624880218,0.38534275781738914,552,552|781|1272|1721
P22_K9,MOUSE_E15_NOTEBOOK_ANALOG_400__OFFICIAL_AE_ONLY,COMMON_KMEANS_N20_S0,0.1421709659530943,0.2530959750584752,0.25178319233688884,0.2749728022714503,298,298|316|355|799|822|1112|1464|1982|2048
P22_K9,MOUSE_E15_NOTEBOOK_ANALOG_400__OFFICIAL_FULL,COMMON_KMEANS_N20_S0,0.43054102544642825,0.5685419959414669,0.5677940905750799,0.5157324082268017,194,194|692|702|710|814|1101|1128|1708|2147
P22_K9,MOUSE_E15_NOTEBOOK_ANALOG_400__OFFICIAL_GRAPH_ONLY,COMMON_KMEANS_N20_S0,0.4453776239496849,0.5981264667413898,0.5974237872358232,0.530909840576911,205,205|593|621|697|747|990|1149|1860|2334
P22_K9,NIGHT21B_SPARSE_PORT_STABLE700,COMMON_KMEANS_N20_S0,0.3398743560861741,0.47285780731942817,0.47189625276963326,0.4497051817476591,47,47|153|522|596|977|1007|1268|2205|2421
P22_K9,OFFICIAL_CONFIG_DEFAULT_700__OFFICIAL_FULL,COMMON_KMEANS_N20_S0,0.3831638649579655,0.5323730346501271,0.5315497815000911,0.4793200305631786,170,170|545|571|616|620|1065|1608|1709|2292
P22_K9,OFFICIAL_CONFIG_DEFAULT_700__OFFICIAL_FULL__S1,COMMON_KMEANS_N20_S0,0.4326259468653201,0.5652608477573491,0.5645042956605018,0.5180229441458473,170,170|603|630|651|913|1220|1233|1588|2188
P22_K9,OFFICIAL_CONFIG_DEFAULT_700__OFFICIAL_FULL__S2,COMMON_KMEANS_N20_S0,0.3679041590369496,0.5233382356079874,0.5224650364762619,0.4758966691004331,50,50|169|601|620|623|918|1631|1845|2739
P22_K9,RETAINED_CARRIER,COMMON_KMEANS_N20_S0,0.4710883039953578,0.600489060931043,0.5998100414330684,0.5481018094241809,707,707|726|767|836|919|968|969|1059|2245
PLACENTA_K10,MOUSE_E15_NOTEBOOK_ANALOG_400__OFFICIAL_AE_ONLY,COMMON_KMEANS_N20_S0,0.30589880863146357,0.5325272994938397,0.5265390034161864,0.4154845407758848,59,59|99|100|121|126|163|213|235|264|282
PLACENTA_K10,MOUSE_E15_NOTEBOOK_ANALOG_400__OFFICIAL_FULL,COMMON_KMEANS_N20_S0,0.09631526242022184,0.20973606415132118,0.19962186506037052,0.23130823044031168,43,43|49|133|145|163|196|209|236|243|245
PLACENTA_K10,MOUSE_E15_NOTEBOOK_ANALOG_400__OFFICIAL_GRAPH_ONLY,COMMON_KMEANS_N20_S0,0.028152010817273667,0.09465003523524305,0.08289910318961595,0.17711978364473627,52,52|57|92|100|150|151|224|257|281|298
PLACENTA_K10,NIGHT21B_SPARSE_PORT_STABLE700,COMMON_KMEANS_N20_S0,0.3321601683008269,0.5481386777273198,0.5421843492020322,0.44207906887978965,52,52|62|87|102|103|109|236|262|269|380
