lane,representation_source,common_kmeans_ari,common_kmeans_nmi,max_ari_head,max_ari,nmi_at_max_ari,max_nmi_head,ari_at_max_nmi,max_nmi,endpoint_gap_ari,endpoint_gap_nmi_at_max_ari,historical_frontier_ari,historical_frontier_nmi,frontier_gap_ari,frontier_gap_nmi_at_max_ari
A1_K10,NIGHT21B_SPARSE_PORT_STABLE700,0.18017530504933457,0.330330330180586,GMM_FULL_N3_S0,0.21159192098591517,0.34842419760563464,GMM_FULL_N3_S0,0.21159192098591517,0.34842419760563464,0.0314166159365806,0.01809386742504865,0.276171767,0.421937362,-0.06457984601408484,-0.07351316439436534
A1_K10,OFFICIAL_CONFIG_DEFAULT_700__OFFICIAL_FULL,0.1766658396738246,0.3300817104050987,GMM_FULL_N3_S0,0.2111032965191964,0.36959580937694114,GMM_FULL_N3_S0,0.2111032965191964,0.36959580937694114,0.034437456845371806,0.03951409897184244,0.276171767,0.421937362,-0.06506847048080361,-0.05234155262305884
A1_K10,RETAINED_CARRIER,0.22678008502081123,0.3855115458623491,HISTORICAL_CONCAT_KNN_S02,0.24590698341474035,0.37042303737250526,GMM_FULL_N3_S0,0.23955361227503894,0.39271613692184937,0.019126898393929115,-0.015088508489843833,0.276171767,0.421937362,-0.030264783585259664,-0.05151432462749472
A1_K10,S1_NOTEBOOK_ANALOG_300__OFFICIAL_AE_ONLY,0.14804777065938496,0.25994964091055117,SPARSE_GRAPH_FEATURE12_SPATIAL50,0.1864341334913332,0.34129206449108546,SPARSE_GRAPH_FEATURE12_SPATIAL50,0.1864341334913332,0.34129206449108546,0.03838636283194824,0.08134242358053428,0.276171767,0.421937362,-0.08973763350866681,-0.08064529750891453
A1_K10,S1_NOTEBOOK_ANALOG_300__OFFICIAL_FULL,0.16187049982387278,0.3192456887588289,GMM_FULL_N3_S0,0.20555902796136738,0.34910117741472446,GMM_FULL_N3_S0,0.20555902796136738,0.34910117741472446,0.0436885281374946,0.029855488655895546,0.276171767,0.421937362,-0.07061273903863263,-0.07283618458527552
A1_K10,S1_NOTEBOOK_ANALOG_300__OFFICIAL_GRAPH_ONLY,0.17376455780085795,0.3383027496515696,GMM_DIAG_N3_S0,0.2006454000525271,0.3603545893500308,GMM_DIAG_N3_S0,0.2006454000525271,0.3603545893500308,0.026880842251669146,0.022051839698461195,0.276171767,0.421937362,-0.07552636694747292,-0.0615827726499692
TONSIL_S1_K4,NIGHT21B_SPARSE_PORT_STABLE700,0.10342396895655544,0.20558424007021625,GMM_FULL_N3_S0,0.138754895999106,0.21527447922531873,HISTORICAL_CONCAT_KNN_S01,0.10941372787327341,0.21656340874892027,0.03533092704255057,0.009690239155102476,0.236682867,0.317365241,-0.09792797100089398,-0.1020907617746813
TONSIL_S1_K4,OFFICIAL_CONFIG_DEFAULT_700__OFFICIAL_FULL,0.09095758529986575,0.19831349829389058,COMMON_KMEANS_N20_S0,0.09095758529986575,0.19831349829389058,OFFICIAL_KMEANS_N10_S0,0.09070829662226264,0.1983960189831056,0.0,0.0,0.236682867,0.317365241,-0.14572528170013424,-0.11905174270610944
TONSIL_S1_K4,RETAINED_CARRIER,0.13774369148711335,0.21370642331649065,HISTORICAL_CONCAT_KNN_S02,0.20037664592147625,0.27579403897218135,HISTORICAL_CONCAT_KNN_S02,0.20037664592147625,0.27579403897218135,0.0626329544343629,0.06208761565569071,0.236682867,0.317365241,-0.03630622107852374,-0.041571202027818666
TONSIL_S1_K4,S1_NOTEBOOK_EXACT_300__OFFICIAL_AE_ONLY,0.0283044532222213,0.13227878127074427,GMM_FULL_N3_S0,0.11620862511606649,0.1792497064613731,GMM_FULL_N3_S0,0.11620862511606649,0.1792497064613731,0.08790417189384518,0.046970925190628815,0.236682867,0.317365241,-0.1204742418839335,-0.13811553453862693
