lane,arm,profile_id,epochs,wall_seconds,peak_rss_mb,peak_gpu_allocated_mb,loss_relative_change_last_windows,parameter_count,dense_shape
A1_K10,OFFICIAL_FULL,OFFICIAL_CONFIG_DEFAULT_700,700,85.54056334495544,855.72265625,986.91162109375,-0.04607108639970815,1003940,3484x3484
A1_K10,OFFICIAL_AE_ONLY,S1_NOTEBOOK_ANALOG_300,300,40.08833432197571,861.203125,986.91162109375,-0.0871768859850943,1003940,3484x3484
A1_K10,OFFICIAL_FULL,S1_NOTEBOOK_ANALOG_300,300,41.142048358917236,847.8125,986.91162109375,-0.09196122445706933,1003940,3484x3484
A1_K10,OFFICIAL_GRAPH_ONLY,S1_NOTEBOOK_ANALOG_300,300,36.89178204536438,857.64453125,986.91162109375,-0.09359984739422228,1003940,3484x3484
P22_K9,OFFICIAL_AE_ONLY,MOUSE_E15_NOTEBOOK_ANALOG_400,400,68.54777646064758,865.94921875,5496.28466796875,0.34345597277005774,1030345,9196x9196
P22_K9,OFFICIAL_FULL,MOUSE_E15_NOTEBOOK_ANALOG_400,400,69.98463273048401,859.55078125,5496.28466796875,-0.04850009744194515,1030345,9196x9196
P22_K9,OFFICIAL_GRAPH_ONLY,MOUSE_E15_NOTEBOOK_ANALOG_400,400,71.27879095077515,849.59765625,5496.28466796875,-0.01878208980175343,1030345,9196x9196
P22_K9,OFFICIAL_FULL,OFFICIAL_CONFIG_DEFAULT_700,700,119.02937006950378,852.50390625,5496.28466796875,-0.020511131715184372,1030345,9196x9196
P22_K9,OFFICIAL_FULL,OFFICIAL_CONFIG_DEFAULT_700,700,124.58595752716064,864.73828125,5496.28466796875,-0.030138068128116573,1030345,9196x9196
P22_K9,OFFICIAL_FULL,OFFICIAL_CONFIG_DEFAULT_700,700,124.00350570678711,852.61328125,5496.28466796875,-0.019287402594094404,1030345,9196x9196
PLACENTA_K10,OFFICIAL_AE_ONLY,MOUSE_E15_NOTEBOOK_ANALOG_400,400,48.146215200424194,841.30078125,339.7685546875,-0.014604046270654356,1003940,1662x1662
PLACENTA_K10,OFFICIAL_FULL,MOUSE_E15_NOTEBOOK_ANALOG_400,400,49.365145206451416,853.09375,339.7685546875,-0.01537335257028118,1003940,1662x1662
PLACENTA_K10,OFFICIAL_GRAPH_ONLY,MOUSE_E15_NOTEBOOK_ANALOG_400,400,50.386223793029785,844.16015625,339.7685546875,-0.0810221390341975,1003940,1662x1662
PLACENTA_K10,OFFICIAL_FULL,OFFICIAL_CONFIG_DEFAULT_700,700,90.35010743141174,854.6796875,339.7685546875,-0.060888574498118145,1003940,1662x1662
TONSIL_S1_K4,OFFICIAL_FULL,OFFICIAL_CONFIG_DEFAULT_700,700,91.73242712020874,856.984375,1430.5263671875,-0.057929674178890306,1003820,4326x4326
TONSIL_S1_K4,OFFICIAL_AE_ONLY,S1_NOTEBOOK_EXACT_300,300,38.8656952381134,851.125,1430.5263671875,-0.0886843607318257,1003820,4326x4326
TONSIL_S1_K4,OFFICIAL_FULL,S1_NOTEBOOK_EXACT_300,300,39.446911573410034,844.84765625,1430.5263671875,-0.09318400630264498,1003820,4326x4326
TONSIL_S1_K4,OFFICIAL_GRAPH_ONLY,S1_NOTEBOOK_EXACT_300,300,38.003434896469116,857.75,1430.5263671875,-0.0950372452281066,1003820,4326x4326
