lane,family,start_candidate,profile_id,full_candidate_id,full_ari,full_nmi,input_start_ari,input_start_nmi,strongest_atomic_ari,strongest_atomic_nmi,delta_ari_vs_coordinatewise_atomic,delta_nmi_vs_coordinatewise_atomic,stage_a_best_head_ari,stage_a_best_head_nmi,delta_ari_vs_stage_a_best_head,delta_nmi_vs_stage_a_best_head,changed_spots_vs_start,min_cluster_size,strict_full_double_beats_each_matched_atomic,independent_lane_pass,partition_sha256
A1_K10,RNA_PROTEIN,GEOM_FEATURE_NCUT_K24,J01_GRAPH_LEAN,J01_GRAPH_LEAN__FULL__S0,0.2690691256921273,0.39787993675526734,0.26806593463595035,0.39594080155513667,0.27111560794314715,0.4070187839740413,-0.002046482251019832,-0.009138847218773949,0.26806593463595035,0.39594080155513667,0.0010031910561769664,0.0019391352001306705,112,110,False,False,1993805d760f158c15b845ee734f50fde1189980487bb8677a6463dbefe93bab
A1_K10,RNA_PROTEIN,GEOM_FEATURE_NCUT_K24,J02_BALANCED,J02_BALANCED__FULL__S0,0.2696883599628288,0.3990524543497661,0.26806593463595035,0.39594080155513667,0.27249285560407577,0.40788757072743004,-0.0028044956412469624,-0.008835116377663932,0.26806593463595035,0.39594080155513667,0.0016224253268784516,0.003111652794629438,82,112,False,False,7f420c4ff052fabdb80564f36b4f7262cac83fe5f11e4b7fba1ed17a5b384d3b
A1_K10,RNA_PROTEIN,GEOM_FEATURE_NCUT_K24,J03_EMISSION_LEAN,J03_EMISSION_LEAN__FULL__S0,0.2698383744873397,0.399980991141294,0.26806593463595035,0.39594080155513667,0.2719585365411752,0.4051301014064948,-0.0021201620538354726,-0.005149110265200818,0.26806593463595035,0.39594080155513667,0.0017724398513893624,0.004040189586157317,66,114,False,False,7212d012af983948c185271c7cd29f66952393d42e917421b9544739e4159da1
A1_K10,RNA_PROTEIN,GEOM_LEIDEN_FEATURE,J01_GRAPH_LEAN,J01_GRAPH_LEAN__FULL__S0,0.262658713414572,0.3874967613187251,0.2628398625298799,0.384972236638401,0.2635855747131109,0.39632278192012016,-0.0009268612985389169,-0.008826020601395035,0.26806593463595035,0.39594080155513667,-0.005407221221378378,-0.008444040236411543,18,64,False,False,09e1a2adf3368eb9d514e5bd9cddce98ebb5de374e95a16ee0ae3fe606d63de4
A1_K10,RNA_PROTEIN,GEOM_LEIDEN_FEATURE,J02_BALANCED,J02_BALANCED__FULL__S0,0.2632665631787875,0.3878030713208083,0.2628398625298799,0.384972236638401,0.2641830985883146,0.39534981527932483,-0.0009165354095271305,-0.007546743958516511,0.26806593463595035,0.39594080155513667,-0.00479937145716286,-0.008137730234328344,18,64,False,False,5acde15d0c0bf2348b902acb93cde0044898e89b83ed0e9d693d32eb38af7cef
A1_K10,RNA_PROTEIN,GEOM_LEIDEN_FEATURE,J03_EMISSION_LEAN,J03_EMISSION_LEAN__FULL__S0,0.2628893455273273,0.3873885918561139,0.2628398625298799,0.384972236638401,0.2644626020773537,0.3947860888932999,-0.0015732565500264362,-0.007397497037186007,0.26806593463595035,0.39594080155513667,-0.005176589108623064,-0.008552209699022761,15,65,False,False,8340e5eaaf4007f5c382a5cfecf1a1b683c9475fdf2fa4558a6283e596b30f6a
P22_K9,RNA_CHROMATIN,GEOM_FEATURE_NCUT_K24,J01_GRAPH_LEAN,J01_GRAPH_LEAN__FULL__S0,0.4772603568990052,0.6339938358949853,0.47633967387899295,0.6293803654615128,0.47745174979514,0.6342127242282877,-0.00019139289613478994,-0.00021888833330241386,0.5034009988382184,0.641908045066574,-0.026140641939213227,-0.007914209171588693,97,432,False,False,5eea7744c8bfe0a2ff97153c0e49a0102da26e00338f60767c81c77da064f11b
P22_K9,RNA_CHROMATIN,GEOM_FEATURE_NCUT_K24,J02_BALANCED,J02_BALANCED__FULL__S0,0.4764130946105656,0.6324722179835202,0.47633967387899295,0.6293803654615128,0.47744785231556724,0.6340555429997854,-0.0010347577050016654,-0.0015833250162652357,0.5034009988382184,0.641908045066574,-0.026987904227652848,-0.009435827083053794,83,434,False,False,f1c21274ee5013ad2ed6ff506621d10fc64af7e2b85b6f6c6289e0b77fdd8a44
P22_K9,RNA_CHROMATIN,GEOM_FEATURE_NCUT_K24,J03_EMISSION_LEAN,J03_EMISSION_LEAN__FULL__S0,0.4765340534726715,0.6326475829162407,0.47633967387899295,0.6293803654615128,0.4768717802611911,0.6331219238130892,-0.0003377267885195656,-0.0004743408968485019,0.5034009988382184,0.641908045066574,-0.0268669453655469,-0.00926046215033327,78,433,False,False,0bb8c36ba53746f89c6b647ae0026321ac531891a59c177d9ddac49b877b1616
P22_K9,RNA_CHROMATIN,GEOM_LEIDEN_FEATURE,J01_GRAPH_LEAN,J01_GRAPH_LEAN__FULL__S0,0.5044962321840883,0.6432141811596417,0.5034009988382184,0.641908045066574,0.5044344891896317,0.6430564168111945,6.174299445660392e-05,0.0001577643484471647,0.5034009988382184,0.641908045066574,0.001095233345869917,0.0013061360930677335,14,44,True,True,e1029060a100493695857ef0c5f810ac8d90ea789e2d63d11b7936bf21334f11
P22_K9,RNA_CHROMATIN,GEOM_LEIDEN_FEATURE,J02_BALANCED,J02_BALANCED__FULL__S0,0.5039784210451065,0.642441281913094,0.5034009988382184,0.641908045066574,0.5040207620916316,0.6426084891859873,-4.2341046525118387e-05,-0.0001672072728933216,0.5034009988382184,0.641908045066574,0.0005774222068880563,0.0005332368465200688,11,44,False,False,717dc852861c2bd9a9429f2ecda7b960dcf32e0c01790f041db6b98b98cbf883
P22_K9,RNA_CHROMATIN,GEOM_LEIDEN_FEATURE,J03_EMISSION_LEAN,J03_EMISSION_LEAN__FULL__S0,0.5032809038000554,0.6417404540885259,0.5034009988382184,0.641908045066574,0.5038370533965638,0.6422318886042997,-0.000556149596508404,-0.0004914345157738254,0.5034009988382184,0.641908045066574,-0.00012009503816301503,-0.0001675909780480822,17,44,False,False,2cb688453e79ff5dd4dc9804c5630c0c11c86f849bbad62138efa7f62271e2ab
PLACENTA_K10,RNA_CHROMATIN,GEOM_FEATURE_NCUT_K24,J01_GRAPH_LEAN,J01_GRAPH_LEAN__FULL__S0,0.4711563053985653,0.6062187653803471,0.4634017685769465,0.5836917415201206,0.4692600073273076,0.6038006267555805,0.001896298071257685,0.002418138624766586,0.5351464387496713,0.5920843173869431,-0.06399013335110598,0.01413444799340402,84,62,True,False,4040a4855096945bae19feb836625cf5238228949218a7f74fecc58b7753855e
PLACENTA_K10,RNA_CHROMATIN,GEOM_FEATURE_NCUT_K24,J02_BALANCED,J02_BALANCED__FULL__S0,0.46746439789968924,0.599652958259705,0.4634017685769465,0.5836917415201206,0.4693227053184391,0.6038769464597794,-0.0018583074187498716,-0.004223988200074413,0.5351464387496713,0.5920843173869431,-0.06768204084998203,0.007568640872761878,76,61,False,False,7969fd3a2421aec847a13dcbde1d3bf84c2188ad5d73bfc58138fdabab415677
